འཕགས་པ་སྤོབས་པའི་བློ་གྲོས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Pratibhānamati
ལྷན་ཅིག་སྐྱེས་པའི་བཟོད་པ་དང་། དེས་པ་དང་། ཤིན་ཏུ་གྱ་ནོམ་པ་དང་། ||| (4) being naturally patient, gentle, and exalted, and
སངས་རྒྱས་ཀྱི་གསུང་རྣམ་པ་སྣ་ཚོགས་ཀློག་པ་དང་། ཁ་ཏོན་བྱ་བ་ལ་བརྩོན་པ་སྟེ། ||| (5) studying the diversity of the Buddha’s teachings and being diligent in their recitation.
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་པོ་དེ་དག་དང་ལྡན་པ་རྣམས་ནི། རིགས་མཐོན་པོ་རྣམས་སུ་འགྱུར་རོ། ། ||| Pratibhānamati, beings who engage in those five actions are reborn among the higher castes.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| Then the Blessed One expressed this in verse:
བསམ་བྱས་གང་དག་བསོད་ནམས་ཚོགས་པ་སྐལ་བཟང་སྦྱིན་པའི་ཆོ་ག་བཞིན། །ཀུན་དུ་སེམས་ཅན་མང་ལ་ཀུན་བགེད་དེ་དག་རྟག་ཏུ་ནད་མེད་འགྱུར། ། ||| “Those who are inspired by the rituals for accumulating merit and fortune, And who ensure that many beings never grow ill,
ཚེ་དང་ཁ་དོག་སྟོབས་ལྡན་ལུས་ཅན་འཇིག་རྟེན་མཆོག་ཏུ་འགྱུར། ། ||| Will enjoy long life, a fine complexion, great strength, and become foremost in the world.
མཚུངས་དང་རྒྱ་ཆེན་ཁྱད་པར་ཅན་གྱིས་མཛེས་མཛོད་རིན་ཆེན་རི་དབང་བཞིན། ། ||| Their beauty will be vast and special, like a jewel mine or the lord of mountains.
འདུལ་བ་ཉམས་དགའི་དཀོན་མཆོག་མཚུངས་མེད་ཕ་མ་རྣམས་ལ་བསྙེན་བཀུར་བས། །ཤིན་ཏུ་རྒྱ་ཆེན་གཙོ་མཆོག་ཁྱིམ་དུ་སྐྱེས་པ་གྲངས་མེད་སྐྱེ་བོས་མཆོད། ། ||| “They venerate the incomparable jewel of delighting in discipline and their parents. Thus they are born into large and preeminent households and worshipped by innumerable beings.
ཤིན་ཏུ་ནུས་ཀྱང་ཡིད་འཁྲུག་རྣམ་སྤངས་ཀུན་དུ་གཟུགས་ཀྱིས་འཕགས་པ་རྣམས། །འཇིག་རྟེན་རྣམས་ཀྱི་མིག་ཏུ་སྡུག་པ་སྐལ་བཟང་རིགས་ནི་མཐོན་པོར་འགྱུར། ། ||| They are highly capable, their minds free of agitation and their forms noblest of all. They are appealing to the eyes of the entire world, have great fortune, and are of high caste.
གང་ཟག་བརྟན་ཞིང་ཀུན་བཟོད་ཤིན་ཏུ་ཡིད་བཟང་དཀར་དང་འཐུན་རྣམས་དང་། །མི་རྣམས་གང་དག་ཤེས་རབ་དག་མཆོག་སངས་རྒྱས་གསུང་ལ་ཁ་ཏོན་བརྩོན། ། ||| “They are reliable and perfect people, their minds aligned with what is good and virtuous. Such wise and supreme people are diligent in reciting the Buddha’s words.
དེ་དག་འབྱོར་པ་ཐོབ་ནས་རིགས་མཆོག་སྐྱེས་པ་ཀུན་དུ་ཀུན་མཆོག་མཛེས། ། ||| Affluent and well born, they are the most beautiful beings.
དེ་དག་དགེ་བས་རྒྱས་པས་ལུས་ཆེན་རྒྱ་མཚོ་ཆེན་པོ་བཞིན་དུ་སྤ། ། ||| Formed by virtue, their great bodies are beautified like the ocean.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་སྤོབས་པའི་བློ་གྲོས་ལ་བཀའ་སྩལ་པ། ||| Then the Blessed One said,
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་དང་ལྡན་པ་རྣམས་ནི་བྲན་དང་བྲན་མོ་ཉིད་འཐོབ་པར་འགྱུར་ཏེ ||| “Pratibhānamati, beings who engage in the following five actions become male and female servants.
ལྔ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are these five? They are
ཕ་མ་རྣམས་ལ་མི་གུས་པ་དང་། ||| (1) being disrespectful toward one’s parents,
གྱ་ནོམ་པའི་སེམས་མ་ཡིན་པ་དང་། ||| (2) having an indecent mind,
ཟློག་པ་མེད་ཅིང་ཅི་དགར་སྡིག་པ་སྤྱོད་པ་དང་། ||| (3) being incorrigible and engaging in evil deeds as one pleases,
གཞན་གྱི་ནོར་འཕྲོག་པ་དང་། ||| (4) stealing the wealth of others, and
བུ་ལོན་ཕྲོགས་ནས་བདག་སྦེད་པ་སྟེ། ||| (5) absconding with the loans one has taken and going into hiding.
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་པོ་དེ་དག་དང་ལྡན་པ་རྣམས་ནི་བྲན་དང་བྲན་མོ་ཉིད་འཐོབ་པར་འགྱུར་རོ། ། ||| Pratibhānamati, beings who engage in these five actions become male and female servants.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| Then the Blessed One expressed this in verse:
བསོད་ནམས་རྒྱ་ཆེན་འབྱོར་པ་གངས་འོད་ལྟ་བུའི་ཁྱིམ་དུ་སྐྱེ་ཐོབ་ནས། ། ||| “They take birth in a household whose vast merit and wealth shines like snow.
བླུན་པོ་གང་དག་རྒྱགས་ཁེངས་དྲེགས་པས་དཀྲུགས་ཤིང་གུས་པར་མི་བྱེད་ལ། ||| Yet these fools are full of themselves and conceited, and so they squabble and are disrespectful.
ཕ་མ་རྣམས་ལ་རྨད་བྱུང་སྦྱིན་གནས་འདྲ་བར་འདུ་ཤེས་མི་བྱེད་པ། ། ||| They do not conceive of their parents as being admirable objects of generosity.
དེ་དག་ཉེས་པས་གཞན་དུ་འཇིག་རྟེན་དབང་གྱུར་དམན་ཞིང་གཡོན་ཅན་འགྱུར། ། ||| Due to these negative actions, later they will have little worldly influence and be roguish.
དཀོན་མཆོག་མཚུངས་མེད་རྣམས་ལ་མ་གུས་ལྷུར་བྱེད་མ་རུངས་བརླང་ཚིག་འགྱུར། ། ||| “They do not venerate the peerless Three Jewels but are excessively vicious and rude.
གང་དག་བྱམས་དང་དེ་བཞིན་སྙིང་རྗེ་མ་ལུས་དགེ་བ་ཆུད་གཟན་པ། ། ||| They squander all the virtues of love and compassion.
དེ་དག་གྲངས་མེད་སྐྱེ་བར་འཛིན་མེད་གཞན་འཇོམས་ངོ་ཚ་མི་ཤེས་ཤིང་། ། ||| They will be powerless and dominated for innumerable lives and know no shame .
མི་ཡི་ཡུལ་དུ་བྲན་ཉིད་སྤངས་ནས་སྐད་ཅིག་གིས་ནི་དམའ་བར་འགྱུར། ། ||| Once free of servitude in the human realm, they will instantly descend.
གཟུགས་དང་དབང་ཕྱུག་རིགས་མཆོག་བློ་བྲལ་དམན་ལ་མོས་པའི་གླེན་པར་འགྱུར། ། ||| “Bereft of beauty, authority, high caste, and intellect, they are fools inclined to negativity.
དཀོན་མཆོག་རྣམས་མ་མཆོད་པས་ང་རྒྱལ་མེད་ཅིང་ཞན་ལ་མདངས་ངན་འགྱུར། ། ||| Not venerating the Three Jewels, they will be insecure, weak, and ugly.
དཔལ་ཀུན་མེད་ཅིང་ཏིང་འཛིན་བྲལ་བ་ལས་རྣམས་ཀྱིས་ནི་བསྡིགས་པར་འགྱུར། ། ||| Through deeds lacking dignity and contemplation, they turn evil.”
དེ་དག་འཇིག་རྟེན་ཀུན་དགའ་དགའ་སྟོན་ཆེ་སོགས་མེད་ཅིང་ཚེགས་ཀྱིས་འཚོ། ། ||| They will have no worldly joy, nothing to celebrate, and live troubled lives.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་སྤོབས་པའི་བློ་གྲོས་ལ་བཀའ་སྩལ་པ། ||| Then the Blessed One said,
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་དང་ལྡན་པ་རྣམས་ནི་སྐལ་བ་བཟང་པོར་འགྱུར་ཞིང་། ||| “Pratibhānamati, beings who engage in the following five actions become supremely fortunate,
ཁྱིམ་ཁོལ་དང་། ཁ་དྲི་ཞིམ་པ་དང་། གནོད་པ་མེད་པ་དང་། ལུས་དང་། སེམས་ཤིན་ཏུ་སྦྱངས་པ་དང་། བལྟ་ན་སྡུག་པ་དང་། སྐྱེ་བོ་མང་པོས་བསྔགས་པ་རྣམས་སུ་འགྱུར་ཏེ ||| have servants and fragrant breath, are unthreatened, pliant in body and mind, beautiful to behold, and praised by many beings.
ལྔ་གང་ཞེ་ན། ||| What are these five?
འདུ་ཤེས་ཇི་ལྟ་བ་བཞིན་དུ་ཡང་དག་པ་དང་། མ་ཚང་བ་མེད་པ་དང་། ||| (1) perceiving accurately, genuinely, and completely;
སྒྲོ་བཏགས་པ་མེད་པའི་ཚིག་དང་། ||| (2) speaking without exaggeration;
ཉན་ཐོས་དང་། རང་སངས་རྒྱས་དང་། ཐེག་པ་ཆེན་པོ་དང་། ཐེག་པ་རྣམ་པ་གསུམ་པོ་ཐམས་ཅད་ཀྱི་ཚིག་གི་རང་བཞིན་ལ་མི་བཟོད་པ་མེད་ཅིང་མི་སྨོད་ལ། ||| (3) not lacking patience towards the nature of the language used in the three vehicles of hearers, solitary buddhas, and bodhisattvas,
མི་སྤོང་ཞིང་དེ་ཐམས་ཅད་གཟུང་བ་དང་། བཤད་པ་དང་། བཀླག་པ་དང་། ཁ་ཏོན་ལ་སོགས་པ་བྱེད་པ་དང་། ངག་གི་སྐྱོན་བཞི་པོ་ཚད་མེད་པ་རྣམ་པར་སྤང་ཞིང་ ||| nor denigrating nor abandoning it but instead retaining, teaching, reading, and reciting it, abandoning the limitless instances of the four faults of speech, and
འཕགས་པའི་ལས་ལ་སྐུར་པ་མི་འདེབས་པ་དང་། ||| not belittling the path of noble beings;
སེམས་ཅན་ལོག་པར་སྒྲུབ་པ་ལ་གནས་པ་རྣམས་ལ་སྙིང་བརྩེ་ཞིང་ཡོངས་སུ་བསྐྱང་པ་དང་། ||| (4) loving and nurturing those beings who persist in counterproductive actions,
སྐྱོན་དེ་ལས་བཟློག་ཅིང་དགེ་བ་ལ་དགོད་པ་དང་། ||| turning them away from faults, and establishing them in virtue; and
གཞན་གྱི་སྐྱོན་མཐོང་བའི་བརྗོད་པ་ཡལ་བར་འཇོག་པ་སྟེ། ||| (5) not wishing to expose the faults one sees in others.
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་པོ་དེ་དག་དང་ལྡན་པ་རྣམས་ནི་མི་རྣམས་ཀྱི་ནང་དུ་སྐྱེས་ནས། ||| Pratibhānamati, when beings who engage in these five actions are reborn among humans,
སྐལ་བ་བཟང་པོར་འགྱུར་ཞིང་ཁྱིམ་ཁོལ་དང་ལྡན་པ་དང་། ཁ་དྲི་ཞིམ་པ་དང་། ཡིད་གཞུངས་པ་དང་། འཐུན་བ་དང་། སྐྱེ་བོ་མང་པོ་དགའ་བ་དང་། ||| they possess great fortune, acquire servants, fragrant breath, and mental vigor, are agreeable, and delight many beings.
མྱ་ངན་མེད་པ་དང་། སེམས་ཐ་མལ་དུ་གནས་པ་དང་། ཁྲོ་བ་མེད་པ་དང་། གནོད་པ་མེད་པ་དང་། ཁ་དོག་དང་ལྡན་པ་དང་། གྲགས་པ་དང་ལྡན་པ་རྣམས་སུ་འགྱུར་རོ། ། ||| They are without anguish, and their minds are at ease. They are free of anger and do not encounter harm. They obtain a beautiful appearance and are honored.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| Then the Blessed One expressed this in verse:
སངས་རྒྱས་སོགས་ལ་ཤིན་ཏུ་ཤས་ཆེར་གུས་འབད་ཕ་མ་རྣམས་མཆོད་པས། ། ||| “They are deeply respectful of the buddhas and venerate their parents.
རྟག་ཏུ་ངག་སྐྱོན་ཀུན་བྲལ་འཇིག་རྟེན་དག་ཏུ་རྨད་དུ་བྱུང་བར་འགྱུར། ། ||| Thus, ever free from the faults of speech, they are indeed wondrous beings.
ཚིག་གི་ཡོན་ཏན་གཟུང་འོས་རྔ་སྒྲར་བཅས་ཤིང་ཚེ་རབས་ཀུན་དུ་ཕན། ། ||| The qualities of their speech—pleasant, resonant, and beneficial throughout all lifetimes—
ཨུད་པལ་དྲི་དང་མཛེས་པའི་རླུང་ལྡན་ཁ་ཡིས་ཕྱོགས་སུ་སྙན་པ་གྲགས། ། ||| Resound sweetly from their mouths in all directions upon breath as fragrant as a blue lotus.
གང་དག་བདག་བྱམས་གཞན་མཚུངས་མི་ཕན་སྐྱོན་བརྗོད་སྡིག་པ་ངན་པ་ལས། །ཕྲལ་ནས་དགེ་བ་ཀུན་ལ་སེམས་ཅན་རྣམས་ནི་སྦྱོར་དུ་འཇུག་བྱེད་པ། ། ||| “Loving themselves and others equally, they motivate beings in all forms of virtue. And by distancing themselves from what is evil, immoral, slanderous, and harmful,
དེ་དག་འཇིག་རྟེན་ཐོབ་ནས་སྐལ་བ་བཟང་པོ་ཀུན་དུ་ཐམས་ཅད་དགའ། ། ||| Upon attaining the world they will have every joy throughout the fortunate eon.
ཤིན་ཏུ་ཡིད་འོང་རིན་ཆེན་ཡུལ་ཅན་བདེ་གནས་སྡིག་ལས་ལོག་པར་འགྱུར། ། ||| They will possess extraordinary riches, live well, and turn away from evil deeds.
དམ་པའི་ཆོས་ནི་གཟུང་དང་བསྟན་བརྩོན་དེ་སེམས་བྱེད་ཅིང་དེས་པར་འགྱུར། ། ||| “Recollecting the sublime Dharma, they persevere in the teachings and cultivate gentle minds.
འདིར་ནི་སེམས་ཅན་ཀུན་ལ་ཕ་མ་འདྲ་བར་བྱམས་པའི་སེམས་ལྡན་འགྱུར། ། ||| In this life, their love considers all beings to be like their own parents.
འདས་པའི་དུས་སུ་ལུས་ཅན་ཀུན་ནི་ངེད་ཀྱི་རྩ་ལག་ཚོགས་གྱུར་ཅེས། ། ||| They think, ‘All beings were once my own family.’
དེ་ལྟ་ཟླ་བ་ལྟ་བུའི་སེམས་སྦྱངས་དེ་དག་ལ་ནི་ཕན་པར་བྱེད། ། ||| With minds as bright as the moon they benefit them in the present.
འགྲན་དྲེགས་ཁྱད་གསོད་ལ་སོགས་རྣམ་པ་སྣ་ཚོགས་ཕན་ཚུན་སུན་འབྱིན་པའི། །སྡིག་པ་ཡོངས་སུ་སྤངས་ནས་དག་པའི་ཡིད་ཅན་སྐྱོན་རྣམས་ཀུན་སྦས་ནས། །སེམས་ཅན་ལྷག་པའི་བསམ་པ་དགེ་བས་སྙན་ཚོགས་ཕན་ཚུན་རྗོད་པར་བྱེད། ། ||| “Forsaking evil deeds, such as competitiveness, haughtiness, and contempt, And with pure minds, these virtuous, well-intentioned beings Speak well of one another while being discrete about the shortcomings of others.
མྱུར་དུ་ལྷ་ཡི་དབང་ཕྱུག་མཚུངས་མེད་ཐོབ་ནས་སངས་རྒྱས་དགེ་བར་འགྱུར། ། ||| They swiftly become incomparable lords of the gods and go on to be virtuous buddhas.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་སྤོབས་པའི་བློ་གྲོས་ལ་བཀའ་སྩལ་པ། ||| Then the Blessed One said,
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་དང་ལྡན་པ་རྣམས་ནི་མིའི་དམ་པ་ཐོབ་ནས་རྟག་ཏུ་སྐུར་པ་འདེབས་པ་ཐོབ་པར་འགྱུར་ཞིང་སྐྱེ་བོ་མང་པོ་མི་དགའ་བ་དང་། ||| “Pratibhānamati, beings who engage in the following five actions attain sublime human lives, and yet they also receive constant denigration, are disliked by many beings,
ཁ་དྲི་མི་ཞིམ་པ་དང་། སེམས་མི་དགའ་བ་དང་། གནོད་པ་མང་བ་དང་། ལུས་ཤིན་ཏུ་སྦྱངས་པ་མ་ཡིན་པར་འགྱུར་ཏེ ||| have bad breath and unhappy minds, are often threatened, and have very unfit bodies.
ལྔ་གང་ཞེ་ན། ||| What are these five?
བརྫུན་དུ་སྨྲ་བ་དང་། ||| (1) lying,
བརྫུན་དུ་སྨྲ་བས་རྟག་ཏུ་གཞན་སླུ་བའི་སེམས་ལྷུར་ལེན་པ་དང་། ||| (2) being always bent on deceiving others through lying,
ཆོས་ཀྱི་འབེལ་བའི་གཏམ་ཆེན་པོ་ལ་འདུས་པ་ན་ཆོས་ཀྱི་གཏམ་དེ་ལ་རྣམ་པར་སྨོད་པ་དང་། ||| (3) criticizing the discourses one hears when assembled to hear great Dharma talks,
ཚངས་པ་མཚུངས་པར་སྤྱོད་པ་རྣམས་མཐོང་ན་དེ་དག་ལ་བརྙས་ཤིང་ཁྱད་དུ་གསོད་པ་དང་། ||| (4) abusing and denigrating those whose practice pure conduct, and
དམའ་བའི་སེམས་སུ་བྱེད་པ་སྟེ། ||| (5) cultivating a base mind.
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་པོ་དེ་དག་དང་ལྡན་པ་རྣམས་ནི་མིའི་དམ་པ་ཐོབ་ནས་རྟག་ཏུ་སྐུར་པ་འདེབས་པ་ཐོབ་པར་འགྱུར་ཞིང་སྐྱེ་བོ་མང་པོ་མི་དགའ་བ་དང་། ||| Pratibhānamati, beings who are endowed with those five actions may attain the preeminence of a human life but they receive constant denigration, are disliked by many beings,
མདོག་མི་སྡུག་པ་དང་། ཁ་དྲི་མི་ཞིམ་པ་དང་། སེམས་མི་དགའ་བ་དང་། གནོད་པ་མང་བ་དང་། ལུས་ཤིན་ཏུ་སྦྱངས་པ་མ་ཡིན་པར་འགྱུར་རོ། ། ||| are ugly, have bad breath and unhappy minds, are often threatened, and have bodies that are unhealthy.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| Then the Blessed One expressed this in verse:
སེམས་ཡིད་རྣམས་ཀྱིས་གཞན་སེམས་དྲག་ཏུ་འཁྲུག་དང་སྡིག་པ་རྣམས་བྱས་པས། ། ||| “Their minds viciously upset the minds of others and they commit evil deeds.
ལོག་པའི་ངག་དང་གཞན་ལ་གནོད་པར་དགའ་བ་ཐ་མ་རྣམས་སེམས་དང་། །ལུས་ཀྱིས་སྡུག་བསྔལ་གཞལ་མེད་རྫོགས་པ་བར་མེད་ཉམས་སུ་མྱོང་བར་འགྱུར། ། ||| They delight in perverse speech and in harming others. These inferior beings will experience intense and unrelenting suffering in mind and body.
ལྕགས་ཀྱི་ལྕགས་ཀྱུ་ཆེན་པོ་རྣོན་པོ་རྣམས་ཀྱིས་ཉམ་ཐག་ལྕེ་འབྱིན་འགྱུར། ། ||| The tongues of these poor beings will be pierced by sharp iron hooks.
གཤིན་རྗེའི་དབང་ཕྱུག་གནས་སུའང་མི་རྣམས་ཤིན་ཏུ་ཟངས་བསྐོལ་ལྡུད་པར་འགྱུར། ། ||| “In the abode of the Lord of Death these people will be force-fed drinks of boiling molten copper.
དམྱལ་བར་མི་བདེན་ཚིག་ཅན་སྐྱེས་པ་དེ་དག་དགའ་བར་ཡོང་མི་འགྱུར། ། ||| In hell, these beings given to false speech will experience no joy.
གང་ཚེ་འདིར་ནི་ཚིག་བཟང་བྲལ་བ་རོ་ལྟར་ཁ་དྲི་མི་ཞིམ་ཞིང་། ། ||| Once there, they will hear no loving words and their breath will stink like a corpse.
འཇིག་རྟེན་མིག་ཏུ་ཡིད་འོང་བལྟ་ན་སྡུག་པ་མ་ཡིན་རྣམས་སུ་འགྱུར། ། ||| All that normally appears pleasant will turn ugly.
རྒྱལ་པོའི་ཕོ་བྲང་འཁོར་དུ་མི་སྙན་སྐུར་འདེབས་རྩོད་པའི་སྐྱོན་མང་ཞིང་། ། ||| “Infamous at the royal court, they have many flaws of being derogatory and quarrelsome.
དེ་དག་རྟག་ཏུ་སྐྱོན་གནས་མི་ནི་ས་ཡ་མང་པོས་གླེང་བར་འགྱུར། ། ||| Many millions of people gossip about them being consistent in these flaws.
སེམས་ཅན་བརྫུན་སྨྲ་རྣམས་ཀྱིས་ཐ་མལ་སེམས་དང་ལུས་བདེ་མ་ཡིན་ཕྱིར། ། ||| Such beings have base minds and will have unhealthy bodies due to their lies.
སྔར་བཤད་ཉེས་འགྲོ་དེ་ཡི་འབྲས་བུ་སྡུག་བསྔལ་མང་པོ་སྤྱོད་པར་འགྱུར། ། ||| Thus, as I said before, the result of this flawed trajectory will be manifold suffering.
མི་ཉིད་སྤངས་ནས་དབང་མེད་མི་རྣམས་བདེ་བ་ཀུན་ལ་སླུ་བྱེད་པའི། ། ||| “Forsaken by humanity, they are powerless and bereft of all happiness.
སེམས་ཅན་དམྱལ་བའི་འཇིག་རྟེན་འགྲོ་འགྱུར་དེ་ནས་ཤི་འཕོས་གྱུར་ནས་ནི། །འགྲོ་བ་ལྔ་པོའི་འཁོར་བའི་འཁོར་ལོ་རྩུབ་པར་དུད་འགྲོ་རྣམས་སུ་སྐྱེ། ། ||| Such beings first go to the hells, and later, when they die and transmigrate, They are born as animals among the five types of beings on the harsh wheel of cyclic existence.
དེ་ལྟར་ལུས་ཅན་འཁྱམ་པ་རྣམས་ཀྱི་སྡུག་བསྔལ་ཟད་པར་འགྱུར་བ་མེད། ||| The suffering of these wandering beings will be truly inexhaustible.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་སྤོབས་པའི་བློ་གྲོས་ལ་བཀའ་སྩལ་པ། ||| Then the Blessed One said,
སྤོབས་པའི་བློ་གྲོས་དགེ་སྦྱོང་དང་། རིགས་ཀྱི་བུ་དང་། རིགས་ཀྱི་བུ་མོ་ཉེ་བར་ཞི་བ་གཙོ་བོར་འཛིན་པའི་སེམས་ཅན་ཆོས་ལྔ་དང་ལྡན་པ་རྣམས་ནི་གང་དང་གང་དུ་སྐྱེ་བའི་སྐྱེ་བ་དེ་དང་དེ་ཐམས་ཅད་དུ་རྟག་པར་སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་འདུན་དང་ཕྲད་པ་ཐོབ་པར་འགྱུར་ཞིང་། ||| “Pratibhānamati, mendicants and noble sons and daughters—beings who make peace their primary concern—possess five qualities that ensure that they will always encounter the Buddha, the Dharma, and the Saṅgha, regardless of where they are born.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་མཐོང་ནས་ཀྱང་དེ་དག་ལས་ཆོས་ཀྱང་ཐོས་ནས་ཡིད་དགའ་ཞིང་ཅི་བསམས་པ་བཞིན་དུ་བྱང་ཆུབ་རྣམས་ཐོབ་པར་འགྱུར་ལ། ||| They will behold the blessed buddhas, hear the Dharma from them, and be delighted.
ཅི་འདོད་པ་བཞིན་དུ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཀྱང་ཐོབ་པར་འགྱུར་ཏེ ||| They will attain awakening just as intended and gain abundance just as desired.
ལྔ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are these five qualities?
བདག་ཉིད་དཀོན་མཆོག་གསུམ་ལ་སྐྱབས་སུ་སོང་ནས་གཞན་དག་ཀྱང་གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་སྒྲུབ་པ་ལ་རྣམ་པར་འཇོག་པར་བྱེད་པ་དང་། ||| (1) Having themselves gone for refuge in the Three Jewels, they establish others in the practice of going for refuge.
རྣམ་པ་ཐམས་ཅད་ཀུན་ཏུ་རྫོགས་ཤིང་རྒྱས་ལ་རྒྱ་ཆེན་པོ་ལེགས་པར་བྱས་པའི་དེ་བཞིན་གཤེགས་པའི་སྐུ་གཟུགས་བྱེད་དུ་འཇུག་པ་དང་། ||| (2) They skillfully create images of the thus-gone ones that are complete and detailed in all respects.
མཁན་པོ་དང་སློབ་དཔོན་ཤེས་ཤིང་གུས་པ་དང་བཅས་པ་དང་། ||| (3) They recognize preceptors and teachers and are respectful towards them.
བཀའ་བློ་བདེ་བ་དང་འཐུན་པར་འཛིན་པར་སྒྲུབ་པ་དང་། ||| (4) They easily follow instructions and practice them accordingly.
ཀུན་དུ་ཐོགས་པ་མེད་པའི་འོད་ཟེར་རྣམས་ཀྱིས་སེམས་ཅན་ཐམས་ཅད་བདག་དང་འདྲ་ཞིང་བུ་གཅིག་པའི་བྱིས་པ་དང་འདྲ་བར་མཐོང་བ་དང་། ||| (5) With pervasive and unimpeded light rays, they behold all beings as being like themselves or like their only child.
ཇི་ལྟར་བརྩམས་པའི་མདོ་སྒྲུབ་པ་དང་། བཀླག་པ་དང་། ཁ་ཏོན་དང་། ལུང་མནོད་པ་དང་། བཤད་པ་རྣམས་ཡིད་ལ་བྱེད་པ་ཡངས་ཤིང་ ||| These are beings who practice, read, recite, transmit, and explain the discourses exactly as they were set forth.
རྣམ་པ་སྣ་ཚོགས་པ་དག་གིས་བར་ཆད་མེད་པར་བསྒོམ་པ་ལ་མངོན་པར་ཞེན་ཅིང་སྒྲུབ་པར་བྱེད་པ་སྟེ། ||| Their contemplation is extensive. Being utterly free from obstacles, they are enthusiastic in their practice and gain accomplishment.
སྤོབས་པའི་བློ་གྲོས་དགེ་སྦྱོང་དང་། རིགས་ཀྱི་བུ་དང་། རིགས་ཀྱི་བུ་མོ་ཉེ་བར་ཞི་བ་གཙོ་བོར་འཛིན་པའི་སེམས་ཅན་ཆོས་ལྔ་པོ་དེ་དག་དང་ལྡན་པ་རྣམས་ནི་གང་དང་གང་དུ་སྐྱེས་པའི་སྐྱེ་བ་དེ་དང་དེ་ཐམས་ཅད་དུ་བར་ཆད་མེད་པར་སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་འདུན་དཀོན་མཆོག་རྣམས་དང་མི་འབྲལ་བར་འགྱུར་ཞིང་། ||| Pratibhānamati, mendicants and noble sons and daughters—beings who make peace their primary concern—who possess those five qualities, do not encounter obstacles and are never disconnected from the Jewels of Buddha, Dharma, and Saṅgha, regardless of where they are born.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་མཐོང་ནས་ཀྱང་། དེ་དག་ལས་ཆོས་ཀྱང་ཐོས་ནསཡིད་དགའ་ཞིང་ཅི་བསམས་པ་བཞིན་དུ་བྱང་ཆུབ་རྣམས་ཐོབ་པར་འགྱུར་ལ། ||| They behold the blessed buddhas, hear their Dharma teachings, and are delighted.
ཅི་འདོད་པ་བཞིན་དུ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ཀྱང་ཐོབ་པར་འགྱུར་རོ། ། ||| They attain awakening just as they intend and gain abundance just as they wish.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| Then the Blessed One expressed this in verse:
གང་དག་སངས་རྒྱས་ཡོན་ཏན་མཆོག་གི་ཆོས་ལ་གནས། །དེ་དག་ཉིད་ཀྱིས་སེམས་ཅན་ཐམས་ཅད་འདུལ་བར་བྱེད། ། ||| “Those who are stable in the supreme Dharma—the quality of the Buddha— Are able to tame all beings.
སངས་རྒྱས་སྐུ་གཟུགས་གཟུགས་ལེགས་རྣམས་ནི་བྱེད་པར་འགྱུར། ། ||| They make fine representations of the Buddha’s body.
