༄༅། །རྒྱ་གར་སྐད་དུ། པཉྩ་ཤིཀྵྱཱ་ནུ་སྃ་ས་སཱུ་ཏྲ། བོད་སྐད་དུ།
བསླབ་པ་ལྔའི་ཕན་ཡོན་གྱི་མདོ། འཕགས་པ་དཀོན་མཆོག་གསུམ་ལ་གུས་པས་ཕྱག་འཚལ་ལོ། ། ||| The Sūtra on The Benefits of the Five Precepts Homage, with devotion, to the noble Three Jewels.
ངོ་ཚ་ཤེས་ཤིང་ཚིག་ནི་གསལ། ། ||| “Being modest, their words will be clear.
དེ་ནི་ལོག་པར་སྨྲ་མི་འགྱུར། །ཕྲ་མ་དང་ནི་ཚིག་རྩུབ་མེད། །དོན་མེད་པ་ལ་མི་སྟོད་ཅིང་། ། ||| What they say will not be wrong, Will be without slander and harsh words, And will not praise that which is meaningless.
ཉིན་དང་མཚན་དུ་དེ་བཞིན་དུ། །བྱས་པ་ཤེས་ཤིང་བྱས་པ་ཚོར། །འདོད་མེད་གཏོང་དང་ཚུལ་ཁྲིམས་ལྡན། ། ||| “Day and night alike, Knowing and noticing what has been done, They will give without expectation, and they will have moral discipline.
ཁྲོ་བ་མེད་ཅིང་ཚིག་ནི་དྲང་། ། ||| They will not be angry and will speak honestly.
འཇིགས་པ་མེད་ཅིང་རྣམ་པར་མཁས། །ངོ་ཚ་ཁྲེལ་ཡོད་ཕུན་སུམ་ཚོགས། །འཇིགས་པ་དང་ནི་དོགས་པ་མེད། ། ||| “They will be without fear and learned in details, With a strong sense of modesty and decency, Fearless and unhesitant.
ཡིད་གཞུངས་ཐོས་པ་འཛིན་པ་དང་། །དོན་ཡོད་སྐྱེ་བོ་མང་ནང་མཁས། ། ||| Their perceptive minds will retain what they learn, And they will be considered learned among significant men.
ཆང་གི་བཏུང་བ་སྤངས་པ་ཡིས། །སྐྱེས་པ་འམ་ནི་བུད་མེད་ཀྱིས། །ཕན་ཡོན་འདི་རྣམས་མྱོང་བར་འགྱུར། །ལྷ་རྣམས་དང་ནི་མི་རྣམས་སུ། ། ||| “A man or a woman, By refraining from consuming alcohol, Will experience these benefits As a deva or as a human.
དེའི་ལུས་ཞིག་ནས་ཤི་བའི་ཕ་རོལ་དུ་བདེ་འགྲོ་མཐོ་རིས་ལྷའི་འཇིག་རྟེན་དང་མཐོ་རིས་སུ་སྐྱེའོ། ། ||| “After the destruction of the body, after death, they will be reborn in the happy rebirth-destinies of the higher realms, in a deva world, in heaven.
ཚུལ་ཁྲིམས་འདི་རྣམས་བསྲུང་བར་བྱའོ། ། ||| “These disciplines should be guarded.
འདི་གང་ཟག་གང་སུ་དག་སྐྱེས་པའམ་བུད་མེད་ཀྱི་ཚུལ་ཁྲིམས་སྲུང་བར་མི་བྱེད་པ་དང་། སྒོམ་པར་མི་བྱེད་ན་དེའི་ལུས་ཞིག་ནས་ཤི་བའི་ཕ་རོལ་དུ་ངན་སོང་ངམ་ངན་འགྲོ་ལོག་པར་ལྟུང་བར་སྐྱེ་བར་འགྱུར་རོ། ། ||| Any person, whether a man or a woman, who does not guard and cultivate these disciplines will, after the destruction of the body, after death, fall and be reborn in bad or unfortunate rebirth-destinies, in the lower realms.
གང་སུ་དག་ཚུལ་ཁྲིམས་སྲུང་བར་བྱེད་པ་དང་། སྒོམ་པར་བྱེད་པ་རྣམས་ནི་དེའི་ལུས་ཞིག་ནས་ཤི་བའི་ཕ་རོལ་དུ་བདེ་འགྲོ་མཐོ་རིས་དང་། ལྷའི་འཇིག་རྟེན་དུ་སྐྱེ་བར་འགྱུར་རོ། ། ||| Those who guard and cultivate these disciplines will, after the destruction of the body, after death, be reborn in the happy rebirth-destinies of the higher realms, in a deva world.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། དགེ་སློང་དེ་རྣམས་བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| This is what the Bhagavān said, and the monks rejoiced at what the Bhagavān had taught.
ཚུལ་ཁྲིམས་ལྔའི་ཕན་ཡོན་བསྟན་པའི་མདོ་རྫོགས་སྷོ།། །།པཎྜི་ཏ་ཆེན་པོ་ཨཱ་ནནྡ་ཤྲཱིའི་ཞལ་སྔ་ནས། ||| This concludes “The Sūtra That Teaches the Benefits of the Five Disciplines.”
མང་དུ་ཐོས་པའི་ལོ་ཙཱ་བ་ཤཱཀྱའི་དགེ་སློང་ཉི་མ་རྒྱལ་མཚན་དཔལ་བཟང་པོས། སྐད་གཉིས་སྨྲ་བ་རྣམས་ཀྱི་གདན་ས། གཙུག་ལག་ཁང་ཆེན་པོ་དཔལ་ཐར་པ་གླིང་དུ་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པའོ།། །། ||| This sūtra was translated, edited, and finalized by the learned translator, the Śākya monk Nyima Gyaltsen Palsangpo, in the presence of the great scholar Ānandaśrī at the translation center of the great monastery Pal Tharpaling.
སའི་སྟེང་དུ་ཉི་མ་དང་ཟླ་བ་ལྟར་གྱུར་ཅིག། ||| May it become like sun and moon ornaments crowning the earth!
