༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ལ་ལི་ཏ་བི་སྟཱ་ར་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྒྱ་ཆེར་རོལ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Play in Full
གདུགས་དང་། རྒྱལ་མཚན་དང་། བ་དན་བསྒྲེང་བ། ||| Parasols, flags, and banners were hoisted.
རིན་པོ་ཆེའི་དྲིལ་བུ་གཡེར་ཀའི་དྲ་བ་དུ་མས་ལེགས་པར་བརྒྱན་པ། དར་གྱི་ལྡ་ལྡི་བརྒྱ་སྟོང་དུ་མས་མངོན་པར་སྤྱངས་པ། ||| Fine bells made of gems hung from lattices, as did hundreds of thousands of silk streamers.
རིན་པོ་ཆེ་སྣ་ཚོགས་ཀྱིས་སྤྲས་པའི་མུ་ཏིག་གི་རྒྱན་ཕྲེང་རབ་ཏུ་སྤྱངས་པ། རིན་པོ་ཆེ་སྣ་ཚོགས་ཀྱི་སྤང་ལེབ་ཅན་གྱི་ཟམ་པས་མཛེས་པར་བྱས་པ། ||| There were garlands of pearls set with various precious stones, and bridges built with boards that were ornamented by all types of jewels.
མེ་ཏོག་གི་ཕྲེང་བ་དང་ཆུན་པོ་མང་པོ་སྤྱངས་པ། ||| Flower garlands and decorations hung everywhere.
པོག་སྣོད་ནས་སྤོས་ཀྱིས་བདུགས་པ། དར་ལའི་བླ་རེ་བྲེས་པ། དུས་ཐམས་ཅད་པའི་མེ་ཏོག་དྲི་མཆོག་ཏུ་ཞིམ་ཞིང་། ཤིན་ཏུ་མཛེས་པ་དག་བཀྲམ་པ། ||| Incense burners dispensed fragrant smoke, and silk canopies were spread above.
རྫིང་མེ་ཏོག་པད་མ་དཀར་པོ་དང་། པད་མ་དང་ལྡན་པའི་ཆུའི་གནས་ཡོངས་སུ་སྤྱད་པར་བྱ་བ་མང་བ། ||| Fragrant flowers from all seasons adorned the grounds, and the ponds were full of white lotus flowers in bloom.
བྱ་འདབ་སྐྱོང་དང་། ནེ་ཙོ་དང་། རི་སྐེགས་དང་། ཁུ་བྱུག་དང་། ངང་པ་དང་། རྨ་བྱ་དང་། ངུར་པ་དང་། ཀུ་ན་ལ་དང་། ཀ་ལ་པིང་ཀ་དང་། ཤང་ཤང་ཏེའུ་ལ་སོགས་པ་བྱ་རྣམ་པ་ཐ་དད་པའི་ཚོགས་སྒྲ་སྙན་པ་འབྱིན་པ། ||| In all the many lotus ponds were flocks of many types of birds, such as leafbirds, parrots, mynas, cuckoos, swans, peacocks, wild geese, kunālas, and pheasants that all called out in their beautiful voices.
བཻ་དཱུརྱ་སྔོན་པོའི་ས་གཞི་གནས་ཡོངས་སུ་སྤྱད་པར་བྱ་བ། གཟུགས་ཐམས་ཅད་ཀྱི་གཟུགས་བརྙན་ཀུན་ཏུ་སྟོན་པ། ||| There were grounds covered in blue beryl that reflected all the many fine features of the palace.
བལྟ་བས་མི་ངོམས་པར་ཉམས་དགའ་བ། ||| It was so delightful to watch, and thus one could never get enough.
དགའ་བ་དང་མཆོག་ཏུ་དགའ་བ་དམ་པ་སྐྱེད་པའི་ཁྱིམ་དམ་པ་མཆོག་དེ་ན་འདུག་སྟེ། བྱང་ཆུབ་སེམས་དཔའ་ཁང་པ་མཛེས་པ་ཆེན་པོ་མཆོག་ན་གནས་པ། དྲི་མ་མེད་པ། དྲི་མ་དང་བྲལ་བ། ||| The exquisite and perfect mansion where the Bodhisattva lived was a source of supreme pleasures and joy.
ཡན་ལག་དྲི་མ་མེད་པ། ཕྲེང་བ་དང་རྒྱན་མ་བོར་བ། དྲི་མཆོག་ཏུ་ཞིམ་པ་དམ་པའི་བྱུག་པས་ལུས་བསྐུས་པ། ||| In his palace his body was always pure and stainless, he was adorned with flower garlands and jewelry, and his limbs were scented with the finest and most sweet-smelling oils.
དཀར་ཞིང་བཟང་ལ་དྲི་མ་མེད་ཅིང་རྣམ་པར་དག་ལ་དྲི་མ་དང་བྲལ་བའི་གོས་གྱོན་པའི་ལུས་དང་ལྡན་པ། ||| To cover his body he wore stainless white clothes of the finest quality, without any blemishes whatsoever.
མལ་ཆ་ལྷའི་རས་བཅོས་བུ་བཟང་པོ་ཕྲ་བ་དུ་མ་བཏིང་བ་འཇམ་པ་ཀ་ཙ་ལིན་དའི་གོས་ལྟར་རེག་ན་བདེ་བ། ||| His bedding was made of divine fabrics of the finest thread, and as soft to the touch as the kācilindika cloth.
ཡན་ལག་དམ་པས་སྤྲས་པའི་མལ་བཟང་པོའི་སྟེང་ན་འདུག་པ་བཙུན་མོའི་འཁོར་དམ་པ་ལྷའི་བུ་མོ་དང་འདྲ་བ། ཐམས་ཅད་དུ་ཁ་ན་མ་ཐོ་བ་མེད་པ། ལྟ་བ་དང་འཐུན་པ། ||| There on his perfect couch, he lay surrounded by his wonderful retinue of consorts, who all resembled goddesses.
སྤྱོད་པ་བཟང་པོས་མཛེས་པར་བྱས་པ། ||| All the girls were virtuous, agreeable, and wholesome in conduct.
གཟུགས་བཟང་བའི་ནང་ན་འདུག་པ། དུང་དང་། རྔ་དང་། རྫ་རྔ་དང་། ཁར་རྔ་དང་། པི་བང་དང་། རྒྱུད་གསུམ་པ་དང་། ཁར་བའི་སིལ་ཁྲོལ་དང་། ཕེག་དང་། ཀིམ་པ་ལ་དང་། ན་ཀུ་ལ་དང་། སྒྲ་སྙན་དང་། གླིང་བུ་སྙན་པའི་སྒྲ་འབྱུང་བའི་སྒྲ་དབྱངས་དང་། སིལ་སྙན་དང་། གླུ་དབྱངས་སྣ་ཚོགས་དང་ལྡན་པས་བསླང་བ་ལ། ||| Inside this beautiful palace, the Bodhisattva woke up to the sound of conches, kettledrums, clay drums, wood drums, lutes, harps, tambourines, cymbals, and flutes that produced the most sweet-sounding and melodious tunes to accompany their many sweet songs.
བུད་མེད་ཀྱི་ཚོགས་ཀྱིས་ཀྱང་། སྒྲ་མཉེན་ཞིང་འཇམ་པ་སྙན་ལ་ཡིད་དུ་འོང་བ་དང་། གླིང་བུ་འབུད་པའི་སྒྲ་དབྱངས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སློང་ངོ་། ||| The girls woke up the Bodhisattva with beautiful and soft songs accompanied by the melodious tones of flutes.
།ཕྱོགས་བཅུ་ན་བཞུགས་པའི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་གི་བྱིན་གྱི་རླབས་ཀྱིས་སིལ་སྙན་གྱི་སྒྲ་བྱུང་བའི་སྒྲ་སྐད་དེ་དག་ལས་བྱང་ཆུབ་སེམས་དཔའ་ལ་སྐུལ་བའི་ཚིགས་སུ་བཅད་པ་འདི་དག་བྱུང་ངོ་། ||| However, due to the grace of the blessed ones, the buddhas in the ten directions, the instruments suddenly began to encourage the Bodhisattva by resounding with these verses:
།བུད་མེད་གང་དག་རབ་ཏུ་ཡིད་དགའ་སེམས་དང་བས། ||| The girls are delighted and joyful;
།སིལ་སྙན་ཡིད་དུ་འོང་ཞིང་སྙན་པའི་སྒྲ་འབྱིན་ཚེ། ||| They play fine melodies on beautiful instruments.
།ཕྱོགས་བཅུའི་རྒྱལ་བ་དམ་པ་དག་གི་མཐུ་ཡིས་ནི། ||| At that moment, by the power of the victorious ones in the ten directions,
།ཚིགས་བཅད་རྣམ་པ་སྣ་ཚོགས་རྣམ་མང་འདི་དག་བྱུང་། ||| These many verses can be heard, in all their diversity:
།རྟག་ཏུ་མགོན་མེད་གྱུར་པའི་འགྲོ་བ་འདི་མཐོང་ནས། །གོ་འཕང་མྱ་ངན་མེད་མཆོག་རྡུལ་མེད་སངས་རྒྱས་ཏེ། །སྐྱེ་དང་རྒ་དང་སྡུག་བསྔལ་དག་ལས་དགྲོལ་ལོ་ཞེས། །དཔའ་བོ་ཁྱོད་སྔོན་སྨོན་ལམ་དེ་སྐད་བཏབ་པར་གྱུར། ||| “Seeing the beings who are forever without protector, Hero, you made the following promise: ‘I will awaken to the supreme state without old age or grief So that I can deliver all beings from death, old age, and other sufferings.’
།དེ་ཕྱིར་དགེ་མྱུར་གྲོང་ཁྱེར་མཆོག་འདི་ནས། ||| “Therefore, Virtuous One, quickly leave this fine city
།བྱུང་ལ་སྔོན་གྱི་དྲང་སྲོང་ཞབས་བཅགས་པ། ||| And practice the conduct of previous sages.
།ས་ཕྱོགས་དེ་ནི་རབ་ཏུ་མནན་ནས་སུ། ||| When you reach the right place on the earth,
།རྒྱལ་བའི་ཡེ་ཤེས་མཚུངས་མེད་འཚང་རྒྱར་གྱིས། ||| You shall awaken to the incomparable wisdom of the victorious ones.
།ཁྱོད་ཀྱིས་སྔོན་ཆད་སྣ་ཚོགས་རིན་ཆེན་ནོར། ||| “In the past you gave away your exquisite wealth and riches,
།རྐང་ལག་ཕངས་པའི་ལུས་ཀྱང་བཏང་བར་གྱུར། ||| And even your hands, feet, and dear body.
།དྲང་སྲོང་ཆེན་པོ་དི་རིང་ཁྱོད་དུས་འདི། ||| Great Sage, now is your time;
།ཆོས་ཀྱི་ཆུ་བོ་མཐའ་ཡས་འགྲོ་ལ་ཕྱེ། ||| Open up the limitless river of Dharma for sentient beings.
།ཁྱོད་ཀྱི་ཚུལ་ཁྲིམས་མ་ཉམས་དྲི་མེད་དགེ། ||| “Your stainless and virtuous discipline has never been broken;
།སྔོན་ཆད་ཁྱོད་ནི་རྟག་ཏུ་མཆོག་གིས་བརྒྱན། ||| Until now you have always been adorned by the best qualities.
།དྲང་སྲོང་ཆེན་པོ་ཁྱོད་ཁྲིམས་འདྲ་བ་མེད། ||| Great Sage, no one has discipline like you.
།འགྲོ་བ་ཉོན་མོངས་རྣམ་པ་མང་ལས་ཁྲོལ། ||| Now you must free beings from their many afflictions.
།ཁྱོད་ཀྱིས་སྲིད་པ་བརྒྱར་ནི་བཟོད་པ་སྤྱད། ||| “For hundreds of lives you trained in forbearance;
།ཁྱོད་ནི་འགྲོ་བས་ངན་བརྗོད་རྣམ་མང་བཟོད། ||| You had patience with all kinds of evil words from others;
།བཟོད་པས་བཟོད་ཅིང་དུལ་བས་དེས་པའི་བདག །རྐང་གཉིས་དབང་པོ་མངོན་པར་འབྱུང་བློ་གྱིས། ||| Through patience you are forbearing, self-controlled, and at ease. Lord of Men, now you must decide to depart from home.
།ཁྱོད་བརྩོན་བརྟན་ཞིང་མི་གཡོ་གཡོ་བ་མེད། །བདེ་བར་གཤེགས་པ་སྔོན་མཐར་རྒྱ་ཆེན་གྱུར། ||| “Your diligence is firm, steadfast, and unshakable; Well-Gone One, you are great from beginning to end.
།གཡོན་ཅན་བདུད་ནི་སྡེ་དང་བཅས་བཏུལ་ཏེ། ||| Virtuous One, you will tame Māra, the evil one, and his army,
།ངན་སོང་གསུམ་པོ་མཐའ་དག་སྐམས་པར་གྱིས། ||| And dry up the entire three lower realms.
།གང་ཕྱིར་ཁྱོད་ཀྱིས་བརྟུལ་ཞུགས་དཀའ་ཐུབ་སྤྱད། ||| “This is why you have practiced disciplined conduct and austerities—
།དུས་ངན་ཉོན་མོངས་སྙིགས་མ་བསྲེགས་གྱིས་ལ། ||| To burn the afflictions of these evil and degenerate times.
།ཁྱོད་ཀྱིས་བདུད་རྩི་ཆུ་བོའི་ཆར་ཕོབ་སྟེ། །མགོན་མེད་རིང་ནས་སྐོམ་པ་ཚིམ་པར་གྱིས། ། ||| Now let a rain of nectar fall To soothe the thirst of those who for so long have had no protector.
འཆི་མེད་མྱ་ངན་མེད་གནས་སངས་རྒྱས་ཏེ། །སྐོམ་པས་ཉམ་ཐག་བདུད་རྩིས་ཚིམ་བྱ་ཞེས། །ཁྱོད་ཀྱིས་སྔོན་སྨྲས་ཚིག་མཆོག་དྲན་བྱོས་ཏེ། །གྲོང་ཁྱེར་དམ་པ་འདི་ནས་མྱུར་དུ་བྱུང་། ||| “Now remember your supreme vow from the past: ‘I will leave behind this beautiful town, Quickly attain the state without death or sorrow, And satisfy those who suffer from thirst with the nectar of immortality.’
།ཁྱོད་ནི་ཤེས་རབ་མཆོག་གི་སྤྱོད་པ་མཁས། ||| “You are skilled in the supreme actions of knowledge;
ཁྱོད་ཀྱི་ཡེ་ཤེས་མཐའ་ཡས་དྲི་མེད་ཆེ། །རྨོངས་པ་ཡིད་གཉིས་ལམ་ལ་གནས་རྣམས་ལ། །ཤེས་རབ་འོད་དགེ་དམ་པ་མཛེས་པར་གྱིས། ||| Your wisdom is vast and limitless. So now, Virtuous One, shine the beautiful light of knowledge On those who are caught in delusion and doubt.
།ཁྱོད་ཀྱིས་སྲིད་པ་བརྒྱར་ནི་བྱམས་པ་སྤྱད། ||| “For hundreds of lives you have trained in love,
།སྙིང་རྗེ་དང་ནི་དགའ་མཆོག་བཏང་སྙོམས་དང་། ། ||| As well as compassion, joy, and equanimity.
ཁྱོད་ཀྱིས་སྤྱོད་པ་དམ་པ་གང་སྤྱད་པ། །སྤྱོད་པ་དེ་ཉིད་འགྲོ་ལ་རྣམ་པར་ཕྱེ། ||| All those perfect acts that you have performed, You must now share with sentient beings.”
།ཕྱོགས་བཅུའི་རྒྱལ་བ་དག་གི་གཟི་བརྗིད་ཀྱིས། ||| Through all the splendor of the victorious ones in the ten directions,
།ཡོན་ཏན་མེ་ཏོག་སྣ་ཚོགས་ཚིགས་བཅད་འདི། ||| These verses, the wonderful blossoms of qualities, come about.
།སིལ་སྙན་དག་ལས་རྣམ་མང་ཡིད་འོང་གྲག །མལ་ན་འདུག་པའི་གཞོན་ནུ་དེ་ལ་སྐུལ། ||| Through music they reverberate beautifully, Encouraging the youth who rests on his couch.
།གང་གི་ཚེ་ན་དག་བུད་མེད་རབ་ཏུ་དགའ་བ་རྣམས། ||| At that time the joyful maidens who bring pleasure,
།ཤིན་ཏུ་མཛེས་ཤིང་རབ་ཏུ་སྙན་པའི་སིལ་སྙན་སྒྲོགས་པའི་ཚེ། ||| Beautiful as they are, play melodious tunes.
།ཕྱོགས་བཅུ་དག་གི་རྒྱལ་བ་ལྷ་མི་འདུལ་བ་མཛད་རྣམས་ཀྱང་། ||| At the same time the victorious ones in the ten directions, who tame gods and humans,
།སིལ་སྙན་དག་ལས་གསུང་མཆོག་ཧ་ཅང་མི་ཆེ་རྗེས་སུ་སྒྲོག །འགྲོ་ལ་ཕན་བྱེད་ཡོན་ཏན་མང་པོ་ལྡན་ཁྱོད་འགྲོ་རྣམས་སུ། ||| Let this perfect speech be heard through the instruments in a pleasant sound: “You, who benefit beings and possess many qualities,
།རྣམ་པར་རྒྱུ་བའི་ཚེ་ན་རྒྱལ་བའི་ཡོན་ཏན་གཉུག་མར་བྱས། ||| Have made the virtues of the victorious ones your own as you traveled the paths.
།སྔོན་གྱི་བརྟུལ་ཞུགས་དཀའ་ཐུབ་སྤྱད་པ་དེ་དག་དྲན་གྱིས་ཏེ། ||| Remember your past disciplined conduct and austerities;
།ཤིང་མཆོག་དྲུང་དུ་མྱུར་སོང་འཆི་མེད་གོ་འཕང་ཐོབ་པར་གྱིས། ||| Quick, go to the supreme tree and attain the state of immortality.
།ལྷ་མི་དག་ནི་ཤིན་ཏུ་སྐོམ་ཞིང་རྒྱལ་བའི་ཡོན་ཏན་བྲལ། ||| “Gods and humans are thirsty, lacking the qualities of the victorious ones;
།ཁྱོད་ནི་ཤིན་ཏུ་སྟོབས་ལྡན་བདུད་རྩིའི་རོ་བྲོ་རྟག་ཏུ་སྦྱིན། ||| Yet your resolve equals the task, so grant them the nectar of immortality.
།སྟོབས་བཅུའི་རོ་བྲོ་དམ་པ་མཁས་པ་རྣམས་ཀྱིས་མཆོད་བྱས་པ། ||| You possess the features of the ten powers, and all learned ones venerate you.
།བདུད་རྩི་དེ་ནི་མི་བདག་ཁྱོད་ཀྱིས་མྱུར་དུ་རྣམ་པར་ཕྱེ། ||| Quick, Lord of Men, dispense that nectar.
།རྒྱལ་བའི་ཡོན་ཏན་འགྲོ་ལ་ཕན་པ་བྱེད་ལ་དགའ་བ་པོ། ||| “You, Benefactor of the World, delight in the qualities of the victorious ones.
།ཁྱོད་ཀྱིས་སྔོན་གྱི་སྲིད་པར་ནོར་དང་ནོར་བུ་གསེར་རྣམས་བཏང་། ||| In your past lives you gave away your wealth, jewels, and gold;
།ཆུང་མ་བུ་སྡུག་དག་དང་གྲོང་ཁྱེར་གྲོང་རྡལ་བཅས་པ་དང་། །རང་གི་མགོ་དང་མིག་དང་ལག་པ་དག་དང་རྐང་པའང་བཏང་། ||| Your beloved wife and children; your land, cities, and villages; And even your own head, eyes, hands, and feet.
།མི་མཆོག་ཁྱོད་ནི་གནའ་སྔོན་རྒྱལ་པོ་དགེ་བར་གྱུར་པའི་ཚེ། ||| “O Best of Men, in former times you were a virtuous king.
།མི་ཞིག་ཁྱོད་ལ་མངོན་དུ་ཕྱོགས་ནས་འདི་སྐད་ཚིག་སྨྲས་ཏེ། ||| When a person came before you and said,
།གྲོང་ཁྱེར་གྲོང་རྡལ་བཅས་པའི་ས་འདི་ཁོ་ལ་བྱིན་ཞེས་བྱས། ||| ‘Please give me this land with its cities and villages,’
།དེ་ཡི་ཚེ་ན་རབ་ཏུ་དགའ་ཞིང་འཁྲུགས་པར་གྱུར་པ་མེད། ||| You gave it away with a happy and undisturbed mind.
།གནའ་སྔོན་ཁྱོད་ནི་རྒྱལ་པོའི་བྲམ་ཟེ་དགེ་བར་གྱུར་པའི་ཚེ། ||| “In former times you were a personal priest to a king;
།སྐྱེ་བོ་བླ་མ་བསྙེན་བཀུར་བྱེད་ཅིང་གཞན་ལ་འཁུ་མི་བྱེད། ||| You attended upon the masters and caused no harm to anyone.
།བྲམ་ཟེ་དམ་པ་དག་དང་སྐྱེ་བོ་མང་པོ་དགེ་ལ་བཀོད། ||| Best among priests, you established many ordinary beings in virtue;
།དེ་ནས་ཤི་འཕོས་སྲིད་པའི་འགྲོ་བ་ལྷ་ཡི་གནས་སུ་སྐྱེས། ||| After you died you were reborn in the divine realms.
།སྔོན་ཁྱོད་རྒྱལ་པོའི་བུ་ལས་དྲང་སྲོང་དམ་པར་གྱུར་པའི་ཚེ། ||| “Prince, in the past you were a perfect sage.
།རྒྱལ་པོ་ངན་པ་ཁྲོས་པས་ཁྱོད་ཀྱི་ཡན་ལག་བཅད་པ་ན། ||| At that time an evil king cut off your limbs in anger,
།ཁྱོད་ནི་ཡིད་འཁྲུགས་གྱུར་པ་མེད་པར་འཆི་བའི་དུས་བྱས་ཏེ། ||| Yet your mind remained undisturbed and you performed your caste duties.
།དེ་ཡི་ཚེ་ན་ཁྱོད་ཀྱི་རྐང་ལག་དག་ལས་འོ་མ་ཟག ། ||| At that time milk flowed from your arms and legs.
ཁྱོད་སྔོན་དྲང་སྲོང་སྔོ་བསངས་ཞེས་བྱར་གང་ཚེ་གྱུར་པ་ན། ||| “In the past you were a sage’s son known as Śyāma;
།རི་མཆོག་གནས་ན་བརྟུལ་ཞུགས་དགའ་ཞིང་བླ་མ་ལ་ཡང་དགའ། ||| In the fine shelter of the mountains, you delighted in your difficult discipline.
།མི་ཡི་བདག་པོས་དུག་མདའ་དག་གིས་ཁྱོད་ལ་བསྣུན་པ་ན། ||| Yet when a ruler pierced you with his poisonous arrows,
།ཁྱོད་ནི་རྒྱལ་པོ་དེ་ལ་ཡིད་འཁྲུགས་མེད་ཅིང་སྙིང་བརྩེར་གྱུར། ||| You were not disturbed, and only felt pity for him.
།ཁྱོད་སྔོན་རི་དགས་བདག་པོ་ཡོན་ཏན་ཅན་དུ་གྱུར་པའི་ཚེ། ||| “In the past, O Receptacle of Qualities, when you were a leader of a pack of deer,
།རི་གཟར་འབབ་ཆུ་ཆེན་པོས་མི་ཞིག་ཁྱེར་བར་གྱུར་པ་ན། ||| A hunter was carried off by a raging mountain torrent. Wishing to help, you carried him to dry land.
།ཕན་དང་ལྡན་པ་ཁྱོད་ཀྱིས་མི་དེ་ཕྱུང་སྟེ་ཐང་ལ་བཞག །ཁྱོད་ཀྱི་དགྲ་བོ་ཁྲིད་དེ་འོངས་པ་ན་ཡང་ཡིད་མ་འཁྲུགས། ||| Even as you brought your enemy to safety, you remained calm.
།མི་མཆོག་ཁྱོད་སྔོན་བྲམ་ཟེའི་བུར་ནི་གང་ཚེ་གྱུར་པ་ན། ||| “Perfect Man, in previous times you were born as the son of a priest.
།ཁྱོད་ཀྱི་ནོར་བུ་རྒྱ་མཚོ་ཆེན་པོ་ཡངས་པར་ལྷུང་བའི་ཚེ། ||| When your gem fell in the ocean,
།ཁྱོད་ཀྱིས་རྒྱ་མཚོ་ཆེན་པོ་ཟད་པར་བྱ་བར་བརྩམས་པ་དང་། །སྟོབས་བརྟན་ཁྱུ་མཆོག་ཁྱོད་ཀྱི་ནོར་བུ་དེ་ཚེ་ཕྱིར་ཡང་རྙེད། ||| You dried out the ocean. As the strong and firm leader of human beings, you recovered the valuable gem.
།སྐྱེས་བུ་མཆོག་ཁྱོད་གནའ་སྔོན་དྲང་སྲོང་དམ་པར་གྱུར་པའི་ཚེ། ||| “Perfect Being, in times past you were born as a holy sage.
།བྲམ་ཟེ་ཞིག་གིས་བདག་གི་སྐྱབས་གྱུར་ཤོག་ཅེས་ཁྱོད་གན་འོངས། ། ||| Once when a priest approached you, saying, ‘Please give me your protection,’
སྨྲས་པ་བྲམ་ཟེ་དམ་པ་ཁོ་བོ་དགྲ་ལས་བྱུང་ཞེས་བྱས། ||| Sage, you told him, ‘Venerable priest, I will rid you of the enemy.’
།ཁྱོད་ཀྱིས་རང་ལུས་བཏང་གིས་བྲམ་ཟེ་དེ་ནི་མ་བཏང་ངོ་། ||| You gave away your body, while the priest kept his.
།གནའ་སྔོན་ཤིང་གི་གནས་སུ་དྲང་སྲོང་སྔོ་བསངས་དྲུང་འོངས་ཏེ། ||| “In the past you approached the sage Śyāma at his place by the tree;
།འདོད་པས་སྨྲས་པ་ཤིང་འདི་ལོ་མ་དུ་ཡོད་གྲོངས་ཞེས་བྱས། ||| He asked you how many leaves were on the tree.
།ཤིང་དེ་ལོ་མ་ཇི་སྙེད་ཡོད་པ་རབ་བགྲངས་རབ་མཁས་པས། ||| With your skill you counted the leaves accurately
།ཁྱོད་ཀྱིས་དེ་བཞིན་ནོར་པ་མེད་ཅིང་འཐུན་པར་ཚིག་ཏུ་བརྗོད། ||| And told him the exact number.
།ཁྱོད་སྔོན་ནེ་ཙོ་ཡོན་ཏན་ལྡན་གྱུར་ཤིང་ལ་གནས་པའི་ཚེ། ||| “Previously you were a virtuous, quick-darting parrot that lived in a tree;
།ཟད་པར་གྱུར་ཀྱང་སྔོན་གྱི་དྲིན་ལ་བསམས་ཏེ་དེ་མ་སྤངས། ||| Although the tree died, you remained, remembering its kindness.
།ལྷ་ཡི་བདག་པོས་ཁྱོད་ཀྱི་ཡོན་ཏན་དྲན་ནས་རབ་ཏུ་དགའ། ||| The king of gods saw your virtues and rejoiced;
།སྔ་མཁོ་བཞིན་དུ་ཤིང་མཆོག་དེ་ནི་དཔལ་དང་ལྡན་པར་བྱས། ||| He restored the perfect tree to its former glory.
།ཁྱོད་ཀྱི་བརྟུལ་ཞུགས་དཀའ་ཐུབ་སྤྱད་པ་དེ་དག་མཚུངས་མེད་དེ། ||| “Your disciplined conduct and austerities are beyond compare;
།ཡོན་ཏན་ལྡན་པ་ཡོན་ཏན་ལམ་ལ་སྤྱད་པས་ཡོན་ཏན་མང་། ||| You are a receptacle of virtue, rich in qualities, treading the path of virtue.
།ཁྱོད་ཀྱི་དུས་ལ་ད་བབ་གྲོང་ཁྱེར་བཅས་པའི་ས་ཡང་ཐོང་། ||| Your time has come to abandon your city and your land;
།འགྲོ་བ་དག་ནི་རྒྱལ་བའི་ཡོན་ཏན་སྤྱོད་ལ་མྱུར་དུ་ཁོད། ||| Quick, establish beings in the virtuous actions of the victorious ones.”
།གང་གི་ཚེ་ན་བུད་མེད་རིན་ཆེན་བཟང་པོའི་གོས་ཀྱིས་ལུས་བརྒྱན་ཏེ། ||| When gems of playful women, exquisitely dressed, their bodies adorned,
།སིལ་སྙན་དམ་པ་མཆོག་རབ་ཡིད་དུ་འོང་བའི་སྒྲ་ནི་རབ་སྒྲོག་པ། ||| Play sweet music on the best of instruments,
།དེ་ཚེ་ཕྱོགས་བཅུའི་རྒྱལ་བའི་གཟི་ཡིས་ཚིགས་སུ་བཅད་པ་སྣ་ཚོགས་པ། ||| Then, by the glory of the victorious ones in the ten directions,
།སྒྲ་དབྱངས་སྙན་པ་འདི་དག་སིལ་སྙན་དག་གི་སྒྲ་ལས་རབ་ཏུ་བྱུང་། ||| These wonderful verses emerge from the beautiful sounds of the instruments:
།རྒ་དང་ཤི་བས་ཟིན་པའི་འཇིག་རྟེན་དག་ལ་བདག་ནི་སྐྱབས་གྱུར་ཅེས། ||| “You vowed, ‘I will be the protector of the world plagued by old age and death.’
།འཇིག་རྟེན་སྒྲོན་མ་ཁྱོད་ཀྱིས་བསྐལ་མང་སྔ་རོལ་སྨོན་ལམ་དེ་སྐད་བཏབ། ||| Light of the World, in times past, for many eons, you have made this wish.
།མི་ཡི་སེང་གེ་ཁྱོད་ཀྱིས་སྔོན་གྱི་སྨོན་ལམ་དག་ནི་དྲན་གྱིས་ཤིག །རྐང་གཉིས་དབང་པོ་ཁྱོད་ད་མངོན་པར་འབྱུང་བའི་དུས་ནི་འདི་ཡིན་ནོ། ||| Lion of Men, remember your past aspirations; Lord of Men, this is your time for renouncing your home.
།ཁྱོད་འདིར་སྲིད་པ་ཁྲག་ཁྲིག་དག་ཏུ་སྦྱིན་པ་མང་པོ་དུ་མ་བྱིན། ||| “For billions of lives, you generously made many lavish gifts,
།ནོར་དང་རིན་པོ་ཆེ་དང་གསེར་དང་གོས་བཟང་རིན་ཆེན་སྤྲས་པ་དང་། །རྐང་ལག་དག་དང་མིག་དང་ཕངས་པའི་བུ་དང་རྒྱལ་སྲིད་འབྱོར་པ་དག །ཁྱོད་ཀྱིས་བཏང་ཡང་ཁྱོད་ནི་སློང་བ་རྣམས་ལ་ཐ་བ་ཞེ་སྡང་མེད། ||| Giving away your wealth, gems, gold, fine cloth, a variety of jewels, Your hands, feet, eyes, your beloved child, and the wealth of your kingdom. Still you never had any resentment or anger for those who took it.
།ཁྱོད་འདིར་ཟླ་བའི་ཏོག་དང་མཆེ་བ་བཟང་དང་རྒྱལ་པོ་ཞི་བར་གྱུར། ||| “You, Śaśiketu, have been a peaceful king with fine teeth,
།སྙིང་བརྩེ་སྙིང་རྗེའི་ཡིད་དང་ཟླ་བའི་སྒྲོན་དང་གཙུག་ན་ནོར་བུར་གྱུར། ||| Loving and compassionate, with a crown jewel shining like the moon.
།རྒྱལ་པོ་དཔའ་བོ་བརྟན་དང་མིག་བཟངས་དང་ནི་དེ་ལ་སོགས་པ་བྱས། ||| Such were your main deeds, mighty hero with the beautiful eyes of a king.
།རྒྱལ་པོ་ཁྲག་ཁྲིག་མང་པོ་སྦྱིན་དགའ་རྣམ་པར་འཕྲུལ་པ་དེ་ཉིད་ཁྱོད། ||| As a king, for billions of years you have practiced generosity gladly.
།བདེ་བར་གཤེགས་པ་ཁྱོད་ཀྱིས་བསྐལ་པ་མང་པོར་ཚུལ་ཁྲིམས་སྤྱོད་པ་སྤྱད། ||| “Thus-Gone One, for many eons you have practiced discipline.
།ནོར་བུ་རིན་ཆེན་དྲི་མ་མེད་པ་ལྟ་བུར་ཚུལ་ཁྲིམས་རྣམ་དག་གྱུར། ||| Like a stainless jewel, your discipline has been pure;
