འཕགས་པ་འཇིག་རྟེན་འཛིན་གྱིས་ཡོངས་སུ་དྲིས་པ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Sūtra The Inquiry of Lokadhara
འདི་ལྟ་སྟེ། འཇིག་རྟེན་དང་འཇིག་རྟེན་ལས་འདས་པ་དང་། འདུས་བྱས་དང་འདུས་མ་བྱས་པ་དང་། དབང་དང་དབང་མ་ཡིན་པ་དང་། སྤྱོད་པ་ལ་འཇུག་པ་དང་། དོན་དམ་པ་དང་ཀུན་རྫོབ་ཀྱི་དོན་དང་། ངེས་པའི་དོན་གྱི་མདོ་སྡེ་དང་། བཀྲི་བའི་དོན་གྱི་མདོ་སྡེ་དང་། རྟེན་ཅིང་འབྲེལ་ཏེ་འབྱུང་བའི་རྣམ་པར་གྲོལ་བའི་མདོ་སྡེ་ཟབ་མོ་འདི་ལས་བརྗོད་པ་ཐམས་ཅད་ལ་བརྩོན་པར་བྱའོ། ། ||| [“Therefore, Lokadhara, bodhisattva great beings who wish to understand the function of the elements ]should exert themselves in [such extremely profound, indescribable, and unobservable discourses as these, which teach the understanding and knowledge of all elements, describe all elements to be beyond words and beyond formation, teach the means and insight related to all elements, teach how the elements are dependently originated, and, moreover, express the true reality of all phenomena.] Such bodhisattvas should exert themselves, namely, in all the statements of the profound discourses that teach worldliness and transcendence, the conditioned and unconditioned, what it is to be fettered and not fettered, the aim of practice, and the meaning of the relative and the ultimate, along with discourses on the definitive meaning, discourses on the inferred meaning, and the liberating discourses on dependent origination.”
ཁམས་བཅྭ་བརྒྱད་ཅེས་བྱ་བའི་ལེའུ་སྟེ་གསུམ་མོ།། །། ||| This was chapter three:“ The Eighteen Elements .”
བཅོམ་ལྡན་འདས་ཀྱིས་འཇིག་རྟེན་འཛིན་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One continued addressing Lokadhara:
དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྐྱེ་མཆེད་བཅུ་གཉིས་ལ་མཁས་པ་ཞེ་ན། ||| “How are bodhisattva great beings knowledgeable about the twelve sense sources?
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་སྐྱེ་མཆེད་བཅུ་གཉིས་རྣམ་པར་འབྱེད་ཅིང་ཡང་དག་པར་རྟོག་པ་ན་འདི་སྙམ་དུ་མིག་ལ་མིག་གི་སྐྱེ་མཆེད་དམིགས་སུ་མེད། ||| When discerning the twelve sense sources, they think, ‘The eye sense source cannot be observed in the eye.
མིག་ལ་མིག་གི་སྐྱེ་མཆེད་དུ་ངེས་པ་མེད་དོ། ། ||| In the eye, there is no definitive eye sense source.
མིག་གི་སྐྱེ་མཆེད་ཀྱང་དངོས་པོར་དམིགས་སུ་མེད་དོ། ། ||| The eye sense source cannot be observed to be an entity.’
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
མིག་གི་སྐྱེ་མཆེད་ནི་རྐྱེན་མང་པོ་ལས་སྐྱེས་པ་ཕྱིན་ཅི་ལོག་ལས་བྱུང་བའོ། ། ||| The eye sense source is born from many causes and conditions and arises through mistaken perception.
གཟུགས་ལ་དམིགས་པའི་ཕྱིར་གཟུགས་ལ་རག་ལུས་པ་སྟེ། ||| It depends upon form, because it observes form.
གཉིས་ཕྲད་པ་ལས་གཟུགས་ཀྱི་རྐྱེན་གྱིས་མིག་གི་སྐྱེ་མཆེད་ཀྱི་རྐྱེན་ཡོད་པར་གྱུར་ཏེ། ||| When the two meet, the condition of form brings the condition of the eye sense source into existence.
གཟུགས་དང་མིག་གི་སྐྱེ་མཆེད་གཉིས་གཅིག་ལ་གཅིག་ལྟོས་པའི་ཕྱིར་མིག་གི་གཟུགས་ཞེས་བཤད་དོ། ། ||| Because the form and eye sense sources are mutually dependent, they are collectively called the eye’s form .
མིག་དང་གཟུགས་ཞེས་བྱ་བ་གཟུགས་ནི་མིག་གི་སྐྱེ་མཆེད་འབྱུང་བར་བྱེད་པའི་སྒོ་ཡིན་ལ་མིག་ཀྱང་གཟུགས་ཀྱི་སྐྱེ་མཆེད་འབྱུང་ཞིང་སྣང་བར་བྱེད་པས་ ||| Regarding the so-called eye and form , form is the gateway through which the eye sense source is generated, and the eye also generates and illuminates the form sense source.
དེ་བས་ན་སྐྱེ་མཆེད་ཀྱང་གཟུགས་ཀྱི་རྐྱེན་གྱིས་སྐྱེ་མཆེད་ཀྱི་སྒོ་ཞེས་བཏགས་པས་མིག་གི་སྐྱེ་མཆེད་ཅེས་བྱ་བ་སྟེ། ||| Therefore, with regard to the sense sources, the eye sense source is so-called because it is labeled a sense source gateway via the condition of form and
མིག་གིས་མཐོང་བའི་ཕྱིར་གཟུགས་ཀྱི་སྐྱེ་མཆེད་ཅེས་བྱའོ། ། ||| the form sense source is so-called because it is seen by the eye.
ཀུན་རྫོབ་ཏུ་ཡོད་པར་གསུངས་ཀྱི་ ||| While I teach that they do exist relatively,
མིག་ཀྱང་གཟུགས་ལ་མི་གནས། ||| the eye does not exist in form,
གཟུགས་ཀྱང་མིག་ལ་མི་གནས། ||| form does not exist in the eye,
མིག་མིག་ལ་མི་གནས། ||| the eye does not exist in the eye, and
གཟུགས་ཀྱང་གཟུགས་ལ་མི་གནས་ཏེ། ||| form does not exist in form.
རྐྱེན་མང་པོ་ལས་གཟུགས་སུ་དམིགས་པ་བྱུང་བས་མིག་གི་སྐྱེ་མཆེད་ཅེས་བཏགས་སོ། ། ||| The eye sense source is thus labeled because observation of form arises from many conditions.
གཞན་ཡང་རྟེན་ཅིང་འབྲེལ་ཏེ་བྱུང་བ་ལས་མིག་གི་ཤེས་པ་དང་། མཐོང་བའི་མཚན་ཉིད་སྐྱེ་བས་གཟུགས་ཀྱི་སྐྱེ་མཆེད་ཅེས་བཏགས་སོ། ། ||| Additionally, the form sense source is thus labeled because the eye consciousness and the characteristic of sight arise through dependent origination.
ཇི་ལྟར་ན་ཀུན་རྫོབ་ཏུ་ཕྱིན་ཅི་ལོག་ཏུ་བཤད་པའི་ཟླས་དོན་དམ་པར་མིག་གི་སྐྱེ་མཆེད་དམིགས་སུ་མེད་ཅིང་གཟུགས་ཀྱི་སྐྱེ་མཆེད་དམིགས་སུ་མེད་པ་བསྟན་པ་ཞེ་ན། ||| “How is it that, contrary to what is mistakenly claimed on the relative level, ultimately, the eye sense source and the form sense source are both taught to be unobservable?
མཁས་པ་དག་ནི་སྐྱེ་མཆེད་རྣམས་བཙལ་ན་ཡང་དག་པར་ཡོད་པར་མི་མཐོང་སྟེ། ||| When the wise seek the sense sources, they do not see them as truly existent.
བུས་པ་སོ་སོའི་སྐྱེ་བོ་བློ་ཕྱིན་ཅི་ལོག་ཏུ་གྱུར་པ་དག་ནི་མིག་གི་སྐྱེ་མཆེད་དང་། གཟུགས་ཀྱི་སྐྱེ་མཆེད་མཚན་མ་གཉིས་སུ་འཆད་དོ། ། ||| Childish ordinary beings with mistaken perception speak of the eye sense source and the form sense source as two entities.
མིག་གི་སྐྱེ་མཆེད་དང་། གཟུགས་ཀྱི་སྐྱེ་མཆེད་དེ་ཉིད་ཡང་དག་པ་མ་ཡིན་པའི་སྐྱེ་མཆེད་བསྟན་པའོ། ། ||| I have taught that the eye sense source and the form sense source are false sense sources.
ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་ཆོས་རྣམས་ཀྱི་དེ་ཁོ་ནའི་མཚན་ཉིད་ཤེས་པར་བྱ་བའི་ཕྱིར་སྐྱེ་མཆེད་རྣམས་ནི་རྟེན་ཅིང་འབྲེལ་ཏེ་བྱུང་བ་ཕྱིན་ཅི་ལོག་ཏུ་མངོན་པར་འབྱེད་པ་དང་ལྡན་པ་ལས་བྱུང་སྟེ ||| In order to bring about an accurate understanding of the true characteristics of phenomena, I have said that the sense sources arise due to dependent origination, in association with delusion; and thus,
སྐྱེ་མཆེད་ཀྱི་མཚན་ཉིད་དུ་ཡང་དག་པར་དམིགས་སུ་མེད་དོ། ། ||| the characteristic of sense sources cannot be truly observed therein.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
མིག་གི་སྐྱེ་མཆེད་དང་གཟུགས་ཀྱི་སྐྱེ་མཆེད་ནང་ན་མི་གནས། ཕྱི་རོལ་ན་མི་གནས། གཉི་གའི་བར་ན་མི་གནས་སོ། ། ||| The eye and form sense sources do not exist internally, externally, or somewhere in-between.
མིག་གི་སྐྱེ་མཆེད་དང་། གཟུགས་ཀྱི་སྐྱེ་མཆེད་འདས་པ་མ་ཡིན། མ་འོངས་པ་མ་ཡིན། ད་ལྟར་གྱི་མ་ཡིན་ཏེ། ||| The eye and form sense sources are not past, present, or future.
འོན་ཀྱང་ད་ལྟར་གྱི་རྒྱུ་དང་རྐྱེན་འདུས་པ་ལས་གཟུགས་སུ་ཤེས་པས་མིག་གི་སྐྱེ་མཆེད་དུ་བརྗོད་དེ། ||| However, since form is perceived due to a gathering of causes and conditions in the present moment, it is called the eye sense source ;
བུས་པ་སོ་སོའི་སྐྱེ་བོ་དག་སྤྱོད་པ་བཞིན་ནོ། ། ||| this accords with what is experienced by childish ordinary beings.
མཁས་པ་དག་ནི་སྐྱེ་མཆེད་རྣམས་ཡང་དག་པ་མ་ཡིན་པ་ཅིའང་མེད་པ། རྣམ་པར་བརྟགས་པའི་ཕྱིན་ཅི་ལོག་ལས་བྱུང་བར་ཁོང་དུ་ཆུད་པས་སྐྱེ་མཆེད་མ་ཡིན་པ་ནི་སྐྱེ་མཆེད་དུ་མཐོང་ཞིང་ཤེས་སོ། ། ||| By understanding that the sense sources are false, nonexistent, and arisen from mistaken imputation, the wise see and understand that the sense sources are not sense sources.
སྐྱེ་མཆེད་ཀྱི་མཚན་ཉིད་མི་བརྗོད་ཅིང་སྐྱེ་མཆེད་ལ་མཚན་ཉིད་ངེས་པ་མེད་དོ། ། ||| They do not speak of the characteristics of the sense sources, and they understand that the sense sources have no fixed characteristics, yet
རྟེན་ཅིང་འབྲེལ་ཏེ་འབྱུང་བར་དེ་བཞིན་གཤེགས་པས་གསུངས་སོ། ། ||| the wise teach them to be dependently originated.
དེ་དག་ནི་སྐྱེ་མཆེད་དུ་མཐོང་བ་དང་ཤེས་པ་ཞེས་བྱའོ། ། ||| The Thus-Gone One has said that these sense sources are known and understood;
འདི་ལྟ་སྟེ། སྐྱེ་མཆེད་རྣམས་ནི་ཡང་དག་པ་མ་ཡིན་པ། ཅིའང་མེད་པ། རྒྱུ་དང་རྐྱེན་ལ་རག་ལུས་པ། ཕྱིན་ཅི་ལོག་དང་ལྡན་པའི་འདུ་བྱེད་ལས་བྱུང་བའོ། ། ||| namely, that the sense sources are false, nonexistent, dependent upon causes and conditions, and arisen from mistaken formations.
སྐྱེ་མཆེད་ནི་བྱས་པ་མེད་པ། བྱེད་པ་མེད་དེ། ||| The sense sources are uncreated and devoid of agent.
མིག་གི་སྐྱེ་མཆེད་གཟུགས་ཀྱི་སྐྱེ་མཆེད་དུ་རྣམ་པར་མི་རྟོག །གཟུགས་ཀྱི་སྐྱེ་མཆེད་ཀྱང་མིག་གི་སྐྱེ་མཆེད་དུ་མི་ཤེས་རྣམ་པར་མི་རྟོག་སྟེ། ||| The eye sense source cannot be known or conceived in relation to the form sense source, nor can the form sense source be known or conceived in relation to the eye sense source;
གཉི་གའི་མཚན་མ་དང་བྲལ་བའོ་ཞེས་ཆོས་ཉིད་ཀྱིས་འབྲེལ་པའི་མཚན་ཉིད་ཀྱིས་ན་དེ་ལ་རྣམ་པར་བརྟག་ཅིང་བརྗོད་དུ་མེད་དོ། ། ||| both are devoid of marks. By virtue of the characteristic of being void in reality , the sense sources are beyond investigation and description.
སྐྱེ་མཆེད་ཀྱི་མཚན་ཉིད་ནི་རྟེན་ཅིང་འབྲེལ་ཏེ་འབྱུང་བས་བུས་པས་ཕྱིན་ཅི་ལོག་ཏུ་ཤེས་པ་དང་། འཕགས་པས་ཁོང་དུ་ཆུད་ཅིང་རྟོགས་པ་ཇི་བཞིན་ཏེ། ||| Since the characteristic of the sense sources arises in dependence, childish beings mistakenly apprehend them, while the noble ones correctly understand and know them.
མིག་གི་སྐྱེ་མཆེད་དང་། གཟུགས་ཀྱི་སྐྱེ་མཆེད་ནི་མ་སྐྱེས་པ། མི་འགག་པ། མ་འོངས་པ། མི་འགྲོ་བའི་མཚན་ཉིད་ཡིན་པས་ ||| They know that the eye and form sense sources are characterized as being unborn, unceasing, and without coming or going. Thus,
མིག་གིས་མིག་མི་ཤེས། ||| the eye does not perceive the eye,
མིག་གིས་མིག་ཏུ་རྣམ་པར་མི་རྟོག ། ||| the eye does not conceptualize the eye,
གཟུགས་ཀྱིས་གཟུགས་མི་ཤེས། ||| form does not perceive form, and
གཟུགས་ཀྱིས་གཟུགས་སུ་རྣམ་པར་མི་རྟོག་གོ། ། ||| form does not conceptualize form.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
གཉི་ག་སྟོང་པའི་ཕྱིར་རོ། ། ||| Because both are empty.
གཉི་ག་བྲལ་བའི་ཕྱིར་མིག་གིས་མིག་གི་མཚན་ཉིད་མི་ཤེས། ||| Because both are void, the characteristic of the eye cannot be known via the eye, and
གཟུགས་ཀྱིས་གཟུགས་ཀྱི་མཚན་ཉིད་མི་ཤེས། ||| the characteristic of form cannot be known via form.
མིག་དང་གཟུགས་གཉི་ག་ལ་མཚན་ཉིད་མེད་ཆོས་མེད་དེ། ||| Both eye and form lack characteristics and qualities.
དེ་ལ་ངེས་པའི་མཚན་ཉིད་མེད་པས་ ||| Since they lack true characteristics,
མིག་གིས་མིག་མ་བྱས། ||| the eye is not created by the eye,
མིག་གིས་མིག་ཏུ་མི་ཤེས་སོ། ། ||| the eye cannot be understood by the eye,
གཟུགས་ཀྱིས་གཟུགས་མ་བྱས། ||| form is not created by form, and
གཟུགས་ཀྱིས་གཟུགས་མི་ཤེས་སོ། ། ||| form cannot be understood by form.
གཉི་ག་མེད་པའི་ཕྱིར་མིག་ཀྱང་བདག་གོ་སྙམ་དུ་མི་སེམས། ||| Because both are nonexistent, the eye does not think, ‘I am the eye,’ and
གཟུགས་ཀྱང་བདག་ནི་གཟུགས་སོ་སྙམ་དུ་མི་སེམས། ||| form does not think, ‘I am form.’
མིག་དང་གཟུགས་ཀྱི་བདག་ཉིད་ནི་སྒྱུ་མའི་ངོ་བོ་ཉིད་དེ། ||| The identity of both eye and form is essentially an illusion, and so
ཡང་དག་པ་མ་ཡིན་པའི་བླ་དགས་སུ་མིག་དང་གཟུགས་ཞེས་བརྗོད་དོ། ། ||| eye and form are also synonyms for falsity.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ནི་མིག་གི་སྐྱེ་མཆེད་དང་གཟུགས་ཀྱི་སྐྱེ་མཆེད་ལ་ཇི་ལྟར་རྣམ་པར་འབྱེད་ཅིང་རྟོག་པ་བཞིན་དུ་རྣ་བ་དང་། སྒྲ་དང་། སྣ་དང་། དྲི་དང་། ལྕེ་དང་། རོ་དང་། ལུས་དང་། རེག་བྱ་ཡང་དེ་བཞིན་ནོ། ། ||| Bodhisattvas likewise discern and contemplate ear and sound, nose and odor, tongue and taste, and body and texture in the same manner as the eye and form sense sources.”
འཇིག་རྟེན་འཛིན་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡིད་ཀྱི་སྐྱེ་མཆེད་ལ་རྣམ་པར་འབྱེད་ཅིང་རྟོག་པ་ཞེ་ན། ||| “Lokadhara, how do bodhisattva great beings discern and contemplate the mind sense source?
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡིད་ཀྱི་སྐྱེ་མཆེད་ལ་རྣམ་པར་འབྱེད་ཅིང་རྟོག་པའི་ཚེ་དེ་འདི་སྙམ་དུ་ཡིད་ཀྱི་སྐྱེ་མཆེད་དམིགས་སུ་མེད། ||| When bodhisattva great beings discern and contemplate the mind sense source, they think, ‘The mind sense source is unobservable.
ཡིད་ལ་སྐྱེ་མཆེད་དུ་ངེས་པའི་མཚན་ཉིད་མེད་དེ། ||| There are no true characteristics of a sense source in the mind.
ཡིད་ཀྱི་སྐྱེ་མཆེད་ལ་དངོས་པོ་མེད་པར་སེམས་སོ། ། ||| The mind sense source is insubstantial.’
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
ཡིད་ཀྱི་སྐྱེ་མཆེད་ནི་རྟེན་ཅིང་འབྲེལ་ཏེ་བྱུང་བས་ཕྱིན་ཅི་ལོག་ལས་སྐྱེས་ཏེ། ||| The mind sense source arises from mistaken perception, through the process of dependent origination.
ཆོས་ཀྱི་སྐྱེ་མཆེད་ལ་རག་ལུས་པས་གཉིས་ཕྲད་པ་ལས་བྱ་བ་མེད་པར་འགྱུར་རོ། ། ||| Since it depends upon the mental-object sense source, it performs its function based on the meeting of the two.
ཡིད་ཀྱི་སྐྱེ་མཆེད་ཀྱང་ཆོས་ཀྱི་སྐྱེ་མཆེད་ཀྱི་རྐྱེན་གྱིས་འབྱུང་ལ། ||| The mind sense source occurs because of the condition of the mental-object sense source.
ཆོས་ཀྱི་སྐྱེ་མཆེད་ཀྱི་རྐྱེན་གྱིས་རྣམ་པར་འབྱེད་པར་གྱུར་ཏེ། མཚན་ཉིད་གཉིས་སུ་ཕྱེའོ། ། ||| It is discerned through the condition of the mental-object sense source, and its characteristic is twofold.
ཡིད་ལ་བརྟེན་ནས་ཆོས་ཀྱི་སྐྱེ་མཆེད་ཀྱི་གནས་ཡོད་པར་འགྱུར་ཏེ། ||| The mental-object sense source finds its locus in dependence upon the mind.
ཡིད་ནི་ཆོས་སྐྱེ་ཞིང་མཆེད་པར་བྱེད་པའི་སྒོ་ཡིན་ལ་ ||| Mind is the gateway of the arising and development of mental objects, and
ཆོས་ཀྱི་སྐྱེ་མཆེད་ཀྱང་ཡིད་ཀྱི་སྒོ་ཡིན་ནོ། ། ||| the mental-object sense source is likewise the gateway of the mind.
དེ་བས་ན་ཆོས་ཀྱི་སྐྱེ་མཆེད་ཅེས་གདགས་སོ། ། ||| Therefore, it is termed the mental-object sense source .
ཆོས་ཀྱི་སྐྱེ་མཆེད་ཀྱི་སྒོའི་རྐྱེན་གྱིས་ཡིད་ཀྱི་སྐྱེ་མཆེད་དུ་བརྗོད་དེ། ||| The mind sense source is named as such due to it being the gateway of the mental-object sense source.
ཡིད་ཀྱི་མཚན་ཉིད་ཀྱི་སྒོ་བསྟན་ཅིང་ཤེས་པར་བྱ་བའི་ཕྱིར་ཆོས་ཀྱི་སྐྱེ་མཆེད་ཅེས་བརྗོད་པར་གྱུར་ཏོ། ། ||| The mental-object sense source is taught in order to demonstrate and bring about knowledge of the gateway of the mind’s characteristics.
ཀུན་རྫོབ་ཀྱི་བདེན་པ་ཡང་དག་པར་བཤད་ཀྱི་ ||| Although the relative truth is expressed correctly,
ཡིད་ཀྱང་ཆོས་ལ་མི་བརྟེན་ཆོས་ཀྱང་ཡིད་ལ་མི་བརྟེན་ཏེ། ||| the mind does not rely upon mental objects, and mental objects do not rely upon the mind. Yet,
རྟེན་ཅིང་འབྲེལ་ཏེ་འབྱུང་བས་ཆོས་རྣམས་རྐྱེན་དུ་གྱུར་ཏེ་ཡིད་ཀྱི་སྐྱེ་མཆེད་ཅེས་བཤད་དོ། ། ||| the mind sense source is so-called because it dependently originates, and mental objects are its conditions; while
རྟེན་ཅིང་འབྲེལ་ཏེ་འབྱུང་བ་དང་ཡིད་ཀྱི་མཚན་ཉིད་བསྟན་པའི་ཕྱིར་རོ། །ཆོས་ཀྱི་སྐྱེ་མཆེད་བརྗོད་དེ་ ||| the mental-object sense source is so-called because it demonstrates dependent origination and the characteristics of the mind.
ཀུན་རྫོབ་ཏུ་ཕྱིན་ཅི་ལོག་བཤད་པའི་ཟླས་དོན་དམ་པར་ཡིད་ཀྱི་སྐྱེ་མཆེད་དམིགས་སུ་མེད། ཆོས་ཀྱི་སྐྱེ་མཆེད་དམིགས་སུ་མེད་པར་གསུངས་སོ། ། ||| These are explained according to delusional perception on the relative level, whereas on the ultimate level, the mind sense source and mental-object sense source are said to be unobservable.
མཁས་པ་དག་ནི་སྐྱེ་མཆེད་ལ་རྣམ་པར་བརྟགས་ན་ཡང་དག་པར་ཡོད་པར་མི་མཐོང་ངོ་། ། ||| Upon investigation, the wise do not find the sense sources to be truly existent.
བུས་པ་སོ་སོའི་སྐྱེ་བོ་བློ་ཕྱིན་ཅི་ལོག་ཏུ་གྱུར་པ་དག་ནི་ཡིད་ཀྱི་སྐྱེ་མཆེད་དང་ཆོས་ཀྱི་སྐྱེ་མཆེད་ཅེས་མཚན་མ་རྣམ་པ་གཉིས་སུ་བརྗོད་དོ། ། ||| Childish ordinary beings, with their mistaken perception, talk about the mind sense source and the mental-object sense source as two kinds of marks.
ཡིད་ཀྱི་སྐྱེ་མཆེད་དང་ཆོས་ཀྱི་སྐྱེ་མཆེད་ནི་ཡང་དག་པ་མ་ཡིན་པ། ཅི་ཡང་མེད་པ་དེ་ཁོ་ན་ཉིད་ཇི་བཞིན་དུ་དེ་བཞིན་གཤེགས་པས་ཐུགས་སུ་ཆུད་པས་སྐྱེ་མཆེད་ཅེས་གསུངས་སོ། ། ||| The mind and mental-object sense sources are false and nonexistent. Since the Thus-Gone One accurately understands this, he calls them sense sources.
སྐྱེ་མཆེད་རྣམས་ནི་རྟེན་ཅིང་འབྲེལ་ཏེ་བྱུང་བ་ཕྱིན་ཅི་ལོག་དང་ལྡན་པའི་འདུ་བྱེད་ལས་བྱུང་བས་ ||| Since sense sources are dependently originated from mistaken formations,
དེ་ལ་ནི་ཡིད་ཀྱི་སྐྱེ་མཆེད་དང་། ཆོས་ཀྱི་སྐྱེ་མཆེད་དུ་ཡང་དག་པར་དམིགས་སུ་མེད་དོ། ། ||| no mind or mental-object sense source can be truly observed there.
ཡིད་ཀྱི་སྐྱེ་མཆེད་དང་ཆོས་ཀྱི་སྐྱེ་མཆེད་ནི་ནང་ན་མི་གནས། ཕྱི་རོལ་ན་མི་གནས། གཉི་གའི་བར་ན་མི་གནས་སོ། ། ||| The mind and mental-object sense sources do not exist internally, externally, or somewhere in-between.
གཞན་ཡང་ཡིད་ཀྱི་སྐྱེ་མཆེད་ནི་འདས་པ་ཡང་མ་ཡིན། མ་འོངས་པ་ཡང་མ་ཡིན། ||| “Moreover, the mind sense source is not past, future, or present.
ད་ལྟར་གྱི་འཕྲལ་གྱི་རྐྱེན་ཤེས་པ་ལས་བུས་པ་སོ་སོའི་སྐྱེ་བོས་བསམས་པའི་རྗེས་སུ་ཡིད་ཀྱི་སྐྱེ་མཆེད་དང་ཆོས་ཀྱི་སྐྱེ་མཆེད་ཅེས་བརྗོད་དོ། ། ||| Yet, based upon the perception in present adventitious conditions, the mind sense source and mental-object sense source are taught in accord with childish ordinary beings’ thinking.
མཁས་པ་དག་ནི་ཡིད་ཀྱི་སྐྱེ་མཆེད་དང་ཆོས་ཀྱི་སྐྱེ་མཆེད་ལ་ཡང་དག་པ་མ་ཡིན་པ། ཅི་ཡང་མེད་པ། ཕྱིན་ཅི་ལོག་ཏུ་རྣམ་པར་རྟོག་པ་ལས་བྱུང་བ་སྐྱེ་མཆེད་མ་ཡིན་པ་ལ་སྐྱེ་མཆེད་དུ་ཁོང་དུ་ཆུད་པར་རྟོགས་སོ། ། ||| The wise understand the mind sense source and mental-object sense source as sense sources that are not sense sources; they are false, nonexistent, and arisen from mistaken conceptuality.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
སྐྱེ་མཆེད་རྣམས་ལ་ངེས་པར་སྐྱེ་མཆེད་ཀྱི་མཚན་ཉིད་མེད་པའི་ཕྱིར་རོ། ། ||| Because sense sources definitively lack the characteristic of being sense sources.
མཁས་པ་དག་ནི་དེ་ལྟར་སྐྱེ་མཆེད་རྣམས་ལ་ཡང་དག་པ་མ་ཡིན་པ་ཅི་ཡང་མེད་པར་རྟོགས་ཏེ། ||| The wise thus realize the sense sources to be false and nonexistent, in that
ཡིད་ཀྱི་སྐྱེ་མཆེད་དང་ཆོས་ཀྱི་སྐྱེ་མཆེད་རང་བཞིན་གྱིས་དམིགས་སུ་མེད། ||| the mind sense source and mental-object sense source are inherently unobservable, and
ཡིད་ཀྱི་སྐྱེ་མཆེད་དང་ཆོས་ཀྱི་སྐྱེ་མཆེད་ལས་བྱུང་བ་དེ་ཁོ་ནའི་མཚན་ཉིད་དུ་ཡང་མི་དམིགས་སོ། ། ||| any true characteristic that arises from the mind sense source and mental-object sense source is also unobservable.
དེ་ལྟར་ཡིད་ཀྱི་སྐྱེ་མཆེད་དང་ཆོས་ཀྱི་སྐྱེ་མཆེད་ནི་རྟེན་ཅིང་འབྲེལ་ཏེ་བྱུང་བས་ ||| “Since the mind sense source and mental-object sense source are thus dependently originated,
དེ་བཞིན་གཤེགས་པས་ཀྱང་སྐྱེ་མཆེད་རྣམས་ཀྱི་ཤེས་པ་དང་མཐོང་བའི་མཚན་ཉིད་གསུངས་པ་ནི་འདི་ལྟ་སྟེ། སྐྱེ་མཆེད་རྣམས་ཡང་དག་པ་མ་ཡིན་པ། ཅི་ཡང་མེད་པ། ཕྱིན་ཅི་ལོག་དང་ལྡན་པའི་འདུ་བྱེད་ལས་བྱུང་བ། རྒྱུ་དང་རྐྱེན་ལ་རག་ལུས་པ། ཡིད་ཀྱི་སྐྱེ་མཆེད་དང་ཆོས་ཀྱི་སྐྱེ་མཆེད་བྱས་པ། བྱེད་པ། བྱེད་པ་མེད་པ། ཡིད་ཀྱི་སྐྱེ་མཆེད་ཀྱིས་ཆོས་ཀྱི་སྐྱེ་མཆེད་དུ་རྣམ་པར་མི་རྟོག །ཆོས་ཀྱི་སྐྱེ་མཆེད་ཀྱང་ཡིད་ཀྱི་སྐྱེ་མཆེད་དུ་རྣམ་པར་མི་རྟོག་པར་ཤེས་སོ། ། ||| the Thus-Gone One describes the characteristics of knowing and understanding the sense sources as follows: the sense sources are false, nonexistent, arisen from mistaken formations, and dependent upon causes and conditions; the mind sense source and mental-object sense source are uncreated, devoid of action, and devoid of agent; the mental-object sense source cannot be known or conceived by the mind sense source; and the mind sense source cannot be known or conceived in relation to the mental-object sense source.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
གཉི་གའི་དང་བྲལ་བའི་ཕྱིར་རོ། ། ||| It is due to the absence of them both.
དེ་ལྟར་མཚན་ཉིད་གཉིས་དང་བྲལ་བས་ན་དེ་ལ་རྣམ་པར་དབྱེར་མེད་དོ། ། ||| By virtue of thus being devoid of two characteristics, no divisions can be made between them.
སྐྱེ་མཆེད་དེ་དག་ནི་རྟེན་ཅིང་འབྲེལ་ཏེ་བྱུང་བ་ཡིན་ཡང་བུས་པ་སོ་སོའི་སྐྱེ་བོ་དག་ཕྱིན་ཅི་ལོག་ཏུ་སེམས་པའི་རྗེས་སུ་བརྗོད་པ་ཡིན་ནོ། ། ||| Even though these sense sources are dependently originated, they are taught according to the mistaken thinking of childish ordinary beings.
འཕགས་པ་རྣམས་ཀྱིས་ཁོང་དུ་ཆུད་ཅིང་རྟོགས་པ་ལྟར་ན་ཡིད་ཀྱི་སྐྱེ་མཆེད་ཀྱང་མི་སྐྱེ་བ། མ་སྐྱེས་པ། མི་འགག་པ། མི་འོང་བ། མ་སོང་བ་སྟེ། ||| According to the understanding and realization of noble beings, the mind sense source does not arise; it is unborn, does not cease, does not come, and does not go.
