༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སརྦ་དྷརྨ་སྭ་བྷཱ་བ་ས་མ་ཏཱ་བི་པཉྩི་ཏ་ས་མཱ་དྷི་རཱ་ཛ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཐམས་ཅད་ཀྱི་རང་བཞིན་མཉམ་པ་ཉིད་རྣམ་པར་སྤྲོས་པ་ཏིང་ངེ་འཛིན་གྱི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Mahāyāna Sūtra The King of Samādhis, the Revealed Equality of the Nature of All Phenomena
བཞི་གང་ཞེ་ན། འདུ་བྱེད་ཀྱི་རྡོ་རྗེའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་རྡོ་རྗེའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པའི་རྡོ་རྗེའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བའི་རྡོ་རྗེའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| What are the four kinds of vajra words? They are the inconceivably numerous vajra words concerning the composite, the inconceivably numerous vajra words concerning teaching the composite, the inconceivably numerous vajra words concerning the kleśas, and the inconceivably numerous vajra words concerning purification.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་གསང་སྔགས་ཀྱི་ཚིག་བཞི་སྟེ། ||| Those are the four. “Young man, the bodhisattvas have four kinds of mantra words.
བཞི་གང་ཞེ་ན། ||| What are the four kinds of mantra words?
འདུ་བྱེད་གསང་སྔགས་ཀྱི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་གསང་སྔགས་ཀྱི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པའི་གསང་སྔགས་ཀྱི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བའི་གསང་སྔགས་ཀྱི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous mantra words concerning the composite, the inconceivably numerous mantra words concerning teaching the composite, the inconceivably numerous mantra words concerning the kleśas, and the inconceivably numerous mantra words concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྒྲུབ་པ་བཞི་སྟེ། ||| “Young man, the bodhisattvas have four kinds of attainment.
བཞི་གང་ཞེ་ན། ||| What are the four kinds of attainment?
འདུ་བྱེད་སྒྲུབ་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་སྒྲུབ་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་སྒྲུབ་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་སྒྲུབ་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous attainments concerning the composite, the inconceivably numerous attainments concerning teaching the composite, the inconceivably numerous attainments concerning the kleśas, and the inconceivably numerous attainments concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་མདོ་སྡེའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of sūtra words. What are the four kinds of sūtra words?
འདུ་བྱེད་མདོ་སྡེའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་མདོ་སྡེའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་མདོ་སྡེའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་མདོ་སྡེའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous sūtra words concerning the composite, the inconceivably numerous sūtra words concerning teaching the composite, the inconceivably numerous sūtra words concerning the kleśas, and the inconceivably numerous sūtra words concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བཏགས་པའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of designations. What are the four kinds of designations?
འདུ་བྱེད་བཏགས་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་བཏགས་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་བཏགས་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་བཏགས་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous designations concerning the composite, the inconceivably numerous designations concerning teaching the composite, the inconceivably numerous designations concerning the kleśas, and the inconceivably numerous designations concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྣང་བའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of words concerning illumination. What are the four kinds of words concerning illumination?
འདུ་བྱེད་སྣང་བའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་སྣང་བའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་སྣང་བའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་སྣང་བའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous words concerning illumination in regard to the composite, the inconceivably numerous words concerning illumination in regard to teaching the composite, the inconceivably numerous words concerning illumination in regard to the kleśas, and the inconceivably numerous words concerning illumination in regard to purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་གསལ་བའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of words concerning clarification. What are the four kinds of words concerning clarification?
འདུ་བྱེད་གསལ་བའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་གསལ་བའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་གསལ་བའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་གསལ་བའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous words concerning clarification in regard to the composite, the inconceivably numerous words concerning clarification in regard to teaching the composite, the inconceivably numerous words concerning clarification in regard to the kleśas, and the inconceivably numerous words of clarification in regard to purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྤྱོད་པའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of words concerning conduct. What are the four kinds of words concerning conduct?
འདུ་བྱེད་ཀྱི་སྤྱོད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་སྤྱོད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་སྤྱོད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་སྤྱོད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous words of conduct concerning the composite, the inconceivably numerous words of conduct concerning teaching the composite, the inconceivably numerous words of conduct concerning the kleśas, and the inconceivably numerous words of conduct concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྤྱད་པའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of words concerning behavior. What are the four kinds of words concerning behavior?
འདུ་བྱེད་ཀྱི་སྤྱད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་སྤྱད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་སྤྱད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་སྤྱད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous kinds of words concerning behavior in regard to the composite, the inconceivably numerous kinds of words concerning behavior in regard to teaching the composite, the inconceivably numerous kinds of words concerning behavior in regard to the kleśas, and the inconceivably numerous kinds of words concerning behavior in regard to purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བསམ་གྱིས་མི་ཁྱབ་པའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of words of inconceivability. What are the four kinds of words of inconceivability?
འདུ་བྱེད་བསམ་གྱིས་མི་ཁྱབ་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་བསམ་གྱིས་མི་ཁྱབ་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་བསམ་གྱིས་མི་ཁྱབ་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་བསམ་གྱིས་མི་ཁྱབ་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous words of inconceivability concerning the composite, the inconceivably numerous words of inconceivability concerning teaching the composite, the inconceivably numerous words of inconceivability concerning the kleśas, and the inconceivably numerous words of inconceivability concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་མཐའ་ཡས་པའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of words of limitlessness. What are the four kinds of words of limitlessness?
འདུ་བྱེད་མཐའ་ཡས་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་མཐའ་ཡས་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་མཐའ་ཡས་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་མཐའ་ཡས་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous words of limitlessness concerning the composite, the inconceivably numerous words of limitlessness concerning teaching the composite, the inconceivably numerous words of limitlessness concerning the kleśas, and the inconceivably numerous words of limitlessness concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་རྒྱུ་བ་མེད་པའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of words of nonmovement. What are the four kinds of words of nonmovement?
འདུ་བྱེད་རྒྱུ་བ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་རྒྱུ་བ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པའི་རྒྱུ་བ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་རྒྱུ་བ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous words of nonmovement concerning the composite, the inconceivably numerous words of nonmovement concerning teaching the composite, the inconceivably numerous words of nonmovement concerning the kleśas, and the inconceivably numerous words of nonmovement concerning purification.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་མུ་མེད་པའི་ཚིག་བཞི་སྟེ། ||| Those are the four. “Young man, the bodhisattvas have four kinds of words of boundlessness.
བཞི་གང་ཞེ་ན། འདུ་བྱེད་མུ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་མུ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་མུ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་མུ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| What are the four kinds of words of boundlessness? They are the inconceivably numerous words of boundlessness concerning the composite, the inconceivably numerous words of boundlessness concerning teaching the composite, the inconceivably numerous words of boundlessness concerning the kleśas, and the inconceivably numerous words of boundlessness concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་གཞལ་དུ་མེད་པའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of words of incomparability. What are the four kinds of words of incomparability?
འདུ་བྱེད་གཞལ་དུ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་གཞལ་དུ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་གཞལ་དུ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་གཞལ་དུ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous words of incomparability concerning the composite, the inconceivably numerous words of incomparability concerning teaching the composite, the inconceivably numerous words of incomparability concerning the kleśas, and the inconceivably numerous words of incomparability concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་གྲངས་མེད་པའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of words of innumerability. What are the four kinds of words of innumerability?
འདུ་བྱེད་གྲངས་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་གྲངས་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་གྲངས་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་གྲངས་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous words of innumerability concerning the composite, the inconceivably numerous words of innumerability concerning teaching the composite, the inconceivably numerous words of innumerability concerning the kleśas, and the inconceivably numerous words of innumerability concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་དཔག་ཏུ་མེད་པའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of words of unquantifiability. What are the four kinds of words of unquantifiability?
འདུ་བྱེད་དཔག་ཏུ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་དཔག་ཏུ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་དཔག་ཏུ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་དཔག་ཏུ་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous words of unquantifiability concerning the composite, the inconceivably numerous words of unquantifiability concerning teaching the composite, the inconceivably numerous words of unquantifiability concerning the kleśas, and the inconceivably numerous words of unquantifiability concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཚད་མེད་པའི་ཚིག་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of words of immeasurability. What are the four kinds of words of immeasurability?
འདུ་བྱེད་ཚད་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་ཚད་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་ཚད་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་ཚད་མེད་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous words of immeasurability concerning the composite, the inconceivably numerous words of immeasurability concerning teaching the composite, the inconceivably numerous words of immeasurability concerning the kleśas, and the inconceivably numerous words of immeasurability concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཤེས་པའི་ཚིག་བཞི་སྟེ། ||| “Young man, the bodhisattvas have four kinds of words of wisdom.
བཞི་གང་ཞེ་ན། འདུ་བྱེད་ཤེས་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་ཤེས་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་ཤེས་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་ཤེས་པའི་ཚིག་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| What are the four kinds of words of wisdom? They are the inconceivably numerous words of wisdom concerning the composite, the inconceivably numerous words of wisdom concerning teaching the composite, the inconceivably numerous words of wisdom concerning the kleśas, and the inconceivably numerous words of wisdom concerning purification.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཤེས་པ་བསགས་པ་བཞི་སྟེ། ||| Those are the four. “Young man, the bodhisattvas have four kinds of accumulation of wisdom.
བཞི་གང་ཞེ་ན། འདུ་བྱེད་ཀྱི་ཤེས་པ་བསགས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་ཤེས་པ་བསགས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་ཤེས་པ་བསགས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་ཤེས་པ་བསགས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| What are the four kinds of accumulation of wisdom? They are the inconceivably numerous accumulations of wisdom concerning the composite, the inconceivably numerous accumulations of wisdom concerning teaching the composite, the inconceivably numerous accumulations of wisdom concerning the kleśas, and the inconceivably numerous accumulations of wisdom concerning purification.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཤེས་པའི་རིགས་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| Those are the four. “Young man, the bodhisattvas have four kinds of families of wisdom. What are the four kinds of families of wisdom?
འདུ་བྱེད་ཀྱི་ཤེས་པའི་རིགས་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པ་ཤེས་པའི་རིགས་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པ་ཤེས་པའི་རིགས་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་ཤེས་པའི་རིགས་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous families of wisdom concerning the composite, the inconceivably numerous families of wisdom concerning teaching the composite, the inconceivably numerous families of wisdom concerning the kleśas, and the inconceivably numerous families of wisdom concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྤོབས་པ་བསགས་པ་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of accumulation of eloquence. What are the four kinds of accumulation of eloquence?
འདུ་བྱེད་ཀྱི་སྤོབས་པ་བསགས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་སྤོབས་པ་བསགས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་། ཀུན་ནས་ཉོན་མོངས་པའི་སྤོབས་པ་བསགས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་། རྣམ་པར་བྱང་བའི་སྤོབས་པ་བསགས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous accumulations of eloquence concerning the composite, the inconceivably numerous accumulations of eloquence concerning teaching the composite, the inconceivably numerous accumulations of eloquence concerning the kleśas, and the inconceivably numerous accumulations of eloquence concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་མདོ་སྡེ་བཞི་སྟེ། ||| “Young man, the bodhisattvas have four kinds of sūtras.
བཞི་གང་ཞེ་ན། འདུ་བྱེད་ཀྱི་མདོ་སྡེ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་མདོ་སྡེ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་། ཀུན་ནས་ཉོན་མོངས་པའི་མདོ་སྡེ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བའི་མདོ་སྡེ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| What are the four kinds of sūtras? They are the inconceivably numerous sūtras concerning the composite, the inconceivably numerous sūtras concerning teaching the composite, the inconceivably numerous sūtras concerning the kleśas, and the inconceivably numerous sūtras concerning purification.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་མདོ་སྡེ་བསགས་པ་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| Those are the four. “Young man, the bodhisattvas have four kinds of accumulations of sūtras. What are the four kinds of accumulations of sūtras?
།འདུ་བྱེད་ཀྱི་མདོ་སྡེ་བསགས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་མདོ་སྡེ་བསགས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ཀུན་ནས་ཉོན་མོངས་པའི་མདོ་སྡེ་བསགས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་། རྣམ་པར་བྱང་བའི་མདོ་སྡེ་བསགས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous accumulations of sūtras concerning the composite, the inconceivably numerous accumulations of sūtras concerning teaching the composite, the inconceivably numerous accumulations of sūtras concerning the kleśas, and the inconceivably numerous accumulations of sūtras concerning purification. Those are the four.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་མང་དུ་ཐོས་པ་བཞི་སྟེ། བཞི་གང་ཞེ་ན། ||| “Young man, the bodhisattvas have four kinds of great learning. What are the four kinds of great learning?
འདུ་བྱེད་མང་དུ་ཐོས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་མང་དུ་ཐོས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་། ཀུན་ནས་ཉོན་མོངས་པ་མང་དུ་ཐོས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བ་མང་དུ་ཐོས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| They are the inconceivably numerous kinds of great learning concerning the composite, the inconceivably numerous kinds of great learning concerning teaching the composite, the inconceivably numerous kinds of great learning concerning the kleśas, and the inconceivably numerous kinds of great learning concerning purification.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ནོར་བཞི་སྟེ། ||| Those are the four. “Young man, the bodhisattvas have four kinds of wealth.
བཞི་གང་ཞེ་ན། འདུ་བྱེད་ཀྱི་ནོར་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདུ་བྱེད་ཡོངས་སུ་བཤད་པའི་ནོར་བསམ་གྱིས་མི་ཁྱབ་པ་དང་། ཀུན་ནས་ཉོན་མོངས་པའི་ནོར་བསམ་གྱིས་མི་ཁྱབ་པ་དང་རྣམ་པར་བྱང་བའི་ནོར་བསམ་གྱིས་མི་ཁྱབ་པ་དང་འདི་བཞིའོ། ||| What are the four kinds of wealth? They are the inconceivably numerous kinds of wealth concerning the composite, the inconceivably numerous kinds of wealth concerning teaching the composite, the inconceivably numerous kinds of wealth concerning the kleśas, and the inconceivably numerous kinds of wealth concerning purification.
།གཞོན་ནུ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བསླབ་པ་བཞི་སྟེ། ||| Those are the four. “Young man, the bodhisattvas have four kinds of training.
