འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་བཅུ་པ་སྟེ་ཀུན་ནས་སྒོའི་ལེའུ་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ས་མན་ཏ་མུ་ཁ་པ་རི་བརྟ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཀུན་ནས་སྒོའི་ལེའུ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Exposition on the Universal Gateway
འཇིགས་མེད་འཇིགས་པའི་འདུ་ཤེས་ཅན། །དེ་དག་ལ་ནི་བདེ་བ་མེད། ། ||| Those who fear where there is no danger Can know no happiness.
ཇི་ལྟར་སྐྱེས་བུ་ལ་ལ་དག །མཁའ་ལ་འཇིགས་པར་འདུ་ཤེས་ནས། ། ||| “For instance, some people Might perceive the sky as something frightening.
སྐྲག་ཅིང་བདག་གིས་ནམ་མཁའ་ནི། །མི་མཐོང་བྱ་ཞེས་འབྲོས་བྱེད་ཀྱང་། ། ||| Terrified, they will run away, exclaiming, ‘I must not see the sky!’
ནམ་མཁས་ཀུན་དུ་ཁྱབ་པས་ན། །སུ་ཡང་དེ་ལས་མི་ཐར་ཏེ། ། ||| “Yet, since space is omnipresent, No one can be free from it.
བྱིས་པ་བསླད་པར་གྱུར་རྣམས་ཀྱིས། །ཕྱིན་ཅི་ལོག་ཏུ་རྣམ་པར་བརྟགས། ། ||| Corrupted, immature beings Imagine it falsely.
དེ་ལྟར་ཆོས་རྣམས་མཁའ་འདྲ་བར། །ཤེས་པར་མ་གྱུར་བྱིས་པ་རྣམས། །དངོས་པོ་མེད་པའི་འདོད་ཆགས་ལ། །ཡོངས་སུ་སྤང་བར་མངོན་པར་འདོད། ། ||| “Thus, childish beings who do not know Phenomena to be like the sky Yearn to rid themselves Of insubstantial desire.
འདོད་ཆགས་ནམ་མཁའ་འདྲ་བས་ན། །སུ་ཡང་དེ་ལས་གྲོལ་བ་མེད། ། ||| “Since desire is like the sky No one can be freed from it.
གྲོལ་ཞིང་རྣམ་གྲོལ་ཕུན་སུམ་ཚོགས། །ཆོས་རྣམས་མྱ་ངན་འདས་དང་འདྲ། ། ||| Perfectly freed and liberated, Phenomena are like nirvāṇa.
སངས་རྒྱས་གང་དག་འདས་པ་དང་། །འདྲེན་པ་གང་དག་བཞུགས་པ་དང་། །གང་དག་འབྱུང་འགྱུར་རྫོགས་སངས་རྒྱས། །དེ་ཀུན་སྤྱོད་ཡུལ་འདོད་ཆགས་ཡིན། ། ||| “The buddhas of the past, The guides of the present, And the perfect buddhas yet to come All have desire as their domain of experience.
འདོད་ཆགས་སྟོང་པར་ཤེས་གྱུར་ན། །ཆགས་ལས་གྲོལ་བ་གང་ཡང་མེད། ། ||| “When you have known desire to be empty, There is no deliverance from it whatsoever.
གང་དག་ཆགས་ལ་འཇིགས་འདུ་ཤེས། །དེ་དག་ཆགས་ལས་གྲོལ་བྱར་སེམས། ། ||| It is those who perceive desire as something frightening Who think they must free themselves from it.
ཅི་ཡང་མེད་པའི་མཐའ་འདི་ནི། །འདོད་ཆགས་མཐའ་སྟེ་འོད་གསལ་ཞིང་། ། ||| “Being a limit of nothing whatsoever, The limit of desire is luminosity.
མཚན་མ་མེད་ལ་རྟག་མཉམ་པར། །བྱང་ཆུབ་སྙིང་པོར་ང་ཡིས་མཐོང་། ། ||| As it is without characteristics, permanent, and sameness— I see it as the seat of awakening.
དངོས་པོར་འདུ་ཤེས་སེམས་ཅན་གང་། །དེ་དག་འདོད་ཆགས་འབྲི་བར་འགྱུར། །ཡོད་པ་མིན་པ་ཡོངས་བརྟགས་པས། ། ||| “Beings who perceive it as existent Aim to diminish desire.
དེ་དག་གིས་ནི་སྤོང་བ་བརྟགས། ། ||| Imagining the nonexistent, They imagine its abandonment.
བདག་གིས་འདོད་ཆགས་སྤང་བྱ་ཞེས། །དེ་འདྲའི་འདུ་ཤེས་སྐྱེས་ནས་ནི། །དེ་ལ་སྤངས་ཞེས་བརྗོད་པར་བྱ། །འགྲོ་བ་འདི་དག་འདུ་ཤེས་ཙམ། ། ||| “ ‘I must abandon desire’— Giving rise to such a conception, They would speak of its abandonment; But such is these beings’ mere conception.
འདོད་ཆགས་མཐའ་ནི་བསམ་ཡས་ཏེ། །མཐའ་དེ་འཇིག་པ་མེད་པས་ན། ། ||| “The limit of desire defies thought And is indestructible.
ཡང་དག་མཐའ་དང་དེ་མཉམ་པས། ། ||| Thus it is equal to the limit of reality.
དེ་ལས་གྲོལ་བར་མ་རྟོགས་ཤིག ། ||| So, do not think of being freed from it!
གལ་ཏེ་ཆགས་ལས་གྲོལ་གྱུར་ན། །སྟོང་པ་ཉིད་ལས་གྲོལ་བར་འགྱུར། ། ||| “If one were freed from desire, One would be freed from emptiness.
འདོད་ཆགས་དང་ནི་སྟོང་པ་ཉིད། །དེ་གཉིས་གཉིས་སུ་ཡོད་མ་ཡིན། ། ||| Desire and emptiness Are not two separate things.
འདི་ལྟར་སྐྱེ་བ་མེད་པ་ལ། །དེ་དག་སྐྱེ་བར་རྣམ་བརྟགས་པས། ། ||| “In this way, these beings imagine The birth of the unborn.
བྱིས་པ་གཉིས་སུ་ཤེས་རྣམས་ལ། །ངས་ནི་སྤོང་བ་རབ་ཏུ་བསྟན། ། ||| Therefore, to such immature beings whose consciousness is dualistic, I have taught abandonment.
འདོད་ཆགས་དེ་ནི་སྐྱེ་མེད་ན། །འདོད་ཆགས་ཤེས་བྱའི་མིང་དུ་བརྗོད། ། ||| “Since it is unborn, Desire is just a label.
མིང་རྣམས་ཀུན་དུ་ཆགས་མེད་པས། །མིང་ལ་སུ་ཡང་ཆགས་པ་མེད། ། ||| Names have no desire, And no one at all is attached to a name.
འདོད་ཆགས་ཆགས་པ་མེད་ཤེས་ཤིང་། །མཐའ་ལས་འདས་པའི་སྟོང་མཐོང་ན། །འདོད་ཆགས་རྣམ་པར་གཞིག་པའི་ཕྱིར། །ཐར་པ་མཁས་པས་མི་མཐོང་ངོ་། ། ||| “Knowing desire to be without attachment, And seeing it as limitless emptiness, The wise do not see liberation As a way to eliminate desire.
འདོད་ཆགས་སངས་རྒྱས་ཆོས་མཚུངས་ཤིང་། །མྱ་ངན་འདས་པ་འདྲར་ཤེས་ནས། །རྡུལ་དང་བྲལ་བའི་ཏིང་ངེ་འཛིན། །འདོད་ཆགས་སྒྲས་ནི་ངས་བསྟན་ཏོ། ། ||| “Knowing that desire is like the qualities of awakening, And like nirvāṇa, I have taught immaculate absorption With reference to the word desire.
ཞི་བའི་དབྱིངས་ལ་རྟེན་པ་ཡིན། ། ||| “Desire rests on the sphere of peace.
འདོད་ཆགས་རབ་ཏུ་ཞི་ཤེས་ནས། །མཁས་པ་རྣམས་ལ་ང་ཡིས་ནི། །ཏིང་འཛིན་འདོད་ཆགས་སྒྲར་བསྟན་ཏོ། ། ||| Knowing it to be complete peace, To the wise ones I have taught Absorption with reference to the word desire.
འཇམ་དཔལ་དེ་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་འདོད་ཆགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how bodhisattvas should understand desire to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་ཞེ་སྡང་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand anger to be absorption?
སྤོང་ལས་ཞེ་སྡང་ཀུན་དུ་འབྱུང་། །ཉོན་མོངས་པ་ཡང་རྐྱེན་ལས་སྐྱེ། ། ||| “As anger comes from rejecting, It is also an affliction born from conditions.
བདག་མེད་པ་ལས་བྱུང་བའི་བདག །མང་པོའི་ཚོགས་ལས་སྐྱེས་པ་ཡིན། ། ||| This self, which has arisen from a lack of self, Comes about through the aggregation of many things.
རྩུབ་པོའི་སྒྲ་ལས་ཞེ་སྡང་ནི། །དུག་རྣོན་ལྟ་བུ་ཀུན་དུ་འབྱུང་། ། ||| “Anger at harsh words Comes about like lethal poison.
སྒྲ་ནི་ང་རོའི་རང་བཞིན་པས། །ཤིན་དུ་ཡོད་པ་མ་ཡིན་ནོ། ། ||| Words are simply the nature of sound And therefore completely nonexistent.
ཇི་ལྟར་ཚོགས་པས་གཙུབ་ཤིང་དང་། །གཙུབ་སྟན་ལས་ནི་མེ་བྱུང་སྟེ། ། ||| “For instance, fire is kindled through the meeting Of the grinding stick and grinding support.
ཚོགས་དང་བྲལ་བར་གྱུར་ན་ནི། །དེ་ན་མེ་ཡང་ཡོད་མིན་ལྟར། ། ||| Without these materials coming together, Fire cannot be.
དེ་བཞིན་ཡིད་དུ་མི་འོང་བའི། །སྒྲ་ལས་ཞེ་སྡང་གསོག་འབྱུང་ཞིང་། །གསོག་གི་སྒྲ་ལས་ཡང་བརྟགས་ན། །དེ་ལ་ཞེ་སྡང་རྙེད་མི་འགྱུར། ། ||| “Likewise, from unpleasant words Arises vain anger; But if you examine these hollow words, You will find no anger there.
ཞེ་སྡང་སྒྲ་ལས་མ་བྱུང་ཞིང་། ། ||| “Anger does not come from words.
ནང་ནའང་གནས་པ་མ་ཡིན་ལ། །ཞེ་སྡང་ཕྱི་རོལ་མ་འོངས་ཏེ། །བྱུང་བ་མེད་པས་གསོག་ཡིན་ནོ། ། ||| It does not reside inside, Nor does anger arise from the outside— Since it is without origination, it is hollow.
རྒྱུ་རྣམས་ཕན་ཚུན་འདུས་པ་ལས། །ཞེ་སྡང་ཀུན་དུ་བྱུང་བ་ཡིན། ། ||| “The coming together of causes Is the source of anger.
ཕན་ཚུན་བྲལ་བར་གྱུར་ན་ནི། །དེ་ལ་ཞེ་སྡང་རྙེད་མི་འགྱུར། ། ||| If the causes come apart, Anger is nowhere to be found.
ཇི་ལྟར་ཞོ་དང་འོ་མ་ལ། །སྐྱེས་བུས་བཙལ་ཏེ་སྲུབ་ཤིང་གིས། །བསྲུབ་པ་བྱས་པས་རྐྱེན་རྣམས་ལས། །མར་ནི་ཀུན་དུ་བྱུང་བ་ལྟར། ། ||| “People may seek Curd and milk, churn it with a stick, And create the conditions For butter to appear.
དེ་བཞིན་ཡིད་དུ་མི་འཐད་པའི། །སྒྲ་ལས་ཞེ་སྡང་གསོག་འབྱུང་ཞིང་། །ཡོངས་སུ་བརྟགས་པས་དེ་གནས་ལ། །མི་མཁས་པ་དག་རབ་ཏུ་འབར། ། ||| “Likewise, unpleasant words Are sources of hollow anger: Because of their illusions, The unwise get fired up about them.
ཀུན་ཏུ་བརྟགས་པས་ཞེ་སྡང་ནི། །ཤིན་དུ་དངོས་མེད་ཤེས་པས་ན། །ཏིང་འཛིན་ཞི་བ་བརྗོད་པ་ནི། །ཞེ་སྡང་སྒྲ་ཡིས་རབ་ཏུ་བསྟན། ། ||| “Knowing anger to be caused by imputation, And therefore utterly insubstantial, I have made this statement on the peace of absorption With reference to the word anger.
ཞེ་སྡང་ཡང་དག་མཐའ་དང་མཉམ། །དེ་བཞིན་ཉིད་ལ་རྟེན་པ་ཡིན། །ཆོས་ཀྱི་དབྱིངས་དང་འདྲར་ཤེས་པས། །དེས་ན་ཏིང་ངེ་འཛིན་ཅེས་བསྟན། ། ||| “Knowing anger to be equal to the limit of reality, Rooted in suchness, And similar to the realm of phenomena, I have taught about absorption.
འཇམ་དཔལ་དེ་ལྟར་ན་ཞེ་སྡང་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand anger to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་གཏི་མུག་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand delusion to be absorption?
མ་རིག་པ་ལས་གཏི་མུག་བྱུང་། །མ་རིག་པ་ཡང་ཡོད་མ་ཡིན། ། ||| “Delusion comes from ignorance; Ignorance too is nonexistent.
གང་ན་གཏི་མུག་ཡོད་མིན་པ། །དེ་ན་གང་ཡང་རྨོངས་པ་མེད། ། ||| Where there is no delusion, There can be no confusion.
རྨོངས་མེད་སེམས་ཅན་རྨོངས་གྱུར་ཅིང་། །ཆགས་མེད་ཆགས་པར་འདུ་ཤེས་པ། ། ||| “Beings confuse what is without confusion, And perceive attachment where there is none.
ཇི་ལྟར་བྱིས་པས་ནམ་མཁའ་ལ། །མདུད་པ་བོར་བས་གསོག་བཞིན་ནོ། ། ||| This is just like a childish being Vainly trying to tie a knot in space.
ཡོད་པ་མ་ཡིན་ཆོས་རྣམས་ལ། །ཀུན་ནས་ཉོན་མོངས་རྣམ་བཏགས་པ། །བྱིས་པ་རྣམས་ཀྱི་འདི་མཚར་ཏེ། ། ||| “Labeling nonexistent phenomena As defilements: This [problem] of childish beings is outrageous.
མཆོག་ཏུ་ཤིན་དུ་བྱ་བར་དཀའ། ། ||| It is indeed the most heinous of evil deeds.
ཇི་ལྟར་སྐྱེས་བུ་ལ་ལ་ཞིག །ནམ་མཁའ་ལ་ནི་འཇལ་བྱེད་ཅིང་། །བསྐལ་པ་བྱེ་བར་གཞལ་བྱས་ཀྱང་། །དེ་ལ་ཕུང་པོ་མི་རྙེད་ལྟར། །དེ་བཞིན་རྨོངས་པས་བྱིས་པ་ཡི། །སྔོན་གྱི་མཐའ་ནི་བསམ་མི་ཁྱབ། ། ||| “Just as someone May examine the sky For ten million eons And find no aggregates in it— “Likewise, due to confusion The origin of immature beings is inconceivable.
གཏི་མུག་ཕུང་པོར་འབྱུང་མེད་དེ། །དེས་ནི་ཅི་ཡང་བཀང་བ་མེད། ། ||| Ignorance does not heap up— It cannot fill anything up.
ཇི་ལྟར་ནམ་མཁའ་གཞལ་བྱས་ཀྱང་། །དེ་ལ་སྔོན་གྱི་མཐའ་མེད་ཅིང་། ། ||| “One may try to measure the sky, But it has no beginning.
དེ་ན་ཅི་ཡང་བཀང་བ་མེད། །གཞལ་བར་ནུས་པ་མེད་པ་ལྟར། ། ||| The sky cannot be filled by anything: It is immeasurable.
དེ་བཞིན་བསྐལ་པ་སྟོང་རྣམས་སུ། །ཀུན་དུ་རྨོངས་པས་དགང་བྱས་ཀྱང་། །དེ་ལ་བཀང་བ་ཅི་ཡང་མེད། །ངོམས་པའང་ཅུང་ཟད་ཡོད་མ་ཡིན། ། ||| “Likewise, for thousands of eons Beings have been filled with ignorance; Still, they are never being filled, And they are never satisfied in the slightest.
ཇི་ལྟར་སྐྱེས་བུ་ལ་ལ་ཡིས། །སྦུད་པ་སྟོང་པ་བུད་བྱས་ཤིང་། །བཞག་ནས་སྦུད་པ་རྙོངས་པ་ན། །དེ་ཡི་ནང་ན་རྙེད་མིན་ལྟར། ། ||| “When a person who uses a bellow First empties it, expelling its air, and Having compressed it, opens it up again, Nothing is to be found inside it.
དེ་བཞིན་འདོད་པ་སྦུད་འདྲ་བ། །ཀུན་དུ་རྨོངས་པས་སྤྱོད་པར་བྱེད། །དེ་ནི་ངོམས་པར་མི་འགྱུར་ཏེ། །ཕྱིར་ཞིང་འདོད་པ་ཚོལ་བར་བྱེད། ། ||| “Likewise, desire is like a bellow: Those who act out of delusion Can never find satisfaction, But only pursue further desires.
གཏི་མུག་ཡོད་པ་མིན་ཞེས་བརྗོད། །རྩ་བ་ཆད་ཅིང་དངོས་པོ་མེད། །རྩ་བ་མེད་ཅིང་གནས་ཀྱང་མེད། །དེས་ན་གཏི་མུག་ཟད་པ་མེད། ། ||| “Ignorance is said to be nonexistent: It is uprooted and insubstantial, Rootless and without location; Therefore, ignorance is inexhaustible.
འདི་ལྟར་གཏི་མུག་མི་ཟད་པས། །དེ་ཡི་མཐའ་མ་རྙེད་མི་འགྱུར། ། ||| “Since ignorance is inexhaustible, Its end cannot be found.
དེ་ཕྱིར་སེམས་ཅན་ཐམས་ཅད་ལ། །ཟད་པར་བྱ་བར་ངས་མི་ནུས། ། ||| Therefore, I cannot make it disappear For all sentient beings.
གལ་ཏེ་དཔེ་ཙམ་བརྗོད་བྱ་ན། །བསྐལ་པ་བྱེ་བ་བསམ་ཡས་སུ། །ང་ཡི་ཚེ་ནི་གནས་གྱུར་ལ། །ཉིན་གཅིག་བཞིན་དུ་ཉིན་རེ་ལ། །སྟོང་གསུམ་སེམས་ཅན་ཇི་སྙེད་པ། །ཐམས་ཅད་མྱ་ངན་བཟླ་བྱས་ཞིང་། །ཐམས་ཅད་དེ་ལྟར་བྱས་ཀྱང་ནི། །སེམས་ཅན་ཁམས་ལ་ཟད་པ་མེད། ། ||| “To make an analogy, Even if I were to remain alive For inconceivably many tens of millions of eons And every single day “Cause as many beings as there are in a trichiliocosm To pass into nirvāṇa, Though I may succeed in this, The realms of beings would still not be depleted.
གཏི་མུག་གིས་ནི་བསྐྱེད་པའི་ཁམས། །སེམས་ཅན་ཁམས་ལ་མཚན་ཉིད་མེད། ། ||| “Created by ignorance, The realms of beings are without marks.
གཏི་མུག་དེ་ནི་སྒྱུ་མ་འདྲ། །དེས་ན་དེ་ཡི་མཐའ་མི་རྙེད། ། ||| Ignorance is like an illusion, And its end can therefore not be found.
སངས་རྒྱས་གཏི་མུག་མཉམ་པས་ན། །དེ་དག་གཉིས་སུ་མེད་པར་བསྟན། ། ||| “Since Buddha is the same as ignorance, I have taught that they are no different.
རྨོངས་གྱུར་བྱིས་པ་དེ་དག་གིས། །འདིར་ནི་སངས་རྒྱས་རྣམ་པར་བརྟགས། ། ||| It is confused, childish beings Who have given me the name Buddha.
ཐམས་ཅད་མཁྱེན་ཉིད་གཏི་མུག་མཉམ། །གཏི་མུག་ཐམས་ཅད་ཡོད་མ་ཡིན། ། ||| “Omniscience and ignorance are the same; All ignorance is nonexistent.
གཏི་མུག་སེམས་ཅན་ཀུན་དང་མཉམ། །སེམས་ཅན་ཀུན་ཀྱང་བསམ་མི་ཁྱབ། ། ||| Ignorance is the same as all beings, And all beings are inconceivable.
བསམ་མི་ཁྱབ་དང་གཏི་མུག་ནི། །སེམས་བསྐྱེད་པ་ཡིས་རྣམ་པར་བརྟགས། ། ||| “Inconceivability and ignorance Are thus imputed by thought.
སེམས་ཀུན་བསམ་གྱིས་མི་ཁྱབ་སྟེ། །དེ་ཡི་ཚད་ནི་ཡོད་མ་ཡིན། ། ||| All of the mind is inconceivable, And has no limit.
གཏི་མུག་དེ་ལ་ཚད་མེད་པས། །དེ་ཡི་འབྱུང་བ་རྙེད་མི་འགྱུར། ། ||| “Since ignorance is immeasurable, One cannot find its origin.
འབྱུང་བ་ཡོད་པ་མ་ཡིན་ན། །སྐྱེ་བ་ཡོད་པར་ག་ལ་འགྱུར། ། ||| Without an origin, How can it arise?
གཏི་མུག་སྐྱེས་པ་མ་ཡིན་ན། །དེ་ཡི་རྨོངས་བྱེད་ཅི་འདྲ་ཞིག ། ||| “If ignorance is unborn, How could it ever cause confusion?
དེ་ཡི་རྨོངས་བྱེད་ཅི་འདྲ་བ། །སངས་རྒྱས་ཀུན་ཀྱང་དེ་དང་འདྲ། ། ||| How could it ever cause confusion Is how it also is with all buddhas.
ཐ་དད་དབྱེ་བ་མེད་ཤེས་ན། །ཆོས་རྣམས་ཐམས་ཅད་གཉིས་སུ་མེད། །ཏིང་འཛིན་ཞི་བ་བརྗོད་པ་ནི། །གཏི་མུག་སྒྲ་ཡིས་རབ་ཏུ་བསྟན། ། ||| “Knowing that they are neither different nor separate, And that all phenomena are nondual, I made this statement on the peace of absorption With reference to the word ignorance.
གང་ཚེ་ང་ཡིས་མཉམ་ཉིད་ཤེས། །དེ་ནི་དེ་དང་གཏི་མུག་མཉམ། ། ||| “When I came to know sameness, I [understood] that ignorance was the same as it.
དེ་དག་ཐམས་ཅད་མཉམ་ཤེས་ནས། །ཏིང་འཛིན་དེ་ལྟར་ཤེས་པར་གྱིས། ། ||| Knowing all of these to be the same, Understand absorption accordingly.
འཇམ་དཔལ་དེ་ལྟར་ན་གཏི་མུག་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand ignorance to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་མི་དགེ་བ་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, how should bodhisattvas understand all nonvirtues to be absorption?
འདོད་ཆགས་སྤྱོད་པའི་རྟགས་གང་དང་། །ཞེ་སྡང་སྤྱོད་པའི་གཡོ་བ་དང་། །གཏི་མུག་སྤྱོད་པ་གང་ཡིན་པ། །ཐམས་ཅད་ཏིང་འཛིན་ཤེས་པར་གྱིས། ། ||| “The features of being desirous, And the turbulence of being angry, As well as being ignorant— Know them all to be absorption.
ཉོན་མོངས་ཀུན་གྱི་སྒྲུབ་པ་ནི། །ཏིང་འཛིན་ཡིན་པར་མོས་པར་གྱིས། ། ||| “The production of any affliction Is absorption—be confident of that!
བརྫུན་དང་ཡང་དག་མ་ཡིན་པར། །ཐམས་ཅད་དེ་བཞིན་བསྒོམ་པར་གྱིས། ། ||| Afflictions are false and unreal; Meditate on them all in this way.
འཇམ་དཔལ་དེ་ལྟར་ན་མི་དགེ་བ་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand all nonvirtues to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་དགེ་བ་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand all virtues to be absorption?
སེམས་ཅན་རྣམས་ཀྱི་ཇི་སྙེད་དགེ །སེམས་དང་སྤྱོད་པ་ཅི་འདྲ་བ། །སྤྱོད་པ་ཐམས་ཅད་སྤྱོད་གཅིག་སྟེ། །དེ་ལྟར་ཏིང་འཛིན་ཤེས་པར་གྱིས། ། ||| “Whatever virtues beings may have, And howsoever their minds and conduct may be, All conduct is but one conduct; Know absorption to be like this!
སེམས་ཅན་ཀུན་གྱི་སྤྱོད་པ་དག །བསྒྲུབ་པ་གཅིག་ཏུ་ཤེས་པས་ན། །ཏིང་འཛིན་ཞི་བ་བརྗོད་པ་ནི། །ཀུན་གྱི་སྒྲ་ཡིས་བསྟན་པ་ཡིན། ། ||| “Knowing the conduct of all beings To be but one performance, I have made this statement on the peace of absorption With reference to the word all.
འཇམ་དཔལ་དེ་ལྟར་ན་དགེ་བ་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, in this way, you should understand all virtues to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་འདུས་བྱས་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, how should bodhisattvas understand all conditioned phenomena to be absorption?
འདུ་བྱེད་ཐམས་ཅད་འདུ་བྱེད་མིན། ། ||| “Formations are not formations.
དེ་དག་བགྲང་བས་གཞལ་བྱས་ན། །གཞལ་དུ་མེད་ཅིང་དཔག་ཏུ་མེད། །དེ་ལྟར་ཏིང་འཛིན་ཤེས་པར་གྱིས། ། ||| In terms of numerical estimation, They are uncountable and immeasurable— Know absorption to be so.
དཔག་ཏུ་མེད་པར་ཤེས་ན་ནི། །ལུས་མེད་དངོས་པོ་ཡོད་མིན་པས། །ཏིང་འཛིན་ཞི་བ་བརྗོད་པ་ནི། །འདུ་བྱེད་ཀུན་གྱིས་བསྟན་པ་ཡིན། ། ||| “Knowing formations to be immeasurable, Without body or substance, I have made this statement on the peace of absorption With reference to all formations.
འཇམ་དཔལ་དེ་ལྟར་ན་འདུས་བྱས་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand all conditioned phenomena to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་འདུས་མ་བྱས་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, how should bodhisattvas understand all unconditioned phenomena to be absorption?
ཆོས་འདི་རང་བཞིན་ཞི་བས་ན། །དེ་ལ་གྲངས་ནི་ཡོད་མ་ཡིན། ། ||| “Since this Dharma is naturally peaceful, It is beyond number.
མ་རིག་པ་ཡིས་བསྒྲུབ་ཞི་བ། །ཏིང་ངེ་འཛིན་གྱིས་བསྒྲུབ་པར་བསྟན། ། ||| I have taught that peace formed by ignorance Is formed by absorption.
འདུས་བྱས་ཀུན་ལ་བརྗོད་མེད་ཅིང་། །བསྒྲུབ་པ་མེད་པར་ཤེས་ནས་ནི། །སེམས་ཅན་གང་དག་བརྗོད་ལ་ཆགས། །དེ་དག་རྣམས་ལ་དེ་ལྟར་བསྟན། ། ||| “Knowing everything conditioned to be inexpressible And uncreated, I have taught such To all beings who are attached to words.
འཇམ་དཔལ་དེ་ལྟར་ན་འདུས་མ་བྱས་ཐམས་ཅད་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand all unconditioned phenomena to be absorption.”
ཚིགས་སུ་བཅད་པ་མངོན་པར་བསྒྲུབས་པའི་སྒྲ་བསམ་གྱིས་མི་ཁྱབ་པ་བསྟན་པ་འདི་བཤད་པ་ན་བྱང་ཆུབ་སེམས་དཔའ་དགུ་ཁྲི་ཉིས་སྟོང་གིས་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་བོ། ། ||| As he completed these verses, thus delivering this inconceivable teaching, ninety-two thousand bodhisattvas gained the acceptance of phenomena being unborn.
ལྷ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་བདུན་ཅུ་རྩ་གཉིས་ཀྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། ། ||| Seventy-two sextillion gods formed the resolve to attain unsurpassed and perfect awakening.
དགེ་སློང་སུམ་ཁྲི་དྲུག་སྟོང་ནི་ལེན་པ་མེད་པར་ཟག་པ་རྣམས་ལས་སེམས་རྣམ་པར་གྲོལ་ལོ། ། ||| Thirty-six thousand monks liberated their minds from the defilements, without further appropriation.
དགེ་སློང་མ་དྲུག་སྟོང་ཉིས་བརྒྱས་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། ། ||| Six thousand two hundred nuns also formed the resolve to achieve unsurpassed and perfect awakening.
དགེ་བསྙེན་ས་ཡ་བརྒྱད་འབུམ་གྱིས་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། ། ||| Eight million one hundred thousand male lay practitioners formed the resolve to achieve unsurpassed and perfect awakening.
