༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྲཧྨ་བི་ཤེ་ཥ་ཙིན་ཏི་པ་རི་པྲྀཙྪ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Brahma­viśeṣacintin
ཚངས་པ་ཇི་ཙམ་དུ་ཁེངས་པ་དང་། འདུད་པ་དང་། ལེན་པ་དང་། འདོར་བ་དེ་ཙམ་དུ་རྩོད་པ་སྟེ། དེ་བཞིན་གཤེགས་པས་ནི་རྩོད་པ་མེད་པར་ཆོས་བསྟན་ཏོ། ||| Brahmā, merely to be proud of the Dharma or humble about it, or to adopt teachings or reject them, is already arguing. But the thus-gone ones teach the Dharma without arguing.
།སྤྲོས་པ་ལ་དགའ་བ་ལ་ནི་མི་རྩོད་པ་མེད་དོ། ||| To be fond of conceptual elaborations is nothing if not argument.
།རྩོད་པ་མང་བ་ལ་ནི་དགེ་སྦྱོང་དུ་གྱུར་པ་མེད་དོ། ||| One does not become a spiritual practitioner by indulging in arguments.
།དགེ་སྦྱོང་འདོད་པ་ལ་ནི་འཐབ་པ་མེད་དོ། ||| He who wants to be a spiritual practitioner must be free from quarrelling.”
།སྨྲས་པ། འཇམ་དཔལ་ཇི་ལྟར་དགེ་སློང་དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་བཞིན་བྱེད་པ་དང་། བཀའ་བཞིན་བྱེད་པར་འགྱུར། ||| “Mañjuśrī, how does a monk abide by the thus-gone ones’ teachings, and how does he follow their words?”
སྨྲས་པ། ཚངས་པ་ནམ་དགེ་སློང་བསྟོད་པ་དང་སྨད་པ་བྱས་ཀྱང་གནོད་པ་མེད་ན་དེ་ལྟར་ན་བསྟན་པ་བཞིན་དུ་བྱེད་པ་ཡིན་ནོ། ||| “Brahmā, when a monk is not affected by praise or criticism, he abides by the teachings of the thus-gone ones.
།གང་ཡི་གེའི་རྗེས་སུ་མི་སྙེགས་ན་དེ་ལྟར་ན་བཀའ་བཞིན་དུ་བྱེད་པ་ཡིན་ནོ། ||| When a monk does not hanker after syllables, he follows the words of the thus-gone ones.
།གང་མཚན་མ་ཐམས་ཅད་ལས་ཞི་བར་གྱུར་ན། དེ་ལྟར་ན་བསྟན་པ་བཞིན་བྱེད་པ་ཡིན་ནོ། ||| When he has quelled all signs, he abides by the teachings.
།གང་དོན་དང་མི་འགལ་བར་བྱེད་ན་དེ་ལྟར་ན་དཀའ་བཞིན་བྱེད་པ་ཡིན་ནོ། ||| When he is not in conflict with the ultimate, he follows the words of the thus-gone ones.
།གང་ཆོས་ཡོངས་སུ་སྲུང་ན་དེ་ལྟར་ན་བསྟན་པ་བཞིན་དུ་བྱེད་པ་ཡིན་ནོ། ||| When he protects the Dharma, he abides by the teachings.
།གང་ཚིག་རྣམས་དང་འཐུན་པར་མི་བྱེད་ན། དེ་ལྟར་ན་བཀའ་བཞིན་བྱེད་པ་ཡིན་ནོ། ||| When he does not conform with the words, he follows the words of the thus-gone ones.”
།སྨྲས་པ། འཇམ་དཔལ་ཇི་ལྟར་ན་དགེ་སློང་དམ་པའི་ཆོས་ཡོངས་སུ་སྲུང་བ་ཡིན། ||| “Mañjuśrī, how do monks protect the sacred Dharma?”
སྨྲས་པ། གང་མཉམ་པ་ཉིད་ལས་འགལ་བར་མི་བྱེད་ཅིང་ཆོས་ཀྱི་དབྱིངས་རྣམ་པར་འཁྲུག་པར་མི་བྱེད་ན་དེ་ལྟར་ན་དམ་པའི་ཆོས་ཡོངས་སུ་སྲུང་བ་ཡིན་ནོ། ། ||| “When they do not contravene equality, and when they do not disrupt the realm of phenomena, they protect the sacred Dharma.”
སྨྲས་པ། འཇམ་དཔལ་ཇི་ལྟར་ན་དགེ་སློང་དེ་བཞིན་གཤེགས་པ་ལ་ཉེ་བར་གནས་པ་ཡིན། ||| “Mañjuśrī, how do monks become close to the thus-gone ones?”
སྨྲས་པ། ཚངས་པ་གང་ཆོས་གང་ལ་ཡང་ཉེ་བའམ། རིང་བ་མེད་པར་མཐོང་བའི་དགེ་སློང་དེ་ནི་དེ་བཞིན་གཤེགས་པ་ལ་ཉེ་བར་གནས་པ་ཡིན་ནོ། ། ||| “Brahmā, when a monk sees that there is no closeness or distance in phenomena, he is close to the thus-gone ones.”
སྨྲས་པ། ཇི་ལྟར་ན་འཇམ་དཔལ་དགེ་སློང་དེ་བཞིན་གཤེགས་པ་ལ་རིམ་གྲོ་དང་བསྙེན་བཀུར་བྱེད་པ་ཡིན། ||| “How, Mañjuśrī, do monks worship and pay homage to the thus-gone ones?”
སྨྲས་པ། ཚངས་པ་དགེ་སློང་གང་ལུས་དང་། ངག་དང་། ཡིད་ཀྱིས་རྟུལ་བར་མི་བྱེད་པའི་དགེ་སློང་དེ་ནི་དེ་བཞིན་གཤེགས་པ་ལ་རིམ་གྲོ་དང་བསྙེན་བཀུར་བྱེད་པའོ། ། ||| “Brahmā, when a monk makes no effort with body, speech, or mind, that monk worships and pays homage to the thus-gone ones.”
སྨྲས་པ། འཇམ་དཔལ་སུས་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པར་འགྱུར། ||| “Mañjuśrī, who makes offerings to the thus-gone ones?”
སྨྲས་པ། ཚངས་པ་གང་བསོད་ནམས་དང་། བསོད་ནམས་མ་ཡིན་པ་དང་། མི་གཡོ་བར་ཉེ་བར་འགྲོ་བའི་འདུ་བྱེད་ཐམས་ཅད་མངོན་པར་འདུ་མི་བྱེད་པའོ། ། ||| “Brahmā, those who do not produce any meritorious, non-meritorious, or nontransferring action.”
སྨྲས་པ། འཇམ་དཔལ་སུས་དེ་བཞིན་གཤེགས་པ་མཐོང་། ||| “Mañjuśrī, who can see the thus-gone ones?”
སྨྲས་པ། གང་ཤའི་སྤྱན་དང་། ལྷའི་སྤྱན་དང་། ཤེས་རབ་ཀྱི་སྤྱན་དང་། ཆོས་ཀྱི་སྤྱན་དང་། སངས་རྒྱས་ཀྱི་སྤྱན་ལའང་མངོན་པར་མ་ཆགས་པ་དེས་དེ་བཞིན་གཤེགས་པ་མཐོང་ངོ་། ||| “Those who have no attachment to the eye of flesh, the divine eye, the wisdom eye, the Dharma eye, or the Buddha eye.”
།སྨྲས་པ། འཇམ་དཔལ་སུས་ཆོས་མཐོང་། ||| “Mañjuśrī, who sees the Dharma?”
སྨྲས་པ། གང་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་མཐོང་ཞིང་འགལ་བར་མི་བྱེད་པ་རྣམས་ཀྱིས་སོ། ། ||| “Those who see the dependent origination of things and do not contradict it.”
སྨྲས་པ། སུས་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་རྣམས་མཐོང་། ||| “Who sees dependent origination?”
སྨྲས་པ། གང་མཉམ་པ་ཉིད་མི་སྐྱེད་ཅིང་འགལ་བར་མི་བྱེད་པས་སོ། ||| “Those who do not produce equality or contradict it.”
།སྨྲས་པ། འཇམ་དཔལ་སུ་དག་མངོན་པར་ཤེས་པ་ཐོབ། ||| “Mañjuśrī, who acquires the superknowledges?”
སྨྲས་པ། གང་ཟག་པ་མི་སྐྱེད་ཅིང་མི་འགོག་པ་རྣམས་སོ། ། ||| “Those who do not produce or stop contaminations.”
སྨྲས་པ། འཇམ་དཔལ་སུས་དེ་བཞིན་གཤེགས་པའི་བསླབ་པ་ལ་སློབ། ||| “Mañjuśrī, who engages in the trainings of the thus-gone ones?”
སྨྲས་པ། གང་མངོན་པར་འདུ་མི་བྱེད་པ་དང་། མྱོང་བར་མི་བྱེད་པ་དང་། མི་སྐྱེད་པ་དང་། སོ་སོར་མི་སྤོང་བ་རྣམས་སོ། ། ||| “Those who do not create, experience, produce, or abandon anything.”
སྨྲས་པ། འཇམ་དཔལ་སུ་ཡང་དག་པར་ཞུགས། ||| “Mañjuśrī, who is correctly engaged?”
སྨྲས་པ། གང་ཁམས་གསུམ་པ་ལ་མ་ཞུགས་པའོ། ། ||| “Those who do not engage in the three realms.”
སྨྲས་པ། འཇམ་དཔལ་གང་ཤིན་ཏུ་དུལ་བ་ཡིན། ||| “Mañjuśrī, who is throughtly tamed?”
སྨྲས་པ། གང་ཡང་སྲིད་པ་མི་ལེན་པའོ། ||| “Those who do not take rebirth.”
།སྨྲས་པ། འཇམ་དཔལ་གང་བདེ་བར་གྱུར་པ་ཡིན། ||| “Mañjuśrī, who becomes happy?”
སྨྲས་པ། གང་ང་ཡིར་བྱ་བ་མེད་པ་རྣམས་སོ། ||| “Those who are without a sense of ownership.”
།སྨྲས་པ། འཇམ་དཔལ་སུ་དག་གྲོལ་བ་ཡིན། ||| “Mañjuśrī, who is liberated?”
སྨྲས་པ། གང་དམིགས་པར་འཁྲུག་པར་མི་བྱེད་པ་རྣམས་སོ། ||| “Those who are not disturbed by apprehending.”
།སྨྲས་པ། འཇམ་དཔལ་སུ་དག་རྒལ་བ་ཡིན། ||| “Mañjuśrī, who has crossed over?”
སྨྲས་པ། གང་འཁོར་བ་དང་། མྱ་ངན་ལས་འདས་པ་ལ་མི་གནས་པ་རྣམས་སོ། ། ||| “Those who abide in neither saṃsāra nor nirvāṇa.”
སྨྲས་པ། འཇམ་དཔལ་ཟག་པ་ཟད་པའི་དགེ་སློང་ཅི་ཟད། ||| “Mañjuśrī, the monks who have exhausted contaminations—what have they exhausted?”
སྨྲས་པ། ཚངས་པ་གལ་ཏེ་ཟད་པར་གྱུར་ན་ནི་ཟག་པ་ཟད་པར་མི་འགྱུར་ཏེ། ||| “Brahmā, if they have exhausted the contaminations, they do not exhaust contaminations.
ཟག་པ་དེ་དག་ནི་སྐད་ཅིག་པ་ཡིན་པ་དེས་དེ་དག་དེ་བཞིན་དུ་ཤེས་པས་ན་དེའི་ཕྱིར་ཟག་པ་ཟད་པ་ཞེས་བྱའོ། ||| These contaminations are momentary; knowing this is called exhausting the contaminations.”
།སྨྲས་པ། འཇམ་དཔལ་སུ་དག་བདེན་པར་སྨྲ་བ་ཡིན། ||| “Mañjuśrī, who speaks the truth?”
སྨྲས་པ། གང་རྩོད་པ་ཐམས་ཅད་ལས་ཤིན་ཏུ་འདས་པ་རྣམས་སོ། ། ||| “Those who are beyond all argument.”
སྨྲས་པ། འཇམ་དཔལ་སུ་ལམ་དུ་ཞུགས་པ་ཡིན། ||| “Who sets out on the path?”
སྨྲས་པ། ཚངས་པ་བྱིས་པ་སོ་སོའི་སྐྱེ་བོ་རྣམས་ལམ་དུ་ཞུགས་པའོ། ||| “Brahmā, immature, ordinary beings set out on the path.”
།སྨྲས་པ། འཇམ་དཔལ་སུ་ལམ་མ་ཡིན་པར་ཞུགས་པ་ཡིན། ||| “Mañjuśrī, who sets out on no path?”
སྨྲས་པ། གང་གིས་ཆོས་ཐམས་ཅད་གང་ནས་ཀྱང་མ་འོངས་པ་དང་། གང་དུ་ཡང་མི་འགྲོ་བར་ཤེས་པའི་འཕགས་པ་རྣམས་སོ། ། ||| “The noble ones who know that all phenomena do not come from anywhere and do not go anywhere.”
སྨྲས་པ། འཇམ་དཔལ་བདེན་པ་མཐོང་བ་གང་ཡིན། ||| “Mañjuśrī, how do we see the truth?”
སྨྲས་པ། ཆོས་གང་ཡང་མི་མཐོང་བའོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ཇི་ཙམ་དུ་མཐོང་བ་དེ་ཙམ་དུ་བརྫུན་ཏེ། མཐོང་བ་མེད་པ་ནི་བདེན་པ་མཐོང་བའོ། ། ||| “By not seeing anything. Why? If you see something, this means it is not true; that is why not seeing is seeing the truth.”
སྨྲས་པ། གང་མཐོང་བས་བདེན་པ་མཐོང་། ||| “What do you see when you see the truth?”
སྨྲས་པ། ལྟ་བར་གྱུར་པ་ཐམས་ཅད་མ་མཐོང་བས་བདེན་པ་མཐོང་ངོ་། ||| “To not see any views is seeing the truth.”
།སྨྲས་པ། དེ་གང་དུ་བཙལ་བར་བྱ། ||| “Where should we search for it?”
སྨྲས་པ། ཕྱིན་ཅི་ལོག་བཞི་དག་ལས་བདེན་པ་བཙལ་བར་བྱའོ། ། ||| “Search for the truth in the four errors.”
སྨྲས་པ། འཇམ་དཔལ་ཅི་ལ་བསམས་ཏེ་དེ་སྐད་སྟོན། ||| “Mañjuśrī, what do you have in mind when you say that?”
སྨྲས་པ། ཕྱིན་ཅི་ལོག་བཞི་ཚོལ་བ་གང་ཡིན་པ་དེ་ལ་རྟག་པ་ཡང་མེད། བདེ་བ་ཡང་མེད། བདག་ཀྱང་མེད། གཙང་བ་ཡང་མེད་དེ། ||| “When investigating the four errors, one finds that there is no permanence, happiness, self, or purity.
གང་ལ་རྟག་པ་མེད་པ་དེ་ནི་མི་རྟག་པའོ། ||| What is not permanent is impermanent.
།གང་ལ་བདེ་བ་མེད་པ་དེ་ནི་སྡུག་བསྔལ་བའོ། ||| What is not happiness is suffering.
།གང་ལ་བདག་མེད་པ་དེ་ནི་བདག་ཡོད་པའོ། །གང་ལ་གཙང་བ་མེད་པ་དེ་ནི་མི་གཙང་བའོ། ||| What is without self is selfless. What is not pure is impure.
།ཚངས་པ་ཆོས་ཐམས་ཅད་ལ་བདག་མེད་པ་ནི་འཕགས་པའི་བདེན་པ་ཚོལ་བ་སྟེ། ||| Brahmā, seek the truth of the nobles ones – that all phenomena are selfless.
གང་བདེན་པ་ཚོལ་བ་འདི་ནི་སྡུག་བསྔལ་ཡོངས་སུ་མི་ཤེས་པ་ནས་ལམ་གྱི་བར་དུ་མི་སྒོམ་པའོ། ||| Those who search for this truth do not know suffering, do not abandon its origin, do not realize cessation, and do not practice the path.”
།སྨྲས་པ། འཇམ་དཔལ་ཇི་ལྟར་ན་ལམ་སྒོམ་པ་ཡིན། ||| “Mañjuśrī, how do you practice the path?”
སྨྲས་པ། སྒོམ་པ་ན་ཇི་ལྟར་དངོས་པོར་ཡང་མི་ལྟུང་། དངོས་པོ་མེད་པ་ཡང་མི་ལྟུང་ཞིང་ཆོས་གང་ཡང་དངོས་པོར་ཡང་མི་ལྟུང་ངོ་། །དངོས་པོ་མེད་པ་ཡང་མི་བྱེད་དེ། ||| “One should not mistake practice for a thing, mistake practice for a non-thing, or mistake any phenomenon for a thing or for a non-thing.
ཚངས་པ་གཉིས་དང་བྲལ་བ་ནི་ལམ་མོ། ||| Brahmā, freedom from duality is the path.
།ལམ་གང་གིས་བཙལ་བས་ཆོས་ཐམས་ཅད་མི་དམིགས་པ་འདི་ནི་ལམ་མོ། ||| If one does not apprehend any phenomenon while on the path, then that is the path.
།ལམ་གང་གང་དུ་ཡང་ཕྲད་པར་མི་བྱེད་དེ། ||| The path does not produce or remove anything.
འདོར་བ་ཡང་མི་བྱེད་ཅིང་འཁོར་བ་ཡང་མེད། མྱ་ངན་ལས་འདས་པ་ཡང་མེད་པའོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Saṃsāra does not exist, nor does nirvāṇa. Why not?
ཕྲད་པར་བྱེད་པ་ཡང་མེད། འདོར་བའང་མེད་པ་ནི་འཕགས་པ་རྣམས་ཀྱི་ལམ་མོ། ||| There is nothing to obtain, and nothing to eliminate—this is the path of the noble ones.”
།དེ་ནས་བྲམ་ཟེ་ཤིང་སཱ་ལ་ཆེན་པོ་ལྟ་བུའི་བུ་མཉམ་པར་གནས་པ་ཞེས་བྱ་བས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །འཇམ་དཔལ་ཇི་ལྟར་ན་དགེ་བསྙེན་སངས་རྒྱས་ལ་སྐྱབས་སུ་སོང་བ་ཡིན། ||| At this point the great sāla-tree-like brahmin householder Samavartin asked Mañjuśrī, “Youthful Mañjuśrī, how should a lay practitioner take refuge in the Buddha?
ཅི་ལྟར་ན་ཆོས་ལ་སྐྱབས་སུ་སོང་བ་ཡིན། ||| How should he take refuge in the Dharma?
ཇི་ལྟར་ན་དགེ་འདུན་ལ་སྐྱབས་སུ་སོང་བ་ཡིན། ||| How should he take refuge in the Saṅgha?”
སྨྲས་པ། རིགས་ཀྱི་བུ་ནམ་དགེ་བསྙེན་ལྟ་བ་གཉིས་ཉེ་བར་མི་ལེན་པ་སྟེ། ||| “Noble son, a lay practitioner should avoid grasping these dualistic views:
གཉིས་གང་ཞེ་ན།
བདག་ཏུ་ལྟ་བ་མི་ལེན། ཕ་རོལ་ཏུ་ལྟ་བ་མི་ལེན། བདག་ཏུ་ལྟ་བ་མི་ལེན། སངས་རྒྱས་སུ་ལྟ་བ་མི་ལེན། བདག་ཏུ་ལྟ་བ་མི་ལེན། ཆོས་སུ་ལྟ་བ་མི་ལེན། བདག་ཏུ་ལྟ་བ་མི་ལེན། དགེ་འདུན་དུ་ལྟ་བ་མི་ལེན་པ་དེ་ཙམ་གྱིས་དགེ་བསྙེན་སངས་རྒྱས་དང་། ཆོས་དང་དགེ་འདུན་ལ་སྐྱབས་སུ་སོང་བ་ཡིན་ནོ། ||| the view of a self and the view of an other, the view of a self and the Buddha, the view of a self and the Dharma, and the view of a self and the Saṅgha. Lay practitioners thereby take refuge in the Buddha, the Dharma, and the Saṅgha.
།གཞན་ཡང་རིགས་ཀྱི་བུ་ནམ་དགེ་བསྙེན་དེ་བཞིན་གཤེགས་པ་གཟུགས་སུ་ཁས་མི་ལེན། ཚོར་བར་མ་ཡིན། འདུ་ཤེས་སུ་མ་ཡིན། འདུ་བྱེད་དུ་མ་ཡིན། དེ་བཞིན་གཤེགས་པ་རྣམ་པར་ཤེས་པར་ཡང་ཁས་མི་ལེན་ན་དེ་ལྟར་ན་སངས་རྒྱས་ལ་སྐྱབས་སུ་སོང་བ་ཡིན་ནོ། ||| Furthermore, noble son, when lay practitioners do not relate to the Thus-Gone One as form, feeling, perception, formation, or consciousness, they have taken refuge in the Buddha.
།ནམ་ཆོས་གང་ལ་ཡང་རྣམ་པར་མི་རྟོག་ཅིང་སྒྲོ་མི་འདོགས་ན། དེ་ལྟར་ན་ཆོས་ལ་སྐྱབས་སུ་སོང་བ་ཡིན་ནོ། ||| When lay practitioners do not conceptualize or elaborate any phenomenon, they have taken refuge in the Dharma.
།ནམ་དགེ་འདུན་འདུས་མ་བྱས་སུའང་མོས་ལ། འདུས་བྱས་ལས་གུད་ནའང་འདུས་མ་བྱས་སུ་མོས་པར་ཡང་མི་བྱེད་ན། དེ་ལྟར་ན་དགེ་འདུན་ལ་སྐྱབས་སུ་སོང་བ་ཡིན་ནོ། ||| When lay practitioners consider the Saṅgha as unconditioned, while not negating its conditioned nature, they take refuge in the Saṅgha.
།གཞན་ཡང་རིགས་ཀྱི་བུ་ནམ་དགེ་བསྙེན། སངས་རྒྱས་སུའང་མི་དམིགས། ཆོས་སུའང་མི་དམིགས། དགེ་འདུན་དུ་ཡང་མི་དམིགས་ན་དེ་ལྟར་ན་སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་འདུན་ལ་སྐྱབས་སུ་སོང་བ་ཡིན་ནོ། ། ||| Moreover, noble son, lay practitioners who do not apprehend the Buddha, the Dharma, or the Saṅgha take refuge in the Buddha, Dharma, and Saṅgha.”
མཉམ་པར་གནས་པས་སྨྲས་པ། འཇམ་དཔལ་བྱང་ཆུབ་སེམས་དཔའ་གང་འདི་དག་བྱང་ཆུབ་ཏུ་རབ་ཏུ་ཞུགས་པ་དེ་དག་གང་དུ་རབ་ཏུ་ཞུགས་པ་ཡིན། ||| Samavartin then asked, “Mañjuśrī, the bodhisattvas who have entered awakening—where have they entered?”
སྨྲས་པ། བླ་གབ་མེད་པ་ལ་རབ་ཏུ་ཞུགས་སོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “They have entered open space. Why?
བྱང་ཆུབ་ནི་བླ་གབ་མེད་པ་དང་མཚུངས་སོ། ||| Awakening is like open space.”
།སྨྲས་པ། འཇམ་དཔལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་བྱང་ཆུབ་ཏུ་རབ་ཏུ་ཞུགས་པ་ཞེས་བརྗོད་པར་བྱ། ||| “Mañjuśrī, why do we then say that ‘a bodhisattva has entered awakening’?”
སྨྲས་པ། རིགས་ཀྱི་བུ་ནམ་བྱང་ཆུབ་སེམས་དཔའ་རབ་ཏུ་འཇུག་པ་ཐམས་ཅད་རབ་ཏུ་འཇུག་པ་མ་ཡིན་པར་རབ་ཏུ་ཤེས་པ་དང་། ཆོས་ཐམས་ཅད་ཆོས་མ་ཡིན་པར་རབ་ཏུ་ཤེས་པ་དང་། སེམས་ཅན་ཐམས་ཅད་སེམས་ཅན་མ་ཡིན་པར་རབ་ཏུ་ཤེས་པ་སྟེ། དེ་ལྟར་ན་རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་བྱང་ཆུབ་ལ་རབ་ཏུ་ཞུགས་པ་ཞེས་བརྗོད་པར་བྱའོ། ||| “Noble son, bodhisattvas know that all entering is not entering. They know that all phenomena are not phenomena. They know that all beings are not beings. This, noble son, is when we say that ‘a bodhisattva has entered awakening.’”
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྲམ་ཟེ་ཤིང་སཱ་ལ་ཆེན་པོ་ལྟ་བུའི་བུ་མཉམ་པར་གནས་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱི། ||| Then the great sāla-tree-like brahmin householder Samavartin asked the Blessed One, “Blessed One, why are bodhisattvas called bodhisattvas?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་ནམ་བྱང་ཆུབ་སེམས་དཔའ་ལོག་པར་ངེས་པའི་སེམས་ཅན་རྣམས་ལ་སྙིང་རྗེ་བསྐྱེད་ཅིང་ཡང་དག་པར་ངེས་པའི་སེམས་ཅན་རྣམས་ལ་ལྷག་པར་གུས་པ་མི་སྐྱེད་པའི་ཚིག་བླ་དགས་ནི་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བྱའོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Noble son,” the Blessed One replied, “when bodhisattvas generate compassion for beings stuck in their wrong ways, while arousing no favoritism for beings who are firmly engaged in correct ways, they are called bodhisattvas. Why?
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་ནི་ངེས་པ་དང་མ་ངེས་པའི་སེམས་ཅན་རྣམས་ཀྱི་ཕྱིར་བྱང་ཆུབ་ཏུ་སྨོན་ལམ་མི་འདེབས་ཀྱི། ||| Noble son, bodhisattvas do not make aspirations toward awakening for the sake of beings who are firmly engaged or those who are undetermined.
གཞན་དུ་ན་ལོག་པར་ངེས་པའི་སེམས་ཅན་རྣམས་ཀྱི་ཕྱིར་བྱང་ཆུབ་ཏུ་སྨོན་ལམ་འདེབས་ཏེ། དེའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བྱའོ། ||| Their aspirations toward awakening are reserved for those beings who are stuck in their wrong ways—this is why they are called bodhisattvas.
།དེ་བས་ན་རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་ལོག་པར་ངེས་པའི་སེམས་ཅན་རྣམས་ལ་སྙིང་རྗེ་བར་བྱས་ནས་བྱང་ཆུབ་ཏུ་སྨོན་ལམ་འདེབས་ཏེ་དེའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བྱའོ། ||| Therefore, noble son, bodhisattvas make their aspirations toward awakening out of compassion for beings who are stuck in wrong ways—this is why they are called bodhisattvas.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་བྱང་ཆུབ་ཅེས་བྱ་བས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་གང་གི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱི་བ་བདག་ཀྱང་སྤོབས་སོ། ||| Then a bodhisattva called Bodhi addressed the Blessed One, “Blessed One, I would like to explain why they are called bodhisattvas.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། བྱང་ཆུབ་ཁྱོད་སྤོབས་པར་གྱིས་ཤིག ||| “Bodhi, please do so,” replied the Blessed One.
།བྱང་ཆུབ་ཀྱིས་གསོལ་པ། བཅོམ་ལྡན་འདས་འདི་ལྟ་སྟེ། སྐྱེས་པའམ། བུད་མེད་ཇི་ལྟ་བུར་བསྟན་པའི་ཡན་ལག་བརྒྱད་དང་ལྡན་པའི་གསོ་སྦྱིན་ལ་མ་རལ་མ་ཞིག་པར་ཉེ་བར་གནས་ན་དེ་ཡན་ལག་བརྒྱད་ཀྱི་གསོ་སྦྱིན་ཡང་དག་པར་བླངས་པ་ཞེས་བགྱི་བའི་གྲངས་སུ་མཆིའོ། ||| “Blessed One,” said Bodhi, “when a man or a woman follows the eight vows of fasting as they are instructed—without breaking them—we say that they have taken those vows properly.
།བཅོམ་ལྡན་འདས་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དང་པོ་བསྐྱེད་པ་ནས་བཟུང་སྟེ། བྱང་ཆུབ་ཀྱི་སྙིང་པོའི་བར་དུ་བྱང་ཆུབ་ཀྱི་སེམས་ལས་མ་གཡོས་པ་ལགས་ཏེ། ||| Likewise, Blessed One, from the first arousing of the mind of awakening until reaching the seat of awakening, bodhisattvas never waver from the mind of awakening.
དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ། ||| This is the reason why they are called bodhisattvas.”
བྱང་ཆུབ་སེམས་དཔའ་བློ་གྲོས་བརྟན་པས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་ལྷག་པའི་བསམ་པ་བརྟན་པས་སེམས་ཅན་ལ་མི་དམིགས་པའི་བྱམས་པ་དང་ལྡན་པ་ལགས་ཏེ། དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ། ||| Then the bodhisattva Dṛḍhamati said, “Blessed One, when bodhisattvas have a firm resolve that instils in them loving kindness that does not apprehend sentient beings, they are called bodhisattvas.”
བྱང་ཆུབ་སེམས་དཔའ་སེམས་ཅན་སྒྲོལ་གྱིས་གསོལ་པ། བཅོམ་ལྡན་འདས་འདི་ལྟ་སྟེ་དཔེར་ན། གྲུའམ་ཟམ་པ་ནི་སེམས་ཅན་རྒལ་བ་ལ་སྐྱོ་བ་མ་མཆིས་ཤིང་རྣམ་པར་མི་རྟོག་པ་དེ་བཞིན་དུ་བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་ལ་སེམས་ཅན་ཐམས་ཅད་བསྒྲལ་བའི་སླད་དུ་དེ་ལྟ་བུའི་སེམས་མཆིས་པ་དེ་ནི་དེའི་སླད་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱིའོ། ||| The bodhisattva Sattvatara said, “Blessed One, bridges or boats let beings cross to the other shore without growing weary and without conceptualizing it. Likewise, Blessed One, when bodhisattvas’ minds are like that regarding the liberation of all beings, they are called bodhisattvas.”
