༄༅༅། །རྒྱ་གར་སྐད་དུ། ཤཱ་རྡཱུ་ལ་ཀརྞ་ཨ་བ་དཱ་ན། བོད་སྐད་དུ།
སྟག་རྣའི་རྟོགས་པ་བརྗོད་པ། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Exemplary Tale of Śārdūlakarṇa {M.1} Homage to all buddhas and bodhisattvas!
དེའི་སྐད་ཅིག་མ་ཉི་ཤུ་རྩ་དྲུག་ལ་ནི་སྐད་ཅིག་གཅིག ། ||| One hundred twenty of such tatkṣaṇas make one kṣaṇa.
སྐད་ཅིག་དྲུག་ལ་ནི་ཐང་ཅིག་གཅིག་གོ། ། ||| Sixty kṣaṇas make one lava.
ཐང་ཅིག་གསུམ་ལ་ནི་ཡུད་ཙམ་གཅིག་གོ། ། ||| Thirty lavas make one muhūrta.
དེ་ལྟ་བུའི་རིམ་པས་རྗེས་སུ་འབྲེལ་པའི་ཡུད་ཙམ་སུམ་ཅུ་ལ་ནི་ཉིན་ཞག་ཏུ་ཤེས་པར་བྱའོ། ། ||| And by this sequence one day and night consists of thirty muhūrtas.
ཡུད་ཙམ་དེ་དག་ལ་འདི་ལྟ་བུའི་མིང་དུ་འགྱུར་ཏེ། ||| “ ‘The names of the muhūrtas are as follows.
ཉི་མ་ཤར་བ་ན་སྐྱེས་བུ་དྲུག་ཅུ་རྩ་དགུའི་གྲིབ་མ་འཇམ་པ་ནི་མཐོན་པོ་བཞི་པ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| When the sun rises and the shadow measures ninety-six human lengths, it is the muhūrta called Caturojā.
སྐྱེས་བུ་དྲུག་ཅུས་གཞལ་བའི་གྲིབ་མ་ནི་དཀར་པོ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| When the shadow measures sixty human lengths, it is the muhūrta called Śveta.
སྐྱེས་བུ་བཅུ་གཉིས་ཀྱིས་གཞལ་བའི་གྲིབ་མའི་ཡུན་ལ་ཡང་དག་པར་འཕེལ་བ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| When the shadow measures twelve human lengths, it is the muhūrta called Samṛddha.
སྐྱེས་བུ་དྲུག་གིས་གཅལ་བའི་གྲིབ་མའི་ཡུན་ལ་སྟོན་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| When the shadow measures six human lengths, it is the muhūrta called Śarapatha.
སྐྱེས་བུ་ལྔ་ཡིས་གཅལ་བའི་གྲིབ་མའི་ཡུན་ལ་མངོན་པར་འཕེལ་བ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| {M.55} When the shadow measures five human lengths, it is the muhūrta called Atisamṛddhi.
སྐྱེས་བུ་བཞི་ཡིས་གཅལ་བའི་གྲིབ་མའི་ཡུན་ལ་གང་གསུམ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| When the shadow measures four human lengths, it is the muhūrta called Udgata.
སྐྱེས་བུ་གསུམ་གྱིས་གཅལ་བའི་གྲིབ་མའི་ཡུན་ལ་བཞིན་ལེགས་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| When the shadow measures three human lengths, it is the muhūrta called Sumukha.
ཉི་མ་གུང་ན་གནས་པ་ནི་གང་གི་རྡོ་རྗེ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| At noon it is the muhūrta called Vajraka.
དེའི་རྗེས་ལ་ནི་སྲིན་པོ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| Right after, it is the muhūrta called Rākṣasa.
དབུས་ནས་ཅུང་ཞིག་ཡོལ་བ་སྐྱེས་བུ་གཅིག་གིས་གཅལ་བའི་གྲིབ་མའི་ཡུན་ནི་རོ་ཧི་ཏ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| In the afternoon, when the shadow measures three human lengths, it is the muhūrta called Rohita.
སྐྱེས་བུ་བཞི་ཡིས་གཅལ་བའི་གྲིབ་མའི་ཡུན་ནི་སྟོབས་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| When the shadow measures four human lengths, it is the muhūrta called Bala.
སྐྱེས་བུ་ལྔས་གཅལ་བའི་གྲིབ་མའི་ཡུན་ནི་རྣམ་པར་རྒྱལ་བ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| When the shadow measures five human lengths, it is the muhūrta called Vijaya.
སྐྱེས་བུ་དྲུག་གིས་གཞལ་བའི་གྲིབ་མའི་ཡུན་ནི་རོ་ཐམས་ཅད་པ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| When the shadow measures six human lengths, it is the muhūrta called Sarvarasa.
སྐྱེས་བུ་བཅུ་གཉིས་ཀྱི་གཅལ་བའི་གྲིབ་མའི་ཡུན་ནི་ནོར་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| When the shadow measures twelve human lengths, it is the muhūrta called Vasu.
སྐྱེས་བུ་བརྒྱད་ཀྱིས་གཞལ་བའི་གྲིབ་མའི་ཡུན་ནི་བལྟ་ན་སྡུག་ཅེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| When the shadow measures sixty human lengths, it is the muhūrta called Sundara.
སྐྱེས་བུ་དྲུག་ཅུ་རྩ་དགུས་གཅལ་བའི་གྲིབ་མའི་ཡུན་ནི་གཞན་འཇིགས་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། །དེ་དག་ནི་ཉི་མ་ནུབ་པར་རྩོམ་པ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་ཏེ། ||| When the sun sets and the shadow measures ninety-six human lengths, it is the muhūrta called Parabhaya.
དེ་དག་ནི་ཉིན་མོ་རྣམས་ཀྱི་ཡུད་ཙམ་ཡིན་ནོ། ། ||| These are the muhūrtas during daytime.
ཀྱེ་པད་མའི་སྙིང་པོ་མཚན་མོ་རྣམས་ཀྱི་ཡུད་ཙམ་བཤད་པར་བྱ་སྟེ། འདི་ལྟ་སྟེ། ||| “ ‘Now, dear Puṣkarasārin, let me set forth the muhūrtas during nighttime.
ཉི་མ་ནུབ་པ་ནི་དྲག་པོ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| When the sun has set, it is the muhūrta called Raudra.
དེའི་རྗེས་ལ་ནི་སྐར་མ་རྒྱུ་བ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། །དེ་ནས་ཡང་དག་ཟུང་ཞེས་བྱ་བའི་ཡུད་ཙམ་མོ། །དེ་ནས་ད་ལྟར་ཞེས་བྱ་བའི་ཡུད་ཙམ་མོ། །དེ་ནས་མཐའ་མེད་ཅེས་བྱ་བའི་ཡུད་ཙམ་མོ། །དེ་ནས་བོང་བུ་ཞེས་བྱ་བའི་ཡུད་ཙམ་དུ་འགྱུར་རོ། ། ||| Then it is the muhūrta called Tārāvacara, then the muhūrta called Saṃyama, {M.56} then the muhūrta called Sāṃpraiyaka, then the muhūrta called Ananta, then the muhūrta called Gardabha, and then the muhūrta called Rākṣasa.
དེ་ནས་སྲིང་མོ་ཞེས་བྱ་བའི་ཡུད་ཙམ་མོ། །ནམ་གྱི་གུང་ལ་གནས་པ་ན་ནི་ཆ་ཤས་ཞེས་བྱ་བའི་ཡུད་ཙམ་མོ། ། ||| At midnight it is the muhūrta called Avayava.
ནམ་གྱི་གུང་འདས་པ་ན་བྲམ་ཟེ་ཞེས་བྱ་བའི་ཡུད་ཙམ་མོ། །དེ་ནས་ཉིས་སྐྱེད་ཅེས་བྱ་བའི་ཡུད་ཙམ་མོ། །དེ་ནས་མརྒ་ཞེས་བྱ་བའི་ཡུད་ཙམ་མོ། །དེ་ནས་མུན་འཇིགས་ཞེས་བྱ་བའི་ཡུད་ཙམ་མོ། ། ||| After the passing of midnight it is the muhūrta called Brahmā.
དེ་ནས་མེ་ཞེས་བྱ་བའི་ཡུད་ཙམ་མོ། ། ||| Then it is the muhūrta called Diti, then the muhūrta called Arka, then the muhūrta called Vidhamana, then the muhūrta called Āgneya, then the muhūrta called Ātapāgni, and then the muhūrta called Abhijit.
དེ་ནས་ཉི་མས་གདུངས་པ་ཞེས་བྱ་བའི་ཡུད་ཙམ་མོ། ། ||| These are the muhūrtas during nighttime.
དེ་ནས་བྱི་བཞིན་ཞེས་བྱ་བའི་ཡུད་ཙམ་མོ། །པད་མའི་སྙིང་པོ་ཡུད་ཙམ་སུམ་ཅུ་པོ་དེ་དག་ནི་ཉིན་ཞག་ཡིན་པར་ཤེས་པར་བྱའོ། ། ||| “ ‘Dear Puṣkarasārin, these are the thirty muhūrtas that are known to make a day and a night.
དེ་ཡི་སྐད་ཅིག་ཐང་ཅིག་ཡུད་ཙམ་ནི། ཡུད་ཙམ་སུམ་ཅུའི་ཆ་མཆོག་ཐང་ཅིག་གོ། ། ||| “ ‘As regards tatkṣaṇa, kṣaṇa, lava, and muhūrta, a thirtieth part of a muhūrta is a lava.
ཐང་ཅིག་ཆ་མཆོག་དྲུག་ཆ་སྐད་ཅིག་གོ། ། ||| A sixtieth part of a lava is a kṣaṇa.
སྐད་ཅིག་ཉི་ཤུ་བརྒྱ་ཆ་དེ་སྐད་ཅིག ། ||| A hundred-and-twentieth part of a kṣaṇa is a tatkṣaṇa.
ཇི་ལྟར་བུད་མེད་རིང་ཐུང་གིས། །རས་བལ་འདའ་བ་འདྲེན་སྤངས་པ། །འདིར་དེ་སྐད་ཅིག་རིང་པོ་སྟེ། ། ||| And the time it takes for a woman to make one spin on the spinning wheel, neither too long nor too short, is the duration of a tatkṣaṇa.
དེ་ཡི་སྐད་ཅིག་བརྒྱ་ཉི་ཤུ། ། ||| A hundred-and-twenty tatkṣaṇas make one kṣaṇa.
སྐད་ཅིག་གཅིག་དེ་དྲུག་ཐང་ཅིག ། ||| Sixty kṣaṇas make one lava.
ཐང་ཅིག་སུམ་ཅུ་ཡུད་ཙམ་ཅིག ། ||| Thirty lavas make one muhūrta.
དེ་ལྟ་བུ་ཡི་སྦྱོར་བ་ཡིས། །ཡུད་ཙམ་སུམ་ཅུ་ཉིན་ཞག་གཅིག ། ||| By this sequence, thirty muhūrtas make one day and night.
ཉིན་ཞག་སུམ་ཅུ་ཟླ་གཅིག་སྟེ། ། ||| Thirty days and nights make one month.
ཟླ་བ་བཅུ་གཉིས་ལོ་གཅིག་གོ། །བཞི་མཐོན་དཀར་དང་འཇམ་བཅས་དང་། །ཉི་སྐྱེས་བཞིན་ལེགས་སྤོང་བྱེད་དང་། །རོ་ཧི་སྟོབས་ལྡན་རྣམ་རྒྱལ་དང་། །ཐམས་ཅད་རོ་པ་ནོར་དང་ནི། །མན་ད་ར་དང་གཞན་འཇིགས་དང་། ། ||| Twelve months make one year.
དྲག་པོ་དང་ནི་སྐར་མ་སྤྱོད། །ཡང་དག་གཟུང་དང་ད་ལྟར་དང་། །མཐའ་ཡས་དང་ནི་བོང་བུ་དང་། །སྲིན་པོ་ཆ་ཤས་བྲམ་ཟེ་དང་། །ཨརྒ་དང་ནི་སྒྲུབ་པ་དང་། ། ||| Caturojā, Śveta, Samṛddha, Śarapatha, Atisamṛddhi, Udgata, {M.57} Sumukha, Vajraka, Rohita, Bala, Vijaya, Sarvarasa, Vasu, Sundara, Parabhaya, Raudra, Tārāvacara, Saṃyama, Sāṃpraiyaka, Ananta, Gardabha, Rākṣasa, Avayava, Brahmā, Diti, Arka, Vidhamana, Āgneya, Ātapāgni, and Abhijit—these are the names of the muhūrtas.
མེ་དང་མེ་ཡིས་གདུངས་པ་དང་། །བྱི་བཞིན་ཞེས་ནི་བྱ་བ་རྣམས། །ཡུད་ཙམ་རྣམས་ཀྱི་མིང་ཡིན་ནོ། །ཡང་བྲམ་ཟེ་དུས་རྣམས་ཀྱི་འབྱུང་བ་བཤད་པར་བྱ་ཡིས་ཉོན་ཅིག ། ||| “ ‘Brahmin, let me also speak to you on the derivation of time.
དུས་རྣམས་ཇི་ལྟར་འགྱུར་བ་ཡང་བརྗོད་པར་བྱའོ། ། ||| Please listen. “ ‘How is time measured?
མིག་འབྱེད་འཛུམས་གཉིས་ལ་ཐང་ཅིག་གཅིག་གོ། ། ||| It is said that two blinks of the eye make one lava.
ཐང་ཅིག་བརྒྱད་ལ་མཆོག་དཀའ་གཅིག་གོ། ། ||| Eight lavas make one kāṣṭhā.
མཆོག་དཀའ་བཅུ་དྲུག་ལ་ནི་དུས་ཚོད་གཅིག་གོ། ། ||| Sixteen kāṣṭhās make one kalā.
དུས་ཚོད་སུམ་ཅུ་ལ་ཆུ་ཚོད་གཅིག་གོ། ། ||| Thirty kalās make one nāḍikā.
དེ་ལ་ཆུ་ཚོད་གཉིས་ལ་ནི་ཡུད་ཙམ་གཅིག་གོ། ། ||| And two nāḍikās make one muhūrta.
ཡུད་ཙམ་གཅིག་གི་ཚད་ཅི་ཙམ་ཞེ་ན། ||| “ ‘How is a nāḍikā measured?
ཆུ་སྲང་བརྒྱ་བུམ་པར་བླུགས་ནས་འཛགས་པའི་ཚད་དོ། ། ||| It is said that one takes a bucket containing two hundred palas of water.
ཆུ་ཚོད་ཀྱི་བུམ་པའི་ཚད་ཅི་ཙམ་ཞེ་ན། ||| How big is the hole for the tube?
འོལ་མ་སེ་གཅིག་གིས་གསེར་སོར་བཞིར་བསྙད་དེ། ||| It is the size of one gold coin. On it one places a golden tube that is four fingers long.
ཕྱོགས་བཞི་ནས་མཉམ་པར་ཟླུམས་པའི་ཚད་ཀྱི་བུམ་པའི་ཞབས་སུ་བརྟོལ་ནས། ||| {M.58} The circumference should be completely round from all four corners.
ཆུ་ཟད་པ་དེ་ནི་ཆུ་ཚོད་གཅིག་གི་ཚད་དོ། ། ||| When the water has thus gone out of the vessel, one nāḍikā has elapsed.
ཆུ་ཚོད་གཉིས་ནི་ཡུད་ཙམ་གཅིག་གོ། ། ||| By this measurement of a nāḍikā, two individual nāḍikās make one muhūrta.
བྲམ་ཟེ་དེ་ལྟ་བུའི་ཡུད་ཙམ་སུམ་ཅུ་ལ་ནི་ཉིན་ཞག་གཅིག་ཏུ་འདོད་དོ། ། ||| By this, dear brahmin, thirty muhūrtas make one day and night.
མིག་འབྱེད་འཛུམས་བཅུ་དྲུག་ནི་མཆོག་དཀའོ། ། ||| “ ‘So sixteen blinks of the eye make one kāṣṭhā.
མཆོག་དཀའ་བཅུ་དྲུག་ལ་ནི་དུས་ཚོད་གཅིག་གོ། ། ||| Sixteen kāṣṭhās make one kalā.
དུས་ཚོད་དྲུག་ཅུ་ལ་ནི་ཡུད་ཙམ་གཅིག་གོ། ། ||| Sixty-four kalās make one muhūrta.
ཡུད་ཙམ་སུམ་ཅུ་ལ་ནི་ཉིན་ཞག་གཅིག་གོ། ། ||| Thirty muhūrtas make one day and night.
ཉིན་ཞག་སུམ་ཅུ་ལ་ཟླ་བ་གཅིག་གོ། ། ||| Thirty days and nights make one month.
ཟླ་བ་བཅུ་གཉིས་ལ་ནི་ལོ་གཅིག་གོ། །འདིར་མིག་ཕྱེ་བ་དང་བཙུམས་པ་བྱེ་བ་ཕྲག་བཅུ་དྲུག་པ་འབུམ་ཕྲག་ལྔ་བཅུ་རྩ་བརྒྱད་དང་། སྟོང་ཕྲག་བརྒྱད་ཅུ་ལ་ནི་ལོ་སྟེ། ||| Twelve months make one year, which thus measures 165,888,000 blinks of the eye.
ཡང་དེ་ལྟ་བུ་དེ་ནི་རེ་ཞིག་བྲམ་ཟེ་དུས་འབྱུང་བ་བཤད་པ་ཡིན་ནོ། ། ||| By this, brahmin, the derivation of time has been explained.
བྲམ་ཟེ་རྒྱང་གྲགས་དང་དཔག་ཚད་བསྐྱེད་པ་ཉོན་ཅིག ། ||| “ ‘Please listen, brahmin, to the derivation of the krośa and the yojana.
རྡུལ་ཕྲ་རབ་བདུན་ལ་ནི་རྡུལ་ཕྲན་གཅིག་གོ། ། ||| Seven paramāṇu make one aṇu.
རྡུལ་ཕྲན་བདུན་ལ་ནི་མཐོང་བ་ཐམས་ཅད་ལས་ཕྲ་བའི་ཉི་ཟེར་གྱི་རྡུལ་གཅིག་གོ། ། ||| Seven aṇus appear as the minutest of all, an airborne dust particle.
ཉི་ཟེར་གྱི་རྡུལ་བདུན་ལ་ནི་རི་བོང་གི་རྡུལ་གཅིག་གོ། ། ||| Seven such dust particles make one speck of dirt on a hare.
རི་བོང་གི་རྡུལ་བདུན་ལ་ནི་ལུག་རྡུལ་གཅིག་གོ། ། ||| Seven specks of dirt on a hare make one speck of dirt on a sheep.
ལུག་རྡུལ་བདུན་ལ་ནི་གླང་རྡུལ་གཅིག་གོ། ། ||| Seven specks of dirt on a sheep make one speck of dirt on a cow.
གླང་རྡུལ་བདུན་ལ་ནི་སྲོ་མ་གཅིག་གོ། ། ||| Seven specks of dirt on a cow make one louse egg.
སྲོ་མ་བདུན་ལ་ནི་ཤིག་གཅིག་གོ། ། ||| Seven louse eggs make one louse.
ཤིག་བདུན་ལ་ནི་ནས་གཅིག་གོ། ། ||| Seven lice make one grain of barley.
ནས་བདུན་ལ་ནི་སོར་གཅིག་གོ། ། ||| Seven grains of barley make one finger width.
སོར་བཅུ་གཉིས་ལ་ནི་མཐོ་གང་ངོ་། ། ||| Twelve finger widths make a hand span.
མཐོ་དོ་ལ་ནི་ཁྲུ་གང་ངོ་། ། ||| Two hand spans make one cubit.
ཁྲུ་བཞི་ལ་ནི་གཞུ་གང་ངོ་། ། ||| Four cubits make one bow.
གཞུ་སྟོང་ལ་ནི་རྒྱང་གྲགས་གཅིག་གོ། ། ||| One thousand bows make one krośa.
རྒྱང་གྲགས་བཞི་ལ་ནི་མ་ག་དྷཱའི་དཔག་ཚད་གཅིག་གོ། །དཔག་ཚད་གཅིག་ལ་རྡུལ་ཕྲ་རབ་བྱེ་བ་ཕྲག་འབུམ་ཕྲག་ཉི་ཤུ་རྩ་བཞི་དང་། བྱེ་བ་བརྒྱ་སྟོང་ཕྲག་སུམ་ཅུ་རྩ་དགུ་ཡོད་དེ། ||| Four krośas make one Magadhan yojana.{M.59} The length of 24,290,001,200,000 paramāṇus is the measure of a yojana.
ཡང་དེ་ལྟ་བུ་ནི་དཔག་ཚད་དོ། །བྲམ་ཟེ་གསེར་བསྐྱེད་པའི་ཚད་བཤད་པར་བྱ་ཡིས་ཉོན་ཅིག ། ||| “ ‘Please listen, brahmin, to the derivation of the measure of weight for gold.
ནས་བཅུ་གཉིས་ལ་ནི་མ་ཤ་ཀ་གཅིག་གོ། ། ||| Twelve grains of barley make one māṣaka.
མ་ཤ་ཀ་བཅུ་དྲུག་ལ་ནི་ཞོ་གཅིག་སྟེ། ||| Sixteen māṣakas make one karṣa.
གསེར་གྱི་ཚད་དོ། ། ||| The weight of gold is thereby assessed.
བྲམ་ཟེ་ཉོན་ཅིག །ཞོ་གཅིག་ལ་རྡུལ་ཕྲ་རབ་བྱེ་བ་ཕྲག་གཉིས་དང་། སྟོང་ཕྲག་ཉི་ཤུ་རྩ་ལྔ་དང་། བརྒྱ་ཕྲག་ལྔ་དང་ཉག་བརྒྱད་ཡོད་དོ། ། ||| One karṣa weighs as much as 20,025,508 paramāṇus.
བྲམ་ཟེ་ཡང་དེ་ལྟ་བུ་དེ་ནི་གསེར་བསྐྱེད་པའི་ཚད་ཡིན་ནོ། ། ||| This, brahmin, is the derivation of the measure of weight for gold.
བྲམ་ཟེ་སྲང་གི་ཚད་ཉོན་ཅིག ། ||| “ ‘Please listen, brahmin, to the derivation of the measure of weight of a pala.
མ་ཤ་ཀ་དྲུག་ཅུ་རྩ་བཞི་ལ་ནི་མ་ག་དྷཱའི་སྲང་གི་སྲང་གཅིག་གོ། ། ||| Sixty-four māṣakas is the weight of one Magadhan pala.
དེ་ནི་སྲང་གི་ཚད་མདོར་བསྡུས་པ་ཡིན་ནོ། ། ||| With Magadhan scales the weight of a pala is thus assessed.
སྲང་གཅིག་ལ་རྡུལ་ཕྲ་རབ་བྱེ་བ་ཕྲག་བརྒྱད་དང་བརྒྱ་སྟོང་ཕྲག་བཞི་བཅུ་རྩ་བཞི་དང་། བདུན་སྟོང་ཉིས་བརྒྱ་དང་ཉག་བརྒྱད་ཅུ་ཡོད་དེ། བྲམ་ཟེ་ཡང་དེ་ལྟ་བུ་དེ་ནི་སྲང་གི་ཚད་ཡིན་ནོ། ། ||| The weight of 84,707,280 paramāṇus, brahmin, is the measure of weight of a pala.
བྲམ་ཟེ་ཁུ་བ་གཞལ་བ་རྣམས་ཀྱི་ཚད་ཉོན་ཅིག ། ||| “ ‘Please listen, brahmin, to the derivation of the measure for liquids.
མ་ག་དྷཱའི་སྲང་ཉི་ཤུ་རྩ་བཞི་བྲེ་གང་སྟེ། ||| Twenty-four palas make one Magadhan prastha, the measure for liquids.
ཁུ་བ་རྣམས་གཅལ་བའི་ཚད་དོ། །མ་ག་དྷཱ་པ་རྣམས་ཀྱི་སྲང་དང་། བྲེ་མདོར་བསྟན་པ་ཡིན་ཏེ། ||| With Magadhan scales the measure of a prastha is thus assessed.
བྲེ་གང་ལ་རྡུལ་ཕྲ་རབ་བྱེ་བ་ཕྲག་ཉིས་བརྒྱ་རྩ་གསུམ་དང་། བརྒྱ་སྟོང་ཕྲག་སུམ་ཅུ་རྩ་དགུ་དང་། སྟོང་ཕྲག་བདུན་ཅུ་རྩ་བཞི་དང་། བདུན་བརྒྱ་དང་ཉག་ཉི་ཤུ་ཡོད་དོ། །བྲམ་ཟེ་ཡང་དེ་ལྟ་བུ་དེ་ནི་ཁུ་བ་རྣམས་གཅལ་བ་ཡིན་ནོ། ། ||| The weight of 2,032,974,720{M.60} paramāṇus, brahmin, is the derivation of the measure for liquids.
བྲམ་ཟེ་འབྲུ་རྣམས་གཅལ་བའི་ཚད་ཉོན་ཅིག ། ||| “ ‘Please listen, brahmin, to the derivation of the measure for grains.
སྲང་ཉི་ཤུ་རྩ་དགུ་དང་ཞོ་གཉིས་ནི་མ་ག་དྷཱའི་བྲེ་གང་སྟེ། འབྲུ་གཅལ་བའི་ཚད་དོ། ། ||| Twenty-nine palas and one karṣa make one Magadhan prastha, the measure for grains.
མ་ཤ་ཀ་དྲུག་ཅུ་ནི་ཡང་བྲེའི་ཚད་དོ། །མདོར་བསྟན་པ་ཡིན་ནོ། ། ||| With Magadhan scales the measure of a prastha is thus assessed.
བྲེ་གང་ལ་རྡུལ་ཕྲ་རབ་བྱེ་བ་ཕྲག་བརྒྱ་ལྔ་བཅུ་དང་། བརྒྱ་སྟོང་ཕྲག་བརྒྱད་ཅུ་རྩ་གཉིས་དང་། སྟོང་ཕྲག་དྲུག་ཅུ་རྩ་གཅིག་དང་ལྔ་བརྒྱ་ཡོད་དོ། །ཡང་བྲམ་ཟེ་དེ་ལྟ་བུ་དེ་ནི་འབྲུ་གཅལ་བའི་ཚད་ཡིན་ནོ། ། ||| The weight of 1,588,261,530 paramāṇus, brahmin, is the measure for grains.’
ཡང་ཀྱེ་ཏྲེ་ཤང་ཀུ་རྒྱུ་སྐར་རྣམས་ཀྱི་ལུང་བསྟན་བཀླགས་ན་སྨྲོས་ཤིག ། ||| “ ‘Now, dear Triśaṅku, please deliver the lecture on prognostication on the basis of the asterisms.’
ཀྱེ་གཞན་ཡང་བདག་གི་རྒྱུ་སྐར་རྣམས་ཀྱི་ལུང་བསྟན་པའི་ལེའུ་ཞེས་བྱ་བ་བཤད་ཀྱིས་ཉོན་ཅིག ། ||| “ ‘Well then, dear brahmin, let me set forth the lecture on prognostication on the basis of the asterisms.
ཀྱེ་བྲམ་ཟེ་སྨིན་དྲུག་ལ་སྐྱེས་པ་ནི་གྲགས་པ་དང་ལྡན་པར་འགྱུར་རོ། ། ||| Please listen. {M.61} “ ‘Brahmin, a person born under Kṛttikā will be reputable.
སྣར་མ་ལ་སྐྱེས་པ་ནི་ལེགས་ཤིང་སྐལ་བ་དང་ལྡན་པར་འགྱུར་རོ། ། ||| A person born under Rohiṇī will have good fortune and prosperity.
མགོ་ལ་སྐྱེས་པ་ནི་ཐབ་མོ་དོན་དུ་གཉེར་བར་འགྱུར་རོ། ། ||| A person born under Mṛgaśirā will be disposed to fighting.
ལག་ལ་སྐྱེས་པ་ནི་ཁྲོ་བ་བླུན་ཞིང་ལོངས་སྤྱོད་དང་ལྡན་པར་འགྱུར་རོ། ། ||| A person born under Ārdrā will be a fountain of food and drink.
ནམ་སོ་ལ་སྐྱེས་པ་ནི་ཞིང་རྨོ་ཞིང་བ་ལང་སྐྱོང་བར་འགྱུར་རོ། ། ||| A person born under Punarvasu will be a farmer and cowherd.
རྒྱལ་ལ་སྐྱེས་པ་ནི་ཚུལ་ཁྲིམས་དང་ལྡན་པར་འགྱུར་རོ། ། ||| A person born under Puṣya will be of ethical conduct.
སྐག་ལ་སྐྱེས་པ་ནི་འདོད་ཆགས་ཆེ་བར་འགྱུར་རོ། ། ||| A person born under Aśleṣā will be lustful and enthusiastic.
མཆུ་ལ་སྐྱེས་པ་ནི་མཐུ་ཆེ་བར་འགྱུར་རོ། ། ||| A person born under Maghā will be intelligent and great hearted.
གྲེ་ལ་སྐྱེས་པ་ནི་ཚེ་ཐུང་བར་འགྱུར་རོ། ། ||| A person born under Pūrvaphalgunī will have a short life.
དབོ་ལ་སྐྱེས་པ་ནི་བསྙེན་གནས་ལ་གནས་ཤིང་ཚུལ་ཁྲིམས་དང་ལྡན་པར་ཕ་རོལ་ཏུ་མཐོ་རིས་སུ་འགྱུར་རོ། ། ||| A person born under Uttaraphalgunī will practice fasting and be intent on heaven.
མེ་བཞི་ལ་སྐྱེས་པ་ནི་ལག་པ་ནས་རྐུ་བར་འགྱུར་རོ། ། ||| A person born under Hasta will be a thief.
ནག་པ་ལ་སྐྱེས་པ་ནི་གླུ་དང་གར་ལ་མཁས་ཤིང་ཆོ་ག་དང་། རིག་པ་དང་ལྡན་པར་འགྱུར་རོ། ། ||| A person born under Citrā will be expert in dancing and singing and will know how to wear adornments.
ས་རི་ལ་སྐྱེས་པ་ནི་རྩིས་ལ་མཁས་ཤིང་ཚོགས་ཆེན་པོའི་གཙོ་བོར་འགྱུར་རོ། ། ||| A person born under Svātī will be proficient in calculations and could be a minister of finance.
ས་ག་ལ་སྐྱེས་པ་ནི་རྒྱལ་པོའི་མངག་གཞུག་པར་འགྱུར་རོ། ། ||| A person born under Viśākhā will be in service of the king.
ལྷ་མཚམས་ལ་སྐྱེས་པ་ནི་ཟོང་དང་བཅས་པའི་ཚོང་པར་འགྱུར་རོ། ། ||| A person born under Anurādhā will be a merchant involved in merchandise.
སྣྲོན་ལ་སྐྱེས་པ་ནི་ལོངས་སྤྱོད་ཆུང་བར་འགྱུར་རོ། ། ||| A person born under Jyeṣṭhā will have a short life and little wealth.
སྣྲུམས་ལ་སྐྱེས་པ་ནི་གྲགས་པ་བསྟེན་ཅིང་བུ་དང་ལྡན་པར་འགྱུར་རོ། ། ||| A person born under Mūlā will have sons and be reputable.
ཆུ་སྟོད་ལ་སྐྱེས་པ་ནི་རྣལ་འབྱོར་པར་འགྱུར་རོ། ། ||| A person born under Pūrvāṣāḍhā will be a spiritual practitioner.
