སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas!
བདག་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལ་ཕྱོགས་འགའ་ཞིག་ཞུའོ། ||| “I have a question I would like to put to the Blessed One, the thus-gone, worthy, and perfect Buddha, and hear his response.”
འདས་ཀྱིས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་ཁྱོད་ལ་དེ་བཞིན་གཤེགས་པས་རྟག་ཏུ་སྐབས་ཕྱེས་ཁྱོད་དྲིས་ཤིག ||| “Noble son,” replied the Blessed One, “to you the Thus-Gone One will always grant such an opportunity. Go ahead and ask.”
བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་གསོལ་པ། ||| So the bodhisattva Sarva­nīvaraṇa­viṣkam­bhin asked him,
བདག་བསྟོད་པ་ནི་བཅོམ་ལྡན་འདས་ཀྱིས་སྐྱེས་བུ་དམ་པ་མ་ལགས་པའི་ཆོས་སུ་གསུང་ན། ||| “The Blessed One teaches that praising oneself is not the way of a holy being.
དེ་ཇི་ལྟར་ཆོས་ཀྱི་རྗེ་བཅོམ་ལྡན་འདས་ཉིད་བདག་ལ་བསྟོད་པ་མཛད། ||| How is it, then, that the Lord of Dharma, the Blessed One, praises himself?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་ལེགས་སོ་ལེགས་སོ། །ཁྱོད་ཀྱིས་དྲི་བ་ཚུལ་བཞིན་དུ་དྲིས་སོ། ||| “Excellent, noble son. Excellent,” replied the Blessed One. “You have asked your question properly.
རིགས་ཀྱི་བུ་དེའི་ཕྱིར་ལེགས་པར་ཤིན་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་། ངས་ཁྱོད་ལ་བཤད་དོ། །བཅོམ་ལྡན་འདས་ལེགས་སོ་ཞེས་ ||| Noble son, listen very carefully and keep in mind what I say. I shall explain this to you.”
བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ། བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། ||| “Excellent, Blessed One,” said the bodhisattva Sarva­nīvaraṇa­viṣkam­bhin, and he listened as instructed.
བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་ནི་སེམས་ཅན་འདི་དག་ལ་ཅི་ནས་ཀྱང་ཕན་པ་དང་། བདེ་བ་དང་། ཆོས་ཉིད་ཐོབ་པར་བྱ་བའི་ཕྱིར་བདག་བསྟོད་པ་ ||| The Blessed One then said, “Noble son, seeking to bring sentient beings benefit and happiness by all means, and to let them attain the intrinsic nature, the Thus-Gone One praises himself.
མ་གཏོགས་པར་ང་རྒྱལ་གྱི་ཟིལ་གྱིས་ནོན་པ་དང་། རྙེད་པའི་ཟིལ་གྱིས་ནོན་པ་དང་། བཀུར་སྟིའི་ཟིལ་གྱིས་ནོན་པ་དང་། གྲགས་པ་འདོད་པ་དང་། ||| He does so exclusively for this reason, and never because he is controlled by pride or the wish for wealth, respect, or fame.
ཤེས་ཀྱི་ཁེ་འདོད་པའི་ཕྱིར་ཚུལ་འཆོས་པའམ། ཁ་གསག་བྱེད་ཅིང་ཡང་དག་པ་མ་ཡིན་པར་བདག་བསྟོད་པ་མ་ཡིན་ནོ། ||| He does not praise himself with any other irrelevant motive, and his praise is therefore never hypocritical, pretentious, or incorrect.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། སེམས་ཅན་འདི་དག་ནི་དེ་བཞིན་གཤེགས་པ་ལ་དགའ་བ་དང་། དང་བ་དང་། རངས་པ་ཉེ་བར་གཞག་པས་ཆོས་བསྟན་པའི་སྐལ་བ་ཡོད་པར་འགྱུར། ||| Why is that? Because when sentient beings approach the thus-gone ones through joy, faith, and appreciation, they gain the capacity to receive the teaching of the Dharma.
དགེ་བའི་ཆོས་རྣམས་ཀྱི་སྣོད་དུ་འགྱུར་ཏེ། དེ་ཡང་དེ་དག་ལ་ཡུན་རིང་པོར་དོན་དང་། ཕན་པ་དང་། བདེ་བར་འགྱུར་རོ། ||| They become vessels for virtuous qualities and will for long enjoy success, benefit, and happiness.”
བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་གསོལ་པ། བཅོམ་ལྡན་འདས་ཅི་ལགས། ||| “Blessed One, why is this?” asked the bodhisattva Sarva­nīvaraṇa­viṣkam­bhin.
སེམས་ཅན་དེ་དག་དེ་བཞིན་གཤེགས་པའི་མཐུ་མ་འཚལ་ཏམ། ||| “Are these sentient beings not already aware of the power of the thus-gone ones?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་མི་ཤེས་སོ། ||| “They are not, noble son,” answered the Blessed One.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། རིགས་ཀྱི་བུ་སངས་རྒྱས་ཀྱི་ཞིང་འདིའི་སེམས་ཅན་རྣམས་ནི་རྒྱ་ཆུང་ངུ་ལ་མོས་པ། དམན་ཚེགས་ལ་མོས་པ། ||| “And why is that? Because the sentient beings of this buddha realm are interested in what is insignificant and inferior.
ཤེས་རབ་ཆུང་བ། དད་པ་ཆུང་བ། དགེ་བའི་རྩ་བ་ཆུང་ངུས་བརྟན་པ་དག་སྟེ། ||| They have only little in the way of insight, faith, and virtuous roots,
དེ་དག་གིས་དེ་བཞིན་གཤེགས་པའི་ཡོན་ཏན་གྱི་ཆེ་བ་མི་ཤེས་པས་ ||| they remain unaware of the magnificence of the thus-gone ones’ qualities.
དེ་དག་ལ་དེ་བཞིན་གཤེགས་པ་བདག་ཉིད་བདག་གི་ཡོན་ཏན་གྱི་བསྔགས་པ་བརྗོད་པ་མཛད་དེ། དེའང་ནན་ཏན་གྱིས་སྒྲུབ་བོ། ||| So, for those beings, the thus-gone ones will praise themselves persistently.
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། དཔེར་ན་སྨན་པ་མཁས་པ་ཞིག་ཡོད་ལ། སེམས་ཅན་རྣམས་ཀྱང་ནད་ཀྱིས་ཉེན་པར་གྱུར། སའི་ཕྱོགས་དེ་ན་འང་སྨན་པ་གཅིག་པུར་ཟད་དེ་གཉིས་སུ་མེད་ལ། ||| “Noble son, consider this analogy. Imagine that a learned doctor lives where many beings are suffering from disease, and yet at that place there is only this one doctor and no one else.
དེའི་ཡོན་ཏན་གྱི་ཆེ་བ་སུས་ཀྱང་མི་ཤེས་པ་དང་། དེ་ནས་སྨན་པ་དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| The people there do not know of the doctor’s wonderful abilities, and so the doctor thinks to himself,
ཀྱེ་མའོ་སེམས་ཅན་འདི་དག་ནི་སྡུག་བསྔལ་བ། ནད་ཀྱིས་ཉེན་པ། སྨན་ལ་མི་མཁས་པ། གནོད་པ་ལ་སྟེན་པ་ཡིན་གྱིས། བདག་གིས་དེ་དག་གསོ་བར་བྱའོ་སྙམ་ནས། ||| ‘Alas, these beings are suffering, stricken by disease, but they do not know much about medicine, and so they continue to suffer. I must cure all these beings!’
སྨན་པ་དེས་སེམས་ཅན་དེ་དག་གི་མདུན་དུ་ཀྱེ་སེམས་ཅན་དག་བདག་ནི་སྨན་པ་སྟེ། ནད་ལ་མཁས་པའོ་ནད་ཀྱི་གཞི་ལ་མཁས་པའོ། །སྨན་ལ་མཁས་པའོ་ཞེས་ ||| So the doctor then goes before them and says, ‘Hello everyone, I am a doctor. I know well about illnesses and their causes, and I know how to cure them.’
བདག་གི་ཡོན་ཏན་གྱི་བསྔགས་པ་བདག་ཉིད་ཀྱིས་བརྗོད་པ་དང་། ||| As he praises his own qualities in this way,
སེམས་ཅན་དེ་དག་འདི་ནི་སྨན་པའོ་ཞེས་བྱ་བར་ཤེས་ཤིང་ཡིད་ཆེས་པར་གྱུར་ནས་སྨན་པ་དེ་ལ་རྟེན་ཏོ། ||| the people come to understand what a doctor is, and once they trust him they will follow his cure.
དེ་ནས་སྨན་པ་དེས་སེམས་ཅན་དེ་དག་གསོ་ཞིང་ནད་དེ་ཞི་བར་བྱེད་ན། ||| When they do so, the doctor can heal them.
རིགས་ཀྱི་བུ་དེ་ཇི་སྙམ་དུ་སེམས། ||| Now, noble son, what do you think?
སྨན་པ་དེ་བདག་ལ་བསྟོད་པར་འགྱུར་རམ། གསོལ་པ། ||| Will the doctor continue to praise himself once the people have been cured of their illness?”
བཅོམ་ལྡན་འདས་མ་ལགས་སོ། ||| “No, Blessed One, he will not.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་ཡང་སྨན་པའི་རྒྱལ་པོ་ཆེན་པོ་བླ་ན་མེད་པ་སྟེ། ||| “Similarly, noble son,” continued the Blessed One, “the thus-gone ones are the unsurpassable, great kings of physicians.
ཉོན་མོངས་པའི་ནད་ལ་མཁས་པ། ཉོན་མོངས་པའི་ནད་ཀྱི་གཞི་ལ་མཁས་པ། ཉོན་མོངས་པའི་ནད་གསོ་བ་ལ་མཁས་པ། ||| They know well about the illness of affliction, its causes, and its cure.
ཉོན་མོངས་པའི་ནད་ཀྱིས་ནད་པར་གྱུར་པའི་སེམས་ཅན་རྣམས་གཟིགས་ནས། དེ་དག་གི་མདུན་དུ་བདག་གི་ཡོན་ཏན་དང་། བསྔགས་པ་བདག་ཉིད་བརྗོད་དེ། ||| Therefore, as they see them stricken by the disease of affliction, they go before them and declare their own qualities, praising themselves.
དེ་ནས་ཉོན་མོངས་པའི་ནད་ཀྱིས་ནད་པར་གྱུར་པའི་སེམས་ཅན་དེ་དག་གིས་དེ་བཞིན་གཤེགས་པའི་ཡོན་ཏན་གྱི་བསྔགས་པའི་ཆེ་བ་ཐོས་ནས། ཡིད་ཆེས་པར་གྱུར་པ་དང་། དེ་བཞིན་གཤེགས་པ་ལ་རྟེན་ཏོ། ||| When those beings who are ill in this way hear such extensive praise of the thus-gone ones’ qualities, they gain trust in them and attend to them.
དེ་ནས་དེ་དག་ལ་དེ་བཞིན་གཤེགས་པ་སྨན་གྱི་རྒྱལ་པོ་ཆེན་པོ་ཆོས་ཀྱི་སྨན་དེ་དག་གིས་ཉོན་མོངས་པའི་ནད་རབ་ཏུ་ཞི་བར་མཛད་དེ། ||| For those beings, the thus-gone ones will then dispense the king of medicines, the medicine of Dharma, and so thoroughly pacify the afflictions of those beings.
ཆོས་ཀྱི་སྨན་ཆེན་པོ་དེ་དག་ཀྱང་གང་ཞེ་ན། ||| And what does that potent medicine consist of?
འདི་ལྟ་སྟེ། མི་སྡུག་པ་དང་། བྱམས་པ་དང་། རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་ལ་སོགས་པ་སྟེ། ||| It involves repulsiveness, love, dependent origination, and so on.
རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་ནི་དོན་གྱི་དབང་འདི་གཟིགས་ནས། བདག་ལ་བདག་ཉིད་བསྟོད་པ་མཛད་དོ། ། ||| Noble son, because they perceive such objectives the thus-gone ones may praise themselves.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་སྨོན་ལམ་ཐམས་ཅད་ལ་གནས་པ་དང་བྲལ་བ་ཡིན་ནོ། ||| “Noble son, bodhisattvas possessing ten qualities are not fixated on their aspirations.
བཅུ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། སྦྱིན་པ་ལ་སྨོན་ཀྱང་སྦྱིན་པ་ལ་མི་གནས་པ་རྣམས་ཡིན། དེ་བཞིན་དུ་ཚུལ་ཁྲིམས་དང་། བཟོད་པ་དང་། བརྩོན་འགྲུས་དང་། བསམ་གཏན་དང་། ཤེས་རབ་དང་། ཁམས་གསུམ་པ་དང་། བྱང་ཆུབ་དང་། ལམ་དང་། མྱ་ངན་ལས་འདས་པ་ལ་སྨོན་ཀྱང་མྱ་ངན་ལས་འདས་པ་ལ་མི་གནས་པ་རྣམས་ཡིན་ཏེ། ||| What are those ten? They are not being fixated on generosity although they aspire to generosity and, similarly, not being fixated on discipline, patience, diligence, concentration, insight, the three realms, awakening, the path, or the transcendence of suffering, although they aspire to each of them.
རིགས་ཀྱི་བུ་དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| You may wonder, noble son, why this is so.
བྱང་ཆུབ་སེམས་དཔའ་ནི་གནས་པ་ཐམས་ཅད་དང་བྲལ་བ་སྟེ། མི་གནས་པར་འཇིག་རྟེན་ཐམས་ཅད་དུ་རྣམ་པར་སྤྱོད་དོ། ||| Bodhisattvas are beyond all forms of fixation, and so they engage with all aspects of the world without fixation.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་པོ་དེ་དག་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་སྨོན་ལམ་ཐམས་ཅད་ལ་གནས་པ་དང་བྲལ་བ་རྣམས་ཡིན་ནོ། ||| Noble son, bodhisattvas who possess these ten qualities are not fixated on any of their aspirations.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་བྱམས་པའི་བདག་ཉིད་ཅན་རྣམས་ཡིན་ནོ། ||| “Noble son, bodhisattvas possessing ten qualities have a loving nature.
བཅུ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ཉི་ཙེ་བ་མེད་པའི་བྱམས་པ་དང་ལྡན་པ་རྣམས་ཡིན། ཐ་དད་པ་མེད་པའི་བྱམས་པ་དང་ལྡན་པ་རྣམས་ཡིན། ཆོས་ཀྱི་བྱམས་པ་དང་ལྡན་པ་རྣམས་ཡིན། ངེས་པར་རྟོགས་པའི་བྱམས་པ་དང་ལྡན་པ་རྣམས་ཡིན། གནོད་པ་མེད་པའི་བྱམས་པ་དང་ལྡན་པ་རྣམས་ཡིན། ཕན་པའི་བྱམས་པ་དང་ལྡན་པ་རྣམས་ཡིན། སེམས་ཅན་ཐམས་ཅད་ལ་སྙོམས་པའི་བྱམས་པ་དང་ལྡན་པ་རྣམས་ཡིན། གནོད་སེམས་མེད་པའི་བྱམས་པ་དང་ལྡན་པ་རྣམས་ཡིན། ཕྱོགས་བཅུ་ཀུན་ཏུ་ཁྱབ་པའི་བྱམས་པ་དང་ལྡན་པ་རྣམས་ཡིན། འཇིག་རྟེན་ལས་འདས་པའི་བྱམས་པ་དང་ལྡན་པ་རྣམས་ཡིན་ཏེ། ||| What are those ten? They have constant love, undifferentiated love, Dharma love, realized love, gentle love, beneficial love, equal love for all beings, love free of ill will, omnipresent love, and transcendent love.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་པོ་དེ་དག་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་བྱམས་པའི་བདག་ཉིད་ཅན་རྣམས་ཡིན་ནོ། ||| Noble son, bodhisattvas who possess these ten qualities have a loving nature.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་སྙིང་རྗེའི་བདག་ཉིད་ཅན་རྣམས་ཡིན་ནོ། ||| “Noble son, bodhisattvas possessing ten qualities have a compassionate nature.
སེམས་ཅན་སྡུག་བསྔལ་བ་དང་། སྐྱབས་མེད་པ་དང་། མགོན་མེད་པ་དང་། རྟེན་མེད་པ་དང་། དཔུང་གཉེན་མེད་པ་དག་མཐོང་ན། བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། ||| When bodhisattvas see sentient beings who suffer, who have no refuge, no protector, no support, and no resort, they engender the mind of awakening.
བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ནས། ཆོས་ཉིད་ཐོབ་པར་བྱ་བའི་ཕྱིར་འབད་ཅིང་རྩོལ། བརྩོན་འགྲུས་རྩོམ་སྟེ། དཀའ་བར་སྤྱོད་པ་བརྒྱ་དག་ཀྱང་བྱེད་དོ། ། ||| Having done that, they strive and endeavor to attain the intrinsic nature, mustering diligence and undertaking hundreds of hardships.
དེ་དག་ཆོས་ཐོབ་ནས་སེམས་ཅན་རྣམས་ལ་ཕན་པར་བྱེད་དེ། ||| Then, once they have mastered the Dharma, they will benefit sentient beings.
འདི་ལྟ་སྟེ། སེམས་ཅན་སེར་སྣ་ཅན་རྣམས་སྦྱིན་པ་ལ་གཞོག་པར་བྱེད། ཚུལ་ཁྲིམས་ངན་པ་ཅན་རྣམས་ཚུལ་ཁྲིམས་ལ། གནོད་སེམས་ཅན་རྣམས་བཟོད་པ་ལ། ལེ་ལོ་ཅན་རྣམས་བརྩོན་འགྲུས་ལ། སེམས་འཁྲུགས་པ་རྣམས་བསམ་གཏན་ལ། སེམས་ཅན་ཤེས་རབ་འཆལ་པ་རྣམས་མཐོང་ནས་ཤེས་རབ་ལ་གཞོག་པར་བྱེད་ཀྱང་། ||| That is to say, they will inspire those who are stingy to be generous, those with flawed discipline to be disciplined, those with ill will to be patient, the lazy to be diligent, the disturbed to be concentrated, and those with misguided intelligence to be insightful.
སེམས་ཅན་གྱི་སྡུག་བསྔལ་མི་བཟད་པ། རྩུབ་པ། ཚ་བ་དག་གིས་ཉེན་ཀྱང་ ||| All the while, although they are pained by the excruciating, fierce, and burning suffering of beings,
བྱང་ཆུབ་ལ་ཕྱིར་ལྡོག་པར་མི་འགྱུར་རོ། ||| their progress to awakening remains irreversible.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་པོ་དེ་དག་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་སྙིང་རྗེའི་བདག་ཉིད་ཅན་རྣམས་ཡིན་ནོ། ||| Noble son, bodhisattvas who possess these ten qualities have a compassionate nature.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་དགའ་བ་ལ་གནས་པ་རྣམས་ཡིན་ནོ། ||| “Noble son, bodhisattvas possessing ten qualities are joyful.
བཅུ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། བདག་ནི་འཁོར་བའི་བཙོན་ར་རབ་ཏུ་འབར་བ་ནས་བྱུང་བའོ་ཞེས་རབ་ཏུ་དགའ་བ་སྐྱེད་དོ། ||| What are those ten? They are the following greatly joyful thoughts: ‘I have escaped from the flaming prison of cyclic existence.’
བདག་གིས་འཁོར་བའི་དཔྱང་ཐག་ཡུན་རིང་པོ་ནས་ཐོགས་པ་ཆད་དོ་ཞེས་དགའ་བ་སྐྱེད་དོ། ||| ‘I have cut the ropes that for so long tied me to cyclic existence.’
བདག་ནི་རྣམ་པར་རྟོག་པ་སྣ་ཚོགས་མང་པོའི་ཆུ་སྲིན་གྱིས་དཀྲུགས་པའི་འཁོར་བའི་རྒྱ་མཚོ་ལས་རྒལ་ཏོ་ཞེས་རབ་ཏུ་དགའ་བ་སྐྱེད་དོ། ||| ‘I have crossed the ocean of cyclic existence, plagued as it is by the wild monsters of abundant and manifold thoughts.’
བདག་གིས་ཡུན་རིང་པོ་ནས་བསྒྲེང་བའི་ང་རྒྱལ་གྱི་རྒྱལ་མཚན་བསྙལ་ལོ་ཞེས་རབ་ཏུ་དགའ་བ་སྐྱེད་དོ། ||| ‘I have laid down the banner of pride that I held high for so long.’
བདག་གིས་ཉོན་མོངས་པའི་རི་རྣམས་ཡེ་ཤེས་ཀྱི་རྡོ་རྗེས་བཅོམ་སྟེ། ཇི་ལྟར་རྡུལ་ཀྱང་མི་སྣང་བ་དེ་ལྟར་བཅོམ་མོ་ཞེས་རབ་ཏུ་དགའ་བ་སྐྱེད་དོ། ||| ‘I have crushed the mountains of affliction with the vajra of wisdom, crushed them so that not even a trace remains.’
བདག་ཉིད་ནི་དབུགས་ཕྱིན་པ་ཡིན་གྱིས། ད་ནི་གཞན་ཡང་དབུགས་དབྱུང་བར་བྱའོ་ཞེས་རབ་ཏུ་དགའ་བ་སྐྱེད་དོ། ||| ‘Since I have found relief myself, now is the time to bring relief to others!’
བདག་ཉིད་ནི་འཇིག་རྟེན་གནས་པ། ཡུན་རིང་པོ་ནས་གཉིད་ལ་སྲེད་པའི་སྙོམས་པས་ཡོངས་སུ་ཟིན་པ། གཏི་མུག་གིས་བསྒྲིབས་པའི་ནང་ནས་སད་པ་ཡིན་གྱིས། ད་ནི་གཞན་ཡང་རྣམ་པར་སད་པར་བྱའོ་ཞེས་རབ་ཏུ་དགའ་བ་སྐྱེད་དོ། ||| ‘I have awoken from the indolent drowsiness and obscured dullness that for so long seized me in the world. Now is the time to wake up others!’
བདག་ཉིད་ནི་ངན་འགྲོ་དང་། ངན་སོང་དང་། ལོག་པར་ལྟུང་བ་ཐམས་ཅད་ལས་རྣམ་པར་གྲོལ་བ་ཡིན་གྱིས། ད་ནི་གཞན་ཡང་ངན་སོང་དང་། ངན་འགྲོ་དང་། ལོག་པར་ལྟུང་བ་ཐམས་ཅད་ལས་རྣམ་པར་གྲོལ་བར་བྱའོ་ཞེས་རབ་ཏུ་དགའ་བ་སྐྱེད་དོ། ||| ‘I have been freed from all the lower realms, the inferior realms, the realms of misfortune. Now it is time to free others from those states.’
བདག་འཁོར་བའི་འབྲོག་དགོན་པར་ཡུན་རིང་པོ་ནས་འཁྱམས་ཏེ། གྲོགས་མེད་ཅིང་གཉིས་སུ་མེད་པར་གར་ཡང་འཁྱམ་ཞིང་ལམ་ལ་མི་མཁས་ལ། ལམ་མི་ཤེས་ཤིང་ཡུལ་མི་ཤེས་པས་ལམ་སྟོར་བ་རྙེད་དོ་ཞེས་རབ་ཏུ་དགའ་བ་སྐྱེད་དོ། ||| ‘For so long I have been roaming through the desolate wilderness of cyclic existence, helpless and alone. Unacquainted with the path, I was lost, knowing neither the way nor the land. But now I have found the path!’
བདག་ནི་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཀྱི་གྲོང་ཁྱེར་དང་ཉེ་བར་གྱུར་ཏོ་ཞེས་རབ་ཏུ་དགའ་བ་སྐྱེད་དོ། ||| ‘I am now close to the city of omniscience!’
རིགས་ཀྱི་བུ་ཆོས་བཅུ་པོ་དེ་དག་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་དགའ་བ་ལ་གནས་པ་རྣམས་ཡིན་ནོ། ||| Noble son, bodhisattvas who possess ten such qualities are joyful.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་བཏང་སྙོམས་ལ་གནས་པ་རྣམས་ཡིན་ནོ། ||| “Noble son, bodhisattvas possessing ten qualities rest in equanimity.
མིག་གིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་རྣམས་ལ་བཏང་སྙོམས་སུ་གནས་པ་རྣམས་ཡིན་ཏེ། ||| They rest in equanimity with respect to the forms that are objects of the eye consciousness.
མིག་གིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་གཟུགས་རྣམས་ཀྱིས་སྨས་པར་མི་འགྱུར། གནོད་པར་མི་འགྱུར། རྨ་བྱུང་བར་མི་འགྱུར་བ་རྣམས་དང་། ||| Thus, they are not hurt, harmed, or wounded by those forms.
བཏང་སྙོམས་སུ་གནས་པ་རྣམས་ཡིན་ཏེ། ||| they rest in equanimity
དེ་བཞིན་དུ་རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྒྲ་རྣམས་དང་། སྣས་རྣམ་པར་ཤེས་པར་བྱ་བའི་དྲི་རྣམས་དང་། ལྕེས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རོ་རྣམས་དང་། ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་རེག་བྱ་རྣམས་དང་། ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་རྣམས་ལ་ ||| with respect to the sounds that are objects of the ear consciousness, the smells that are objects of the nose consciousness, the tastes that are objects of the tongue consciousness, the textures that are objects of the body consciousness, and the mental phenomena that are objects of the mind consciousness.
ཆོས་རྣམས་ཀྱིས་སྨས་པར་མི་འགྱུར། གནོད་པར་མི་འགྱུར། རྨ་བྱུང་བར་མི་འགྱུར་རོ། ||| Thus, they are not hurt, harmed, or wounded by any of them.
འདུ་བྱེད་ཀྱི་སྡུག་བསྔལ་དང་། སྡུག་བསྔལ་གྱི་སྡུག་བསྔལ་དང་། འགྱུར་བའི་སྡུག་བསྔལ་ལ་ ||| with respect to the suffering of the conditioned, the suffering of suffering, and the suffering of change.
སྨས་པར་མི་འགྱུར། གནོད་པར་མི་འགྱུར། རྨ་བྱུང་བར་མི་འགྱུར་རོ། ||| Thus, they are not hurt, harmed, or wounded by those types of suffering.
བྱ་བ་བྱས་པའི་སེམས་ཅན་རྣམས་ལ་བཏང་སྙོམས་སུ་གནས་པ་རྣམས་ཡིན་ཏེ། ||| Finally, they rest in equanimity with respect to those beings whom they have assisted.
དེ་དག་ལ་དགའ་བ་དང་། དད་པ་དང་། རངས་པ་སྐྱེད་ཅིང་ ||| They feel joy, faith, and delight in them
དེ་དག་འདི་སྙམ་དུ་སེམས་ཏེ། གང་བདག་གིས་བསྒྲལ་བར་བྱ་བ་དེ་དག་ཉིད་རྒལ་བར་གྱུར་ཏོ་ཞེས་བཏང་སྙོམས་སུ་གནས་པ་རྣམས་ཡིན་ནོ། ||| while resting in equanimity with the thought, ‘Those whom I have freed have indeed crossed over.’
རིགས་ཀྱི་བུ་ཆོས་བཅུ་པོ་དེ་དག་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་བཏང་སྙོམས་ལ་གནས་པ་རྣམས་ཡིན་ནོ། ||| Noble son, bodhisattvas who possess ten such qualities rest in equanimity.
རིགས་ཀྱི་བུ་ཆོས་བཅུ་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའ་མངོན་པར་ཤེས་པས་རྣམ་པར་རོལ་པ་རྣམས་ཡིན་ནོ། ||| “Noble son, bodhisattvas possessing ten qualities revel in superknowledge.
བཅུ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ཤི་འཕོ་བའང་སྟོན། སྐྱེ་བའང་སྟོན། བཙས་པ་དང་། བྱིས་པའི་སྤྱོད་པ་དང་། སླས་ཀྱི་ནང་ན་རྩེ་བའང་སྟོན། མངོན་པར་འབྱུང་བའང་སྟོན། དཀའ་བ་སྤྱོད་པའང་སྟོན། བྱང་ཆུབ་ཀྱི་སྙིང་པོར་འགྲོ་བའང་སྟོན། བདུད་འདུལ་བའང་སྟོན། མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བའང་སྟོན། ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བའང་སྟོན། ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོའང་སྟོན་ཏོ། ||| What are those ten? They are the displays of dying; taking birth; being born, growing up, and frolicking within the harem; leaving home; practicing austerities; going to the seat of awakening; taming the demons; awakening to complete buddhahood; turning the wheel of Dharma; and passing into the great transcendence of suffering.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| The bodhisattva Sarva­nīvaraṇa­viṣkam­bhin now asked the Blessed One,
