༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་རཏྣ་ཀོ་ཊི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རིན་པོ་ཆེའི་མཐའ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Infinite Jewels
བཅོམ་ལྡན་འདས་དེའི་སླད་དུ་ཡང་བདག་དགའ་བར་མི་འགྱུར་ཞིང་ཡོངས་སུ་གདུང་བར་མི་འགྱུར་ལགས་སོ། ||| It is for that reason as well, Blessed One, that I would not become joyous or anguished.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ལ་བཀའ་སྩལ་པ། ཤཱ་རིའི་བུ་ཁྱོད་ཀྱིས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པའི་སྤོབས་པ་ཐོས་སམ། གསོལ་པ། ||| At this point, the Blessed One asked Venerable Śāriputra, “Did you hear Youthful Mañjuśrī’s eloquence, Śāriputra?”
བཅོམ་ལྡན་འདས་ཐོས་ལགས་ཏེ། ||| “Blessed One, I heard.
བཅོམ་ལྡན་འདས་བདག་ནི་བཅོམ་ལྡན་འདས་དང་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པའི་སྤོབས་པ་ཐོས་ཀྱང་ཅི་མ་རུང་སྙམ་སྟེ། དེའི་སླད་དུ་བདག་འདི་ན་མཆིས་ལགས་སོ། ||| I came here, Blessed One, thinking how wonderful it would be to hear the eloquent words of the Blessed One and of Youthful Mañjuśrī.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ནང་དུ་མཆི་བར་མཛད་དུ་གསོལ། ||| Youthful Mañjuśrī then said to the Blessed One, “Blessed One, please invite Venerable Śāriputra to come inside.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ལ་འདི་སྐད་དུ་ཤཱ་རིའི་བུ་ཁྱོད་གནས་ཁང་གི་ནང་དུ་ཤོག་ཅེས་བཀའ་སྩལ་ཏོ། ||| “Enter, Śāriputra,” said the Blessed One to Venerable Śāriputra.
།དེ་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་གནས་ཁང་དུ་འོངས་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ||| Venerable Śāriputra entered, prostrated at the Blessed One’s feet, and sat to one side.
།ཕྱོགས་གཅིག་ཏུ་འདུག་པ་དང་། ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ལ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་འདི་སྐད་ཅེས་སྨྲས་སོ། །བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་དོན་གྱི་དབང་གང་མཐོང་བས་འདིར་འོངས། ||| “Honorable Śāriputra,” said Youthful Mañjuśrī to Venerable Śāriputra, who was seated to the side, “what purpose did you envision for coming here?”
སྨྲས་པ། འཇམ་དཔལ་ཁོ་བོ་ནི་ཆོས་ཉན་པར་འདོད་པའི་ཕྱིར་འདིར་འོངས་ཏེ། ||| “I came here, Mañjuśrī, with a longing to hear the Dharma.
འདི་ལྟར་གང་ན་བཅོམ་ལྡན་འདས་དང་། སྐྱེས་བུ་དམ་པ་ཁྱོད་ལྟ་བུ་གནས་པ་དེ་ན་བསྟན་པ་ཟབ་མོ་ཡང་དག་པར་ཕུལ་དུ་བྱུང་བ་ཡོད་དེ། ||| Where the Blessed One and sublime beings such as yourself are dwelling, there are profound and exquisite teachings.
དེའི་ཕྱིར་ཁོ་བོ་འོངས་སོ། སྨྲས་པ། ||| It is because of this that I came.”
བཙུན་པ་ཤཱ་རིའི་བུ་དེ་ནི་དེ་བཞིན་ཏེ་བསྟན་པ་འདི་ནི་ཟབ་བོ། ||| “So it is, Honorable Śāriputra. This teaching is profound.”
།སྨྲས་པ། བཅོམ་ལྡན་འདས་ཉིད་དང་ཐབས་ཅིག་ཏུ་བརྩམས་པའི་ཆོས་བསྟན་པ་དེ་ཇི་ཙམ་དུ་ཟབ། ||| “How profound is this Dharma exposition that you commenced together with the Blessed One?”
སྨྲས་པ། དེ་ནི་བཙུན་པ་ཤཱ་རིའི་བུས་རྟོགས་པར་མི་འགྱུར་ཏེ། ||| “It will not be comprehended by Honorable Śāriputra.
དགྲ་བཅོམ་པ་ཟག་པ་ཟད་པ་ནི་ཆོས་བསྟན་པ་འདིའི་སྣོད་མ་ཡིན་ནོ། ||| A worthy one whose contaminants have been exhausted is not a vessel for this Dharma teaching.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
འདི་ལྟར་ཆོས་བསྟན་པ་འདི་ནི་སོ་སོའི་སྐྱེ་བོའི་ཆོས་ལ་ཞུགས་པ་མ་ཡིན། དགྲ་བཅོམ་པ་ཉིད་ཀྱི་ཆོས་ལ་ཞུགས་པ་མ་ཡིན། རང་སངས་རྒྱས་ཀྱི་ཆོས་ལ་ཞུགས་པ་མ་ཡིན། དེ་བཞིན་གཤེགས་པའི་ཆོས་ལ་ཞུགས་པ་མ་ཡིན་པའི་ཕྱིར་རོ། ||| Because this Dharma teaching is not engaged with the properties of ordinary beings, is not engaged with the properties of worthy ones, is not engaged with the properties of solitary buddhas, and is not engaged with the properties of thus-gone ones.
།འདི་ནི་ཆོས་གང་དམིགས་པའི་ཕྱིར་ཡང་ཞུགས་པ་མ་ཡིན་ནོ། ||| It is not engaged with the apprehending any property.
།འདི་ནི་གང་དུ་ཞུགས་པའམ་ལྡོག་པ་ཡང་མེད་དེ། ཆོས་ཐམས་ཅད་ཤིན་ཏུ་དབེན་པའི་ཕྱིར་རོ། །སྨྲས་པ། ||| Since all attributes are completely void, it is not engaged with, or disengaged from, anything at all.”
འཇམ་དཔལ་ཁྱོད་ཀྱིས་ཅི་ལས་བསམས་ཏེ། དགྲ་བཅོམ་པ་ཟག་པ་ཟད་པ་ཆོས་བསྟན་པ་འདིའི་སྣོད་མ་ཡིན་ཞེས་དེ་སྐད་སྨྲ། ||| “Mañjuśrī, what is your rationale for saying that worthy ones whose contaminants are exhausted are not vessels for this teaching?”
སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་དགྲ་བཅོམ་པ་ཉིད་ནི། འདོད་ཆགས་དང་། ཞེ་སྡང་དང་། གཏི་མུག་ཟད་པ་ཡིན་ན་དེ་གང་གི་སྣོད་ཡིན་ཞིང་། ||| “Honorable Śāriputra, I thought, ‘If the worthy one’s attachment, aversion, and delusion are exhausted, what kind of vessel is he?
དེ་གང་ཇི་ལྟ་བུ་ཞིག་གི་སྣོད་དུ་འགྱུར་སྙམ་སྟེ། དེ་ལས་བསམས་ནས་དགྲ་བཅོམ་པ་ཟག་པ་ཟད་པ། ཆོས་བསྟན་པ་འདིའི་སྣོད་མ་ཡིན་ནོ་ཞེས་ཁོ་བོ་དེ་སྐད་སྨྲའོ། ||| What kind of vessel will he become?’ Having considered these questions, I reply that worthy ones whose contaminants are exhausted are not vessels for this teaching.”
།སྨྲས་པ། འཇམ་དཔལ་ཁོ་བོ་ནི་ཆོས་བསྟན་པ་འདིའི་དོན་དུ་གཙུག་ལག་ཁང་ནས་གཙུག་ལག་ཁང་དང་། གནས་ཁང་ནས་གནས་ཁང་དང་། ཕུག་ནས་ཕུག་ཏུ་ཁྱོད་ཚོལ་ཏེ། ||| “Mañjuśrī, for the sake of this teaching I went from monastery to monastery, from dwelling to dwelling, and from hermitage to hermitage in search of you.
བདག་གིས་ཁྱོད་ལས་ཟབ་པ་ཟབ་པ་ཡང་དག་པའི་སྤོབས་པ་འདི་ལྟ་བུ་འདི་དག་ཐོས་ཀྱང་ཅི་མ་རུང་སྙམ་སྟེ། ||| I thought of how wonderful it would be to hear such profound and eloquent expositions from you.
འཇམ་དཔལ་ཁོ་བོ་ནི་བཅོམ་ལྡན་འདས་དང་། ཁྱོད་ཀྱི་ཆོས་བསྟན་པ་ལ་ཆོག་མི་ཤེས་སོ། ||| Mañjuśrī, I am insatiable when it comes to the Blessed One’s teachings or your own.”
།སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་ཆོས་བསྟན་པས་ཆོག་མི་ཤེས་སམ། ||| “Honorable Śāriputra, you are not sated by Dharma teachings?”
སྨྲས་པ། ཁོ་བོ་ཆོག་མི་ཤེས་སོ། ||| “I am not.”
།སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་ཅི་ཆོས་ཀྱི་དབྱིངས་ཆོས་ཚོལ་བར་བྱེད་དམ། ||| “Honorable Śāriputra, does the realm of phenomena seek out the Dharma?”
སྨྲས་པ། འཇམ་དཔལ་མི་བྱེད་དོ། །སྨྲས་པ། ||| “It does not, Mañjuśrī.”
ཆོས་ཀྱི་དབྱིངས་ཀྱང་གཞན་ལ། ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ནི་གཞན་པ་ནི་མ་ཡིན་ན་ཅིའི་ཕྱིར་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ཆོས་མཉན་པ་ལ་ཆོག་མི་ཤེས། ||| “Since it is not the case that the realm of phenomena is one distinct thing while Venerable Śāriputra is something other, why is it that Venerable Śāriputra is insatiable in listening to the Dharma?
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why do I say this?
བཙུན་པ་ཤཱ་རིའི་བུ་ཆོས་ཀྱི་དབྱིངས་ནི་ཆོས་ཚོལ་བར་མི་བྱེད་པའི་ཕྱིར་རོ། ||| Honorable Śāriputra, it is because the realm of phenomena does not seek the Dharma.
།གལ་ཏེ་དེ་ཚོལ་བར་བྱེད་ན་ནི་དེའི་ཕྱིར་དེ་ཆོག་ཤེས་པར་འགྱུར་བ་ཞིག་ན་གང་གི་ཕྱིར་ཚོལ་བར་མི་བྱེད་པ་དེའི་ཕྱིར་ཆོག་མི་ཤེས་སོ། ||| If it did seek, then it would be something that could be sated. However, since it does not seek, it is not sated.”
།སྨྲས་པ། འཇམ་དཔལ་དེ་བཞིན་གཤེགས་པ་མ་གཏོགས་པར་ཁོ་བོ་ལྟ་བུ་ཆོས་ཉན་པ་དེ་ལྟ་བུ་ཁྱོད་ཀྱིས་ག་ལ་རྙེད། ||| “Mañjuśrī, apart from the Thus-Gone One, where else will you find someone like me to listen to the Dharma?”
སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་ཤཱ་རིའི་བུ་ཡོངས་སུ་མྱ་ངན་ལས་མི་འདའ་བའི་ཆོས་ཅན་ཡིན་པར་མོས་སམ། ||| “Honorable Śāriputra, do you believe that you, Śāriputra, will not enter parinirvāṇa?”
སྨྲས་པ། མོས་སོ། །སྨྲས་པ། ||| “Yes, I do.”
ཇི་ལྟར་མོས། ||| “Why do you believe this?”
སྨྲས་པ། ཆོས་ཐམས་ཅད་ཡོངས་སུ་མ་གྲུབ་པས་ན་ཁོ་བོ་ཡང་ཡོངས་སུ་མྱ་ངན་ལས་མི་འདའ་བའི་ཆོས་ཅན་ཡིན་ནོ་སྙམ་དུ་དེ་ལྟར་མོས་སོ། ||| “I believe this thinking that, since no phenomenon is established, I too will not enter parinirvāṇa.”
།སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་ཤི་འཕོ་མེད་པ་དང་། སྐྱེ་བ་མེད་པའི་ཆོས་ཅན་ཡིན་པར་མོས་སམ། ||| “Honorable Śāriputra, do you believe that for you there is no death, transmigration, and rebirth?”
སྨྲས་པ། མོས་སོ། །སྨྲས་པ། ||| “Yes, I do.”
ཇི་ལྟར་མོས། ||| “Why do you believe this?”
སྨྲས་པ། ཆོས་ཀྱི་དབྱིངས་སུ་གཏོགས་པའི་ཕྱིར་ཏེ། ཆོས་ཀྱི་དབྱིངས་ལ་འཆི་འཕོའམ་སྐྱེ་བ་མེད་པ་དེ་ལྟར་མོས་སོ། །སྨྲས་པ། ||| “I believe this because I am included within the realm of phenomena, and in the realm of phenomena death, transmigration, and birth do not exist.”
བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་དགྲ་བཅོམ་པ་ཟག་པ་ཟད་པ་མི་ཤེས་པ་དང་ལྡན་པར་མོས་སམ། སྨྲས་པ། མོས་སོ། །སྨྲས་པ། ||| “Honorable Śāriputra, do you believe that a worthy one whose contaminants have been exhausted is ignorant?” “Yes.”
ཇི་ལྟར་མོས། སྨྲས་པ། ||| “Why do you believe this?”
ཤེས་པ་དང་། མི་ཤེས་པ་མཉམ་པ་ཉིད་ཀྱི་ཕྱིར་དགྲ་བཅོམ་པ་ཟག་པ་ཟད་པ་མི་ཤེས་པ་དང་ལྡན་ཏེ་འདི་ལྟར་མི་ཤེས་པ་དང་། ཤེས་པ་ནི་མི་ཟད་པའི་ཆོས་ཅན་ཡིན་པའི་ཕྱིར་དབེན་པ་སྟེ། ||| “Since knowledge and ignorance are equivalent, a worthy one whose contaminants have been exhausted is ignorant. In this way, ignorance and knowledge are inexhaustible, and therefore they are void.
དེ་བས་ན་མི་ཤེས་པ་དང་། ཤེས་པར་རྣམ་པར་མི་རྟོགས་པའི་ཕྱིར་དགྲ་བཅོམ་པ་ཟག་པ་ཟད་པ་མི་ཤེས་པ་དང་ལྡན་པར་མོས་སོ། །སྨྲས་པ། ||| That being the case, it is because of not conceptualizing ignorance and consciousness that I believe that a worthy one whose contaminants have been exhausted is ignorant.”
བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་དགྲ་བཅོམ་པ་ཟག་པ་ཟད་པ། ཤེས་པ་དང་བྲལ་བར་མོས་སམ། ||| “Honorable Śāriputra, do you believe that worthy ones whose contaminants have been exhausted are devoid of knowledge?”
སྨྲས་པ། མོས་སོ། །སྨྲས་པ། ||| “Yes, I do.”
ཇི་ལྟར་མོས། སྨྲས་པ། ||| “Why do you believe this?”
འདི་ལྟར་ཆོས་ཐམས་ཅད་ནི་ངོ་བོ་ཉིད་དང་བྲལ་བ་སྟེ། ||| “All phenomena are devoid of any essence.
དེ་བས་ན་དགྲ་བཅོམ་པ་ཟག་པ་ཟད་པ་ཤེས་པ་དང་བྲལ་བར་མོས་སོ། ||| Because of this I believe that worthy ones whose contaminants have been exhausted are devoid of knowledge.”
།སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་དགྲ་བཅོམ་པ་ཟག་པ་ཟད་པ། རྣམ་པར་མ་གྲོལ་བའི་ཆོས་ཅན་དུ་མོས་སམ། ||| “Honorable Śāriputra, do you believe that worthy ones whose contaminants are exhausted are not liberated?”
སྨྲས་པ། མོས་སོ། །སྨྲས་པ། ||| “Yes, I do.”
ཇི་ལྟར་མོས། ||| “Why do you believe that?”
སྨྲས་པ། ཉོན་མོངས་པ་མེད་པའི་ཕྱིར་ཏེ། ||| “I believe this because defilements do not exist.
འདི་ལྟར་ཉོན་མོངས་པ་མེད་ན་གང་དག་ལས་རྣམ་པར་གྲོལ་བར་འགྱུར་ཏེ། ||| From what is one liberated if defilements do not exist?”
དེ་ལྟར་མོས་སོ། །སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་སྔོན་གྱི་དེ་བཞིན་གཤེགས་པ་རྣམས་མ་བྱུང་ཞིང་ཡོངས་སུ་མྱ་ངན་ལས་མ་འདས་པར་མོས་སམ། ||| “Honorable Śāriputra, do you believe that the prior thus-gone ones did not appear and did not enter parinirvāṇa?”
སྨྲས་པ། མོས་སོ། །སྨྲས་པ། ||| “Yes, I do.”
ཇི་ལྟར་མོས། ||| “Why do you believe this?”
སྨྲས་པ། འཇམ་དཔལ་བསམ་གྱིས་མི་ཁྱབ་པའི་དབྱིངས་ལ་ནི་སྐྱེ་བ་མེད་དེ། ||| “In the inconceivable realm, Mañjuśrī, there is no birth.
གང་མི་སྐྱེ་བ་དེ་ལ་མི་སྣང་བར་འགྱུར་བའམ། ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་འགྱུར་བ་ག་ལ་ཡོད་དེ་དེ་ལྟར་མོས་སོ། །སྨྲས་པ། ||| Thus, how could what is unborn disappear or pass into parinirvāṇa? That is why I believe it.”
བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་སངས་རྒྱས་ཐམས་ཅད་གཅིག་ཡིན་པར་མོས་སམ། སྨྲས་པ། མོས་སོ། །སྨྲས་པ། ||| “Honorable Śāriputra, do you believe that all buddhas are one?” “Yes, I do.”
ཇི་ལྟར་མོས། ||| “Why do you believe this?”
སྨྲས་པ། འཇམ་དཔལ་ཆོས་ཀྱི་དབྱིངས་ལ་ནི་ཐ་དད་པ་མེད་པ་དེ་དེ་ལྟར་མོས་སོ། ||| “Mañjuśrī, it is because there are no distinctions in the realm of phenomena that I believe this.”
།སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་སངས་རྒྱས་ཀྱི་ཞིང་ཐམས་ཅད་སངས་རྒྱས་ཀྱི་ཞིང་གཅིག་ཡིན་པར་མོས་སམ། སྨྲས་པ། མོས་སོ། །སྨྲས་པ། ||| “Honorable Śāriputra, do you believe that all buddha fields are a single buddha field?” “Yes, I do.”
ཇི་ལྟར་མོས། ||| “Why do you believe this?”
སྨྲས་པ། འཇམ་དཔལ་སངས་རྒྱས་ཀྱི་ཞིང་ཐམས་ཅད་ནི་མི་ཟད་པ་ཉིད་ཀྱི་ཞིང་ཡིན་ཏེ་དེ་ལྟར་མོས་སོ། །སྨྲས་པ། ||| “Mañjuśrī, since all buddha fields are the field of the inexhaustible, I believe in this way.”
བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་ཆོས་ཐམས་ཅད་ཡོངས་སུ་ཤེས་པར་བྱ་བ་མ་ཡིན་པ་དང་། སྤང་བར་བྱ་བ་མ་ཡིན་པ་དང་། མངོན་སུམ་དུ་བྱ་བ་མ་ཡིན་པ་དང་། བསྒོམ་པར་བྱ་བ་མ་ཡིན་པར་མོས་སམ། ||| “Honorable Śāriputra, do you believe that no phenomenon can be known, abandoned, actualized, and cultivated?”
སྨྲས་པ། མོས་སོ། །སྨྲས་པ། ||| “Yes, I do.”
ཇི་ལྟར་མོས། སྨྲས་པ། ||| “Why do you believe this?”
འཇམ་དཔལ་ངོ་བོ་ཉིད་ཀྱིས་ངོ་བོ་ཉིད་ཡོངས་སུ་མི་ཤེས་པ་དང་། རང་བཞིན་གྱིས་རང་བཞིན་སྤོང་བ་དང་། མངོན་སུམ་དུ་མི་བྱེད་པ་དང་། སྒོམ་པར་མི་བྱེད་པ་དང་། སྐྱེད་པར་མི་བྱེད་པ་དང་། འགག་པར་མི་བྱེད་པ་དང་། ལེན་པར་མི་བྱེད་པ་དང་། འདོར་བར་མི་བྱེད་པ་དང་། མཐའ་དེ་ནི་མི་གནས་པ་ཉིད་དེ། ||| “Essentially, Mañjuśrī, no essence is known. Naturally, no nature is abandoned, actualized, cultivated, produced, ended, adopted, or rejected. That limit is nonabiding.
དེ་ལྟར་མོས་སོ། །སྨྲས་པ། ||| That is what I believe.”
བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་ཆོས་ཀྱི་དབྱིངས་ནི་ཕུང་པོར་མི་འདུག་པའི་དབྱིངས་ཡིན་པ་དང་། ཆོས་གང་ཡང་སྐྱེ་བའམ། འགག་པ་མེད་པ་དང་། ཆོས་གང་ཡང་ཕུང་པོར་འདུག་པ་མེད་པར་མོས་སམ། སྨྲས་པ། མོས་སོ། །སྨྲས་པ། ||| “Honorable Śāriputra, do you believe that the realm of phenomena is a realm without aggregates, that there is no arising or ceasing of any phenomena, and that there are no phenomena whatsoever that are present as aggregates?” “Yes, I do.”
ཇི་ལྟར་མོས། སྨྲས་པ། ||| “Why do you believe this?”
འཇམ་དཔལ་ཆོས་གང་ཡང་སྐྱེ་བའམ། འགག་པའམ། ཕུང་པོར་འདུག་པ་དེ་མི་དམིགས་ཏེ་དེ་ལྟར་མོས་སོ། །སྨྲས་པ། ||| “Mañjuśrī, I do not apprehend any phenomena arising, ceasing, or present as aggregates, and so I believe in this way.”
བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་ཤེས་རབ་གང་ཡིན་པ་དེ་ཆོས་ཀྱི་དབྱིངས་ཡིན་ལ། ཆོས་ཀྱི་དབྱིངས་གང་ཡིན་པ་དེ་ཤེས་རབ་ཡིན་ཏེ། ཆོས་ཀྱི་དབྱིངས་ཞེས་བྱ་བའི་མིང་ཡང་ཐོབ་པ་དང་། དེའི་ཕྱིར་ཡང་དགྲ་བཅོམ་པ་ཞེས་བྱ་བར་མོས་སམ། ||| “Honorable Śāriputra, do you believe that insight is the realm of phenomena, and that the realm of phenomena is insight, and that therefore the so-called realm of phenomena is also called a worthy one?”
སྨྲས་པ། མོས་སོ། །སྨྲས་པ། ||| “Yes, I do.”
ཇི་ལྟར་མོས། སྨྲས་པ། ||| “Why do you believe this?”
འཇམ་དཔལ་རྟོགས་པར་འགྱུར་བའི་ཤེས་རབ་ཀྱིས་དགྲ་བཅོམ་པ་ཉིད་དུ་འགྱུར་བ་དེ་བཞིན་དུ་ཆོས་ཀྱི་དབྱིངས་ཡོངས་སུ་ཤེས་པར་ཟད་ཀྱི་ཆོས་ཀྱི་དབྱིངས་ཡོངས་སུ་ཤེས་པ་ནི་འདོད་ཆགས་ཀྱི་བདག་ཉིད་དམ། ||| “Mañjuśrī, the state of a worthy one comes about through the insight that leads to realization.
ཞེ་སྡང་གི་བདག་ཉིད་དམ། གཏི་མུག་གི་བདག་ཉིད་ཀྱང་མ་ཡིན་ལ། ཆོས་ཀྱི་དབྱིངས་ལས་ཀྱང་དགྲ་བཅོམ་པ་གུད་ན་མེད་དེ་དེ་ལྟར་མོས་སོ། །སྨྲས་པ། ||| Accordingly, as this amounts to knowledge of the realm of phenomena, that knowledge is not epitomized by attachment, aversion, or delusion, and a worthy one is therefore not other than the realm of phenomena. Thus, I believe in this way.”
བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་ཆོས་ཐམས་ཅད་སངས་རྒྱས་ཀྱི་ཁྱུ་མཆོག་དང་མཉམ་པར་མོས་སམ། ||| “Honorable Śāriputra, do you believe all phenomena are equal to the Buddha, the great leader?”
སྨྲས་པ། མོས་སོ། །སྨྲས་པ། ||| “Yes, I do.”
ཇི་ལྟར་མོས། སྨྲས་པ། ||| “Why do you believe this?”
འཇམ་དཔལ་འདི་ལྟར་བཅོམ་ལྡན་འདས་ཀྱིས་ནི་ཆོས་ཐམས་ཅད་རང་བཞིན་གྱིས་དབེན་པར་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ཏེ། དེ་ལྟར་མོས་སོ། །སྨྲས་པ། ||| “Mañjuśrī, I believe this because the Blessed One has fully understood that all phenomena are devoid of an inherent nature.”
བཙུན་པ་ཤཱ་རིའི་བུ་ཁྱོད་ཀྱི་ཡུལ་ཇི་ཙམ་པ་དེ་ཙམ་དུ་ཁྱོད་ཀྱིས་ལན་བཏབ་པ་ལེགས་སོ་ལེགས་སོ། ||| “Honorable Śāriputra, it is excellent that you have given answers according to the extent of your purview. Well done. That is as far as I will question you.
།དེ་ཙམ་ཞིག་ཁྱོད་ལ་དྲིས་ཀྱིས་ད་ནི་རང་གི་གནས་སུ་སོང་ཤིག །ཤཱ་རིའི་བུས་སྨྲས་པ། ||| Now, return to your place.”
འཇམ་དཔལ་འདི་ལྟར་འདི་ཉིད་ནི་བདག་གི་ཇི་སྲིད་འཚོའི་བར་གྱི་གནས་ཡིན་ནོ། །དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ལ་བཀའ་སྩལ་པ། ||| Śāriputra responded, “Mañjuśrī, this is my place, for as long as I live.”
ཤཱ་རིའི་བུ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་འཛིན་པའམ། འཆང་བའམ། ཀློག་པའམ། ཀུན་ཆུབ་པར་བྱེད་པ་དེས་ནི་སྤོབས་པ་མྱུར་དུ་ཐོབ་པར་འགྱུར་རོ། ||| At this point, the Blessed One said to Venerable Śāriputra, “Śāriputra, noble sons or daughters who remember, keep, read, or learn this teaching will swiftly become eloquent.”
།གསོལ་པ། བཅོམ་ལྡན་འདས་དེ་ནི་དེ་ལྟ་ལགས་ཏེ། ||| “So it is, Blessed One.
ཇི་སྐད་བཀའ་སྩལ་པ་བཞིན་དུ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་དག་གི་སླད་དུ་ཆོས་ཀྱི་ཕྱག་རྒྱ་འདི་བཞག་པ་དེ་དག་ནི་སྔོན་གྱི་རྒྱལ་བ་རྣམས་ལ་བགྱི་བ་བགྱིས་པ་ལགས་ཏེ། ||| Those who, for the sake of noble sons or daughters, present this Dharma seal exactly as it has been taught will be paying service to the victors of the past;
དེ་དག་དེ་ལྟར་རིག་པར་བྱའོ། ||| they should be seen in this way.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཆོས་ཀྱི་རྣམ་གྲངས་འདིའི་མིང་ཅི་ལགས། འདི་ཇི་ལྟར་གཟུང་བར་བགྱི། དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ||| Then Venerable Śāriputra asked the Blessed One, “What is the name of this Dharma teaching, Blessed One? How should it be known?”
།ཤཱ་རིའི་བུ་དེའི་ཕྱིར་ཁྱོད་ཀྱིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་ཞུས་ནས་ངས་ལན་བཏབ་པ་ཞེས་བྱ་བར་ཟུང་ཤིག །ཆོས་ཀྱི་དབྱིངས་ཞེས་བྱ་བར་ཡང་ཟུང་ཤིག །ཡང་དག་པའི་མཐའ་ཞེས་བྱ་བ་དང་། རིན་པོ་ཆེའི་མཐའ་ཞེས་བྱ་བར་ཡང་ཟུང་ཤིག །ཤཱ་རིའི་བུ་རིགས་ཀྱི་བུའམ། ||| “To that end, Śāriputra,” said the Blessed One to Venerable Śāriputra, “you may identify this Dharma teaching as My Response to Youthful Mañjuśrī’s Question. Identify it also as The Realm of Phenomena. You can also identify it as The Limit of Reality and Infinite Jewels.
རིགས་ཀྱི་བུ་མོ་གང་དག་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་འཛིན་པ་དང་། འཆང་བ་དང་། ཀློག་པ་དང་། ཀུན་ཆུབ་པར་བྱེད་པ་དང་། སྒོམ་པ་དང་། སྦྱོར་བ་ལ་བརྩོན་པར་གནས་པ་དེ་དག་ནི་རིན་པོ་ཆེ་དང་འདྲ་བ་ཡིན་ཏེ། ||| Śāriputra, noble sons and daughters who exert themselves in remembering, keeping, reading, learning, cultivating, and applying this Dharma teaching are like jewels.
