༄༅། །དགེ་བ་དང་མི་དགེ་བའི་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་བསྟན་པའི་མདོ། ||| Teaching the Ripening of Virtuous and Nonvirtuous Actions
།ཚེ་འདི་ལ་མཆོད་སྟོན་གྱི་ཟས་ཟོས་ཀྱི་ལྷག་མ་ཁྱིམ་དུ་ཁྱེར་བ་ནི་ཚེ་ཕྱི་མ་ལ་ལྕགས་འབར་བའི་སེམས་ཅན་དམྱལ་བར་ལྟུང་ངོ་། །ཅི་སྟེ་མིར་སྐྱེས་ན་ཡང་ལྐོག་ནད་ཅན་དང་། ཚེ་ཐུང་བར་འགྱུར་རོ། ||| Those who bring home the remainders of the food consumed in feast offerings in this life will fall into the hell of blazing iron in their next life; even if they are born as humans, they will suffer from throat diseases and have short lifespans.
།ཚེ་འདི་ལ་སངས་རྒྱས་ལ་ཕྱག་འཚལ་བའི་ཚེ་དཔྲལ་བ་ས་ལ་མ་གཏུགས་ན་སྤྱིའུ་ཚུགས་ཀྱི་དམྱལ་བར་ལྟུང་ངོ་། །ཅི་སྟེ་མིར་སྐྱེས་ན་ཡང་མིའོ་ཅོག་གིས་བརྙས་ཤིང་སླུ་བར་སྐྱེའོ། ||| Those whose foreheads do not touch the floor when prostrating to the buddhas in this life will fall into the upside-down hell in their next life; even if they are reborn as humans, they will be condemned and deceived by all.
།ཚེ་སྔ་མ་ལ་སངས་རྒྱས་ལ་ཕྱག་འཚལ་བའི་ཚེ་ཐལ་མོ་མི་སྦྱོར་བ་ནི་ཚེ་ཕྱི་མ་ལ་མཐའ་འཁོབ་ཏུ་སྐྱེ་སྟེ། ལས་མང་དུ་བྱས་ཏེ་འབྲས་བུ་འགྲུབ་པ་ཆུང་ངོ་། ||| Those who do not join their palms together when prostrating to the buddhas in this life will be reborn in borderlands in their next life; there, they will engage in great amounts of work with minimal results.
།ཚེ་འདི་ལ་ཞལ་ཏོན་ཉལ་ནས་མི་ལངས་པ་ནི་ཚེ་ཕྱི་མ་ལ་ལྟོ་འཕྱེའི་རིས་སུ་སྐྱེའོ། །ལུས་རིང་ཞིང་ཆེ་བ་ནི་སྲིན་བུ་ཕོ་མོ་ཐམས་ཅད་ཀྱིས་ཟ་བར་འོང་ངོ་། ||| Those who sleep through their chanting without being able to get up in this life will be reborn as snakes in their next life; with long and large bodies, they will end up being devoured by every male and female insect.
།ཚེ་འདི་ལ་ལག་པ་བསྣོལ་ཏེ་སངས་རྒྱས་ལ་ཕྱག་འཚལ་བ་ནི་ཚེ་ཕྱི་མ་ལ་ཕྱིན་ཀ་ལོག་ཏུ་བཅིངས་པའི་སེམས་ཅན་དམྱལ་བར་ལྟུང་ངོ་། །མི་རུ་སྐྱེས་ན་ཡང་ཉེ་བར་གྱོད་ལ་ཐོགས་པར་འོང་ངོ་། ||| Those who unevenly join their hands while prostrating to the buddhas in this life will, in their next life, fall into the hell where their hands are tightly bound behind their backs; even if they are reborn as humans, they will be caught up in disputes.
།ཚེ་འདི་ལ་ཐལ་མོ་སྦྱར་ཏེ་ཡན་ལག་སྨད་ལྔ་ས་ལ་གཏུགས་ཏེ། རྩེ་གཅིག་པའི་སེམས་ཀྱིས་སངས་རྒྱས་ལ་ཕྱག་འཚལ་བ་ནི་གང་ནས་གང་དུ་སྐྱེས་པར་རྟག་ཏུ་བཙན་ཞིང་སྐྱིད་པར་འོང་ངོ་། ||| Those who, in this life, single pointedly prostrate to the buddhas with their palms joined and their five physical points touching the floor will always be mighty and happy wherever they are born. “
།ཚེ་འདི་ལ་འཁོང་ཞིང་སྤྲོ་ཐུང་བ་ནི་བྱོལ་སོང་ལས་འོངས་སོ། ||| Being joyless and short tempered in this life comes from having been a beast of burden.
།ཚེ་འདི་ལ་མིག་ཡོན་པོར་འདུག་པ་ནི་གཞན་གྱི་ཆུང་མ་ལ་མིག་ཟུར་གྱིས་སྟེགས་པ་ལས་འོངས་སོ། ||| Being cross-eyed in this life comes from having glanced at the wives of others.
།ཚེ་འདི་ལ་ཆུང་མའི་ནོན་བྱས་ཏེ་ཕ་མ་ལ་རྒོལ་བ་ནི་ལྕེ་གཏུབས་པའི་སེམས་ཅན་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who are pressured by their wives to oppose their parents in this life will fall into the hell of tongue cutting.
།ཚེ་འདི་ལ་ཆང་གི་དབང་དུ་སྲེད་པ་ནི་ཚེ་ཕྱི་མ་ལ་ཆུའི་སྲིན་བུར་སྐྱེའོ། །ཅི་སྟེ་མིར་སྐྱེས་ན་ཡང་ལྷ་གོར་དང་དབུགས་མི་བདེ་བའི་ནད་ཀྱིས་འཆི་བར་འགྱུར་རོ། ||| Those who crave for alcohol in this life will be reborn as water insects in their next life; even if they are reborn as humans, they will die from diseases involving muscle pain and uncomfortable breathing. “
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་དགའ་བོ་ངས་ཇི་ལྟར་བཤད་པའི་སྡུག་བསྔལ་མང་པོ་རྣམ་པ་སྣ་ཚོགས་ཀུན་གྱིས་མི་དགེ་བ་རྣམས་ལས་གྱུར་ཏེ་རབ་ནི་སེམས་ཅན་དམྱལ་བར་ལྟུང་ངོ་། ||| Nanda, all the many different types of suffering I have described come about on the basis of nonvirtuous actions. At worst, those actions will cause one to fall into the hell realms.
།འབྲིང་ནི་བྱོལ་སོང་གི་རྒྱུར་འགྱུར་རོ། ||| Next, they will cause one to be reborn in the animal realms.
།ཐ་མ་ནི་ཡི་དགས་ཀྱི་རྒྱུར་འགྱུར་རོ། ||| At best, they will cause one to be reborn in the realms of hungry ghosts. “
།སྲོག་གཅོད་པས་སེམས་ཅན་ངན་སོང་གསུམ་དུ་ལྟུང་ངོ་། །ཅི་སྟེ་མིར་སྐྱེས་ན་ཡང་འབྲས་བུ་རྣམ་པ་གཉིས་སྨིན་ཏེ། དབུལ་ཕོངས་པ་དང་། ནོར་ཐུན་མོང་དུ་སྤྱད་པའི་དབང་མེད་དོ། ||| Those who take lives will fall into the three lower realms; even if they are born as humans, they will experience two types of karmic ripening: they will be poor, and they will be powerless as their wealth is shared.
།མི་ཚངས་པར་སྤྱོད་པས་ཀྱང་སེམས་ཅན་ངན་སོང་གསུམ་དུ་ལྟུང་ངོ་། །ཅི་སྟེ་མིར་སྐྱེས་ན་ཡང་འབྲས་བུ་རྣམ་པ་གཉིས་སྨིན་ཏེ། བདག་གི་ཆུང་མ་ལ་འཕྱོ་བ་དང་། ཆེན་ཆུན་གཉིས་རྩོད་པ་དང་། བདག་གི་བསམ་པ་བཞིན་མི་འགྲུབ་བོ། ||| Those who commit sexual misconduct will fall into the three lower realms; even if they are born as humans, they will experience two types of karmic ripening: their wives will be unchaste as the senior and junior wives quarrel, and their wishes will not be fulfilled.
།བརྫུན་དུ་སྨྲ་བ་ཡང་སེམས་ཅན་ངན་སོང་གསུམ་དུ་ལྟུང་བར་འགྱུར་རོ། །ཅི་སྟེ་མིར་སྐྱེས་ན་ཡང་འབྲས་བུ་རྣམ་པ་གཉིས་སྨིན་ཏེ། གཞན་གྱིས་སྐུར་པ་འདེབས་པ་དང་། མ་འོངས་པ་ཀུན་གྱིས་སླུ་བར་འགྱུར་རོ། ||| Those who tell lies will fall into the three lower realms; even if they are born as humans, they will experience two types of karmic ripening: they will be denigrated by others, and they will be deceived by everyone in the future.
།ཕྲ་མ་བྱེད་པ་ཡང་སེམས་ཅན་ངན་སོང་གསུམ་དུ་ལྟུང་བར་བྱེད་དོ། །ཅི་སྟེ་མིར་སྐྱེས་ན་ཡང་གཉེན་ཞིག་པ་དང་། གཉེན་ངན་པ་དང་། ཕྲག་དོག་ཅན་དུ་འགྱུར་རོ། ||| Those who use divisive speech will fall into the three lower realms; even if they are born as humans, they will lose their friends, they will have bad friends, and they will be jealous.
།ངག་མི་སྙན་པར་སྨྲ་ན་ཡང་སེམས་ཅན་ངན་སོང་གསུམ་དུ་ལྟུང་ངོ་། །ཅི་སྟེ་མིར་སྐྱེས་ན་ཡང་འབྲས་བུ་རྣམ་པ་གཉིས་སྨིན་ཏེ། རྟག་ཏུ་སྒྲ་མི་སྙན་པ་མང་པོ་ཐོས་པ་དང་། སྨྲས་སོ་ཅོག་སྐྱོན་ཅན་རྩོད་པར་འགྱུར་རོ། ||| Those who pronounce harsh words will fall into the three lower realms; even if they are born as humans, they will experience two types of karmic ripening: they will always hear many unpleasant sounds, and everything they say will be disputed as faulty.
།ཚིག་ཁྱལ་པ་བྱེད་པ་ཡང་ངན་སོང་གསུམ་དུ་ལྟུང་བར་འགྱུར་ཏེ། ཅི་སྟེ་མིར་སྐྱེས་ན་ཡང་འབྲས་བུ་རྣམ་པ་གཉིས་སྨིན་ཏེ། བདེན་པའི་ཚིག་སྨྲས་པ་ཡང་ཀུན་གྱིས་ཡིད་མི་ཆེས་པ་དང་། སྨྲས་པ་ཐམས་ཅད་མི་གསལ་བར་འོང་ངོ་། ||| Those who make meaningless chatter will fall into the three lower realms; even if they are born as humans, they will experience two types of karmic ripening: no one will believe them even if they tell the truth, and everything they say will remain unclear.
།འདོད་ཆགས་ཀྱི་ཁ་ན་མ་ཐོ་བ་ཡང་སེམས་ཅན་ངན་སོང་གསུམ་དུ་ལྟུང་བར་བྱེད་དོ། །ཅི་སྟེ་མིར་སྐྱེས་ན་ཡང་འབྲས་བུ་རྣམ་པ་གཉིས་སྨིན་ཏེ། ནོར་ལ་ཆགས་ཤིང་ཆོག་མི་ཤེས་པའི་རང་བཞིན་དང་། མང་དུ་ཚོལ་ཡང་བསམས་པ་བཞིན་མི་འགྲུབ་པོ། ||| Those who commit misdeeds under the influence of desire will fall into the three lower realms; even if they are born as humans, they will experience two types of karmic ripening: they will be attached to wealth without ever being content, and their wishes will never be fulfilled no matter how hard they try.
།ཞེ་སྡང་གི་ཁ་ན་མ་ཐོ་བ་ཡང་སེམས་ཅན་ངན་སོང་གསུམ་དུ་ལྟུང་བར་བྱེད་དོ། །ཅི་སྟེ་མིར་སྐྱེས་ན་ཡང་འབྲས་བུ་རྣམ་པ་གཉིས་སྨིན་ཏེ། གཞན་གྱིས་རྟག་ཏུ་གླགས་ཚོལ་བ་དང་། རྟག་ཏུ་གཞན་གྱིས་འཚེ་བར་འགྱུར་རོ། ||| Those who commit misdeeds under the influence of anger will fall into the three lower realms; even if they are born as humans, they will experience two types of karmic ripening: others will always try to take advantage of them, and they will always be harmed by others.
།ལོག་པར་ལྟ་བའི་ཁ་ན་མ་ཐོ་བ་ཡང་སེམས་ཅན་ངན་སོང་གསུམ་དུ་ལྟུང་ངོ་། །ཅི་སྟེ་མིར་སྐྱེས་ན་ཡང་འབྲས་བུ་རྣམ་པ་གཉིས་སྨིན་ཏེ། རྟག་པར་ལོག་པར་ལྟ་བའི་ཁྱིམ་དུ་སྐྱེ་བ་དང་། གཡོན་ཅན་དུ་སྐྱེ་བར་འགྱུར་རོ། ||| Those who commit misdeeds under the influence of wrong views will fall into the three lower realms; even if they are born as humans, they will experience two types of karmic ripening: they will always be reborn in the households of persons with wrong views, and they will be crafty.
།ཀྱེ་རྒྱལ་བའི་སྲས་དག་དེ་ལྟ་བུའི་མི་དགེ་བ་བཅུ་ནི་སྡུག་བསྔལ་མང་པོས་གདུང་བའི་རྒྱུ་ཡིན་ནོ། ||| O heirs of the victorious ones, those ten nonvirtues are the causes for having to suffer much misery!”
།དེ་ནས་འཁོར་མང་པོའི་ནང་ནས་མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བྱེད་པ་དག་བཅོམ་ལྡན་འདས་ཀྱིས་སེམས་ཅན་དམྱལ་བའི་སྡུག་བསྔལ་རྣམས་བཤད་པ་འདི་ཐོས་ནས་ཐམས་ཅད་ཀྱིས་ཆོ་ངེས་བཏབ་སྟེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བདག་ཅག་རྣམས་ཀྱིས་དགེ་བ་ཇི་ལྟ་བུ་ཞིག་གིས་སྡུག་བསྔལ་དེ་དག་ལས་ཇི་ལྟར་ཐར་བར་འགྱུར། ||| Then, as those among the many followers who had practiced the paths of the ten nonvirtuous actions heard the Blessed One’s description of the suffering of hell beings, they cried out in unison, “What kind of virtue will free us from this suffering?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཁྱེད་རྣམས་སེམས་ཅན་ཐམས་ཅད་བསོད་ནམས་ཀྱི་ལས་འཐུན་པར་གྱིས་ཤིག ། ||| The Blessed One replied, “You must make all beings act in accordance with meritorious actions.
ཇི་ལྟར་ན་བསོད་ནམས་བྱེད་ཅེ་ན། ||| How is merit created?
གང་ལ་ལ་ཞིག་བདག་ཉིད་ཀྱི་སེམས་ཅན་གྱི་དོན་ཆེན་པོ་བྱེད་པ་གཙོ་བོར་བྱས་པ་ལ་མཆོད་རྟེན་དང་། གཙུག་ལག་ཁང་བརྩིགས་ན་མ་འོངས་པའི་དུས་ན་གདོན་མི་ཟ་བར་རྒྱལ་པོར་འགྱུར་ཏེ། འགྲོ་བ་མང་པོའི་དོན་བྱེད་ཅིང་འགྲོའོ་ཅོག་གི་ཀུན་ལ་མི་འཐུན་པ་མེད་དོ། ||| Those who construct stūpas and temples primarily for the sake of bringing great benefit to beings will undoubtedly become kings in the future; as they accomplish the benefit of many beings, there will be no one with whom they are not in harmony.
།ཚེ་འདི་ལ་ཆོས་ཀྱི་འགྲོ་བ་དང་། ཆོས་ལ་དད་པ་ནི་མིའི་མཆོག་ཏུ་འགྱུར་རོ། །མ་འོངས་པའི་དུས་ན་གདོན་མི་ཟ་བར་བློན་ཆེའམ། ཁམས་ཀྱི་དབང་པོ་བློན་དུ་འགྱུར་རོ། །གོས་དང་རྟ་དང་ལྡན་ཞིང་དགོས་སོ་ཅོག་ཚོགས་པར་འགྱུར་རོ། ||| Those who engage with the Dharma and develop faith in it in this life will become supreme among humans; they will undoubtedly become great ministers and rulers of territories in the future, they will possess garments and horses, and they will own everything they need.
།ཚེ་འདི་ལ་མི་མང་པོ་ལ་བཏུད་ཅིང་བསོད་ནམས་བྱེད་པ་ནི་ཕྱུག་ཅིང་བཙན་པའི་ཁྱིམ་བདག་ཏུ་འགྱུར་ཏེ། མང་པོ་ཀུན་གྱིས་བཀུར་བ་དང་། ཕྱོགས་བཞི་དག་ཏུ་འགྲོ་ཡང་བགེགས་མེད་ཅིང་བྱའོ་ཅོག་འགྲུབ་བོ། ||| Those who bow to many people and create merit in this life will become masters of wealthy and mighty households; they will be venerated by all, they will meet no obstacles when they travel in any of the four directions, and all their activities will be successful.
།ཚེ་འདི་ལ་སངས་རྒྱས་ཀྱི་མདུན་དུ་མེ་མར་འབུད་ཅིང་སྣང་གསལ་ལ་དད་པ་ནི་མ་འོངས་པའི་དུས་ན་ཉི་མ་དང་ཟླ་བའི་ལྷར་སྐྱེའོ། །འོད་ཀྱིས་བདག་ལ་གསལ་བར་འགྱུར་རོ། ||| Those who offer lamps in front of the buddhas and are devoted to those lamps will be born among the gods of the sun and moon in the future, and they will be illuminated with light.
།ཚེ་འདི་ལ་སྙིང་རྗེའི་སེམས་ཀྱིས་སྦྱིན་པ་བྱིན་ན་མ་འོངས་པའི་དུས་ན་རབ་ཏུ་ཕྱུག་ཅིང་ཟས་དང་གོས་ཀྱང་ཡིད་བཞིན་དུ་འགྲུབ་བོ། ||| Those who practice generosity with a compassionate attitude in this life will be extremely wealthy in the future, and they will naturally attract food and clothing.
།ཚེ་འདི་ལ་ཟས་སྐོམ་མི་ལ་སྦྱིན་པ་ལ་དགའ་བ་ནི་གར་སྐྱེས་པ་ཐམས་ཅད་དུ་ཡིད་བཞིན་གྱི་ཟས་སུ་འགྱུར་ཞིང་ཟས་དང་། སྐོམ་ཡང་ལྡན་ལ་དབང་པོ་རྣོ་ཞིང་སྤོབས་པ་ཆེ་སྟེ་ཚེ་རིང་བར་འགྱུར་རོ། ||| Those who enjoy giving out food and drink in this life will naturally have food and drink everywhere they are born; their faculties will be sharp, their eloquence will be great, and they will have long lives.
།གང་གིས་བྱོལ་སོང་ལ་ཟས་བྱིན་ན་ནི་ལན་བརྒྱ་འགྱུར་འཐོབ་བོ། ||| Those who give food to animals will be reciprocated a hundredfold.
།ལོག་སྲེད་ལ་སྦྱིན་པ་སྦྱིན་པས་ནི་ལན་སྟོང་འགྱུར་འཐོབ་བོ། ||| Those who give to icchantikas will be reciprocated a thousandfold.
།དགེ་སློང་ངམ། དགེ་སློང་མའམ། ཁྲིམས་གཙང་མ་ལ་སྦྱིན་པ་བྱིན་པས་ནི་ལན་ཁྲིར་འགྱུར་རོ། ||| Those make gifts to monks, nuns, or other persons observing pure discipline will be reciprocated ten thousandfold.
།ཆོས་སྨྲ་བའི་དགེ་སློང་ཐེག་པ་ཆེན་པོ་སྤེལ་ཞིང་དེ་བཞིན་གཤེགས་པའི་གཏེར་བཤད་པ་མང་པོ་ཀུན་གྱི་མིག་ཕྱེད་ནུས་པ་ལ་བྱིན་ན་ལན་གྲངས་མེད་ཚད་མེད་པ་སྙེད་དོ། ||| Those who make gifts to the monks who expound the Dharma—those who spread the Great Vehicle, explain the treasuries of the Thus-Gone One, and are able to open the eyes of everyone—will be reciprocated countless numbers of times.
།གལ་ཏེ་སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ལ་བྱིན་ན་འབྲས་བུ་མཐར་གཏུགས་པར་འགྱུར་རོ། ||| Those who make gifts to the buddhas and bodhisattvas will reach the final fruition. “
།གཞན་ཡང་སྦྱིན་གནས་གསུམ་ལ་སྦྱིན་པ་བྱས་ན་རྣམ་པར་སྦྱིན་པའི་འབྲས་བུ་ཟད་མི་ཤེས་སོ། ||| Furthermore, those who make gifts to the three recipients of generosity will receive endless rewards.
།གསུམ་གང་ཞེ་ན། ||| What are those three?
སངས་རྒྱས་དང་། ཕ་མ་དང་། ནད་པའོ། ||| They are the buddhas, parents, and the sick.
།དེ་དག་ལ་ཟས་གཅིག་སྦྱིན་པ་བྱས་པས་ཀྱང་དེ་ལྟ་བུའི་འབྲས་བུ་མི་ཟད་པ་འཐོབ་པར་འགྱུར་ན། རྟག་ཏུ་སྦྱིན་པ་བྱིན་པ་ལྟ་ཅི་སྨོས། ||| Those who offer them a single morsel of food will attain those endless rewards, so what need is there to mention the continuous practice of generosity?
ཚེ་འདི་ལ་དགེ་འདུན་མང་པོ་ལ་ཁྲུས་བྱས་ན་སྐྱེ་བ་ཐམས་ཅད་དུ་བྱད་བཞིན་བཟང་ཞིང་། ཡིད་བཞིན་གྱི་གོས་དང་ལྡན་ལ་མང་པོ་ཀུན་གྱིས་བཀུར་བར་འགྱུར་རོ། ||| Those who offer baths to many Saṅgha members in this life will have lovely faces, possess all the clothing they want, and be respected by everyone in all their future lives.
།ཚེ་འདི་ལ་དམ་པའི་ཆོས་ཀྱི་མདོ་སྡེ་ཀློག་པ་དང་། འདོན་པ་ལ་བསྔགས་པས་ནི་སྐྱེ་བ་ཐམས་ཅད་དུ་སྒྲ་དབྱངས་སྙན་ཅིང་ཀུན་གྱིས་ཐོས་པར་དགའ་བར་འགྱུར་རོ། ||| Those who read sūtras of the sacred Dharma and praise their recitation will have beautiful voices in all their future lives, and everyone will enjoy listening to them.
།ཚེ་འདི་ལ་ཚུལ་ཁྲིམས་སྡོམ་པས་ནི་སྐྱེ་བ་ཐམས་ཅད་དུ་བྱད་བཞིན་བཟང་བ་དང་། མིའི་མཆོག་ཏུ་འགྱུར་རོ། ||| Those who maintain their discipline in this life will have lovely faces and be supreme among humans in all their future lives.
།ཚེ་འདི་ལ་ཆུ་དཀོན་པའི་སར་ཁྲོན་པ་མང་པོ་བརྐོས་ལ་སྐོམ་སྦྱར་ལ། ལམ་སྲང་དུ་ཀུན་ཤོང་བར་བྱེད་དེ། བསྐྱེད་ཅིང་མིའོ་ཅོག་སྒྲོལ་བ་ནི་སྐྱེ་བ་ཐམས་ཅད་དུ་མིའི་རྒྱལ་པོ་བྱེད་ཅིང་ཟས་སྐོམ་རོ་བརྒྱ་དང་ལྡན་པ་ཡིད་བཞིན་དུ་འབྱུང་བར་འགྱུར་རོ། ||| Those who, in this life, dig many wells in water-scarce areas, thereby providing drink, and widen roads to fit everyone, thereby freeing up all people, will be kings among humans in all their future lives, and they will naturally receive food and drink with hundreds of flavors.
།ཚེ་འདི་ལ་མདོ་སྡེ་ལ་སོགས་པ་འདྲིའམ་གཞན་ལ་བྱིན་ཏེ་ཀློག་ཏུ་བཅུག་པ་ནི་སྐྱེ་བ་ཐམས་ཅད་དུ་ཚིག་ལ་ཐོགས་པ་མེད་ཅིང་སློབ་པ་ཐམས་ཅད་ལན་ཅིག་ཐོས་པས་མི་བརྗེད་པར་ཟིན་པར་འགྱུར་རོ། །སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཡང་རྟག་ཏུ་དེ་ལ་དགོངས་པར་འགྱུར་རོ། །མིའི་ནང་ན་མཆོག་དང་ཕུལ་དུ་འགྱུར་རོ། །གཙོ་བོར་འགྱུར་རོ། ||| Those who, in this life, copy the sūtras and so forth or give them to others to let them read will be unobstructed in all their future lives, and they will not forget anything they learn upon hearing it a single time; the buddhas and bodhisattvas, too, will always pay them heed, and they will become most supreme and eminent among humans—they will be great leaders.
།ཚེ་འདི་ལ་ཟམ་པ་དང་གྲུ་ལ་སོགས་པ་བྱེད་དེ། སྐྱེ་བོ་མང་པོ་སྒྲོལ་བར་བྱེད་པ་ལ་དགའ་བ་ནི་སྐྱེ་བ་ཐམས་ཅད་དུ་རིན་པོ་ཆེ་སྣ་བདུན་དང་ལྡན་ཞིང་ཕལ་མང་པོས་བཀུར་ཏེ་བསྔགས་སོ། །འགྲོ་ཞིང་འོང་བ་ལ་བསུ་བསྐྱལ་བར་འགྱུར་རོ། ||| Those who enjoy freeing many beings by building bridges, boats, and so forth in this life will possess the seven precious substances, and they will be venerated and praised by many in all their future lives; they will be welcomed when arriving and escorted when departing. “
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགའ་བོ་ཇི་ལྟར་ངས་མདོ་སྡེ་ཐམས་ཅད་ལས་རྒྱུ་དང་འབྲས་བུར་བཤད་དོ། ||| Nanda, I have explained all the sūtras in terms of karma, causes, and fruition.
།སེམས་ཅན་རྣམས་འདོན་ནམ། ཀློག་གམ། རྗེས་སུ་སྤྱོད་ན། མི་ཁོམ་པ་དང་། སྡུག་བསྔལ་ལས་གྲོལ་བར་འགྱུར་རོ་ཞེས་གསུངས་སོ། ||| It is said that if beings recite, read, or practice this sūtra, they will be liberated from the unfree states and from suffering.
།གང་ལ་ལ་ཞིག་གིས་མདོ་སྡེ་འདི་ལ་སྐུར་པ་འདེབས་པ་ནི་ཚེ་འདི་ཉིད་ལ་ཡང་ལྕེ་རྩ་བ་ནས་འཆད་པར་འགྱུར་རོ། ||| Those who denigrate this sūtra will have their tongues entirely cut off in this very life.”
།དེ་ནས་དགའ་བོས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་མདོ་སྡེའི་མིང་ཅིར་གདགས། ||| Nanda then asked, “Blessed One, what is the name of this sūtra?
ཇི་ལྟར་གཟུང་བར་བགྱི། ||| How should it be remembered?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགའ་བོ་མདོ་སྡེ་འདི་ནི་དགེ་བ་དང་མི་དགེ་བའི་རྒྱུ་དང་འབྲས་བུ་ཞེས་ཀྱང་བྱ། བྱང་ཆུབ་སེམས་དཔའི་ལམ་དང་སྤྱོད་པ་ཞེས་ཀྱང་བྱ་སྟེ། དེ་ལྟར་ཟུང་ཤིག ། ||| The Blessed One replied, “Nanda, remember this sūtra as The Causes and Effects of Virtue and Nonvirtue, and as The Path and Practice of the Bodhisattvas.”
དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་མདོ་སྡེ་འདི་བཤད་ན་འཁོར་མང་པོའི་ནང་དུ་ལྷ་དང་མི་བརྒྱད་ཁྲི་སྙེད་བླ་ན་མེད་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། ||| When this sūtra was being given by the Blessed One, eighty-thousand gods and humans from among the many followers gave rise to the mind of unsurpassed awakening.
།བུད་མེད་བརྒྱད་སྟོང་སྙེད་ནི་མོའི་ལུས་ལས་ཕོར་གྱུར་ཏེ། མི་དགེ་བའི་སེམས་ཅན་ཐམས་ཅད་ཀྱང་དགེ་བར་གྱུར་ཏོ། ||| The bodies of eight thousand women transformed into male bodies, and all the nonvirtuous beings became virtuous.
།དགེ་སྡིག་རྣམ་པར་དབྱེ་བའི་མདོ་རྫོགས་སོ།། །། ||| Thus concludes the sūtra “Distinguishing between Virtue and Evil Deeds.”
