༄༅། །འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་སུམ་ཅུ་པ་སྟེ་བུ་མོ་བློ་གྲོས་བཟང་མོས་ཞུས་པ་ལུང་བསྟན་པ། བམ་པོ་ཕྱེད་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སུ་མ་ཏི་དཱ་རི་ཀ་པྲྀ་ཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་བུ་མོ་བློ་གྲོས་བཟང་མོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Noble Mahāyāna Sūtra The Inquiry of the Girl Sumati Homage to all buddhas and bodhisattvas!
སྲོག་ཆགས་བརྒྱ་སྟོང་གིས་ནི་ཡེ་ཤེས་མངོན་པར་རྟོགས་པར་གྱུར་ཏོ། །བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་དགེ་སློང་བྱང་ཆུབ་ཀྱི་སེམས་ལས་ཕྱིར་མི་ལྡོག་པར་འདོད་པ་ལྔ་སྟོང་ཙམ་ཡང་བྱང་ཆུབ་སེམས་དཔའ་བློ་གྲོས་བཟང་པོའི་ལྷག་པའི་བསམ་པ་རྟོགས་ཤིང་དགེ་བའི་རྩ་བའི་ཆེ་བ་ཉིད་མཐོང་ནས་དེ་དག་རང་རང་གི་བླ་གོས་བཅོམ་ལྡན་འདས་ཀྱི་སྐུ་ལ་གསོལ་ཏེ། ||| Around five thousand monks on the bodhisattva path, who wished not to turn back from the aspiration for awakening, realized the ambition of the bodhisattva Sumati and saw the greatness of the bodhisattva’s roots of virtue.
ལྷག་པའི་བསམ་པས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཡོངས་སུ་བསྔོས་ནས་ཚིག་འདི་སྐད་དུ་བཅོམ་ལྡན་འདས་བདག་ཅག་གི་དགེ་བའི་རྩ་བ་འདི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ངེས་པར་གྱུར་ཅིག་ཅེས་སྨྲས་སོ། ། ||| So, all of them put their monastic robes on the body of the Bhagavān, and with their ambition directed toward unsurpassable, perfect, and complete awakening, they made the following dedication: “Bhagavān, may our roots of virtue be certain to lead to unsurpassable, perfect, and complete awakening.”
དགེ་སློང་དེ་དག་གིས་དགེ་བའི་རྩ་བ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཡོངས་སུ་བསྔོས་མ་ཐག་ཏུ་བསྐལ་པ་དགུ་བཅུའི་འཁོར་བ་བསྙིལ་ཏེ་བོར་ནས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་གནས་པར་གྱུར་ཏོ། ། ||| As soon as the monks dedicated their roots of virtue to unsurpassable, perfect, and complete awakening, after ninety eons of saṃsāra had passed and were left behind, they attained the state of not turning back from the unsurpassable, perfect, and complete awakening.
དེ་དག་ཐམས་ཅད་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱིས་ལུང་བསྟན་ཏེ། ||| The Bhagavān also made a prophecy for all of them.
འཇམ་དཔལ་དགེ་སློང་འདི་དག་ནི་བསྐལ་པ་བཅུ་གཉིས་ན་བསྐལ་པ་དྲི་མ་མེད་པའི་འོད་ཅེས་བྱ་བ་ལ་དེ་བཞིན་གཤེགས་པ་བཟོད་པར་དཀའ་བའི་སངས་རྒྱས་ཀྱི་ཞིང་འཇིག་རྟེན་གྱི་ཁམས་འོད་ཟེར་ཅན་དུ་བསྐལ་པ་གཅིག་ལ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་ཏེ། ||| He said, “After twelve eons, Mañjuśrī, over the course of a single eon, an eon called Vimalaprabhāsa, all these monks will awaken to unsurpassable, perfect, and complete awakening. They will do so in the buddha realm of the Tathāgata Duṣprasaha in the world system called Mārīcī.
དེ་བཞིན་གཤེགས་པ་སྤོབས་པའི་རྒྱན་ཅེས་བྱ་བར་ཐམས་ཅད་མིང་འཐུན་པར་འཇིག་རྟེན་དུ་འབྱུང་བར་འགྱུར་རོ། ། ||| All of them will appear as tathāgatas in that world and will have a single name: Adornment of Eloquence.
འཇམ་དཔལ་དེ་ལྟར་ན་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དང་། ཉན་ཐོས་རྣམས་ལ་རྫུ་འཕྲུལ་ཆེན་པོ་བྱེད་པ་ཡིན་ནོ། ། ||| “In that way, Mañjuśrī, this Dharma discourse will cause bodhisattva mahāsattvas and śrāvakas to become great in the possession of superhuman powers.
འཇམ་དཔལ་རིགས་ཀྱི་བུ་འམ། རིགས་ཀྱི་བུ་མོ་བྱང་ཆུབ་འདོད་པ་གང་གིས་བསྐལ་པ་སྟོང་གི་བར་དུ་ཐབས་མཁས་པ་དང་མ་བྲལ་བས་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་སྤྱད་ལ་གང་གིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བྲིས་ནས་ཟླ་བ་ཕྱེད་ཀྱི་བར་དུ་ལན་རེ་བླགས་ན་བསོད་ནམས་ཀྱི་ཕུང་པོ་སྔ་མས་ནི་བསོད་ནམས་ཀྱི་ཕུང་པོ་འདིའི་བརྒྱའི་ཆར་ཡང་མི་ཕོད། སྟོང་གི་ཆ་དང་། བརྒྱ་སྟོང་གི་ཆ་དང་། བྱེ་བ་བརྒྱ་སྟོང་གི་ཆ་དང་། ||| “Even if sons and daughters from good families who aspire for awakening practice the six perfections with skillful means for a thousand eons, Mañjuśrī, their accumulation of merit will not equal even a hundredth, a thousandth, a hundred thousandth, or a thousand billionth of the merit accumulated by those who write down this Dharma discourse or listen to it even once during a half-month period.
གྲངས་དང་། བགྲང་བ་དང་། དཔེ་དང་རྒྱུར་ཡང་མི་བཟོད་དོ། ། ||| No reckoning, calculation, analogy, or account would suffice to describe it.
འཇམ་དཔལ་དེ་བས་ན་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཁྱོད་ལ་གཏད་ཀྱིས་ཁྱོད་འདུན་པར་གྱིས་ལ་སྔོན་གྱི་བྱང་ཆུབ་སེམས་དཔའི་སྨོན་ལམ་ལས་བྱུང་བའི་མདོ་འདི་ལྟ་བུ་འདི་མ་འོངས་པའི་དུས་ན་ཟུང་ཤིག ། ||| Therefore, Mañjuśrī, I am entrusting this Dharma discourse to you. You should take an interest in it. Such a sūtra has arisen from the vows of bodhisattvas from the past. Hold on to it in future times.
ཀུན་ཆུབ་པར་གྱིས་ཤིག ། ||| Understand it thoroughly.
ཆོངས་ཤིག ། ||| Remember it.
ཤོད་ཅིག ། ||| Teach it.
ལྷོགས་ཤིག ། ||| Recite it.
སྟོན་ཅིག ། ||| Demonstrate it.
གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་རབ་ཏུ་སྟོན་ཅིག ། ||| Expound it extensively to others.
འཇམ་དཔལ་དཔེར་ན་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་ཇི་སྲིད་དུ་གནས་པ་དེ་སྲིད་དུ་རིན་པོ་ཆེ་སྣ་བདུན་མེད་པར་མི་འགྱུར་ལ། འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་ཤི་ན་རིན་པོ་ཆེ་སྣ་བདུན་མེད་པར་འགྱུར་རོ། ། ||| “Consider this analogy, Mañjuśrī. So long as a cakravartin king is alive, the seven treasures will not cease to exist, but when a cakravartin king dies, the seven treasures will cease to exist.
འཇམ་དཔལ་དེ་བཞིན་དུ་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལྟ་བུ་འདི་འཇིག་རྟེན་ན་ཇི་སྲིད་དུ་སྤྱོད་པ་དེ་སྲིད་དུ་དེ་བཞིན་གཤེགས་པའི་བྱང་ཆུབ་ཀྱི་ཡན་ལག་རིན་པོ་ཆེ་སྣ་བདུན་དང་། བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་ཀྱི་ཚུལ་ཐམས་ཅད་མེད་པར་མི་འགྱུར་ལ། ||| In the same way, Mañjuśrī, so long as a Dharma discourse like this one is practiced in this world, that is how long the seven precious constitutive factors of the awakening of the Tathāgata and all the principles of the qualities that are conducive to awakening will not cease to exist.
ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལྟ་བུ་འདི་མེད་པར་གྱུར་ན་དམ་པའི་ཆོས་ནུབ་པར་འགྱུར་རོ། ། ||| When a Dharma discourse like this one ceases to exist, then the true Dharma will disappear.
འཇམ་དཔལ་དེ་བས་ན་མདོ་སྡེ་རིན་པོ་ཆེ་འདི་ལྟ་བུ་འདི་ཡི་གེར་བྲི་བ་དང་། ལུང་འབོགས་པ་དང་། བཅང་བ་དང་། བཀླག་པ་དང་། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་རབ་ཏུ་བསྟན་པའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱིས་བརྩོན་འགྲུས་བརྩམ་པར་བྱའོ། ། ||| Therefore, Mañjuśrī, bodhisattva mahāsattvas should undertake heroic efforts to write down the words of a treasure of a sūtra like this one, to explain it, to remember it, to recite it, and to expound it extensively to others.
འདི་ནི་ངའི་རྗེས་སུ་བསྟན་པ་ཡིན་ནོ། ། ||| This is my instruction.
ཕྱིས་འགྱོད་པ་ཅན་དུ་གྱུར་ཏ་རེ། ||| Do not feel regret in the future!
འདི་ནི་རིགས་ཀྱི་བུ་འམ། རིགས་ཀྱི་བུ་མོ་བྱང་ཆུབ་འདོད་པ་ལ་ངས་བསྟན་པ་ཡིན་ནོ། །བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས་བྱང་ཆུབ་སེམས་དཔའ་བློ་གྲོས་བཟང་པོ་དང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། ||| This is my instruction to sons and daughters from good families who aspire for awakening.”
ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། ||| This is what the Bhagavān said, and the bodhisattva Sumati, Mañjuśrī Kumārabhūta, the entire assembly, and the whole world with its gods, humans, asuras, and gandharvas rejoiced and praised what the Bhagavān had said.
བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །།འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་བུ་མོ་བློ་གྲོས་བཟང་མོས་ཞུས་པའི་ལེའུ་ཞེས་བྱ་སྟེ་སུམ་ཅུ་པ་རྫོགས་སོ།། །། ||| This concludes “The Inquiry of the Girl Sumati,” the thirtieth of the one hundred thousand chapters of the Dharma discourse known as “The Noble Great Heap of Jewels.”
རྒྱ་གར་གྱི་མཁན་པོ་ཛི་ན་མི་ཏྲ་དང་། སུ་རེན་དྲ་བོ་དྷི་དང་། ཞུ་ཆེན་གྱི་ལོ་ཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེ་ལ་སོགས་པས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།། །། ||| Translated, edited, and finalized by the Indian preceptors Jinamitra and Surendrabodhi, along with the chief editor and translator Bandé Yeshé Dé, and others.
