སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
ཉམ་ང་བ་ཉུང་ངམ། བསྐྱོད་པ་ཡང་ངམ། ། ||| Are you free from any misfortune and agitation?
སྟོབས་དང་བདེ་བར་རེག་པ་ལ་གནས་སམ་ཞེས་ཀྱང་སྙུན་གསོལ་ལོ་ཞེས་སྨྲའོ། ། ||| Are you enjoying good health and well-being?”
དེ་བཞིན་དུ་ལྷོའི་ཕྱོགས་ཆ་དང་། དེ་བཞིན་དུ་ནུབ་དང་། དེ་བཞིན་དུ་བྱང་དང་། དེ་བཞིན་དུ་འོག་དང་། དེ་བཞིན་དུ་སྟེང་དང་། དེ་བཞིན་དུ་ཕྱོགས་བཅུ་ཀུན་ཏུ་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ན་རིན་པོ་ཆེ་སྣ་ཚོགས་ཀྱི་ཁང་པ་བརྩེགས་པའི་བཀོད་པ་ཆེན་པོ་དུ་མས་བརྒྱན་ཅིང་ཡོངས་སུ་ཁྱབ་པར་མཐོང་ངོ་། ། ||| The same thing occurred in the south, in the west, in the north, below, above, and in all the ten directions. In all directions Padmaśrīgarbha saw as many buddha realms as there are grains of sand in the Ganges River, filled with and adorned by a great display of mansions made of various precious substances.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་དག་ཐམས་ཅད་ན་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དག་ཀྱང་མཐོང་ངོ་། ། ||| In all those buddha realms he saw blessed buddhas,
སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་ཐམས་ཅད་ཀྱི་སྤྱན་སྔ་ན་སྐྱེས་བུ་དམ་པ་དེ་གཉིས་ཞབས་ལ་ཕྱག་འཚལ་བར་ཡང་མཐོང་ངོ་། ||| he witnessed the two holy beings prostrating before all those blessed buddhas.
མཐོང་ནས་ཀྱང་དེ་ཤིན་ཏུ་ངོ་མཚར་ཆེར་འཛིན་པར་གྱུར་ཏོ། ། ||| As he saw this, he was filled with great wonder.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་དཔལ་གྱི་སྙིང་པོ་ངོ་མཚར་དུ་གྱུར་ནས། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The bodhisattva great being Padmaśrīgarbha was amazed, and exclaimed to the Blessed One,
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་དཔལ་གྱི་སྙིང་པོ་ངོ་མཚར་དུ་གྱུར་ནས། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| the bodhisattva great being Padmaśrīgarbha said to the Blessed One,
སྐྱེས་བུ་དམ་པ་འདི་གཉིས་ཀྱིས་སྒྱུ་མ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་མངོན་པར་བསྒྲུབས་པ་ནི་བསམ་གྱིས་མི་ཁྱབ་ ||| “The accomplishment of the illusory absorption by these two holy beings is inconceivable!
བཅོམ་ལྡན་འདས་ངོ་མཚར་ཏོ། །བདེ་བར་གཤེགས་པ་མཆོག་ཏུ་ངོ་མཚར་ཏོ། ། ||| Blessed One, it is amazing! Blissful One, it is truly amazing!
དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why do I say so?
འདི་ལྟར་སྐྱེས་བུ་དམ་པ་འདི་གཉིས་ཏིང་ངེ་འཛིན་འདི་ལ་གནས་ཏེ། སངས་རྒྱས་ཀྱི་ཞིང་ཐམས་ཅད་ན་གདའ་བའི་སླད་དུའོ། ། ||| Because these two holy beings abide in that absorption, and thus are present in all buddha realms.”
དེ་ནས་དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་ཇི་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་མཛད་པ་མངོན་པར་མཛད་པས། བྱང་ཆུབ་སེམས་དཔའ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་ཕྱོགས་བཅུ་ཀུན་གྱི་སངས་རྒྱས་ཀྱི་ཞིང་དག་མཐོང་བ་དང་། ||| The Blessed One then produced a miraculous display so that the bodhisattva Padmaśrīgarbha could see the buddha realms in all ten directions.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་དག་ན་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དག་དང་སྐྱེས་བུ་དམ་པ་དེ་གཉིས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་བ་མཐོང་བ་དང་། ||| He could also behold blessed buddhas in those buddha realms, and he saw how the two holy beings prostrated at the feet of the blessed ones.
དེ་བཞིན་དུ་ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེས་ཀྱང་ཕྱོགས་བཅུ་ཀུན་གྱི་སངས་རྒྱས་ཀྱི་ཞིང་དག་མཐོང་བ་དང་། ། ||| In a similar way, the entire retinue present could see the buddha realms in all ten directions,
སངས་རྒྱས་ཀྱི་ཞིང་དེ་དག་ན་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དག་དང་། སྐྱེས་བུ་དམ་པ་དེ་གཉིས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དག་གི་ཞབས་ལ་ཕྱག་འཚལ་བ་མཐོང་བ་དང་། ། ||| behold the blessed buddhas in those buddha realms, and see the two holy beings prostrated at the feet of the blessed ones.
མཐོང་ནས་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱི་འཁོར་སྲོག་ཆགས་སུམ་ཁྲི་ཉིས་སྟོང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པ་དེ་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་མཛད་པ་མངོན་པར་མཛད་དོ། ||| Witnessing this, thirty-two thousand beings in the retinue of the Blessed One developed the mind set on unsurpassed and completely perfect awakening. Such were the miracles that the Blessed One produced.
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| Then the bodhisattva Padmaśrīgarbha asked the Blessed One,
བཅོམ་ལྡན་འདས་སྐྱེས་བུ་དམ་པ་འདི་གཉིས་དེ་བཞིན་གཤེགས་པ་གང་ལས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ནས་ཇི་སྲིད་ཅིག་ལགས། ། ||| “Blessed One, from which thus-gone one did these two holy beings develop the mind set on unsurpassed and completely perfect awakening?
དེའི་མཚན་ནི་ཅི་ཞེས་བགྱི། ། ||| And how long ago was that?
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱིས་ལེགས་པར་བསྟན་དུ་གསོལ། ||| What was his name? Blessed One, thus-gone, worthy, completely perfect Buddha, please tell us!”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
འདི་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་གཞན་དག་ཀྱང་དེའི་བྱ་བ་དང་། དེའི་སྤྱོད་པ་དང་། དེའི་སྨོན་ལམ་ཡོངས་སུ་རྫོགས་པར་བྱེད་པར་འགྱུར་ཏེ། ||| “It is thus that other bodhisattvas, too, should perfect their conduct, actions, and aspirations.
དེ་ལྟ་བས་ན་པད་མའི་དཔལ་གྱི་སྙིང་པོ་ཁྱོད་ཤིན་ཏུ་ལེགས་པར་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་བཤད་དོ། ། ||| Therefore, Padmaśrīgarbha, listen very well and keep in mind what I will now explain.”
བྱང་ཆུབ་སེམས་དཔའ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་བཅོམ་ལྡན་འདས་ལེགས་སོ་ཞེས་གསོལ་ཏེ། ||| The bodhisattva Padmaśrīgarbha said, “Blessed One, excellent!” and
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། ||| he listened as the Blessed One had advised.
བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །པད་མའི་དཔལ་གྱི་སྙིང་པོ་ ||| “Padmaśrīgarbha,” continued the Blessed One,
སྔོན་བྱུང་བ་འདས་པའི་དུས་ན་བསྐལ་པ་གྲངས་མེད་པའི་ཡང་ཆེས་གྲངས་མེད་པ་ཡངས་པ་ཚད་མེད་པ་བསམ་གྱིས་མི་ཁྱབ་པ་འཇིག་རྟེན་གྱི་ཁམས་བརྒྱ་སྟོང་གི་རྡུལ་ཕྲ་རབ་ཇི་སྙེད་ཡོད་པ་དེ་སྙེད་དུ་ཚད་མེད་པ། དེ་སྙེད་དུ་བསམ་གྱིས་མི་ཁྱབ་པ། རྡུལ་ཕྲ་རབ་ཀྱི་རྡུལ་ཇི་ཙམ་ཡོད་པ་དེ་བས་ཀྱང་ཆེས་མང་བའི་བསྐལ་པ་བྱུང་བ་དེའི་ཚེ་དེའི་དུས་ན་འཇིག་རྟེན་གྱི་ཁམས་ཡོན་ཏན་རིན་ཆེན་བསགས་པ་དཔག་ཏུ་མེད་པ་བདེ་བ་ཀུན་ཏུ་སྟོན་པ་ཞེས་བྱ་བ་ན། ||| “previously, in times past, an inconceivable number of eons ago, an endless number of eons ago, at a time stretching further back than any number of eons, a number of eons so great that the number of atoms found in 100,000 worlds—all the limitless and inconceivable number of such atoms—would not equal the number of eons, there was a world called Boundless Accumulation of Precious Qualities and Full Display of Happiness.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་ཞབས་སུ་ལྡན་པ། ||| was a blessed, thus-gone, worthy, completely perfect buddha who had perfect knowledge and conduct.
བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། ||| He was a blissful one who knew the world,
སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ་བླ་ན་མེད་པ། ||| an unsurpassed charioteer who trained beings,
ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། ||| and a teacher of gods and men.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་གསེར་འོད་སེང་གེའི་རྣམ་པར་རོལ་པའི་རྒྱལ་པོ་ཞེས་བྱ་བ་བྱུང་སྟེ། ། ||| His name was Blessed Buddha King of the Golden-Hued Lion’s Play.
པད་མའི་དཔལ་གྱི་སྙིང་པོ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གསེར་འོད་སེང་གེ་རྣམ་པར་རོལ་པའི་རྒྱལ་པོ་ཞེས་བྱ་བ་དེའི་སངས་རྒྱས་ཀྱི་ཞིང་ན་ཡོན་ཏན་བཀོད་པ་གང་དག་ཡོད་པ་ ||| “Padmaśrīgarbha, in the buddha realm of the Blessed One, the thus-gone, worthy, completely perfect Buddha King of the Golden-Hued Lion’s Play, there was a display of precious qualities.
དེ་དག་དཔེ་ཅུང་ཟད་ཙམ་གྱིས་ཅུང་ཟད་ཅིག་བརྗོད་པར་བྱ་ཡིས་ཉོན་ཅིག ||| I will only give you a mere illustration of this, just to mention a few of the qualities, so listen.
པད་མའི་དཔལ་གྱི་སྙིང་པོ་འདི་ཇི་སྙམ་དུ་སེམས། འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་མེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཡོན་ཏན་བཀོད་པ་མང་ངམ། གསོལ་པ། ||| Padmaśrīgarbha, tell me, are there many displays of precious qualities in the buddha realm of the Blessed One, the thus-gone, worthy, completely perfect Buddha Amitābha?”
བཅོམ་ལྡན་འདས་མང་ལགས་སོ། །བསམ་གྱིས་མི་ཁྱབ་པ། ཚད་མ་མཆིས་ཏེ། ངག་གི་ལས་ཀྱིས་ལན་གདབ་པར་སླ་བ་མ་ལགས་སོ། ||| “Blessed One, there are indeed—inconceivably many. They are limitless, and it would not be easy to describe them in words.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། པད་མའི་དཔལ་གྱི་སྙིང་པོ་འདི་ལྟ་སྟེ། དཔེར་ན་ ||| The Blessed One said, “Padmaśrīgarbha, consider this analogy.
མི་ལ་ལ་ཞིག་གིས་སྐྲའི་རྩེ་མོ་བརྒྱར་གཤགས་པའི་རྩེ་མོས་རྒྱ་མཚོ་ཆེན་པོ་ལས་ཆུ་ཐིགས་པ་གཅིག་བླངས་ན་པད་མའི་དཔལ་གྱི་སྙིང་པོ་འདི་ཇི་སྙམ་དུ་སེམས། ||| Imagine a person splits the tip of a hair into one hundred pieces, and then uses the tip of one of those pieces to lift up one drop of water from the ocean.
ཆུ་བླངས་པ་དང་། ལྷག་མ་ལུས་པ་དེ་གང་མང་། ||| which would be greater, the amount of water that has been extracted or the water that remains?”
བཅོམ་ལྡན་འདས་བླངས་པ་ནི་ཉུང་། ལྷག་མ་ལུས་པ་ནི་ཚད་མ་མཆིས་སོ། ||| “Blessed One, the extracted water would be less. The amount remaining is measureless.”
པད་མའི་དཔལ་གྱི་སྙིང་པོ་ཁྱོད་མོས་པར་བྱའོ། །ཁྱོད་ཀྱི་ཁོང་དུ་ཆུད་པར་བྱའོ། ། ||| “Padmaśrīgarbha, think about this and understand it,”
མི་དེས་སྐྲའི་རྩེ་མོ་བརྒྱར་གཤགས་པའི་རྩེ་མོ་དེས་རྒྱ་མཚོ་ཆེན་པོ་ལས་ཆུའི་ཐིགས་པ་གཅིག་བླངས་པ་ཇི་སྙེད་པ་དེ་ཙམ་དུ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་མེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཡོན་ཏན་བཀོད་པར་བལྟའོ། ། ||| “The amount of water extracted from the ocean in a single drop by that person using a hundredth of a hair tip represents the displays of precious qualities in the buddha realm of the Blessed One, the thus-gone, worthy, completely perfect Buddha Amitābha,
རྒྱ་མཚོ་ཆེན་པོའི་ཆུའི་ཕུང་པོ་ཇི་སྙེད་པ་དེ་ཙམ་དུ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གསེར་འོད་སེང་གེ་རྣམ་པར་རོལ་པའི་རྒྱལ་པོ་དེའི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཡོན་ཏན་རིན་ཆེན་བསགས་པ་དཔག་ཏུ་མེད་པ་བདེ་བ་ཀུན་ཏུ་སྟོན་པའི་འཇིག་རྟེན་གྱི་ཁམས་ཀྱི་ཡོན་ཏན་བཀོད་པར་བལྟའོ། ||| while the body of water remaining in the ocean represents the displays of precious qualities in Boundless Accumulation of Precious Qualities and Full Display of Happiness, the buddha realm of the Blessed One, the thus-gone, worthy, completely perfect Buddha, King of the Golden-Hued Lion’s Play.
དེའི་ཉན་ཐོས་ཀྱི་དགེ་འདུན་ཡང་དཔག་ཏུ་མེད་དེ། ཇི་ལྟར་ད་ལྟར་ན་དེ་བཞིན་གཤེགས་པ་འོད་དཔག་མེད་ཀྱི་ཉན་ཐོས་ཀྱི་དགེ་འདུན་དཔག་ཏུ་མེད་དོ་ཞེས་བྱ་ན། ||| “His saṅgha of hearers was also endless. Right now the Thus-Gone Amitābha’s saṅgha of hearers is said to be boundless,
དེ་ལས་བརྒྱ་སྟོང་དུ་བསྒྲེས་པ་བས་ཀྱང་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གསེར་འོད་སེང་གེ་རྣམ་པར་རོལ་པའི་རྒྱལ་པོ་དེའི་ཉན་ཐོས་ཀྱི་དགེ་འདུན་ཆེས་མང་ངོ་། ། ||| but the saṅgha of hearers belonging to the Blessed One, the thus-gone, worthy, completely perfect Buddha, King of the Golden-Hued Lion’s Play, was a hundred thousand times larger than that.
དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཡང་དེ་སྙེད་དོ། ། ||| His saṅgha of bodhisattvas was also of comparable size.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དེ་ནི་ཐེག་པ་གསུམ་ཁོ་ན་ལས་བརྩམས་ཏེ་ཆོས་སྟོན་ཏོ། ། ||| That blessed, thus-gone one taught the Dharma exclusively within the three vehicles.
པད་མའི་དཔལ་གྱི་སྙིང་པོ་ངས་བསྐལ་པ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དུ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གསེར་འོད་སེང་གེ་རྣམ་པར་རོལ་པའི་རྒྱལ་པོ་དེའི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཡོན་ཏན་བཀོད་པ་དང་། ། ||| Padmaśrīgarbha, even if I had as many eons as there are grains of sand in the Ganges River to describe the display of precious qualities in the buddha realm of the Blessed One, the thus-gone, worthy, completely perfect Buddha, King of the Golden-Hued Lion’s Play,
ཉན་ཐོས་ཀྱི་ཡོན་ཏན་བཀོད་པ་དང་། བདེ་བའི་རྒྱུ་ལས་བརྩམས་ཏེ་ཆོས་བསྟན་པར་འདོད་ཀྱང་། ||| as well as the display of qualities of his hearers and the causes for their happiness,
ངའི་སྤོབས་པ་ཡང་ཟད་པར་མི་འགྱུར། ||| I would not run out of things to say,
སངས་རྒྱས་ཀྱི་ཞིང་གི་ཡོན་ཏན་བཀོད་པ་དེའི་མཐར་ཕྱིན་པར་ཡང་མི་འགྱུར་རོ། ། ||| and I would be unable to complete my description of the display of qualities in that buddha realm.
པད་མའི་དཔལ་གྱི་སྙིང་པོ་དེའི་ཚེ་དེའི་དུས་ན་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་གསེར་འོད་སེང་གེ་རྣམ་པར་རོལ་པའི་རྒྱལ་པོ་དེའི་གསུང་རབ་ལ་འཇིག་རྟེན་གྱི་ཁམས་སྟོང་གི་དབང་ཕྱུག་ཆོས་དང་ལྡན་པ་ཆོས་ཀྱི་རྒྱལ་པོ་དཔལ་གྱི་གཟི་བརྗིད་ཅེས་བྱ་བའི་རྒྱལ་པོ་ཞིག་བྱུང་སྟེ། ||| “Padmaśrīgarbha, back then, during the life of the blessed Thus-Gone One, King of the Golden-Hued Lion’s Play, there was a virtuous and religious king who ruled over a thousand worlds. He was known as Glorious Splendor.
པད་མའི་དཔལ་གྱི་སྙིང་པོ་རྒྱལ་པོ་དཔལ་གྱི་གཟི་བརྗིད་དེ་ལ་བུ་བྱེ་བ་ཕྲག་བརྒྱ་ཡོད་དེ ||| Padmaśrīgarbha, King Glorious Splendor had one billion sons.
རྒྱལ་བུ་གཞོན་ནུ་དེ་དག་ཐམས་ཅད་ཀྱང་སྐྱེས་བུ་ཆེན་པོའི་མཚན་ཉི་ཤུ་རྩ་བརྒྱད་དང་ལྡན་པར་གྱུར་ཏོ། །དེ་དག་ཐམས་ཅད་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལ་ཡང་དག་པར་ཞུགས་པར་གྱུར་ཏོ། ། ||| All the young princes had the twenty-eight marks of a great being, and all of them had genuinely attained unsurpassed and completely perfect awakening.
པད་མའི་དཔལ་གྱི་སྙིང་པོ་རྒྱལ་པོ་དཔལ་གྱི་གཟི་བརྗིད་ཀྱི་ཡོངས་སུ་ལོངས་སྤྱོད་པའི་སྐྱེད་མོས་ཚལ་ནི་བདུན་ཁྲི་དྲུག་སྟོང་ཡོད་དོ། །རྒྱལ་བུ་རེ་རེ་ལ་ཡང་ལོངས་སྤྱོད་ཀྱི་སྐྱེད་མོས་ཚལ་ཁྲི་ཁྲི་ཡོད་དོ། ||| Padmaśrīgarbha, King Glorious Splendor also had seventy-six thousand pleasure groves for his enjoyment, while each of his sons had ten thousand pleasure groves.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Then the bodhisattva Padmaśrīgarbha asked the Blessed One,
བཅོམ་ལྡན་འདས་སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་བུད་མེད་མཆིས་སམ། ། ||| “Blessed One, were there no women in that buddha realm?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། པད་མའི་དཔལ་གྱི་སྙིང་པོ་དེ་ནི་མེད་དོ། ། ||| “No, Padmaśrīgarbha, there were not,” answered the Blessed One.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་བུད་མེད་མིང་ཡང་མི་གྲག་སྟེ། ||| “In that buddha realm not even the word ‘woman’ was heard.
རྒྱལ་བུ་གཞོན་ནུ་དེ་དག་ཐམས་ཅད་ཀྱང་ཚངས་པར་སྤྱོད་པ་ལས་གྱུར་པ། ། ||| All those young princes had been born out of chastity.
བརྫུས་ཏེ་བྱུང་བ་ཤ་སྟག་གོ། ||| They were all born in a miraculous manner.
སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཀྱང་བསམ་གཏན་གྱི་དགའ་བ་དང་། ཆོས་ཀྱི་དགའ་བའི་ཟས་ཅན་ཡིན་ཏེ། སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་ཁ་ཟས་རགས་པ་མེད་པར་གྱུར་ཏོ། ||| All those beings sustained themselves on the joy of concentration and the joy of the Dharma, and in that buddha realm there was no gross type of food.
པད་མའི་དཔལ་གྱི་སྙིང་པོ་རྒྱལ་པོ་དཔལ་གྱི་གཟི་བརྗིད་དེ་ནི་ལས་གཞན་མེད་དེ་བུ་དེ་རྣམས་དང་ལྷན་ཅིག་བཅོམ་ལྡན་འདས་དེ་ལ་ལོ་བྱེ་བ་སྟོང་ཕྲག་བརྒྱད་ཁྲི་བཞི་སྟོང་གི་བར་དུ་བསྙེན་བཀུར་བྱས་སོ། ||| Padmaśrīgarbha, King Glorious Splendor had no formal duties, so together with his sons he worshipped the Blessed One for 840 trillion years.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དེས་དེའི་ལྷག་པའི་བསམ་པ་མཁྱེན་ནས་ཚད་མེད་པའི་ཕྱག་རྒྱ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་ཚུལ་ལ་མཁས་པ་ཡང་དག་པར་རབ་ཏུ་བསྟན་ཏོ། ། ||| That Blessed, Thus-Gone One knew the king’s good intentions, so he taught him how to gain expertise in the mode of Dharma known as the boundless seal
པད་མའི་དཔལ་གྱི་སྙིང་པོ་ཚད་མེད་པའི་ཕྱག་རྒྱ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་ཚུལ་ལ་མཁས་པ་གང་ཞེ་ན། ||| “Padmaśrīgarbha, you may wonder what that ‘expertise in the mode of Dharma known as the boundless seal ’ might be.
པད་མའི་དཔལ་གྱི་སྙིང་པོ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་སྤྱོད་པ་ཚད་མེད་པ་དག་དོན་ཏུ་གཉེར་བར་མི་བྱ་བ་དེ་གང་ཡང་མེད་དོ། ། ||| Well, Padmaśrīgarbha, it is that bodhisattva great beings never fail to strive for boundless activities.
རྟུལ་བ་ཚད་མེད་པ་གང་དག་བརྩམ་པར་མི་བྱ་བ་དེ་གང་ཡང་མེད་དོ། ||| They never fail to undertake boundless efforts.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྦྱིན་པ་ནི་ཚད་མེད་དོ། ། ||| And why? Because those bodhisattvas’ generosity is boundless.
ཚུལ་ཁྲིམས་ནི་ཚད་མེད། ||| Their discipline is boundless.
བཟོད་པ་ནི་ཚད་མེད། ||| Their patience is boundless.
བརྩོན་འགྲུས་ནི་ཚད་མེད། ||| Their diligence is boundless.
བསམ་གཏན་ནི་ཚད་མེད། ||| Their concentration is boundless.
ཤེས་རབ་ནི་ཚད་མེད། ||| Their knowledge is boundless.
འཁོར་བ་ཡོངས་སུ་འཛིན་པ་ནི་ཚད་མེད། ||| Their embrace of saṃsāra is boundless.
སེམས་ཅན་དག་ལ་བྱམས་པ་ནི་ཚད་མེད། ||| Their love for beings is boundless.
ཞིང་གི་བཀོད་པ་དག་ནི་ཚད་མེད། ||| Their display of realms is boundless.
ཉན་ཐོས་དག་ནི་ཚད་མེད། ||| Their hearers are boundless.
གཟུགས་ཡོངས་སུ་གྲུབ་པ་དག་ནི་ཚད་མེད། ||| Their perfect forms are boundless.
དབྱངས་ནི་ཚད་མེད། ||| Their voices are boundless.
སྤོབས་པ་ནི་ཚད་མེད་པའི་ཕྱིར་རོ། ། ||| Their eloquence is boundless.
པད་མའི་དཔལ་གྱི་སྙིང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ནི་ཐ་ན་སེམས་བསྐྱེད་པ་གཅིག་གིས་དགེ་བའི་རྩ་བ་གང་ཅི་མངོན་པར་འདུ་བྱེད་པ་དེ་དག་ཐམས་ཅད་ཚད་མེད་པ་ཉིད་དུ་ཡོངས་སུ་བསྔོའོ། ། ||| “Padmaśrīgarbha, bodhisattvas will dedicate any root of virtue that has been created, even a single instance of the thought of awakening, so that it becomes boundless.
ཇི་ལྟར་ཡོངས་སུ་བསྔོས་པས་ཚད་མེད་པར་འགྱུར་ཞེ་ན། ། ||| You may wonder how dedication can make it boundless.
གང་གི་ཚེ་སེམས་ཅན་ཐམས་ཅད་ལ་ཡོངས་སུ་སྔོ་བར་བྱེད་པ་དེའི་ཚེ་སེམས་ཅན་འདི་དག་ཐམས་ཅད་སྐྱེ་བ་མེད་པར་མངོན་སུམ་དུ་བྱེད། ། ||| Well, at the time bodhisattvas dedicate that root of merit to all sentient beings, the non-birth of all those sentient beings is actualized,
སངས་རྒྱས་ཀྱི་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་འགྱུར་བ་ ||| and it is through their passing into the parinirvāṇa of a buddha that they will pass into parinirvāṇa.
འདི་ནི་རིགས་ཀྱི་བུ་ཡོངས་སུ་བསྔོ་བ་ཚད་མེད་པ་ཞེས་བྱའོ། ||| That, son of noble family, is called boundless dedication
སྟོང་པ་ཉིད་ཚད་མེད་པའོ། ། ||| “Their emptiness is boundless.
མཚན་མ་མེད་པ་ཚད་མེད་པའོ། ། ||| Their signlessness is boundless.
སྨོན་པ་མེད་པ་ཚད་མེད་པའོ། ། ||| Their wishlessness is boundless.
