༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ད་ཤ་དི་ཀ་ཨན་དྷ་ཀཱ་ར་བི་དྷྭན་ས་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཕྱོགས་བཅུའི་མུན་པ་རྣམ་པར་སེལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Dispelling the Darkness of the Ten Directions
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་གཉིས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ནས། བཅོམ་ལྡན་འདས་དང་སྲོག་ཆགས་སྟོང་ཚང་བ་གང་དག་བཅོམ་ལྡན་འདས་ཀྱིས་མ་འོངས་པའི་དུས་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ལུང་བསྟན་པ་དེ་དག་ལ་ལྷའི་ཙན་དན་གྱི་ཕྱེ་མ་དང་། ལྷའི་མེ་ཏོག་མན་དཱ་ར་བ་དང་། ||| After bowing his head to the feet of the Blessed One and circumambulating the Blessed One three times, he strewed divine sandalwood powder, divine mandārava flowers, and great mandārava flowers toward the Blessed One and all the thousand living beings who had been prophesied by the Blessed One to attain unsurpassed, completely perfect awakening in the future.
མན་དཱ་ར་བ་ཆེན་པོ་རྣམས་ཀྱིས་མངོན་པར་གཏོར་ནས་ཐལ་མོ་སྦྱར་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་འདི་སྐད་ཅེས་ཀྱང་གསོལ་ཏོ། ། ||| Then, with his palms joined, he sat to one side and spoke these words:
བཅོམ་ལྡན་འདས་བདག་གིས་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་འཛིན་པར་བགྱིད་པ་དང་། འཆང་བར་བགྱིད་པ་དང་། ཀློག་པར་བགྱིད་པ་དང་། ཀུན་ཆུབ་པར་བགྱིད་པ་དེ་དག་བསྲུང་བར་བགྱིའོ། །བཅོམ་ལྡན་འདས་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དེ་དག་ཁྱིམ་ན་མཆིས་སམ། དགོན་པ་ན་མཆིས་སམ། ||| “Blessed One, I will protect any noble sons and daughters who remember this Dharma discourse and who uphold it, read it, and master it.
ཤིང་དྲུང་ན་མཆིས་སམ། ཁྱིམ་སྟོང་པ་ན་མཆིས་སམ། འབྲོག་དགོན་པ་ན་མཆིས་སམ། ལམ་དང་ལམ་གོལ་བ་ན་མཆིས་སམ། གཉིད་ལོག་གམ་གཉིད་མ་ལོག་པ་དག་ན་ཡང་དེ་དག་ལ་ཕ་རོལ་གྱི་གནོད་པས་འགུམ་པར་མི་འགྱུར་བར་བདག་གིས་བསྲུང་བར་བགྱིའོ། །དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ||| Blessed One, whether those noble sons and daughters are in a house, in a monastery, under a tree, in an empty house, in the remote wilderness, on a path, or astray of a path, whether they are asleep or awakened from sleep, I will protect them so that they will not perish from the harms of others.”
ཀུན་དགའ་བོ་ད་ལྟར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བཞུགས་ཏེ། འཚོ་ཞིང་གཞེས་པ་ལ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་ཞིག་གིས་ཇི་སྲིད་འཚོའི་བར་དུ་ཆོས་གོས་དང་། བསོད་སྙོམས་དང་། གནས་མལ་དང་། སྙུན་གྱི་གསོས་སྨན་དང་། ||| The Blessed One then said to the venerable Ānanda, “Ānanda, even if some noble sons and daughters were to offer robes, alms, accommodations, medicines for illness, and other necessities throughout the entire life of the thus-gone, worthy, completely perfect Buddha who presently dwells here, alive and well, that alone, Ānanda, would not be paying respect to the Thus-Gone One.
ཡོ་བྱད་རྣམས་ཀྱིས་བསྙེན་བཀུར་བྱེད་ན། ཀུན་དགའ་བོ་དེ་ཙམ་གྱིས་ནི་དེ་བཞིན་གཤེགས་པ་ལ་བཀུར་སྟི་བྱས་པར་མི་འགྱུར། བླ་མར་བྱས་པར་མི་འགྱུར། རི་མོར་བྱས་པར་མི་འགྱུར། མཆོད་པ་བྱས་པར་མི་འགྱུར་གྱི། ||| It would not be honoring him, it would not be venerating him, and it would not be offering to him.
བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ལ་ཡང་དག་པར་ཞུགས་པའི་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་ཞིག་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་ནས་འཛིན་པར་བྱེད་དམ། འཆང་བར་བྱེད་དམ། ཀློག་པར་བྱེད་དམ། ཀུན་ཆུབ་པར་བྱེད་དམ། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་སྟོན་ཏམ། ཐ་ན་གླེགས་བམ་ལ་བྲིས་ཏེ་འཆང་ན། ཀུན་དགའ་བོ་དེ་ཙམ་གྱིས་ནི་དེ་བཞིན་གཤེགས་པ་ལ་བཀུར་སྟི་དམ་པ་དང་། བླ་མར་བྱ་བ་དམ་པ་དང་། རི་མོར་བྱ་བ་དམ་པ་དང་། མཆོད་པ་དམ་པས་བཀུར་སྟི་བྱས་པ་ཡིན། བླ་མར་བྱས་པ་ཡིན། རི་མོར་བྱས་པ་ཡིན། ||| If any noble sons and daughters who have correctly entered the Bodhisattva Vehicle hear this Dharma discourse and then remember it, uphold it, read it, master it, correctly teach it widely to others, or even so much as write it down and keep it with them, by merely that, Ānanda—through that supreme paying of respect to the Thus-Gone One, that supreme honoring of him, that supreme veneration of him, and that supreme offering to him—it is paying respect to him, honoring him, venerating him, and offering to him.”
མཆོད་པ་བྱས་པ་ཡིན་ནོ། །དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་སྟན་ལས་ལངས་ཏེ། བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་བྱས་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཆོས་ཀྱི་རྣམ་གྲངས་འདིའི་མིང་ཅི་ལགས། ||| Then the venerable Ānanda rose from his seat, draped his upper robe over one shoulder, knelt on his right knee, bowed toward the Blessed One with palms joined, and spoke these words to the Blessed One: “Blessed One, what is the name of this Dharma discourse?
འདི་ཇི་ལྟར་གཟུང་བར་བགྱི། དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| How should we remember it?”
བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཀུན་དགའ་བོ་དེའི་ཕྱིར་ཁྱོད་ཀྱིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཕྱོགས་བཅུའི་མུན་པ་རྣམ་པར་སེལ་བ་ཞེས་བྱ་བར་ཟུང་ཤིག ། ||| The Blessed One then replied to the venerable Ānanda, “In this case, Ānanda, remember this Dharma discourse as Dispelling the Darkness of the Ten Directions.
འདི་དེ་བཞིན་གཤེགས་པའི་མཚན་ཡང་དག་པར་བརྗོད་པ་ཞེས་བྱ་བ་དང་། དངོས་པོ་མེད་པར་རྟོགས་པ་ཞེས་བྱ་བ་དང་། མཚན་ཉིད་མེད་པར་རྟོགས་པ་ཞེས་བྱ་བར་ཡང་ཟུང་ཤིག །བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་དང་། ||| Remember it also as Reciting the Names of the Thus-Gone Ones, as Realization of Insubstantiality, and as Realization of the Lack of Characteristics.”
ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་དང་། ཤཱཀྱ་གཞོན་ནུ་བཞིན་རབ་གསལ་དང་། སྲོག་ཆགས་སྟོང་ཚང་བ་དེ་དང་། ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་། དགེ་སློང་དེ་དག་དང་། བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། ||| The Blessed One having spoken thus, the venerable Ānanda, the venerable Śāriputra, the Śākya youth Shining Countenance, all thousand living beings, the lord of gods Śakra, those monks and bodhisattvas, and the world with its gods, humans, asuras, and gandharvas rejoiced and praised the words of the Blessed One.
བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། །འཕགས་པ་ཕྱོགས་བཅུའི་མུན་པ་རྣམ་པར་སེལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །། ||| This completes the noble Mahāyāna sūtra “Dispelling the Darkness of the Ten Directions.”
རྒྱ་གར་གྱི་མཁན་པོ་བི་ཤུད་དྷ་སིང་ཧ་དང་། ལོཙྪ་བ་བན་དེ་རྩངས་དེ་བེན་དྲ་རཀྵི་ཏས་བསྒྱུར། ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཀླུའི་རྒྱལ་མཚན་གྱིས་ཞུ་ཆེན་བགྱིས་ཏེ་གཏན་ལ་ཕབ་པ།​། །​། ||| Translated by the Indian preceptor Viśuddhasiṃha and the translator Bandé Tsang Devendrarakṣita. Edited and finalized by the chief editor and translator Bandé Lui Gyaltsen.
