འཕགས་པ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་རབ་ཏུ་སྒོམ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Cultivating Trust in the Great Vehicle
དེ་ལ་ཟབ་པ་དཔག་ཏུ་མེད་པ་ནི་གང་ཐེག་པ་ཆེན་པོ་ལ་གང་ཟག་ལ་བདག་མེད་པ་དང་། ཆོས་ལ་བདག་མེད་པ་དང་། སྟོང་པ་ཉིད་དང་། དེ་བཞིན་ཉིད་དང་། ཡང་དག་པའི་མཐའ་དང་། མཚན་མ་མེད་པ་དང་། དོན་དམ་པ་དང་། ཆོས་ཀྱི་དབྱིངས་ཀྱི་རྣམ་གྲངས་རྣམས་ཀྱིས་བསྟན་པ་ཚད་མེད་པ་དང་། དགོངས་པ་ལས་བྱུང་བ་དང་། ||| 2.“ ‘Limitless profundity’ refers to the limitless teachings that are expressed through the categories within the Great Vehicle, such as the selflessness of a person, the selflessness of phenomena, emptiness, suchness, the limit of reality, absence of characteristics, the ultimate, the realm of phenomena, and the manifestations that occur based on realization.
ཟབ་པ་བསྟན་པ་དཔག་ཏུ་མེད་པའོ། ། ||| These are limitless profundity.
དེ་ལ་བརྗོད་པ་དཔག་ཏུ་མེད་པ་ནི་རིགས་ཀྱི་བུ་བརྗོད་པ་གང་དང་གང་གིས་སེམས་ཅན་དང་ཆོས་དང་། དོན་རྟོགས་པར་འགྱུར་བ་ ||| 3.“ ‘Limitless statements,’ noble son, refers to any type of statement that causes one to better understand other beings, the Dharma, and the truth.
ཐ་ན་དུད་འགྲོའི་སྐྱེ་གནས་སུ་སོང་བའི་སེམས་ཅན་རྣམས་ལ་ཡང་ཇི་ཙམ་དུ་ཚིག་བརྗོད་པ་དེ་དང་། ||| Such statements also include words spoken to those beings who have taken birth as animals.
དེས་དོན་ཁོང་དུ་ཆུད་པར་བྱ་བའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་གསུང་བརྗོད་པ་རྣམས་དཔག་ཏུ་མེད་པར་འབྱུང་བའོ། ། ||| In order to make the truth understood, the utterances of the thus-gone ones appear limitlessly.
རིགས་ཀྱི་བུ་དེ་ལ་ཚིག་རབ་ཏུ་དབྱེ་བ་དཔག་ཏུ་མེད་པ་ནི་རིགས་ཀྱི་བུ་སེམས་ཅན་རྣམས་ལ་འདུལ་བའི་དབང་གི་ཕྱིར་དེ་བཞིན་གཤེགས་པས་ཚིག་རབ་ཏུ་དབྱེ་བའི་སྒོ་མང་པོ་ཉེ་བར་སྟོན་ཅིང་། ||| 4.“ ‘Limitless terms,’ noble son, refers to the many designations employed by the Thus-Gone One in order to tame beings.
དོན་རེ་རེ་ལ་ཡང་ཚིག་རབ་ཏུ་དབྱེ་བ་ཚད་མེད་པ་དག་གིས་རྣམ་གྲངས་སུ་ཕྱེ་སྟེ་རབ་ཏུ་སྟོན་པའོ། ། ||| For each point, limitless terms are used to describe and explain various categories.
དེ་ལ་སེམས་ཅན་དཔག་ཏུ་མེད་པ་ནི་གང་སྐྱེ་བའི་འཁོར་བ་ཐོག་མ་དང་། ཐ་མ་མེད་པ་དང་། ཀུན་ཏུ་རྒྱུག་པ་དང་། འཁོར་བའི་སྡུག་བསྔལ་གྱི་སྔོན་གྱི་མཐའ་མི་མངོན་པས་སེམས་ཅན་དཔག་ཏུ་མེད་དོ། ། ||| 5.“ ‘Limitless beings’ refers to the endless beings who are born in beginningless and endless saṃsāra, always drifting about and with no apparent beginning to the sufferings they experience there.
དེ་ལ་རྗེས་སུ་གཟུང་བ་དཔག་ཏུ་མེད་པ་ནི་རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་འདི་ལྟ་སྟེ། གནོད་པ་ལས་ཡོངས་སུ་བསྐྱབ་པའི་རྗེས་སུ་གཟུང་བ་དང་། ངན་སོང་ལས་ཡོངས་སུ་བསྐྱབ་པའི་རྗེས་སུ་གཟུང་བ་དང་། འཇིག་ཚོགས་ལས་ཡོངས་སུ་བསྐྱབ་པའི་རྗེས་སུ་གཟུང་བ་དང་། ||| 6.“ ‘Limitless safeguarding,’ noble son, refers to the Thus-Gone One’s protection, since he shields others from harm, the lower realms, and personhood.
ཐེག་པས་ཡོངས་སུ་བསྐྱབ་པའི་རྗེས་སུ་གཟུང་བ་དང་། རྗེས་སུ་གཟུང་བ་ཚད་མེད་པས་སེམས་ཅན་ཚད་མེད་པ་དག་ལ་དུས་ཐམས་ཅད་དུ་ཉེ་བར་གནས་པའོ། ། ||| It also refers to his protection through his body of teachings, as well as the limitless types of protection continuously offered to all the limitless beings.
དེ་ལ་ཐབས་ལ་མཁས་པ་དཔག་ཏུ་མེད་པ་ནི་ཐབས་ལ་མཁས་པ་གང་དང་གང་གིས་སེམས་ཅན་ཚད་མེད་པ་དག་འདུལ་བར་འགྱུར་བ་སྟེ། ||| 7.“ ‘Limitless methods’ refers to taming limitless beings through a variety of skillful methods.
ཡང་ན་རིགས་པ་ཡང་དག་པར་བསྟན་པས་སམ། ཡང་ན་བག་མེད་པ་ཡང་དག་པར་བསྐུལ་བས་སམ། ཡང་ན་ཞུམ་པ་གཟེངས་བསྟོད་པས་སམ། ཡང་ན་ཡང་དག་པར་བསྒྲུབ་པ་ཡང་དག་པར་དགའ་བར་བྱ་བས་སམ། ཡང་ན་ཚིག་དྲག་པོའི་སྦྱོར་བས་སམ། ཡང་ན་ཚིག་འཇམ་པོའི་སྦྱོར་བས་སམ། ཡང་ན་བཟོའི་གནས་དང་། ལས་ཀྱི་གནས་ཀྱིས་ཆོས་དང་འཐུན་པ་ཉིད་ཀུན་ཏུ་བསྟན་པས་སམ། ཡང་ན་རྣམ་པར་དག་པར་སྐྱེ་བའི་ལུས་ཀུན་ཏུ་བསྟན་པས་སམ། ཡང་ན་རྫུ་འཕྲུལ་རྣམ་པར་འཕྲུལ་པའི་ཆོ་འཕྲུལ་ཀུན་ཏུ་བསྟན་པས་སམ། ཡང་ན་ཀུན་བསྟན་པའི་ཆོ་འཕྲུལ་གྱིས་སམ། ཡང་ན་རྗེས་སུ་བསྟན་པའི་ཆོ་འཕྲུལ་ཀུན་ཏུ་བསྟན་པས་སམ། ||| These methods include teaching logic, inspiring those who are careless, uplifting those who are weary, inspiring them toward genuine accomplishment, speaking harshly, talking sweetly, using artisanship or arts to show what accords with the Dharma, displaying a body that is born pure, revealing miracles through miraculous displays, and demonstrating both the revealing of miracles that are shown to all and indirect miracles.
དེ་ལྟ་བུའི་ཚུལ་གྱི་ཐབས་ལ་མཁས་པའི་སྦྱོར་བ་ཚད་མེད་པ་དག་གིས་སེམས་ཅན་ཚད་མེད་པ་དག་འདུལ་བའོ། ། ||| Through such endless applications of skillful means, limitless beings are tamed.
རིགས་ཀྱི་བུ་དེ་ལ་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་དཔག་ཏུ་མེད་པ་ནི་རྣམ་པ་གསུམ་སྟེ། ||| 8. “Noble son, the limitless greatness of the Jewels is threefold:
སངས་རྒྱས་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་དཔག་ཏུ་མེད་པ་དང་། ||| the limitless greatness of the Jewel of the Buddha,
ཆོས་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་དཔག་ཏུ་མེད་པ་དང་། ||| the limitless greatness of the Jewel of the Dharma, and
དགེ་འདུན་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་དཔག་ཏུ་མེད་པའོ། ། ||| the limitless greatness of the Jewel of the Saṅgha.
དེ་ལ་སངས་རྒྱས་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་དཔག་ཏུ་མེད་པ་ནི་རྣམ་པ་བདུན་དུ་ཁོང་དུ་ཆུད་པར་བྱ་སྟེ། ||| “The limitless greatness of the Jewel of the Buddha should be understood in seven ways.
མངོན་པར་ཤེས་པ་ཆེན་པོ་བརྙེས་པའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་ཆོས་ཐམས་ཅད་ལ་དབང་སྒྱུར་བ་དང་། ||| The Thus-Gone One is a master of all phenomena because he has attained great supernatural abilities.
མི་གནས་པའི་མྱ་ངན་ལས་འདས་པ་དང་། རྣམ་པར་གྲོལ་བའི་སྐུ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་། ཆོས་ཀྱི་སྐུ་རྟག་པ་ཉིད་ཀྱི་ཕྱིར་དེ་བཞིན་གཤེགས་པའི་སྐུ་ཟད་མི་ཤེས་པ་དང་། ||| The body of the Thus-Gone One is inexhaustible because it is the body of nonabiding nirvāṇa and complete liberation as well as the permanent Dharma body.
ཉོན་མོངས་པ་དང་ཤེས་བྱའི་སྒྲིབ་པ་སྤངས་པ་དང་། ཁ་ན་མ་ཐོ་བ་མེད་པའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་མཆོག་ཏུ་ཁ་ན་མ་ཐོ་བ་མེད་པ་དང་། ||| The Thus-Gone One is utterly free from misdeeds because he has abandoned the obscurations of the disturbing emotions and cognition and because he performs no misdeeds.
སངས་རྒྱས་ཀྱི་མཛད་པ་བརྩམས་པ་རྒྱུན་མ་བཅད་པའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་ལྷུན་གྱིས་གྲུབ་པ་དང་། ||| The Thus-Gone One is spontaneously accomplished since the continuity of buddha deeds are carried out uninterruptedly.
སངས་རྒྱས་ཀྱི་ཞིང་ཡོངས་སུ་དག་པ་དང་ཆོས་ཀྱི་ལོངས་སྤྱོད་ཆེན་པོ་ལ་ལོངས་སྤྱོད་པའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་ལོངས་སྤྱོད་ཆེ་བ་དང་། ||| The Thus-Gone One has great enjoyment because the buddha realms are utterly pure and because he plays in the great enjoyment of the Dharma.
འཇིག་རྟེན་དུ་བྱུང་ཡང་འཇིག་རྟེན་གྱི་ཆོས་ཀྱིས་མི་གོས་པའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་གོས་པ་མེད་པ་དང་། ||| The Thus-Gone One is unstained since he is uncontaminated by any worldly phenomenon even though he appears in the world.
རྟག་ཏུ་རྒྱུན་མི་འཆད་པར་སེམས་ཅན་གྱི་ཁམས་ཚད་མེད་པ་ཡོངས་སུ་སྨིན་པར་མཛད་ཅིང་རྣམ་པར་གྲོལ་བར་མཛད་པའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་དོན་ཆེ་བའོ། ། ||| The Thus-Gone One has great purpose because he continuously and uninterruptedly ripens and liberates limitless realms of beings.
དེ་ལ་ཆོས་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་དཔག་ཏུ་མེད་པ་ནི་རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཆོས་ཞེས་བྱ་བ་ནི་གང་ཆོས་ཀྱང་མ་ཡིན་ལ་ཆོས་མེད་པའང་མ་ཡིན་པ་དང་། ||| “Noble son, the limitless greatness of the Jewel of the Dharma is the so-called Dharma of the bodhisattvas, which is neither Dharma nor not Dharma.
འདོད་ཆགས་ཀྱང་མ་ཡིན་ལ་འདོད་ཆགས་དང་བྲལ་བའང་མ་ཡིན་པ་དང་། ||| It involves neither attachment nor an absence of attachment.
འཁོར་བའང་མ་ཡིན་ལ་མྱ་ངན་ལས་འདའ་བའང་མ་ཡིན་པའོ། ། ||| It is neither saṃsāra nor nirvāṇa.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཆོས་དེ་ནི་འཁོར་བར་སྣང་བའི་ཆོས་ཡོངས་སུ་མི་གཏོང་བ་དང་། ||| The Dharma of the bodhisattvas does not abandon the apparent phenomena of saṃsāra.
དེ་ན་ཡང་ཀུན་ནས་ཉོན་མོངས་པ་ཤིན་ཏུ་མེད་པ་དང་། ||| Nevertheless, it is totally devoid of pollution.
ནམ་མཁའ་དང་མཚུངས་ཤིང་སེམས་ཅན་གྱི་ཁམས་དང་ཡང་དག་པའི་མཐའ་དང་མཚུངས་ཏེ་ ||| It extends as far as space, as far as the realms of beings and the limit of reality.
མི་ཟད་པ་དང་། སེམས་ཅན་ཐམས་ཅད་ལ་ཤིན་ཏུ་ཕན་པ་དང་། ||| It is inexhaustible and extremely beneficial for all beings.
བདེ་བའི་གནས་ལ་ཉེ་བར་གནས་པའི་ཕྱིར་འཁོར་བའམ། མྱ་ངན་ལས་འདས་པ་གང་ལ་ཡང་མི་གནས་པའོ། ། ||| It does not rest in saṃsāra, or in nirvāṇa, since it is based on bliss.
དེ་ལ་དགེ་འདུན་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་དཔག་ཏུ་མེད་པ་ལ་བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་དགེ་འདུན་དཀོན་མཆོག་སྟེ། ||| “The limitless greatness of the Jewel of the Saṅgha contains the bodhisattva Saṅgha, the Jewel of the Saṅgha for bodhisattvas.
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ནི་བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་གྱི་རབ་ཏུ་ཆེ་བའོ། ། ||| The greatness of this Saṅgha is unsurpassed and completely perfect awakening.
དེ་བས་ན་རྣམ་གྲངས་འདིས་སངས་རྒྱས་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་དང་། བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་དཀོན་མཆོག་དང་མཉམ་པར་བལྟའོ། ། ||| Thus, according to this principle, the greatness of the Jewel of the Buddha and the Jewel of the bodhisattva Saṅgha should be viewed as equal.
དེ་ལ་ལས་དང་པོ་པའི་བྱང་ཆུབ་སེམས་དཔའ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| “In this regard, a novice bodhisattva should think,
གང་སངས་རྒྱས་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་འདི་འདྲ་བ་ལས་བརྩམས་ཏེ་ ||| ‘I will develop trust in all the various types of greatness included within the Jewel of the Buddha, [the Jewel of the Dharma, and the Jewel of the Saṅgha.]
བདག་དད་པ་སྐྱེས་པ་དང་། ཆོས་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་འདི་འདྲ་བ་ལས་བརྩམས་ཏེ་ ||| ‘I will develop trust in all the various types of greatness included within the [Jewel of the Buddha,] the Jewel of the Dharma, [and the Jewel of the Saṅgha.]
བདག་དད་པ་སྐྱེས་པ་དང་། དགེ་འདུན་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་འདི་འདྲ་བ་ལས་བརྩམས་ཏེ་ ||| ‘I will develop trust in all the various types of greatness included within [the Jewel of the Buddha, the Jewel of the Dharma, and] the Jewel of the Saṅgha.
བདག་དད་པ་སྐྱེས་པ་ནི་བདག་གིས་རྙེད་པ་ལེགས་པར་རྙེད་དོ། ། ||| In this way, I will truly obtain what should be gained.
བདག་ལ་ནི་སངས་རྒྱས་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་འདི་ལྟ་བུ་ཐོབ་པར་བྱ་བའི་སྐལ་བ་ཡོད་དོ། །བདག་ལ་ནི་ཆོས་དཀོན་མཆོག་གི་ཆེ་བ་ཉིད་འདི་ལྟ་བུ་ཐོབ་པར་བྱ་བའི་སྐལ་བ་ཡོད་དོ། ། ||| I have the fortune of attaining the greatness of the Jewel of the Buddha and the greatness of the Jewel of the Dharma.
བདག་གང་ས་ཆེན་པོ་ལ་ཞུགས་པ་བསམ་པ་དག་པའི་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་དང་ལྷན་ཅིག་ཏུ་བྱང་ཆུབ་སེམས་དཔའི་གྲངས་སུ་འགྲོ་བ་ནི་བདག་གིས་རྙེད་པ་ལེགས་པར་རྙེད་དོ། ། ||| When I join the ranks of those bodhisattvas who have pure motivation and abide on the great levels, I will truly attain what should be obtained.
བདག་ལ་ནི་དེ་དག་དང་བསམ་པ་དང་སྦྱོར་བ་མཚུངས་པའི་སྐལ་བ་ཡོད་དོ་སྙམ་མོ། ། ||| I have the fortune of being equal to those bodhisattvas both in terms of thought and deed.’
དེ་ལ་ཞིང་དཔག་ཏུ་མེད་པ་ནི་རིགས་ཀྱི་བུ་ཞིང་འདི་གཉིས་ཏེ་སངས་རྒྱས་ཀྱི་ཞིང་ཡོངས་སུ་མ་དག་པ་དང་། ཡོངས་སུ་དག་པའོ། ། ||| 9.“ ‘Limitless fields,’ noble son, refers to the impure buddha realms and the pure buddha realms.
དེ་ལ་ཡོངས་སུ་མ་དག་པའི་སངས་རྒྱས་ཀྱི་ཞིང་དང་ཡོངས་སུ་དག་པ་དག་ཀྱང་དཔག་ཏུ་མེད་དོ། ། ||| Both the impure and the pure buddha realms are limitless.
དེ་ལ་ཡོངས་སུ་དག་པའི་སངས་རྒྱས་ཀྱི་ཞིང་རྣམས་ལ་གནས་ནས་ ||| When the thus-gone ones dwell in the pure buddha realms,
དེ་བཞིན་གཤེགས་པ་རྣམས་གཅིག་ཏུ་དགེ་བ་དང་གཅིག་ཏུ་བདེ་བ་དང་གཅིག་ཏུ་ཁ་ན་མ་ཐོ་བ་མེད་པ་དང་། གཅིག་ཏུ་དབང་སྒྱུར་ཞིང་སངས་རྒྱས་ཀྱི་ཞིང་དེ་དག་རབ་ཏུ་མྱོང་ངོ་། ། ||| they experience these buddha realms as pure happiness, pure bliss, pure virtue, and pure ability.
རྒྱུན་མི་འཆད་པར་ཆོས་ཀྱི་ལོངས་སྤྱོད་ཆེན་པོ་རབ་ཏུ་མྱོང་ངོ་། ། ||| They continuously revel in the great enjoyment of the Dharma.
ཡོངས་སུ་མ་དག་པའི་སངས་རྒྱས་ཀྱི་ཞིང་རྣམས་སུ་ཡང་རྣམ་པ་ཐམས་ཅད་དུ་བྱང་ཆུབ་ཡང་དག་པར་སྟོན་ཅིང་ ||| In the impure buddha realms, they teach awakening in all possible ways,
ཡོངས་སུ་མ་སྨིན་པའི་སེམས་ཅན་རྣམས་ནི་ཡོངས་སུ་སྨིན་པར་མཛད། ||| ripening those who are not yet ripened
ཡོངས་སུ་སྨིན་པ་རྣམས་ནི་རྣམ་པར་གྲོལ་བར་མཛད་དེ། ||| and liberating those who are already ripened.
འདི་དག་ནི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་གི་ལས་དཔག་ཏུ་མེད་པར་རིག་པར་བྱའོ། ། ||| 10. “You should know that all of this is the limitless activity of the blessed buddhas.”
སྐྱེ་བའི་ལེའུ་ཞེས་བྱ་སྟེ་གཉིས་པའོ།། །། ||| This concludes the second chapter on developing trust.
བྱང་ཆུབ་སེམས་དཔའ་དད་པ་ཐབས་ཆེན་གྱིས་གསོལ་པ། ||| Then the bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་རྣམ་པ་དུ་ཞིག་མཆིས། ||| “Blessed One, what are the different aspects of the bodhisattvas’ trust in the Great Vehicle that allow them to accomplish the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་བཞི་པོ་འདི་དག་གོ། ། ||| “Noble son, there are four aspects of the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle.
བཞི་གང་ཞེ་ན། ||| If you wonder what they are, they are as follows:
གནས་པའི་དད་པ་དང་། སྐྱེ་བ་ན་དད་པ་དང་། དུས་གཞན་ན་དད་པ་དང་། རང་བཞིན་གྱིས་དད་པའོ། ། ||| (1) the trust that comes from resting, (2) the trust that arises upon birth, (3) the trust that emerges at another time, and (4) the trust that appears naturally.
དེ་ལ་གནས་པའི་དད་པ་ནི་རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། ||| 1. “Among these, noble son, the trust that comes from resting is as follows:
དཔེར་ན་བ་ལང་གི་རྗེས་ཀྱི་ཆུ་དཀྲུགས་པ་ལས་མ་དཀྲུགས་མ་བསྐྱོད་པར་བཞག་ན་སྔོན་བཞིན་དུ་དང་བར་འགྱུར་རོ། ། ||| Consider how water collecting in a hoofprint is at first murky but later clears if it is left undisturbed and calm.
དེ་བཞིན་དུ་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཐོབ་པའི་བྱང་ཆུབ་སེམས་དཔའ་འཕྲལ་གྱི་བྱ་བ་མང་པོ་ལ་ཆགས་པས་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་དཀྲུགས་པ་ལས་ ||| Likewise, bodhisattvas who have gained trust in the Great Vehicle that allows them to accomplish the Great Vehicle may become attached to many temporary activities, whereby their trust in the Great Vehicle is shaken.
གང་གི་ཚེ་ཆགས་པ་ལས་རྣམ་པར་བཀྲོལ་ནས་ཆགས་པ་དེ་དག་གིས་མི་འཁྲུགས་ཏེ། ||| However, whenever they are freed from this attachment, it no longer disturbs them, and
ཐེག་པ་ཆེན་པོའི་ཆོས་ལ་རྩེ་གཅིག་ཏུ་གྱུར་པ་དེའི་ཚེ་སྔོན་བཞིན་དུ་མངོན་སུམ་དུ་འགྱུར་རོ། ། ||| they can once again focus one-pointedly on the Dharma of the Great Vehicle. At that point they will certainly be restored to their former state.
དེ་ལ་སྐྱེ་བ་ན་དད་པ་ནི་རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། ། ||| 2. “The trust that arises upon birth, noble son, is as follows:
དཔེར་ན་ཆང་ལ་སོགས་པ་འགྱུར་བ་ན་དང་བར་འགྱུར་རོ། ། ||| Think of how beer and other such drinks can undergo change, so that they become clear.
དེ་བཞིན་དུ་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཐོབ་པའི་བྱང་ཆུབ་སེམས་དཔའ་སྐྱེ་བ་དེ་དང་དེར་སྐྱེ་བ་ན་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་སྐྱེས་ནས་ཐོབ་པ་སྐྱེད་དོ། ། ||| In the same way, whenever bodhisattvas who have attained the trust in the Great Vehicle that allows them to accomplish the Great Vehicle take a new birth, they will naturally develop trust in the Great Vehicle and therefore gain accomplishment.
དེ་ལ་དུས་གཞན་ན་དད་པ་ནི་རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། ||| 3. “The trust that emerges at another time, noble son, is as follows:
དཔེར་ན་སྟོན་གྱི་དུས་ཀྱི་ཚེ་ཆུ་ཀླུང་དང་བར་འགྱུར་རོ། ། ||| Consider, for example, how the rivers become clear in autumn.
དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཐོབ་པ་དང་། སེམས་པ་དང་སྒོམ་པ་དུས་གཞན་ན་སྦྱོར་བས་སྦྱོར་བ་ལས་བྱང་བས་གྲུབ་པར་འགྱུར་རོ། ། ||| Likewise, bodhisattvas who have first developed the trust in the Great Vehicle that allows them to accomplish the Great Vehicle and have become accustomed to this trust will also reconnect with this trust at a later time. As they do so, they will be purified and gain accomplishment.
དེ་ལ་རང་བཞིན་གྱིས་དང་བ་ནི་རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། ||| 4. “The trust that appears naturally, noble son, is as follows:
དཔེར་ན་བཻ་དཱུརྱ་དང་། ནོར་བུ་རིན་པོ་ཆེ་ལ་སོགས་པ་ནི་རང་བཞིན་གྱིས་དང་བའི་རྗེས་སུ་འཇུག་པའོ། ། ||| Think of how beryl and precious gems are naturally pure.
དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའི་རྣམ་པར་མི་རྟོག་པ་འཇིག་རྟེན་ལས་འདས་པའི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཡང་ངོ་བོ་ཉིད་ཀྱིས་རྗེས་སུ་འཇུག་གོ། ། ||| Likewise, the bodhisattvas’ nonconceptual state is essentially connected with trust in the Great Vehicle that transcends the world.
རིགས་ཀྱི་བུ་གཞན་ཡང་དད་པ་བཞི་སྟེ། ||| “Noble son, there are four further types of trust.
བཞི་གང་ཞེ་ན། ||| If you wonder what they are,
འདི་ལྟ་སྟེ། ||| they are as follows:
རྒྱ་ཆེ་བའི་དད་པ་དང་། གསལ་བའི་དད་པ་དང་། རབ་ཏུ་ཞི་བའི་དད་པ་དང་། རྣམ་པར་དག་པའི་དད་པའོ། ། ||| vast trust, clear trust, peaceful trust, and pure trust.
དེ་ལ་རྒྱ་ཆེ་བའི་དད་པ་ནི་བྱང་ཆུབ་སེམས་དཔའ་ཐེག་པ་ཆེན་པོའི་ཆོས་ལ་གུས་པར་བྱས་ཏེ་སྤྱོད་པ་དང་ལྡན་པ་རྣམས་ཀྱིའོ། ། ||| Vast trust occurs when a bodhisattva is devoted to the Great Vehicle and practices accordingly.
དེ་ལ་གསལ་བའི་དད་པ་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྟག་ཏུ་ཐེག་པ་ཆེན་པོའི་ཆོས་སྤྱོད་པ་དང་ལྡན་པ་རྣམས་ཀྱིའོ། ། ||| Clear trust occurs when the bodhisattva performs the activities of the Dharma of the Great Vehicle at all times.
དེ་ལ་རབ་ཏུ་ཞི་བའི་དད་པ་ནི་བྱང་ཆུབ་སེམས་དཔའ་ང་དང་ང་ཡིར་འཛིན་པ་དང་བྲལ་ཞིང་ཆོས་ཉིད་རབ་ཏུ་རྟོགས་པ་ཐོབ་པ་རྣམས་ཀྱིའོ། ། ||| Peaceful trust occurs when the bodhisattva is free from thoughts of I and mine. Such faith is present in those who have realized the intrinsic nature.
དེ་ལ་རྣམ་པར་དག་པའི་དད་པ་ནི་བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་མེད་པའི་ཡེ་ཤེས་ཐོབ་པ་རྣམས་ཀྱིའོ། ། ||| Pure trust occurs when the bodhisattva has obtained stainless wisdom.
རིགས་ཀྱི་བུ་གཞན་ཡང་དད་པ་བཞི་སྟེ། ||| “Noble son, there are four further types of trust.
བཞི་གང་ཞེ་ན། ||| If you wonder what they are,
འདི་ལྟ་སྟེ། ||| they are as follows:
འཕེན་པའི་དད་པ་དང་། རྩོམ་པའི་དད་པ་དང་། རྗེས་སུ་འཛིན་ཅིང་གུས་པར་བྱེད་པའི་དད་པ་དང་། མོས་པའི་དད་པའོ། ། ||| precipitating trust, initiating trust, accepting and devoted trust, and interested trust.
དེ་ལ་འཕེན་པའི་དད་པ་ནི་སྔོན་ནས་རང་བཞིན་གྱིས་དགེ་བའི་རྩ་བ་མངོན་པར་འདུས་བྱས་ཤིང་ཡོངས་སུ་བསྒོམས་པ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་གང་ཡིན་པའོ། ། ||| Precipitating trust is the trust in the Great Vehicle felt by those who naturally, from previous times, have created and familiarized themselves with the roots of virtue.
