འཕགས་པ་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Kiṃnara King Druma
ཤིན་ཏུ་མི་གཏོང་བས་སྐྱོན་མེད་པའི་ཚུལ་ཁྲིམས་དང་། ||| (12) They are relentless and therefore adhere to a faultless discipline.
སྤྱོད་པ་ཤིན་ཏུ་དག་པས་ཐུན་ཚགས་མ་ཡིན་པའི་ཚུལ་ཁྲིམས་དང་། ||| (13) Their conduct is utterly pure and so they adhere to a spotless discipline.
སངས་རྒྱས་ཀྱི་ཞིང་གཞན་དུ་འགྲོ་བས་རང་གི་རྣམ་པ་མང་པོ་ལ་དབང་བྱེད་པའི་ཚུལ་ཁྲིམས་དང་། ||| (14) They travel to other buddha realms and therefore adhere to a discipline of mastering many personal attributes.
སྐྱེ་བོ་མཁས་པས་རིག་པའི་ཕྱིར་སྔགས་པའི་ཚུལ་ཁྲིམས་དང་། ||| (15) They are known by wise beings and therefore adhere to a discipline that is praised.
ངན་སོང་ངན་འགྲོ་ཐམས་ཅད་ཀྱི་ལམ་ལས་སྒྲོལ་བའི་ཚུལ་ཁྲིམས་དང་། ||| (16) They adhere to a discipline that liberates from all the paths leading to the lower realms.
བདེ་བའི་དངོས་པོ་ཐམས་ཅད་ལ་རབ་ཏུ་གནས་པའི་ཚུལ་ཁྲིམས་དང་། ||| (17) They adhere to a discipline that is grounded in all the sources of happiness.
སངས་རྒྱས་ཀྱི་ཚུལ་ཁྲིམས་ཡོངས་སུ་རྫོགས་པར་བྱེད་པས་སངས་རྒྱས་ཀྱིས་གནང་བའི་ཚུལ་ཁྲིམས་དང་། ||| (18) They perfect the discipline of the buddhas and therefore adhere to a discipline that is approved by the buddhas.
ཡི་དམ་ལ་བརྟན་པས་མི་ལྷོད་པའི་ཚུལ་ཁྲིམས་དང་། ||| (19) They maintain their commitments firmly and therefore adhere to a discipline that is not lax.
རང་གི་སེམས་ངེས་པར་སེམས་པས་བདག་ལ་མི་སྟོད་གཞན་ལ་མི་སྨོད་པའི་ཚུལ་ཁྲིམས་དང་། ||| (20) They reflect on their own minds and so they adhere to a discipline that does not praise oneself or criticize others.
ཉོན་མོངས་པ་མེད་པས་ངེས་པར་སེམས་པའི་སྙིང་རྗེའི་ཚུལ་ཁྲིམས་དང་། ||| (21) They are devoid of afflictions and therefore adhere to the discipline of compassionate reflection.
བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་ཐམས་ཅད་ལ་ཉེ་བར་བྱེད་པའི་ཚུལ་ཁྲིམས་དང་། རབ་ཏུ་དགའ་བར་བྱེད་པ་ལ་དགའ་བར་བྱེད་པའི་ཚུལ་ཁྲིམས་དང་། ||| (22) They adhere to a discipline that engages in all the factors of awakening. (23) They adhere to a discipline that takes pleasure in bringing joy to others.
འདོད་པ་དང་། ཆགས་པ་མེད་པས་ཆོག་ཤེས་པར་བྱེད་པའི་ཚུལ་ཁྲིམས་དང་། ནན་ཏན་སྙིང་པོར་བྱེད་པས་བསྒྲུབ་པ་རླབས་པོ་ཆེའི་ཚུལ་ཁྲིམས་དང་། ||| (24) They are devoid of desire and attachment and therefore adhere to a discipline that brings contentment. (25) They act with utmost determination and therefore adhere to a discipline that generates immense accomplishments.
ཁྱིམ་གྱི་གནས་ཐམས་ཅད་ལ་མི་ལྟ་བའི་རབ་ཏུ་འབྱུང་བ་ལ་གཞོལ་བའི་ཚུལ་ཁྲིམས་དང་། ||| (26) They have no consideration for the household and therefore adhere to a discipline that is dedicated to the renunciant life.
ཆོས་ཀྱི་དགའ་བ་ལ་དགའ་མོས་པས་དགོན་པ་ལ་དགའ་བ་དང་ལྡན་པའི་ཚུལ་ཁྲིམས་དང་། ||| (27) They are delighted by the pleasure grove of Dharma and therefore adhere to the discipline of enjoying wilderness.
འཕགས་པའི་རིགས་ལ་རྟོན་པས་འདོད་པ་ཉུང་ཞིང་ཆོག་ཤེས་པ་ལ་ངེས་པའི་ཚུལ་ཁྲིམས་དང་། ||| (28) They rely on the mainstays of the noble ones and therefore adhere to a discipline that is based on contentment and few desires.
སྡིག་པ་འདོད་པ་ཐམས་ཅད་དང་བྲལ་བས་སྦྱངས་པའི་ཡོན་ཏན་ལ་ཡང་དག་པར་རབ་ཏུ་སྦྱོར་བའི་ཚུལ་ཁྲིམས་དང་། ||| (29) They are free from all unwholesome desire and therefore adhere to a discipline that genuinely engages in the ascetic practices.
སེམས་ཅན་མེད་པར་རྣམ་པར་སྤྱོད་པས་དམིགས་པ་མེད་པར་སྦྱོར་བའི་ཚུལ་ཁྲིམས་དང་། ||| (30) They experience the nonexistence of beings and therefore adhere to a discipline free from apprehension.
ཆད་པ་དང་རྟག་པ་ཡོངས་སུ་སྤོང་བས་ལྟ་བར་སོང་བ་ཐམས་ཅད་དང་གཏི་མུག་སེལ་བའི་ཚུལ་ཁྲིམས་དང་། ||| (31) They have abandoned the views of eternalism and nihilism and therefore adhere to a discipline that eliminates all wrongs views and ignorance.
རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་དང་མི་འགལ་བས་བྱང་ཆུབ་ཀྱི་རྗེས་སུ་འཐུན་པའི་ཚུལ་ཁྲིམས་ཏེ། ||| (32) They do not contradict dependent origination and therefore adhere to a discipline that accords with awakening.
མི་འམ་ཅིའི་བདག་པོ་རྣམ་པ་སུམ་ཅུ་རྩ་གཉིས་པོ་འདི་དག་གིས་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡོངས་སུ་དག་པ་ཡིན་ནོ། ། ||| Lord of the kiṃnaras, those are the thirty-two ways in which the bodhisattvas’ perfection of discipline is pure.
མི་འམ་ཅིའི་བདག་པོ་རྣམ་པ་སུམ་ཅུ་རྩ་གཉིས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བཟོད་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡོངས་སུ་དག་པ་ཡིན་ནོ། ། ||| “Lord of the kiṃnaras, there are thirty-two ways in which the bodhisattvas’ perfection of patience is pure.
སུམ་ཅུ་རྩ་གཉིས་གང་ཞེ་ན། ||| What are those thirty-two?
འདི་ལྟ་སྟེ། ལུས་ལ་མི་ལྟ་བས་བཟོད་པར་བལྟ་བ་དང་། སྲོག་ལ་མི་ཆགས་པར་བཟོད་པར་བལྟ་བ་དང་། ཞེ་སྡང་བའི་སེམས་མེད་པར་བཟོད་པར་བལྟ་བ་དང་། ཉེས་པར་སྨྲས་པའི་ཚིག་དང་དུ་ལེན་པས་བཟོད་པར་བལྟ་བ་དང་། ||| They are as follows: (1) They observe patience without concern for their bodies. (2) They observe patience without being attached to their lives. (3) They observe patience with a mind devoid of anger. (4) They observe patience by accepting slander.
ཉམ་ཆུང་བའི་སེམས་ཅན་ལ་སྙིང་རྗེ་སྐྱེད་པས་བཟོད་པར་བལྟ་བ་དང་། མ་བསླབས་པ་ལ་མི་བརྙས་པས་བཟོད་པར་བལྟ་བ་དང་། ||| (5) They observe patience by giving rise to compassion toward beings that are weak. (6) They observe patience without contempt for those who are not trained.
གནོད་པ་བྱེད་པ་རྣམས་ལ་ལན་གླན་པའི་མཐུ་ཡོད་ཀྱང་ལན་མི་ལྡོན་པས་བཟོད་པར་བལྟ་བ་དང་། ཡན་ལག་དང་ཉིང་ལག་ཐམས་ཅད་བཅད་ཀྱང་མི་འཁྲུགས་ཤིང་གནོད་སེམས་མེད་པས་བཟོད་པར་བལྟ་བ་དང་། ||| (7) They observe patience by not reacting to those who cause them harm, even though they may have the power to do so. (8) They observe patience by remaining undisturbed and free from ill will, even when all the major and minor parts of their body are cut off.
བརླང་བ་མེད་པས་བཟོད་པར་བལྟ་བ་དང་། གཤེ་བ་ལ་སླར་མི་གཤེ་བས་བཟོད་པར་བལྟ་བ་དང་། བསམ་པ་དག་པས་བཟོད་པར་བལྟ་བ་དང་། རྙོག་པའི་སེམས་མེད་པས་བཟོད་པར་བལྟ་བ་དང་། ||| (9) They observe patience by not being harsh toward others. (10) They observe patience by not returning the abuse when they are scolded. (11) They observe patience with a pure attitude. (12) They observe patience with a pure intention.
དཀྲུགས་པའི་སེམས་མེད་པས་བཟོད་པར་བལྟ་བ་དང་། གཞན་གྱི་སེམས་བསྲུང་བས་བཟོད་པར་བལྟ་བ་དང་། སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པའི་དངོས་པོས་བཟོད་པར་བལྟ་བ་དང་། སྙིང་རྗེའི་བློ་དང་ལྡན་པས་བཟོད་པར་བལྟ་བ་དང་། ||| (13) They observe patience with an unshakeable mind. (14) They observe patience by protecting the minds of others. (15) They observe patience by providing all beings with beneficial things. (16) They observe patience with a compassionate mind.
ང་རྒྱལ་མེད་པས་བཟོད་པར་བལྟ་བ་དང་། སེམས་ཅན་ཐམས་ཅད་ལ་བརྙས་ཐབས་མེད་ཅིང་འདུད་པས་བཟོད་པར་བལྟ་བ་དང་། ||| (17) They observe patience without pride. (18) They observe patience without contempt for anyone but with respect for all sentient beings.
འབར་བ་མེད་པས་བཟོད་པར་བལྟ་བ་དང་། ཉེ་བར་ཞི་བས་བཟོད་པར་བལྟ་བ་དང་། ངེས་པར་སེམས་པས་བཟོད་པར་བལྟ་བ་དང་། བདག་གི་འཁྲུལ་པ་ལ་སོ་སོར་རྟོག་པས་བཟོད་པར་བལྟ་བ་དང་། ||| (19) They observe patience without being consumed by the fire of afflictions. (20) They observe patience with a peaceful mind. (21) They observe patience with reflection. (22) They observe patience by investigating their own confusion.
གཞན་གྱི་འཁྲུལ་པའི་སྐྱོན་ལ་མི་ལྟ་བས་བཟོད་པར་བལྟ་བ་དང་། སངས་རྒྱས་རྗེས་སུ་དྲན་པ་བསྒོམས་པས་བཟོད་པར་བལྟ་བ་དང་། ||| (23) They observe patience without considering the confused faults of others. (24) They observe patience by training in the recollection of the Buddha.
ཆོས་ལ་སེམས་སྦྱོར་བས་བཟོད་པར་བལྟ་བ་དང་། དང་བའི་དངོས་པོས་བཟོད་པར་བལྟ་བ་དང་། སེམས་ལ་གདུང་བ་མེད་པས་བཟོད་པར་བལྟ་བ་དང་། བཞིན་འཛུམ་ཞིང་ཁྲོ་གཉེར་མེད་པས་བཟོད་པར་བལྟ་བ་དང་། ||| (25) They observe patience by directing their minds toward the Dharma. (26) They observe patience with faith. (27) They observe patience with a mind free from torment. (28) They observe patience with a smile and without frowning.
གསོང་པོ་སྨྲ་བས་བཟོད་པར་བལྟ་བ་དང་། རྣམ་པར་ཐར་པའི་སྒོ་གསུམ་ལ་དངང་བ་མེད་པས་བཟོད་པར་བལྟ་བ་དང་། ||| (29) They observe patience by speaking honestly. (30) They observe patience without being frightened by the three gateways to liberation.
མ་སྐྱེས་པ་དང་མ་བྱུང་བ་ལ་མོས་པས་བཟོད་པར་བལྟ་བ་དང་། མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པས་བཟོད་པར་བལྟ་བ་སྟེ། ||| (31) They observe patience with conviction in the absence of birth and origination. (32) They observe patience after having reached acceptance of the unborn nature of phenomena.
མིའམ་ཅིའི་བདག་པོ་རྣམ་པ་སུམ་ཅུ་རྩ་གཉིས་པོ་འདི་དག་གིས། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བཟོད་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡོངས་སུ་དག་པ་ཡིན་ནོ། ། ||| Lord of the kiṃnaras, those are the thirty-two ways in which the bodhisattvas’ perfection of patience is pure.
མི་འམ་ཅིའི་བདག་པོ་རྣམ་པ་སུམ་ཅུ་རྩ་གཉིས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡོངས་སུ་དག་པ་ཡིན་ནོ། ། ||| “Lord of the kiṃnaras, there are thirty-two ways in which the bodhisattvas’ perfection of diligence is pure.
སུམ་ཅུ་རྩ་གཉིས་གང་ཞེ་ན། ||| What are those thirty-two?
འདི་ལྟ་སྟེ། མི་འམ་ཅིའི་བདག་པོ་བྱང་ཆུབ་སེམས་དཔའ་སངས་རྒྱས་ཀྱི་རིགས་རྒྱུན་མི་འཆད་པར་བྱ་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ཆོས་ཀྱི་རིགས་རྒྱུན་མི་འཆད་པར་བྱ་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། དགེ་འདུན་གྱི་རིགས་རྒྱུན་མི་འཆད་པར་བྱ་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| Lord of the kiṃnaras, they are as follows: (1) Bodhisattvas engender diligence to perpetuate the family of the Buddha. (2) They engender diligence to perpetuate the family of the Dharma. (3) They engender diligence to perpetuate the family of the Saṅgha.
སེམས་ཅན་ཚད་མེད་པ་ཡོངས་སུ་སྨིན་པར་བྱ་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། འཁོར་བ་ཚད་མེད་པ་ཡོངས་སུ་གཟུང་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། སངས་རྒྱས་ཚད་མེད་པ་ལ་མཆོད་པ་དང་རིམ་གྲོ་བྱ་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། དགེ་བའི་རྩ་བ་ཚད་མེད་པ་བསགས་པའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ཐོས་པ་ཚད་མེད་པ་གཟུང་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (4) They engender diligence to ripen countless sentient beings. (5) They engender diligence to embrace limitless saṃsāra. (6) They engender diligence to worship and revere countless buddhas. (7) They engender diligence to gather infinite roots of virtue. (8) They engender diligence to acquire infinite learning.
སེམས་ཅན་ཐམས་ཅད་ལ་ལེགས་པར་སྨྲ་བ་སྨྲ་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། སེམས་ཅན་ཐམས་ཅད་ལ་རབ་ཏུ་གདིང་བར་བྱེད་པའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། སེམས་ཅན་ཐམས་ཅད་ལ་བྱ་བ་ཅི་ཡོད་ཅེས་བྱ་བ་ལ་སྤྲོ་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། སེམས་ཅན་ཐམས་ཅད་ཡོངས་སུ་མི་གཏོང་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (9) They engender diligence to speak to all beings using the right words. (10) They engender diligence to eliminate the distress of all beings. (11) They engender diligence to enthusiastically assist all sentient beings. (12) They engender diligence to never abandon any being.
སེམས་ཅན་ཐམས་ཅད་ཚུལ་ཁྲིམས་ཀྱི་བསླབ་པ་ལ་གཟུད་པའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། བཟོད་པའི་སྟོབས་ཐམས་ཅད་དང་། དེས་པ་མི་ཉམས་པར་བྱ་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། བསམ་གཏན་དང་རྣམ་པར་ཐར་པ་དང་ཏིང་ངེ་འཛིན་དང་། སྙོམས་པར་འཇུག་པ་ཐམས་ཅད་བསྐྱེད་པའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ཆགས་པ་མེད་པའི་ཤེས་རབ་མཆོག་ཡོངས་སུ་བསྐང་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (13) They engender diligence to induct all beings into the training of discipline. (14) They engender diligence so that the power of their patience and the gentleness of their nature never diminish. (15) They engender diligence to give rise to all forms of concentrations, liberations, absorptions, and attainments. (16) They engender diligence to perfect supreme insight devoid of attachment.
བྱམས་པ་དང་། སྙིང་རྗེ་དང་། དགའ་བ་དང་། བཏང་སྙོམས་ཚངས་པའི་གནས་པའི་གནས་པ་ཡོངས་སུ་བསྐང་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (17) They engender diligence to perfect the four pure abodes—love, compassion, joy, and equanimity.
མངོན་པར་ཤེས་པ་ཐམས་ཅད་ལ་བརྩོན་འགྲུས་བསྐྱེད་པའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (18) They engender diligence to generate effort related to all the higher perceptions.
སངས་རྒྱས་ཀྱི་ཞིང་ཐམས་ཅད་ཀྱི་ཡོན་ཏན་བཀོད་པ་རང་གི་སངས་རྒྱས་ཀྱི་ཞིང་ཡོངས་སུ་བསྡུ་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (19) They engender diligence to attain their own buddha realms in which the qualities of all the buddha realms are arrayed.
བདུད་ཐམས་ཅད་གཞོམ་པའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། སྟོབས་བརྟན་པ་ཆེན་པོས་ཕ་རོལ་གནོན་པའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ཕ་རོལ་རྒོལ་བ་ཐམས་ཅད་ཆོས་དང་འཐུན་པས་ཚར་གཅད་པའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (20) They engender diligence to defeat all demonic forces. (21) They engender diligence to suppress opposition with great and stable strength. (22) They engender diligence to overcome all opponents in accordance with the Dharma.
སྟོབས་བཅུ་དང་མི་འཇིགས་པ་དང་། སངས་རྒྱས་ཀྱི་ཆོས་ཡོངས་སུ་བསྐང་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ལུས་དང་ངག་དང་སེམས་ཀྱི་རྒྱན་གྱི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (23) They engender diligence to perfect the ten powers, the fearlessnesses, and the other buddha qualities. (24) They engender diligence to actualize the ornaments of body, speech, and mind.
བྱ་བ་ཐམས་ཅད་ཉམས་འོག་ཏུ་ཆུད་པར་བྱེད་ཅིང་བརྩོན་པ་མི་གཏོང་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (25) They engender diligence to master all activities and to never let go of their efforts.
སེམས་ཞུམ་པ་མེད་པར་བྱ་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ཉོན་མོངས་པ་ཐམས་ཅད་ཀྱིས་མི་རྫི་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (26) They engender diligence to never become disheartened. (27) They engender diligence to remain unaffected by all the afflictions.
མ་རྒལ་བ་སྒྲོལ། མ་གྲོལ་བ་དགྲོལ། དབུགས་མ་ཕྱིན་པ་དབུགས་དབྱུང་། ཡོངས་སུ་མྱ་ངན་ལས་མ་འདས་པ་ཡོངས་སུ་མྱ་ངན་ལས་བཟླ་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (28) They engender diligence to free those who have not crossed over, to liberate those who are not liberated, to provide relief to those who have not found relief, and to cause those who have not passed beyond suffering to pass beyond suffering.
བསོད་ནམས་བརྒྱ་པའི་མཚན་གྱི་ཚོགས་བསགས་པའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (29) They engender diligence to gather the marks of a hundred forms of merit.
སངས་རྒྱས་ཐམས་ཅད་ཀྱི་དམ་པའི་ཆོས་ཡོངས་སུ་གཟུང་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (30) They engender diligence to uphold the sacred Dharma of all the buddhas.
སངས་རྒྱས་ཀྱི་ཞིང་མཐའ་ཡས་པར་རྫུ་འཕྲུལ་གྱིས་འགྲོ་ཞིང་སངས་རྒྱས་ལ་བལྟ་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་དང་། ||| (31) They engender diligence to travel miraculously to an infinite number of buddha realms and to behold those buddhas.
སེམས་དང་ལུས་དབེན་པའི་ཕྱིར་དེའི་བརྩོན་འགྲུས་དེ་དབེན་པ་ལས་ངེས་པར་བྱུང་བ་དང་། ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ལ་འཇུག་པའི་ཕྱིར་དེའི་བརྩོན་འགྲུས་དེ་བླང་བ་མེད་ཅིང་དོར་བ་མེད་ལ། གདེག་པ་མེད་ཅིང་གཞག་པ་མེད་དེསྐྱེ་བ་མེད་ཅིང་འབྱུང་བ་མེད་པས་བསྡུས་པ་ཡིན་ཏེ། ||| (32) They engender diligence to disengage their minds and bodies and to reach the freedom and omniscient wisdom that come from disengagement—this is subsumed in the absence of adoption and rejection, the absence of lifting and placing, and the absence of birth and origination.
མི་འམ་ཅིའི་བདག་པོ་རྣམ་པ་སུམ་ཅུ་རྩ་གཉིས་པོ་འདི་དག་གིས། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡོངས་སུ་དག་པ་ཡིན་ནོ། ། ||| Lord of the kiṃnaras, those are the thirty-two ways in which the bodhisattvas’ perfection of diligence is pure.
མི་འམ་ཅིའི་བདག་པོ་རྣམ་པ་སུམ་ཅུ་རྩ་གཉིས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའི་བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡོངས་སུ་དག་པ་ཡིན་ནོ། ། ||| “Lord of the kiṃnaras, there are thirty-two ways in which the bodhisattvas’ perfection of concentration is pure.
སུམ་ཅུ་རྩ་གཉིས་གང་ཞེ་ན། ||| What are those thirty-two?
དྲན་པ་ཡོངས་སུ་དག་པ་དང་། བློ་གྲོས་ཡོངས་སུ་དག་པ་དང་། རྟོགས་པ་ཡོངས་སུ་དག་པ་དང་། ངོ་ཚ་ཤེས་པ་ཡོངས་སུ་དག་པ་དང་། ཁྲེལ་ཡོད་པ་ཡོངས་སུ་དག་པ་དང་། མོས་པ་ཡོངས་སུ་དག་པ་དང་། བསྔོ་བ་ཡོངས་པོ་སུ་དག་པ་དང་། བྱང་ཆུབ་ཀྱི་སེམས་མི་བརྗོད་པ་ཡོངས་སུ་དག་པ་དང་། དབང་པོ་སྦས་པ་ཡོངས་སུ་དག་པ་དང་། མི་གནས་པ་ཡོངས་སུ་དག་པ་དང་། དེ་ལ་མ་ཆགས་པ་ཡོངས་སུ་དག་པ་དང་། མངོན་པར་ཤེས་པ་བསྐྱེད་པ་ཡོངས་སུ་དག་པ་དང་། སེམས་ལས་སུ་རུང་བ་ཡོངས་སུ་དག་པ་དང་། ལུས་དབེན་པ་ཡོངས་སུ་དག་པ་དང་། བྲག་ཅ་ཤེས་པ་ཡོངས་སུ་དག་པ་དང་། ནང་ཉེ་བར་ཞི་བ་ཡོངས་སུ་དག་པ་དང་། ཕྱི་རོལ་དུ་མི་རྒྱུ་བ་ཡོངས་སུ་དག་པ་དང་། དམིགས་པའི་ལྟ་བ་སྤོང་བ་ཡོངས་སུ་དག་པ་དང་། བདག་མེད་པ་དང་། སེམས་ཅན་མེད་པ་དང་། སྲོག་མེད་པ་དང་། གསོ་བ་མེད་པ་དང་། གང་ཟག་མེད་པར་སོ་སོར་རྟོག་ཅིང་ཁམས་གསུམ་པ་ལ་མི་གནས་པ་ཡོངས་སུ་དག་པ་དང་། བྱང་ཆུབ་ཀྱི་ཡན་ལག་གི་སྒོ་ཡོངས་སུ་དག་པ་དང་། སེམས་ཅན་ལ་ལྟ་བའི་སྙིང་རྗེ་ཆེན་པོ་ཡོངས་སུ་དག་པ་དང་། ཤེས་རབ་ལ་འཇུག་པས་རབ་རིབ་མེད་ཅིང་སྣང་བ་ཡོངས་སུ་དག་པ་དང་། རྒྱུ་དང་། འབྲས་བུ་དང་། རྣམ་པར་སྨིན་པ་དང་མི་འགལ་བ་ཡོངས་སུ་དག་པ་དང་། ཆོས་ལ་སེམས་པའི་བཟོད་པ་ཡོངས་སུ་དག་པ་དང་། ཚུལ་བཞིན་གྱི་རྣམ་པའི་ཆོས་ལ་སོ་སོར་རྟོག་པ་ཡོངས་སུ་དག་པ་དང་། ཐབས་ལ་མཁས་པ་བསྡུ་བ་ཡོངས་སུ་དག་པ་དང་། བྱང་ཆུབ་ཀྱི་སྙིང་པོ་བསྒྲུབ་པ་ཡོངས་སུ་དག་པ་དང་། ཉན་ཐོས་དང་། རང་སངས་རྒྱས་དང་མ་འདྲེས་པ་ཡོངས་སུ་དག་པ་དང་། མི་གཡོ་བའི་བསམ་གཏན་བསྒྲུབ་པ་ཡོངས་སུ་དག་པ་དང་། སངས་རྒྱས་ཀྱི་ཏིང་ངེ་འཛིན་ཐོབ་པ་ལ་མི་གཡེང་བ་ཡོངས་སུ་དག་པ་དང་། སེམས་ཅན་ཐམས་ཅད་ཀྱི་སེམས་དང་སྤྱོད་པ་ལྟ་བ་ཡོངས་སུ་དག་པ་དང་། སེམས་ཅན་ཐམས་ཅད་ཀྱི་དབང་པོའི་མཆོག་དང་། མཆོག་མ་ཡིན་པ་ཤེས་ནས་སོ་སོར་ཅི་རིགས་པར་ཆོས་སྟོན་པ་ཡོངས་སུ་དག་པ་སྟེ། ||| They are (1) the purity of mindfulness, (2) the purity of intelligence, (3) the purity of realization, (4) the purity of modesty, (5) the purity of humility, (6) the purity of trust, (7) the purity of dedication, (8) the purity consisting in not forgetting about the mind set on awakening, (9) the purity of hidden faculties, (10) the purity of nonabiding, (11) the purity of the absence of attachment, (12) the purity of the generation of higher perception, (13) the purity of a flexible mind, (14) the purity of physical isolation, (15) the purity consisting in knowing phenomena to be like echoes, (16) the purity of inner peace, (17) the purity consisting in not wandering outside, (18) the purity of abandoning apprehending views, (19) the purity of understanding the absence of self, sentient being, life principle, individuality, and person, and of not dwelling in the three realms, (20) the purity of the gateway of the branches of awakening, (21) the purity of the compassion that cares for sentient beings, (22) the purity of unobstructed vision induced by the attainment of insight, (23) the purity of not being in conflict with the principles of causes, effects, and karmic ripening, (24) the purity of acceptance that considers the Dharma, (25) the purity of the proper discernment of phenomena, (26) the purity of the development of skill in means, (27) the purity of the accomplishment of the essence of awakening, (28) the purity of the absence of association with the hearers and solitary buddhas, (29) the purity of the accomplishment of unwavering concentration, (30) the purity of the absence of distraction with respect to the attainment of the absorption of the buddhas, (31) the purity of the perception of the mental states and conduct of all beings, and (32) the purity consisting in knowing which sentient beings are of higher faculties and which are not, and in teaching the Dharma to them accordingly.
མི་འམ་ཅིའི་བདག་པོ་རྣམ་པ་སུམ་ཅུ་རྩ་གཉིས་པོ་འདི་དག་གིས། བྱང་ཆུབ་སེམས་དཔའི་བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡོངས་སུ་དག་པ་ཡིན་ནོ། ། ||| Lord of the kiṃnaras, those are the thirty-two ways in which the bodhisattvas’ perfection of concentration is pure.
མི་འམ་ཅིའི་བདག་པོ་རྣམ་པ་སུམ་ཅུ་རྩ་གཉིས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའི་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡོངས་སུ་དག་པ་ཡིན་ནོ། ། ||| “Lord of the kiṃnaras, there are thirty-two ways in which the bodhisattvas’ perfection of insight is pure.
སུམ་ཅུ་རྩ་གཉིས་གང་ཞེ་ན། ||| What are those thirty-two?
