ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Omniscient One!
དེ་བཞིན་དུ། དེ་བཞིན་གཤེགས་པ་རྣམས་འབྱུང་བ་དང་། ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་ལ་ཡང་བལྟ་བར་བྱའོ། ། ||| You should regard the appearance of the tathāgatas and their parinirvāṇa in the same way.
ཡང་ལྷའི་བུ་དག་སྔོན་གྱི་སྨོན་ལམ་གྱིས་དེ་བཞིན་གཤེགས་པ་མྱ་ངན་ལས་འདས་ནས་ལོ་སྟོང་ལོན་པའམ། མྱ་ངན་ལས་འདས་ནས་བསྐལ་པར་ལོན་པའམ། མྱ་ངན་ལས་འདས་ནས་བསྐལ་པ་བྱེ་བར་ལོན་ཡང་ ||| “Moreover, gods, the tathāgatas, even though a thousand years, an eon, or ten million eons may have elapsed since their parinirvāṇa, because of their former vows, and
སེམས་ཅན་རྣམས་ཀྱིས་མཆོད་པར་བྱ་བ་དང་། བཀུར་སྟིར་བྱ་བ་དང་། རིང་བསྲེལ་གྱི་མཆོད་རྟེན་བྱེད་དུ་གཞུག་པ་དང་། སྐུ་གཟུགས་བྱེད་དུ་གཞུག་པ་དང་། མཚན་ནས་བརྗོད་པ་དང་། དམ་པའི་ཆོས་འཛིན་པ་དང་། མཆོད་པ་བྱེད་པའི་སེམས་ཅན་འཇིག་རྟེན་གྱི་ཁམས་སྣ་ཚོགས་ན་གནས་པ་རྣམས་ཐར་པར་མཛད་དེ ||| on account of the fact that sentient beings worship them, venerate them, construct relic stūpas, create images, recite their names, and preserve and venerate the holy Dharma, liberate beings
སེམས་ཅན་དམྱལ་བ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་དང་། གཤིན་རྗེའི་འཇིག་རྟེན་དང་། མི་ཁོམ་པ་དང་། ངན་སོང་དང་། ངན་འགྲོ་ལོག་པར་ལྟུང་བ་ཐམས་ཅད་དང་། སྡུག་བསྔལ་ཐམས་ཅད་ལས་ཡོངས་སུ་ཐར་བར་མཛད་ནས་ ||| liberate beings from all the hells, animal births, the world of Yama, downfalls into inopportune existences, unfortunate destinies, bad rebirths, and all suffering, even though these tathāgatas might belong to different world systems,
རིམ་གྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་བར་དུ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་ན ||| until beings gradually attain unsurpassable, truly perfect enlightenment. Thus,
གང་དག་དེ་བཞིན་གཤེགས་པ་ལ་མངོན་སུམ་དུ་མེ་ཏོག་དང་། སྤོས་དང་། དྲི་དང་། ཕྲེང་བ་དང་། བྱུག་པ་དང་། ན་བཟའ་དང་། རྒྱན་རྣམས་ཀྱི་མཆོད་པས་མཆོད་པ་ལྟ་སྨོས་ཀྱང་ཅི་དགོས། ||| what need is there to mention those who worship the tathāgatas in person by offering them flowers, incense, perfume, garlands, salves, clothes, and aromatic powders?
ལྷའི་བུ་དག་གང་སེམས་ཅན་ལ་ལས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་མྱ་ངན་ལས་འདས་ནས་ལོ་བརྒྱ་སྟོང་ངམ། བསྐལ་པ་བྱེ་བ་ལོན་ཡང་སངས་རྒྱས་ལ་ཕྱག་འཚལ་ལོ་ཞེས་མཚན་ནས་ལན་བདུན་དུ་བརྗོད་ནས་ནམ་མཁའ་ལ་མེ་ཏོག་གཏོར་ན་ ||| Gods, even though one thousand years, an eon, or even ten million eons may have elapsed since the Bhagavān Buddha entered parinirvāṇa, if some beings throw a flower in the sky, after calling the Tathāgata by his name seven times and saying ‘Homage to the Buddha,’
དེ་དག་ཐམས་ཅད་སྡུག་བསྔལ་གྱི་མཐར་བྱེད་པར་འགྱུར་རོ། ། ||| they will all bring an end to their suffering.
མེ་ཏོག་ནམ་མཁའ་ལ་གཏོར་བལྟ་ཞོག་གི། ||| But, let alone throwing a flower in the sky,
གང་དག་དད་པས་དེ་བཞིན་གཤེགས་པའི་རྗེས་སུ་སློབ་པ་ལ་ལ་ཞིག་གིས་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པའི་ཕྱིར་དེ་བཞིན་གཤེགས་པའི་ཚུལ་ཁྲིམས་བསླབ་པ་གཅིག་ཙམ་འཛིན་ཏམ་ཉིན་གཅིག་གམ། མཚན་གཅིག་གམ། ཡུད་ཙམ་ཞིག་ལ་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་ཡིད་ལ་བྱེད་པར་བརྩོན་ན ||| if someone, whoever they might be, faithfully emulating the Tathāgata, strives to maintain even a single precept in order to honor the Tathāgata, or strives to focus on worshipping the Tathāgata even for a single day, or a single night, or a single moment,
དེ་སྡུག་བསྔལ་མཐར་བྱས་ནས་རིམ་གྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་རོ། ། ||| this person will put an end to suffering and gradually, fully, and completely awaken to unsurpassable, truly perfect enlightenment.
གང་གིས་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པའི་ཕྱིར་བཞད་གད་དམ། ཀུ་རེའམ། བྱིས་པའི་ཀྱལ་ཀའམ། རྩེད་མོར་བྱེད་པའམ། འཇིམ་པ་ལས་མཆོད་རྟེན་བྱེད་ན། ||| If even those who, in order to honor the Tathāgata, laugh, have fun, joke like fools, play games, or make a stūpa from sand
དེ་དག་ཐམས་ཅད་སྡུག་བསྔལ་མཐར་བྱས་ནས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་ན། ||| will all put an end to suffering and fully and completely awaken to unsurpassable, truly perfect enlightenment,
གང་གིས་རིང་བསྲེལ་གྱི་མཆོད་རྟེན་ནམ། རིང་བསྲེལ་གྱི་སྐུ་གཟུགས་བྱས་ཏེ། ||| what need is there to mention those who have built relic stūpas or relic images and,
སེམས་ཅན་ཐམས་ཅད་ལ་སྙིང་རྗེ་གཙོ་བོར་ཤེས་ནས་ ||| understanding that compassion toward all beings is the most important thing,
སེམས་ཅན་ཐམས་ཅད་སྡུག་བསྔལ་ལས་ཡོངས་སུ་དགྲོལ་ལོ་སྙམ་སྟེ་ ||| think, ‘I shall liberate all beings from suffering’?
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་སྐྱེས་ནས་ལྷའི་མེ་ཏོག་དང་། ལྷའི་སྤོས་དང་། ཕྲེང་བ་དང་། བྱུག་པ་དང་། ཕྱེ་མ་དང་། སིལ་སྙན་དང་། གདུགས་དང་། རྒྱལ་མཚན་རྣམས་ཀྱིས་མཆོད་པ་བྱེད་པ་ལྟ་སྨོས་ཀྱང་ཅི་དགོས་ཏེ ||| And what need is there to mention those who, having produced the thought directed toward unsurpassable, truly perfect awakening, make offerings of divine flowers and incense, garlands, salves, aromatic powders, cymbals, umbrellas, and royal banners?
དེས་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ལ་མཆོད་པ་བྱས་པར་འགྱུར་རོ། ། ||| Those who have thus made offerings to all the tathāgatas
དེ་ནི་སྐྱེ་བ་དང་། རྒ་བ་དང་། ན་བ་དང་། འཆི་བ་དང་། མྱ་ངན་དང་། སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུག་པ་རྣམས་ལས་ཡོངས་སུ་ཐར་བར་འགྱུར་ཏེ ||| [Those who have thus made offerings to all the tathāgatas] will be free from birth, old age, sickness, and death, as well as from misery, lamentation, suffering, unhappiness, and afflictions.
ཇི་སྲིད་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པར་མ་གྱུར་པ་དེ་སྲིད་ཀྱི་བར་དུ་བདེ་འགྲོར་འགྲོ་བར་འགྱུར་རོ། ། ||| And as long as they have not completely and fully awakened to unsurpassable, truly perfect awakening, they will be reborn in pleasant forms of existence.
ལྷའི་བུ་དག་དེ་ལྟར་ན་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་སྔོན་གྱི་སྨོན་ལམ་ལ་མཁས་ཤིང་འཐུན་པ་ཡོངས་སུ་དག་པ་ཡིན་ནོ། ། ||| Gods, thus can one discern the aspiration of the tathāgatas of the past and be in perfect agreement with it.”
དེ་ནས་ལྷའི་བུ་དེ་དག་འདི་སྙམ་དུ་སེམས་པར་གྱུར་ཏེ། ||| Then, those gods thought,
ཀྱེ་མའོ། །འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་འདི་ནི་ཤེས་རབ་ཆེན་པོ་དང་ལྡན་ནོ། ། ||| “Oh, this youthful Mañjuśrī is endowed with great insight.
དེ་བཞིན་གཤེགས་པ་རྣམས་མཆོག་ཏུ་ཐབས་མཁས་པ་དང་ལྡན་པ་ནི་ལགས་ན། ||| If the tathāgatas possess supreme skillful means,
གང་འཇམ་དཔལ་གྱིས་དེ་བཞིན་གཤེགས་པ་རྣམས་མྱ་ངན་ལས་འདས་ནས་བསྐལ་པ་བྱེ་བ་དུ་མ་ལོན་ཡང་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་བཞུགས་ཤིང་ཐབས་མཁས་པ་སྣ་ཚོགས་ཀྱིས་སེམས་ཅན་རྣམས་ཡོངས་སུ་སྨིན་པར་མཛད་དོ་ཞེས་དེས་སྨྲས་པ་དེ་ལྟ་བུ་འདི་ཅི་ཞིག་སྙམ་མོ། ། ||| what does it mean when Mañjuśrī says that the tathāgatas remain in the world systems and bring beings to spiritual maturity through various skillful means, even though ten billion eons have passed many times over since the tathāgatas attained nirvāṇa?”
འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པའི་སེམས་ཀྱིས་ལྷའི་བུ་དེ་དག་གི་སེམས་ཤེས་ནས་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| The youthful Mañjuśrī, having clairvoyantly understood what those gods were thinking, said,
ལྷའི་བུ་དག་ལེགས་སོ་ལེགས་སོ། ། ||| “Gods, excellent! Excellent!
ཡུད་ཙམ་ཞིག་སྡོད་ཅིག ། ||| Just wait a moment.
ཁྱོད་ཀྱི་ཡིད་ལ་བྱེད་པ་སྐྱེས་པ་འདི་དང་སྔར་ཞུས་པར་གྱུར་པ་ཡང་དེ་བཞིན་གཤེགས་པའི་བྱིན་གྱི་རླབས་ཡིན་ནོ། ། ||| These thoughts arising in your mind, as well as your earlier question, are also the sovereign power of the Tathāgata.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཇི་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་མཛད་པ་མངོན་པར་མཛད་པས་དེ་བཞིན་གཤེགས་པ་གཙུག་ཕུད་ཅན་དང་། ཐམས་ཅད་སྐྱོབ་དང་། ལོག་པར་དད་སེལ་དང་། གསེར་ཐུབ་དང་། འོད་སྲུང་དང་། རྣམ་པར་གཟིགས་དང་། མི་འཁྲུགས་པ་དང་། འོད་དཔག་ཏུ་མེད་པ་དེ་དག་འཁོར་གྱི་དཀྱིལ་འཁོར་ན་བཞུགས་ཤིང་དེ་བཞིན་གཤེགས་པ་སེང་གེའི་ཁྲི་ཆེན་པོ་ལ་བཞུགས་ནས་ཉན་ཐོས་དང་། བྱང་ཆུབ་སེམས་དཔར་བཅས་པས་བསྐོར་ཅིང་འཁོར་རྒྱ་མཚོ་ལྟ་བུ་ལ་ཆོས་སྟོན་པར་སྣང་བ་དང་། ||| At this, the Blessed One displayed his supernatural powers and the tathāgatas Śikhin, Viśvabhū, Krakucchanda, Kanakamuni, Vipāśyin, Akṣobhya, and Amitābha appeared in his surrounding retinue, sitting on lion thrones surrounded by the saṅgha of śrāvakas and bodhisattvas, and taught the Dharma to an ocean-like retinue.
ཤར་དང་། ལྷོ་དང་། ནུབ་དང་། བྱང་གི་ཕྱོགས་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་དག་ན་ཡང་དེ་བཞིན་གཤེགས་པ་དུ་མ་སེང་གེའི་ཁྲི་ཆེན་པོ་ལ་བཞུགས་ནས་ཆོས་འཆད་ཅིང་བཞུགས་པར་མཐོང་བ་དེ་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་མཛད་པ་མངོན་པར་མཛད་དོ། ། ||| They too displayed those same types of supernatural powers by manifesting many tathāgatas sitting on their lion thrones, expounding the Dharma throughout the world systems of the east, south, west, and north.
དེ་ནས་ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དང་། ལྷའི་བུ་དེ་དག་དགའ་བར་གྱུར་ཏེ། མཆོག་ཏུ་དགའ་ཞིང་ཡིད་བདེ་བ་སྐྱེས་ནས་ ||| The retinue of all those gathered and the gods rejoiced, jubilated, and were pleased.
བདག་གིས་དགེ་བའི་རྩ་བ་ལས་སྐྱེས་པའི་བསོད་ནམས་ཀྱི་སྟོབས་བསྐྱེད་པས་དེ་བཞིན་གཤེགས་པ་དེ་དག་ལ་མེ་ཏོག་དང་། སྤོས་དང་། དྲི་དང་། ཕྲེང་བ་དང་། བྱུག་པ་དང་། ན་བཟའ་དང་། རྒྱན་རྣམས་ཀྱིས་མངོན་པར་མཆོད་དེ ||| Having themselves increased the power of the roots of virtue arising from their merit, they worshipped the tathāgatas with flowers, incense, perfume, garlands, salves, garments, and ornaments, and
ལན་གསུམ་དུ་བསྐོར་བ་བྱས་ནས་ཚིགས་སུ་བཅད་པ་འདི་དག་སྨྲས་སོ། ། ||| circumambulated them three times, proclaiming the following verses:
ཨེ་མ་ཡེ་ཤེས་ཡེ་ཤེས་ནི། །ཏིང་ངེ་འཛིན་དང་ཤེས་རབ་སྒོམ། ། ||| “How wonderful is this gnosis! For this, one should practice the state of concentration and insight!
ཇི་ལྟར་འཇིག་རྟེན་སྒྲོན་མ་རྣམས། །འདས་ནས་བསྐལ་པ་དུ་མ་ན། །སེམས་ཅན་རྣམས་ལ་ཕན་པའི་ཕྱིར། །དཔའ་བོ་ཆེན་པོ་འདི་ན་བཞུགས། ། ||| Just like lights illuminating the world, This great hero will remain “For the benefit of beings For many eons after his nirvāṇa.
བྱང་ཆུབ་སེམས་དཔས་ཡོངས་བསྐོར་ཅིང་། །སེང་གེའི་ཁྲི་ལ་བཞུགས་པ་གདའ། ། ||| Surrounded by bodhisattvas, He is seated on a lion throne.
སངས་རྒྱས་མཐོང་བ་ལེགས་པ་སྟེ། ། ||| “Seeing the Buddha is excellent.
ཆོས་མཉན་པ་ཡང་ལེགས་པ་ཡིན། ། ||| Listening to the Dharma is excellent.
དགེ་བའི་བཤེས་གཉེན་བལྟ་བ་དང་། །མཉན་པའང་དེ་བཞིན་ལེགས་པ་ཡིན། ། ||| Likewise, observing a spiritual friend And listening to him is also excellent.
གང་དག་འདིར་ནི་བསླབ་འཛིན་པའི། །ལུས་ཀྱི་སྡོམ་པ་ལེགས་པ་ཡིན། ། ||| “All the precepts of the body That preserve the training are excellent.
ནན་ཏན་གྱིས་ནི་སྒྲུབ་པ་དག །དེ་ཀུན་བྱང་ཆུབ་ཐོབ་པར་འགྱུར། ། ||| Those who have diligently perfected them Will all achieve awakening.
ཐབས་དང་ཤེས་རབ་མཁས་པ་རྣམས། །འདིར་ནི་སེམས་ཅན་ཐར་བར་མཛད། ། ||| “Those who are skillful in means and insight Will liberate beings in this world.
ཟླ་བའི་དཀྱིལ་འཁོར་འདྲ་བ་དང་། །དེ་བཞིན་སྒྱུ་མ་བྱེད་པ་འདྲ། ། ||| Like the orb of the moon, Like a conjurer,
འོང་བ་དང་ནི་འགྲོ་བ་ཡང་། །དེ་བཞིན་གཤེགས་པ་སྟོན་པར་མཛད། ། ||| “The Tathāgata shows himself To come and go.
མཆོད་རྟེན་དང་ནི་རི་མོ་དང་། །སྐུ་གཟུགས་བྱེད་དུ་གཞུག་པ་དང་། །མཆོད་དང་བཀུར་སྟི་བྱ་བའི་ཕྱིར། ། ||| Because they have stūpas, Drawings, and images made “And they honor and worship him,
གང་དག་མཚན་ནི་དྲན་བྱེད་པ། །བྱང་ཆུབ་ཕྱིར་ནི་གནས་པ་རྣམས། །ཐམས་ཅད་ཐར་པ་ཐོབ་པར་འགྱུར། ། ||| Those who remember his name And live for the sake of awakening Will all attain liberation.
དེ་བཞིན་གཤེགས་ལ་ཕྱག་འཚལ་ནས། ། ||| “Since they pay homage to the Tathāgata,
དམ་པའི་ཆོས་ནི་མཉན་པ་དང་། །མཆོད་ཅིང་འཛིན་པའང་དེ་བཞིན་ཏེ། ། ||| Listen to the noble Dharma, And worship and retain it accordingly,
སྡུག་བསྔལ་ཀུན་ལས་གྲོལ་བར་འགྱུར། ། ||| They will be free from all suffering.”
དེ་བཞིན་གཤེགས་པའི་བྱིན་གྱི་རླབས་དང་རྣམ་པར་འཕྲུལ་བའི་ཆོ་འཕྲུལ་འདི་ཡང་དག་པར་བསྟན་པ་འདི་བཤད་པ་ན་སྲོག་ཆགས་དྲུག་ཁྲི་བཞི་སྟོང་གིས་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པར་གྱུར་ཏོ། ། ||| As the Tathāgata imparted this instruction on the sovereign power and the miracle of the extraordinary transformation of a tathāgata, sixty-four thousand beings reached the stage where they accepted that phenomena are not produced.
སྲོག་ཆགས་ཉི་ཁྲིས་ཆོས་ལ་ཆོས་ཀྱི་མིག་རྣམ་པར་དག་གོ། ། ||| Twenty thousand beings completely purified the eye of Dharma that sees all phenomena.
ལྷའི་བུ་ལྔ་སྟོང་གིས་ལེན་པ་མེད་པར་ཟག་པ་ལས་སེམས་རྣམ་པར་གྲོལ་ལོ། ། ||| Five thousand gods remained without grasping, their minds freed from defilements.
ཕྱིར་མི་ལྡོག་པའི་ས་ལ་གནས་པར་གྱུར་ཏོ། ། ||| They were led to the stage of a non-returner.
དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་བདུན་བརྒྱས་ཏིང་ངེ་འཛིན་སྣ་ཚོགས་ཐོབ་པར་གྱུར་ཏོ། ། ||| Seven hundred monks, nuns, and male and female lay vow holders attained various states of concentration.
འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་རྒྱལ་པོ་གསལ་རྒྱལ་གྱིས་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| King Prasenajit said to the youthful Mañjuśrī,
རྒྱལ་བའི་སྲས་ཁྱོད་ཀྱིས་སེམས་ཅན་ཐམས་ཅད་ཀྱི་དོན་དུ་དྲིས་པའི་ལན་བཤད་པ་འདི་ནི་ཁྱོད་ཀྱིས་ལེགས་པར་བཤད་དེ་ ||| “Son of the Victorious One, in your answers to the questions that were asked for the benefit of all beings, what you said was excellent,
ལེགས་མོད་ཀྱི། ||| it was excellent indeed.
ཁོ་བོ་ཐེ་ཙོམ་ཅུང་ཟད་ཅིག་སྐྱེས་ཀྱིས། ||| Yet I still have a few doubts.
གང་ཐོས་ནས་སེམས་ཅན་རྣམས་ཀྱིས་ཡིད་ལ་བྱས་ཏེ ||| which are about beings applying their minds to what they have heard and thus
དེ་དག་ཐམས་ཅད་འཁོར་བའི་སྡུག་བསྔལ་ལས་གྲོལ་བར་འགྱུར་བ་དང་། བདེ་འགྲོར་འགྲོ་བར་འགྱུར་བ་དང་། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་བར་ ||| becoming free from the suffering of saṃsāra, passing into fortunate forms of existence, and never falling back from unsurpassable, truly perfect awakening.”
ཁོ་བོས་དྲིས་པ་དེ་བསྟན་ཅིང་ལུང་སྟོན་ཅིག ། ||| Therefore, please expound upon and answer my questions,
འཇམ་དཔལ་གྱིས་སྨྲས་པ། ||| Mañjuśrī replied,
རྒྱལ་པོ་ཆེན་པོ་ཁྱོད་ཀྱིས་སྔོན་དགེ་བའི་རྩ་བ་སྐྱེད་པ་དང་། དེ་བཞིན་གཤེགས་པའི་བྱིན་གྱི་རླབས་ཀྱིས་སྤོབས་པ་སྐྱེས་པ་ནི་ལེགས་སོ། ། ||| “Great king, it is excellent that you have developed your previous roots of merit and that your confidence has increased through the sovereign power of the Tathāgata.
ཁྱོད་གང་དང་གང་འདོད་པ་དྲིས་ཤིག་དང་ངས་ཁྱོད་ལ་བཤད་པར་བྱའོ། ། ||| Whatever you wish to know, ask and I shall explain it to you.”
སྨྲས་པ། ||| The king said,
ཀྱེ་རྒྱལ་བའི་སྲས་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་མཚན་ཐོས་པ་ཙམ་དང་། མཆོད་པ་དང་། བཀུར་སྟི་བྱས་པ་ཉིད་ཀྱིས་སྡིག་པ་བྱེད་པའི་སེམས་ཅན་རྣམས་སེམས་ཅན་དམྱལ་བ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་དང་། གཤིན་རྗེའི་འཇིག་རྟེན་ལས་གྲོལ་བར་འགྱུར་ཞིང་བདེ་འགྲོར་འགྲོ་བར་འགྱུར་བ་ ||| “Son of the Victorious One, just by hearing the names of the tathāgatas and honoring and serving them, beings who perform negative actions will be liberated from rebirths as denizens of the hells and animals, as well as from Yama’s world, and will pass into pleasant forms of existence.
དེ་དག་གང་ལགས། ||| Who are those beings?
དེ་དག་འཇིག་རྟེན་གྱི་ཁམས་ནི་གང་ན་བཞུགས། ||| In which world system do they abide?
དེ་དག་ལ་མཆོད་པ་ནི་ཇི་ལྟར་བགྱི། ||| How should we honor them?”
འཇམ་དཔལ་གྱིས་སྨྲས་པ། ||| Mañjuśrī replied,
རིགས་ཀྱི་བུ་གང་གི་ཕྱིར་སེམས་ཅན་རྣམས་ངན་སོང་དུ་འགྲོ་བར་མི་འགྱུར་བ་དང་། གང་ངན་སོང་དུ་སྐྱེས་པ་དེ་དག་སེམས་ཅན་དམྱལ་བ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་དང་། གཤིན་རྗེའི་འཇིག་རྟེན་ལས་ཡོངས་སུ་གྲོལ་བར་འགྱུར་བའི་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དེ་དག་གི་མཚན་རྣམས་དང་། འཇིག་རྟེན་གྱི་ཁམས་སུ་མཆོད་ཅིང་བསྟི་སྟང་བྱ་བ་བཤད་ཀྱིས་ཉོན་ཅིག ། ||| “Son of noble family, listen. I shall elucidate the reason why these beings will not pass into negative forms of existence. I shall state the names of the blessed ones, the tathāgatas, who will liberate them from rebirths in negative forms of existence, from rebirths as denizens of the hells and animals, and from Yama’s world, and I shall state how they are to be worshipped and venerated in their respective world systems.
འཇིག་རྟེན་གྱི་ཁམས་བཻ་དཱུརྱ་སྣང་བ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྨན་གྱི་བླ་བཻ་དཱུརྱའི་འོད་ཅེས་བྱ་བ་བཞུགས་ཏེ། ||| “In the world system called Vaiḍūrya Light abides the Tathāgata, the Arhat, the truly perfect Buddha called Bhaiṣajyaguru Vaidūryaprabharāja,
འཚོ་ལ་གཞེས་ཤིང་ཆོས་ཀྱང་སྟོན་པ་ཡོད་དོ། ། ||| who watches over beings as well as teaches the Dharma.
འཇིག་རྟེན་གྱི་ཁམས་གཙུག་པུད་ཅན་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིན་པོ་ཆེའི་གཙུག་པུད་ཅན་ཞེས་བྱ་བ་ཡོད་དོ། ། ||| In the world system called Śikhin abides the Tathāgata, the Arhat, the truly perfect Buddha called Śikhin.
འཇིག་རྟེན་གྱི་ཁམས་དྲི་མ་མེད་པ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དྲི་མ་མེད་པར་འབྱུང་བ་ཞེས་བྱ་བ་ཡོད་དོ། ། ||| In the world system called Vimalā abides the Tathāgata, the Arhat, the truly perfect Buddha called Stainless Arising.
འཇིག་རྟེན་གྱི་ཁམས་ཞི་བ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རབ་ཏུ་ཞི་བར་བཀོད་པ་ཞེས་བྱ་བ་ཡོད་དོ། ། ||| In the world system called Peace abides the Tathāgata, the Arhat, the truly perfect Buddha called Established in Peace.
འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་ཏུ་མེད་པ་ཞེས་བྱ་བ་དང་། ||| In the world system called Sukhāvatī abides the Tathāgata, the Arhat, the truly perfect Buddha called Amitābha.
འཇིག་རྟེན་གྱི་ཁམས་པད་མོའི་བླ་མ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་པད་མོ་འབྱུང་བ་ཞེས་བྱ་བ་དང་། ||| In the world system called Lotus Excellence abides the Tathāgata, the Arhat, the truly perfect Buddha called Lotus Born.
འཇིག་རྟེན་གྱི་ཁམས་རྡོ་རྗེ་ན་དེ་བཞིན་གཤེགས་པ་རྡོ་རྗེ་མཁྲེགས་པ་ཞེས་བྱ་བ་དང་། ||| In the world system called Vajra abides the Tathāgata called Indestructible Vajra.
འཇིག་རྟེན་གྱི་ཁམས་མྱ་ངན་མེད་པ་ན་དེ་བཞིན་གཤེགས་པ་མྱ་ངན་བྲལ་བ་ཞེས་བྱ་བ་དང་། ||| In the world system called Aśoka abides the Tathāgata called Vigataśoka.
འཇིག་རྟེན་གྱི་ཁམས་འཇིགས་པ་མེད་པ་ན་དེ་བཞིན་གཤེགས་པ་འཇིགས་པ་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་མཛད་པ་ཞེས་བྱ་བ་དང་། ||| In the world system called Fearless abides the Tathāgata called Pacifier of All Fears.
འཇིག་རྟེན་གྱི་ཁམས་རྟོགས་པ་དང་བློ་གྲོས་སུ་ལྡན་པ་ན་དེ་བཞིན་གཤེགས་པ་འགྲོ་བ་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བ་ཞེས་བྱ་བ་དང་། ||| In the world system called Endowed with Realization and Intelligence abides the Tathāgata called Purifier of All Rebirths.
འཇིག་རྟེན་གྱི་ཁམས་ངན་འགྲོ་དང་བྲལ་བ་ན་དེ་བཞིན་གཤེགས་པ་ངན་སོང་ཐམས་ཅད་ཞི་བར་མཛད་པ་ཞེས་བྱ་བ་དང་། ||| In the world system called Free from Negative Forms of Existence abides the Tathāgata called Pacifier of All Negative Forms of Existence.
འཇིག་རྟེན་གྱི་ཁམས་དྲི་མ་མེད་པ་ན་དེ་བཞིན་གཤེགས་པ་བློ་གྲོས་རྣམ་པར་དག་པ་ཞེས་བྱ་བ་དང་། ||| In the world system called Vimalā abides the Tathāgata called He Whose Intelligence Has Been Completely Purified.
འཇིག་རྟེན་གྱི་ཁམས་དབང་པོ་ན་དེ་བཞིན་གཤེགས་པ་དབང་པོའི་བློ་གྲོས་ཞེས་བྱ་བ་ཡོད་དེ ||| In the world system called Possessed of Power abides the Tathāgata called Powerful Intelligence.
