ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| I prostrate to the All-Knowing One.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ད་ལྟར་འབའ་ཞིག་མ་ཡིན་ཏེ། ||| “Not only now,” the Blessed One explained,
འདས་པའི་དུས་ན་ཡང་འདི་རྣམས་ལྷར་བཅས་ལས་བརྟེན་ཏེ། དྲེགས་པ་བཅོམ་ནས། བསམ་གཏན་བཞི་དང་མངོན་པར་ཤེས་པ་ལྔ་ལ་བཀོད་པ་དེ་ཉོན་ཅིག ། ||| “but in times past as well, and in the same way, they were put in Sahadeva’s care, and I destroyed their arrogance and placed them in the four meditative states and five superknowledges. Listen well!
དགེ་སློང་དག་སྔོན་བྱུང་བ་འདས་པའི་དུས་ན་གྲོང་ཁྱེར་ཙམ་པ་ཞེས་བྱ་བ་ན། རྒྱལ་པོ་གང་ཆེན་མཚོའི་ལྷ་ཞེས་བྱ་བ་རྒྱལ་པོ་བྱེད་དེ། ||| “Monks, in times gone by, King Glacier Lake Deity reigned in the city of Campā.
ཕྱི་ཞིག་ན་དེའི་བཙུན་མོ་ལ་བུ་ཆགས་ནས། ||| One day his wife conceived,
དེ་ཟླ་བ་དགུའམ་ཟླ་བ་བཅུ་ལོན་པ་དང་བུ་གཟུགས་བཟང་ཞིང་བལྟ་ན་སྡུག་ལ་མཛེས་པ་ཚན་པོ་ཆེའི་སྟོབས་དང་ལྡན་པ་ཞིག་བཙས་ཏེ། ||| and after nine or ten months had passed, she gave birth to a child who was well proportioned, pleasing to the eye, beautiful, and endowed with tremendous strength.
དེའི་བཙས་སྟོན་རྒྱས་པར་བྱས་ནས། ||| At the elaborate feast celebrating his birth they asked,
ཁྱེའུ་འདིའི་མིང་ཇི་སྐད་གདགས་ཞེས་མིང་འདོགས་པར་བྱེད་དེ། ||| ‘What name should we give this child?’ And they named him, saying,
ཁྱེའུ་འདི་གང་ཆེན་མཚོའི་ལྷའི་བུ་ཡིན་པས་ན་ཁྱེའུ་འདིའི་མིང་རྒྱ་མཚོའི་ལྷ་ཞེས་གདགས་སོ་ཞེས་ཟེར་ཏོ། ། ||| ‘Since this is Glacier Lake Deity’s child, his name will be Glacier Deity.’
དེ་ནས་ཁྱེའུ་རྒྱ་མཚོའི་ལྷ་འོ་མ་དང་ཞོ་དང་མར་དང་ཞུན་མར་དང་མར་གྱི་ཉིང་གུ་རྣམས་ཀྱིས་བསྐྱེད་བསྲིངས་ཏེ། ||| They reared him on milk, yogurt, butter, ghee, and milk solids, and he flourished like a lotus in a lake.
དེ་གང་གི་ཚེ་ཆེར་སྐྱེས་པ་དེའི་ཚེ་ཁྱེའུ་དེ་ཡི་གེ་སློབ་ཏུ་བཅུག་སྟེ། རྒྱལ་རིགས་སྤྱི་བོ་ནས་དབང་བསྐུར་བའི་རྒྱལ་པོ་རྣམས་ཀྱིས་བཟོའི་གནས་དང་ལས་ཀྱི་གནས་ཐ་དད་པ་འདི་ལྟ་སྟེ། ||| “As the young man grew up, they made him study letters, and trained him in all the different fields of craft and skill in which duly consecrated rulers of the royal caste train, such as
གླང་པོ་ཆེ་ཞོན་པ་དང་། རྟ་ཞོན་པ་དང་། མཚོན་ཆ་བཅང་བ་དང་། འཕོང་བ་དང་། མདུན་དུ་བསྣུར་བ་དང་། ཕྱིར་བསྣུར་བ་དང་། གཡུལ་ལས་འབྱུང་བར་བྱ་བ་དང་། ལྕགས་ཀྱུ་གཟུང་བ་དང་། ཞགས་པ་གཟུང་བ་དང་། མདའ་བོ་ཆེ་འཕང་བ་དང་། རྡོ་རྗེ་རྩེ་གཅིག་པ་འཕང་བ་དང་། མཚོན་རྩེ་གཅིག་པ་གདབ་པ་དང་། འཁོར་ལོ་འཕང་བ་དང་། གཅད་པ་དང་། གཤེག་པ་དང་། ལག་པས་གཟུང་བ་དང་། རྐང་པའི་སྟབས་དང་། མགོ་བོ་བསྐྱབ་པ་དང་། རྒྱང་མར་འཕང་བ་དང་། སྒྲ་གྲག་པར་འཕང་བ་དང་། གནད་དུ་འཕང་བ་དང་། གདོན་མི་ཟ་བར་ཕོག་པར་བྱ་བ་དང་། ཚབས་ཆེར་གཏང་བ་རྣམས་ཀྱང་ ||| how to ride an elephant, how to ride horseback, how to wield a weapon, and how to shoot an arrow, advance, retreat, wage war, grasp with an iron hook, wield a lasso, shoot a spear, throw a single-pointed vajra, throw other single-pointed weapons, and throw a disk; how to cut, cleave, grapple and hold, employ footwork, guard one’s head, strike from a distance, and strike at the noise of an unseen enemy; and how to target the vital points, take infallible aim, and maximize damage.
བསླབས་ནས་གནས་ལྔ་ལ་བྱང་བར་གྱུར་ཏོ། ། ||| By the time he had been educated in all of these, he was learned in the five fields of knowledge.
དེ་ནས་དེས་བལྟས་ན། ཕ་ཆོས་བཞིན་དང་། ཆོས་བཞིན་མ་ཡིན་པར་རྒྱལ་སྲིད་བྱེད་པ་ ||| “Then he came to see that his father administrated the affairs of the kingdom both righteously and unrighteously.
མཐོང་ནས་ དེའི་བློ་སྐྱེས་པ། ||| Recognizing this he thought,
ཕ་འདས་པའི་འོག་ཏུ་བདག་གིས་རྒྱལ་སྲིད་ཀྱི་དབང་ཕྱུག་ལ་དབང་བྱ་དགོས་པར་འགྱུར་གྱིས། ||| ‘After the death of my father, I will have to assume the dominion of the king.
བདག་གིས་ཁྱིམ་ན་གནས་པ་བཏང་ལ་ནགས་ཀྱི་ནང་དུ་གནས་བཅའ་བར་བྱའོ་ ||| I will give up living at home and go live in the forest.’
སྙམ་དུ་བསམས་ནསཡབ་ལ་གསོལ་ཏེ་ནགས་ཀྱི་ནང་དུ་གནས་བཅས་སོ། ། ||| Reflecting in this way, he asked for his father’s permission and went to live in the forest.
དེས་དེར་སོང་ནས་བསམ་གཏན་བཞི་དང་མངོན་པར་ཤེས་པ་ལྔ་བསྐྱེད་དོ། ། ||| After he went there, he generated the four meditative states and the five superknowledges.
དེ་རབ་ཏུ་བྱུང་བ་དང་རྒྱལ་པོའི་བློན་པོ་ལྔ་བརྒྱའི་བུ་བཙས་ནས། ||| “After he had gone forth, the king’s ministers had five hundred sons.
དེ་དག་གང་གི་ཚེ་ཆེར་སྐྱེས་པ་དེའི་ཚེ། དེ་དག་ཡི་གེ་སློབ་ཏུ་བཅུག་སྟེ་གནས་ལྔའི་བར་དུ་བྱང་བར་གྱུར་ཏོ། ། ||| As they grew up, they were made to study letters and became educated in the five sciences.
དེ་དག་བློ་འདི་ལྟ་བུ་སྐྱེས་ཏེ་གཞན་སུ་ཡང་བྱད་གཟུགས་དང་སྟོབས་དང་ཤེས་པས་བདག་ཅག་དང་མཉམ་པ་ཡང་མེད་ན་ལྷག་པ་ལྟ་ཅི་སྨོས་སྙམ་མོ། ། ||| They thought , ‘No one is our equal in form, strength, and knowledge—needless to speak of their being better!’
དེ་ནས་འཕོང་གི་སློབ་དཔོན་གྱིས་དེ་དག་ལ་སྨྲས་པ། བུ་དག་དེ་སྐད་མ་ཟེར་ཅིག ། ||| “ ‘Children,’ their archery teacher told them, ‘don’t say such things.
ཁྱོད་ནི་རྒྱལ་པོ་འདི་ཉིད་ཀྱི་བུ་རབ་ནགས་ཀྱི་ནང་དུ་གནས་བཅས་པ་དེའི་བྱད་གཟུགས་དང་སྟོབས་དང་ཤེས་པའི་བརྒྱའི་ཆར་ཡང་མི་ཕོད་སྟོང་གི་ཆར་ཡང་མི་ཕོད་དོ་ཞེས་བྱས་ནས ||| Your form, strength, and knowledge aren’t even a hundredth or a thousandth of that of the prince who went to live in the great forest.’
དེ་ཐོས་མ་ཐག་ཏུ་གཞོན་ནུ་དེ་དག་དྲང་སྲོང་དེ་ལྟ་འདོད་པར་གྱུར་ཏེ། ||| “As soon as they heard this, the youths were eager to meet the sage,
འཕོང་གི་སློབ་དཔོན་དེ་ཉིད་དང་ལྷན་ཅིག་ཏུ་དྲང་སྲོང་དེ་ག་ལ་བ་དེར་དོང་ནས། ||| so they went to see him along with the archery teacher.
གཞོན་ནུ་ལྔ་བརྒྱ་པོ་དེ་དག་གིས་ཐག་རིང་པོ་ཞིག་ནས་དྲང་སྲོང་མཛེས་ཤིང་ཡིད་དུ་འཐད་ལ་དབང་པོ་ཞི་ཞིང་ཡིད་ཞི་བ་དེ་མཐོང་ངོ་། ། ||| All five hundred youths saw the sage in the distance and he was resplendent, agreeable, and happy. His senses were tamed, and his mind was at peace.
མཐོང་ནས་ཀྱང་དེ་དག་གི་གཟུགས་ཀྱི་རྒྱགས་པ་གང་ཡིན་པ་དེ་མེད་པར་གྱུར་ཏེ། དེ་དག་གིས་བསམས་པ། ||| When they saw him, whatever arrogance they had about their own forms disappeared, and they thought,
བདག་ཅག་གི་སློབ་དཔོན་གྱིས་འདིའི་བྱད་གཟུགས་མཛེས་པ་དང་ཡོན་ཏན་རྣམས་བསྔགས་པ་ལས། འདིའི་བྱད་གཟུགས་དེ་ཁོ་ན་བཞིན་དུ་གྱུར་པ་ལས་ན། འདིའི་ཡོན་ཏན་རྣམས་ཀྱང་དེ་ཁོ་ན་བཞིན་དུ་ཡོད་པར་ངེས་ཀྱིས། ||| ‘Since his good qualities and the splendor of his form are as great as our teacher claimed, and we ourselves are certain it is so,
བདག་ཅག་ཁྱིམ་ན་གནས་པ་བཏང་ལ་འདི་ཉིད་ཀྱི་ཐད་དུ་ཚངས་པར་སྤྱོད་པར་སྤྱད་པར་བྱའོ་སྙམ་དུ་བསམས་ནས་ ||| let’s give up living at home and, in his presence, practice the conduct that leads to enlightenment.’
དེ་ཉིད་ཀྱི་ཐད་དུ་རབ་ཏུ་བྱུང་སྟེ ||| With this thought, they went forth in his presence.
དེ་དག་དེར་རབ་ཏུ་བྱུང་ནས་བསམ་གཏན་བཞི་དང་མངོན་པར་ཤེས་པ་ལྔ་བསྐྱེད་དོ། ། ||| Having thus gone forth, they generated the four meditative states and five superknowledges.
དགེ་སློང་དག་ཇི་སྙམ་དུ་སེམས། ||| “O monks, what do you think?
དེའི་ཚེ་དྲང་སྲོང་དུ་གྱུར་པ་བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་གནས་པ་གང་ཡིན་པ་དེ་ནི་ང་ཉིད་ཡིན་ནོ། ། ||| I am the one who was that sage then, and lived the life of a bodhisattva.
དེའི་ཚེ་གཞོན་ནུ་ལྔ་བརྒྱར་གྱུར་པ་གང་ཡིན་པ་དེ་དག་ནི་འདི་དག་ཉིད་ཡིན་ནོ། ། ||| Those who were the five hundred youths then are none other than these youths.
དེའི་ཚེ་འཕོང་གི་སློབ་དཔོན་དུ་གྱུར་པ་གང་ཡིན་པ་དེ་ནི་ལྷར་བཅས་འདི་ཁོ་ན་ཡིན་ཏེ། ||| The one who was their archery teacher then is none other than Sahadeva.
དེའི་ཚེ་ཡང་འདི་རྣམས་ལྷར་བཅས་འདི་ཁོ་ན་ལ་བརྟེན་ཏེ། ངས་དྲེགས་པ་བཅོམ་ནས་བསམ་གཏན་བཞི་དང་མངོན་པར་ཤེས་པ་ལྔ་ལ་བཀོད་དོ། ། ||| At that time, after they were put in Sahadeva’s care, I destroyed their arrogance and placed them in the four meditative states and five superknowledges.
ད་ལྟར་ཡང་འདི་རྣམས་ལྷར་བཅས་ཁོ་ན་ལས་བརྟེན་ཏེ། ངས་གཡུང་དྲུང་གི་མཐར་ཐུག་པ་གྲུབ་པ་དང་བདེ་བའི་མྱ་ངན་ལས་འདས་པ་ལ་བཀོད་དོ། ། ||| Now as well, they have been in the sole care of Sahadeva, and I have established them in the unsurpassed, supreme welfare of nirvāṇa.
གཞན་ཡང་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་སྲུང་གི་གསུང་རབ་ལ་འདི་དག་ཐམས་ཅད་རབ་ཏུ་བྱུང་སྟེ། ||| “They also went forth in the doctrine of the totally and completely awakened Buddha Kāśyapa
དེར་འདི་རྣམས་ཀྱིས་ཚེ་གཅིག་ཏུ་ཚངས་པར་སྤྱོད་པ་སྤྱད་ནས་ ||| and practiced pure conduct all their lives.
འཆི་ཀར་སྨོན་ལམ་བཏབ་པ། ||| At the time of their deaths, they prayed,
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་སྲུང་གིས་བྲམ་ཟེའི་ཁྱེའུ་བླ་མ་ལུང་བསྟན་པ་གང་ཡིན་པའི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་བདག་ཅག་གིས་མཉེས་པར་བྱེད་པར་གྱུར་ཅིག །མི་མཉེས་པར་བྱེད་པར་མ་གྱུར་ཅིག ། ||| ‘May we please and not displease Uttara, the young brahmin prophesied by the totally and completely awakened Buddha Kāśyapa to be the next blessed buddha.
དེ་ཁོ་ནའི་བསྟན་པ་ལ་རབ་ཏུ་བྱུང་ནས་ཉོན་མོངས་པ་ཐམས་ཅད་སྤངས་ཏེ་དགྲ་བཅོམ་པ་ཉིད་མངོན་སུམ་དུ་བྱེད་པར་ཤོག་ཅིག་ཅེས་བྱས་སོ། ། ||| May we go forth in his doctrine, cast away all afflictive emotions, and manifest arhatship.’
དགེ་སློང་དག་ཇི་སྙམ་དུ་སེམས་དེའི་ཚེ། ||| “What do you think monks?
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་སྲུང་གི་གསུང་རབ་ལ་རབ་ཏུ་བྱུང་བའི་དགེ་སློང་ལྔ་བརྒྱ་པོ་གང་ཡིན་པ་དེ་དག་ནི། ད་ལྟར་རབ་ཏུ་བྱུང་བ་འདི་དག་ཉིད་ཡིན་ཏེདེ་དག་གིས་དེར་རབ་ཏུ་བྱུང་ནས་ཚེ་གཅིག་གི་བར་དུ་ཚངས་པར་སྤྱོད་པ་སྤྱད་ནས་འཆི་ཀར་སྨོན་ལམ་བཏབ་སྟེ། ||| The five hundred monks who went forth in the doctrine of the totally and completely awakened Buddha Kāśyapa then are now none other than these renunciants. Back then they practiced pure conduct all their lives, and at the time of their deaths, they prayed,
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་སྲུང་གིས་བྲམ་ཟེའི་ཁྱེའུ་བླ་མ་ལུང་བསྟན་པ་གང་ཡིན་པའི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་བདག་ཅག་གིས་མཉེས་པར་བྱེད་པར་གྱུར་ཅིག །མི་མཉེས་པ་བྱེད་པར་མ་གྱུར་ཅིག ། ||| ‘May we please and not displease Uttara, the young brahmin prophesied by the totally and completely awakened Buddha Kāśyapa to be the next blessed buddha.
དེ་ཁོ་ནའི་བསྟན་པ་ལ་རབ་ཏུ་བྱུང་ནས་ཉོན་མོངས་པ་ཐམས་ཅད་སྤངས་ཏེ། དགྲ་བཅོམ་པ་ཉིད་མངོན་སུམ་དུ་བྱེད་པར་ཤོག་ཅིག་ཅེས་བྱས་པ་དེས་ན། ||| May we go forth in his doctrine, cast away all afflictive emotions, and manifest arhatship.’
དགེ་སློང་དག་ང་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་སྲུང་དང་ཤིན་ཏུ་མཉམ་པ་དང་། ཤུགས་མཉམ་པ་དང་། མཛད་པ་མཉམ་པ་དང་། ཐབས་མཉམ་པ་བརྙེས་པར་གྱུར་ནས། ||| “So it is, monks, now that I myself have become the very equal of the totally and completely awakened Buddha Kāśyapa—equal in strength, equal in deeds, and equal in skillful means—
འདི་རྣམས་ཀྱིས་ང་མཉེས་པར་བྱས་ཏེ་མི་མཉེས་པར་མ་བྱས་ལ་ང་ཉིད་ཀྱི་བསྟན་པ་ལ་རབ་ཏུ་བྱུང་ནས་ཉོན་མོངས་པ་ཐམས་ཅད་སྤངས་ཏེ་དགྲ་བཅོམ་པ་ཉིད་མངོན་སུམ་དུ་བྱས་སོ།། །། ||| that they have pleased me, not displeased me, gone forth in my very doctrine, cast away all afflictive emotions, and manifested arhatship.”
གླང་ཞེས་བྱ་བ་ནི། ||| The Bull
གླེང་གཞི་མཉན་དུ་ཡོད་པ་ན་བཞུགས་ཏེ། དེའི་ཚེ་མཉན་དུ་ཡོད་པ་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་ནས་ཐག་མི་རིང་བ་ཞིག་ན། བ་ལང་གི་ཁྱུ་དག་ཅིག་འཁོད་དེ། ||| When the Blessed One was in Śrāvastī, not far from the garden of Prince Jeta there lived a certain herd of cattle.
དེར་གླང་ཁྱུ་མཆོག་གཉིས་འཐབས་ནས་གཅིག་གིས་གཅིག་བརྡུངས་ནས་གཅིག་གི་ལྟོ་དྲལ་ཏེ། དེའི་རྒྱུ་མ་ས་ལ་ ||| There, the two bulls that led the herd were fighting and kicking one another until one of them had his stomach gored and his intestines spilled out onto the ground.
ལྷུང་ནས་ཟླ་དེ་ལ་སྡང་བའི་སེམས་སྐྱེས་ཏེ་ས་ལ་སྒྱེལ་ཏོ། ། ||| Still feeling a surge of hatred for his opponent, he collapsed to the ground.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་བགྲོད་པ་གཅིག་པུའི་ལམ་སྟོན་པ། རྣམ་པ་གཉིས་ཀྱི་ཤེས་བྱ་དང་ཡེ་ཤེས་ལ་མངའ་བརྙེས་པ། མ་འདྲེས་པའི་དྲན་པ་ཉེ་བར་གཞག་པ་གསུམ་ལ་མཁས་པ། མི་འཇིགས་པ་བཞིས་མི་འཇིགས་པ། འགྲོ་བ་ལྔར་འགྲོ་བ་ལས་རྣམ་པར་གྲོལ་བ། སྐྱེ་མཆེད་དྲུག་ལ་མཁས་པ། བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན་ལ་སྤྱོད་ཡུལ་བ། རྣམ་པར་ཐར་པ་བརྒྱད་ལ་བསམ་གཏན་པ། མཐར་གྱིས་གནས་པའི་སྙོམས་པར་འཇུག་པ་དགུ་ལ་སྙོམས་པར་འཇུག་པ། སྟོབས་བཅུའི་སྟོབས་དང་ལྡན་པ། ཡང་དག་པའི་སེང་གེའི་སྒྲ་ཆེན་པོ་སྒྲོགས་པ་རྣམས་ནི་ཆོས་ཉིད་ཀྱིས་ཉིན་དུས་གསུམ་མཚན་དུས་གསུམ་སྟེ། ཉིན་མཚན་དུས་དྲུག་ཏུ། སངས་རྒྱས་ཀྱི་སྤྱན་གྱིས་འཇིག་རྟེན་ལ་གཟིགས་ཏེ། ||| The blessed buddhas, teachers of the one path to be traversed, with mastery over wisdom and the two types of knowable objects, in command of the three kinds of sterling equanimity, fearless by means of the fourfold fearlessness, freed from migration through the five destinies, keen in the six sense bases, practiced in the seven limbs of enlightenment, focused on the eight liberations, absorbed in the nine successive meditative absorptions, possessing all ten of the ten powers, whose proclamations are the great roaring of a perfect lion, by nature regard the world with their buddha eyes six times throughout the day and night—three times by day and three times by night. These are their thoughts as they look out in wisdom:
སུ་ནི་རྒུད། ||| “Who is in decline?
སུ་ནི་དར། ||| Who will flourish?
སུ་ནི་ཕོངས་ཤིང་འདུག ། ||| Who is destitute?
སུ་ནི་ཉམ་ང་བར་གྱུར། ||| Who is in a dreadful state?
སུ་ནི་གནོད་པ་དང་ལྡན། ||| Who is being harmed?
སུ་ནི་ཕོངས་པ་དང་ཉམ་ང་བ་དང་གནོད་པ་དང་ལྡན། ||| Who is destitute, in a dreadful state, and being harmed?
སུ་ནི་ངན་སོང་དུ་གཞོལ། ||| Who is veering toward the lower realms?
སུ་ནི་ངན་སོང་དུ་འབབ། ||| Who is descending through the lower realms?
སུ་ནི་ངན་སོང་དུ་བབ། ||| Who has descended to the lower realms?
སུ་ནི་ངས་ངན་སོང་ནས་ཕྱུང་སྟེ། མཐོ་རིས་དང་ཐར་པ་དང་འབྲས་བུ་ལ་གཞག་པར་བྱ། ||| Whom shall I pull up from the lower realms, and establish in the resultant state of heaven and liberation?
སུ་ནི་ཉེས་པར་སྤྱོད་པའི་འདམ་དུ་བྱིང་བ་ལས་ལག་ནས་དྲང་བར་བྱ། ||| Whom, mired in misdeeds, shall I lift up by the hand?
སུ་ནི་འཕགས་པའི་ནོར་བདུན་མེད་པ་ལས་འཕགས་པའི་ནོར་བདུན་གྱི་དབང་ཕྱུག་ལ་དབང་བྱེད་དུ་གཞུག་པར་བྱ། ||| Whom, lacking the seven jewels of the noble ones, shall I lead to command of the seven jewels of the noble ones?
སུ་ནི་དགེ་བའི་རྩ་བ་རྣམས་མ་བསྐྱེད་པ་ལས་བསྐྱེད་པར་བྱ། ||| Whom, not having produced roots of virtue, shall I lead to produce them?
སུ་ནི་དགེ་བའི་རྩ་བ་རྣམས་བསྐྱེད་ཟིན་པ་ལས་ཡོངས་སུ་སྨིན་པར་བྱ། ||| Whom, having already produced roots of virtue, shall I lead to ripen their roots of virtue?
སུ་ནི་དགེ་བའི་རྩ་བ་རྣམས་ཡོངས་སུ་སྨིན་ཟིན་པ་ལས་ཡེ་ཤེས་ཀྱི་མཚོན་གྱིས་བརྟོལ་བར་བྱ། ||| Whom, having already ripened their roots of virtue, shall I slice open with the blade of wisdom?
སུ་ལ་ནི་སངས་རྒྱས་བྱུང་བས་བརྒྱན་པའི་འཇིག་རྟེན་འབྲས་བུ་དང་བཅས་པར་བྱ་སྙམ་དུ་ཡེ་ཤེས་གཟིགས་པ་འཇུག་གོ། ། ||| For whom shall I cause this world, adorned with a buddha’s presence, to be fruitful?”
རྒྱ་མཚོ་ཆུ་སྲིན་རྣམས་ཀྱི་གནས། །དུས་རླབས་ཡོལ་བར་འགྱུར་ཡང་སྲིད། ། ||| The ocean, home of creatures fierce, Could fail to send its tides on time.
གདུལ་བར་བྱ་བའི་སྲས་རྣམས་ལ། །སངས་རྒྱས་དུས་ལས་ཡོལ་བ་མེད། ། ||| But when the time has come to tame Their offspring, buddhas never fail.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དགོངས་པ། ||| The Blessed One thought,
གལ་ཏེ་གླང་དེ་ད་ལྟའི་སྐབས་སུ་ཤི་བར་གྱུར་ན་ནི། སེམས་ཅན་དམྱལ་བར་འགྲོ་བར་འགྱུར་ཏེ། ||| “If this bull dies in his present condition, he will take birth as a hell being.
འདི་ངན་སོང་ལས་དབྱུང་བའི་དུས་ལ་བབ་པོ་སྙམ་དུ་དགོངས་ནས། ||| The time has come to lift him out of the lower realms.”
བཅོམ་ལྡན་འདས་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་ནས་མི་སྣང་བར་གྱུར་ཏེ་གླང་གི་དྲུང་དུ་གཤེགས་ནས། ||| The Blessed One disappeared from the garden of Prince Jeta and traveled to near where the bulls were.
བཅོམ་ལྡན་འདས་ཀྱིས་གླང་དེའི་རྒྱུ་མ་རྣམས་ཕྱིར་ལྟོའི་ནང་དུ་བཅུག་སྟེ། རྨ་ཁ་དྲུབས་ནས་རྩྭ་དང་ཆུ་ཡང་བྱིན་ཏེ་བཀའ་སྩལ་པ། ||| He put the intestines back into the bull’s stomach, sewed the wound closed, gave him grass and water, and said to him,
བཞིན་བཟངས་འདི་ལྟར་འདུ་བྱེད་ཐམས་ཅད་ནི་མི་རྟག་གོ། ། ||| “And so it is, my friend: all conditioned things are impermanent.
ཆོས་ཐམས་ཅད་ནི་བདག་མེད་དོ། ། ||| All phenomena are selfless.
མྱ་ངན་ལས་འདས་པ་ནི་ཞི་བའོ། ། ||| Nirvāṇa is peace.
ང་ལ་སེམས་དགའ་བར་གྱིས་ཤིག་དང་དུད་འགྲོའི་སྐྱེ་གནས་དང་བྲལ་བར་འགྱུར་ཡང་སྲིད་དོ་ཞེས་བཀའ་སྩལ་ཏོ། ། ||| Let your mind be filled with joy at the thought of me, and you may even be released from rebirth in the animal realm.”
དེ་ནས་དེ་བཅོམ་ལྡན་འདས་ལ་སེམས་དགའ་བར་གྱུར་ཏེ། ཤི་འཕོས་ནས་དུས་ལས་འདས་ཏེ་མཉན་དུ་ཡོད་པ་དེ་ཉིད་དུ་ཚོང་དཔོན་ཞིག་གི་ཁྱིམ་དུ་ཉིང་མཚམས་སྦྱར་ནས། ||| Filled with joy at the thought of the Blessed One, the bull died shortly thereafter, transmigrated, and took rebirth in the house of a merchant in Śrāvastī.
དེ་ཟླ་བ་དགུའམ་བཅུ་ལོན་པ་དང་ཁྱེའུ་གཟུགས་བཟང་ཞིང་བལྟ་ན་སྡུག་ལ་མཛེས་པ་ཞིག་བཙས་ནས། ||| After nine or ten months had passed the child was born, and he was well proportioned, pleasing to the eye, and beautiful.
དེའི་བཙས་སྟོན་རྒྱས་པར་བྱས་ཏེ། རིགས་དང་འཐུན་པར་མིང་བཏགས་ནས། ||| At the elaborate feast celebrating his birth they named him according to their clan.
འོ་མ་དང་ཞོ་དང་མར་དང་ཞུན་མར་དང་མར་གྱི་ཉིང་གུ་རྣམས་ཀྱིས་བསྐྱེད་བསྲིངས་ཏེ། ||| They reared him on milk, yogurt, butter, ghee, and milk solids,
དེ་གང་གི་ཚེ་ལོ་བདུན་ལོན་པར་གྱུར་པ་དེའི་ཚེ། དེས་བཅོམ་ལྡན་འདས་ཀྱི་བསྟན་པ་ལ་དད་པ་རྙེད་ནས། ||| and when he was seven years of age, he found faith in the doctrine of the Blessed One.
དེས་ཕ་མ་གཉིས་ལ་གསོལ་ཏེ་རབ་ཏུ་བྱུང་ནས། ||| He asked for his parents’ permission and went forth,
དེས་ལོ་བདུན་ལོན་པ་ཁོ་ན་ཉིད་ན་བརྩོན་པ་དང་བསྒྲུབ་པ་དང་འབད་པས་ཉོན་མོངས་པ་ཐམས་ཅད་སྤངས་ནས་དེས་དགྲ་བཅོམ་པ་ཉིད་མངོན་སུམ་དུ་བྱས་ཏེ་ ||| and though he was just seven years old, he cast away all afflictive emotions through diligence, practice, and effort, and manifested arhatship.
དེས་དགྲ་བཅོམ་པ་ཐོབ་ནས་རྫུ་འཕྲུལ་གྱིས་འགྲོ་ཞིང་། གནས་གཞན་དང་གཞན་དག་ནས་ལོ་མའི་ནང་དུ་མེ་ཏོག་དང་འབྲས་བུ་རྣམས་བཅུག་སྟེཁྱེར་ཏེ་འོང་ཞིང་དགེ་འདུན་ལ་འབུལ་བར་བྱེད་དོ། ། ||| After he manifested arhatship, he used his miraculous powers as a means of travel and would scoop flowers and fruits onto large leaves, carry them from one place to another, and bring them as offerings to the saṅgha.
དེ་ནས་དགེ་སློང་རྣམས་ཀྱིས་དེ་མཐོང་ནས་ཡ་མཚན་དུ་གྱུར་ཏོ། ། ||| The monks were amazed when they saw this,
ཡ་མཚན་དུ་གྱུར་ནས་བཅོམ་ལྡན་འདས་ལ་གསོལ་པ། ||| [The monks were amazed when they saw this,] so they requested the Blessed One,
བཙུན་པ་དགེ་ཚུལ་པ་འདིས་ལོ་བདུན་ལོན་ལགས་ན་ཡོན་ཏན་འདི་ལྟ་བུ་རྟོགས་པ་ལ་གཟིགས། ||| “Lord, tell us why this one, who went forth as a novice at just seven years of age, has achieved such great virtues.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། ||| The Blessed One asked the monks,
ཁྱེད་ཀྱིས་གླང་གི་རྒྱུ་མ་ངས་ལྟོར་བཅུག་ནས་ཆོས་ཚིག་གསུམ་བསྟན་པ་དེ་མཐོང་ངམ། ||| “Did you see the bull whose intestines I put back into his stomach, and to whom I taught three lines of the Dharma?”
གསོལ་པ། བཙུན་པ་མཐོང་ལགས་སོ། ། ||| “Yes, Lord, we saw him,” they replied.
བཀའ་སྩལ་པ། ||| The Blessed One said,
