འཕགས་པ་དགེ་བའི་རྩ་བ་ཡོངས་སུ་འཛིན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Upholding the Roots of Virtue
རིགས་ཀྱི་བུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ལྷོ་ཕྱོགས་སུ་འཇིག་རྟེན་གྱི་ཁམས་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་ཅེས་བྱ་བ་ཡོད་དེ། ||| “Noble son,” “to the south of this buddha realm, beyond innumerable and unfathomable universes, lies a universe known as Enduring.
དེ་ན་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པ་ཞེས་བྱ་བ་བཞུགས་ཏེ་ ||| There resides the thus-gone Śākyamuni.
འཚོ་ཞིང་གཞེས་ལ་འདི་ལྟ་སྟེ། བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ཀྱི་ཆོས་ཀྱང་སྟོན་ཏེ། ||| Abiding and remaining present there, he is delivering a Dharma teaching known as the Bodhisattva Collection.
སྣང་བ་དེ་དང་། གསུང་བསལ་བའི་སྒྲ་གྲག་པ་དེ་ནི་དེའི་ཡིན་ནོ། ། ||| His is the light and the clear voice.
སངས་རྒྱས་ཀྱི་ཞིང་དེར་ནི་བྱང་ཆུབ་སེམས་དཔའ་བསམ་གྱིས་མི་ཁྱབ་པའི་གོ་ཆ་བགོས་པ་དག་སྐྱེས་ཏེ། ||| Bodhisattvas who bear an inconceivable armor have taken birth in that buddha realm, and
དེ་དག་གིས་མིང་བརྗོད་པ་ཙམ་གྱིས་ཕྱོགས་བཅུའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ངེས་པར་འགྱུར་རོ། ། ||| merely pronouncing their names will destine the bodhisattvas in the ten directions for certain unsurpassable and perfect awakening.”
དེ་བཞིན་གཤེགས་པ་དོན་ཡོད་མིང་སྒྲོགས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་བསྐྱེད་མ་ཐག་ཏུ་ཕྱིར་མི་ལྡོག་པའི་འཁོར་ལོ་བསྐོར་བར་ངེས་པའི་གོ་ཆས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| said the bodhisattva Definite Armor of Turning the Irreversible Dharma Wheel Immediately upon Rousing the Mind to the thus-gone Propagator of the Meaningful Name,
བཅོམ་ལྡན་འདས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་སངས་རྒྱས་ཀྱི་ཞིང་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་དེར་བདག་མཆི་བར་བགྱིའོ། ། ||| “Blessed One,” “I wish to travel to that world of Enduring, the buddha realm of the thus-gone one, the worthy one, the perfect buddha Śākyamuni.”
བཅོམ་ལྡན་འདས་དེས་བཀའ་སྩལ་པ། ||| replied the Blessed One,
རིགས་ཀྱི་བུ་དེའི་དུས་ལ་ད་བབ་པར་ཤེས་ན་སོང་ཤིག ། ||| “Noble son,” “if you know that the time has come, then leave.
ངའི་ཚིག་གིས་གནོད་པ་ཆུང་ངམ། ཉམ་ང་བ་ཉུང་ངམ། བསྐྱོད་པ་ཡང་ངམ། སྟོབས་དང་བདེ་བར་རེག་པ་ལ་གནས་སམ་ཞེས་སྙུན་ཡང་གསོལ་ཅིག ། ||| Ask that blessed one on my behalf whether he has encountered but little hardship or discomfort, and whether he remains healthy, strong, and at ease.”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་དེ་བཅོམ་ལྡན་འདས་དེའི་ཞབས་ལ་ཕྱག་འཚལ་ཏེ། བསྐོར་བ་ཡང་བྱས་ནས་སོང་སྟེ། ||| The bodhisattva then bowed his head to the feet of that blessed one and circumambulated him.
དེ་འདི་ལྟ་སྟེ་དཔེར་ན་སྐྱེས་བུ་སྟོབས་དང་ལྡན་པ་ཞིག་གིས་ལག་པ་བསྐུམ་པ་རྐྱོང་བར་བྱེད་པའམ། བརྐྱང་བ་སྐུམ་པར་བྱེད་པའི་སྐད་ཅིག་དང་། ཐང་ཅིག་དང་། ཡུད་ཙམ་དེས་འཇིག་རྟེན་གྱི་ཁམས་དེ་ནས་མི་སྣང་བར་གྱུར་ནས་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདིར་འདུག་སྟེ ||| Then, as fast as an athlete can stretch out or bend an arm, he disappeared from that universe and arrived at once, in one instant and in one moment, in the world of Enduring.
དེ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པ་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། བཅོམ་ལྡན་འདས་དེའི་ཞབས་ལ་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། །ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་ཀྱང་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| There he proceeded to the place where the blessed Śākyamuni was residing, bowed his head to his feet in homage, then sat to one side and said,
བཅོམ་ལྡན་འདས་བཅོམ་ལྡན་འདས་ལ་གནོད་པ་ཆུང་ངམ། ཉམ་ང་བ་ཉུང་ངམ། བསྐྱོད་པ་ཡང་ངམ། སྟོབས་དང་བདེ་བར་རེག་པ་ལ་གནས་སམ་ཞེས་དེ་བཞིན་གཤེགས་པ་དོན་ཡོད་མིང་སྒྲོགས་སྙུན་གསོལ་ལགས་སོ། ། ||| “Blessed One, the blessed Propagator of the Meaningful Name inquires whether you have encountered but little hardship or discomfort, and whether you remain healthy, strong, and at ease.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| asked the Blessed One in return,
རིགས་ཀྱི་བུ་ཅི་བཅོམ་ལྡན་འདས་དེ་སྙུན་མི་མངའ་འམ། སྟོབས་དང་ལྡན་ནམ། བདེ་བ་དང་ལྡན་ནམ། འགྱུར་བ་མི་མངའ་འམ། ||| “Noble son,” “is that blessed one free from harm, is he strong and happy, and does he remain unchanged?”
དེས་གསོལ་པ། ||| answered the bodhisattva.
བཅོམ་ལྡན་འདས་དེ་ལྟ་ལགས་སོ། ། ||| “Yes indeed, Blessed One,”
དེའི་ཚེ་བྱང་ཕྱོགས་ནས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དོན་ཡོད་མིང་སྒྲོགས་ལ་སོགས་ཏེ། བཅོམ་ལྡན་འདས་དོན་ཡོད་རྣམ་པར་གནོན་གྱི་སངས་རྒྱས་ཀྱི་ཞིང་དང་། དེ་བཞིན་དུ་དོན་ཡོད་ཁྱུ་མཆོག་དང་། དོན་ཡོད་འོད་ཟེར་དང་། བརྩོན་འགྲུས་མཐའ་ཡས་དང་། སཱ་ལའི་དབང་པོའི་རྒྱལ་པོ་དང་། བརྩོན་པ་མཐའ་ཡས་དང་། སཱ་ལ་རིན་པོ་ཆེ་དང་། གདུགས་གཅིག་པ་དང་། རྒྱུ་སྐར་བཀོད་པ་དང་། དཀོན་མཆོག་འབྱུང་གནས་དང་། ཙན་དན་ཁང་པ་དང་། ཙན་དན་སྤོས་ཀྱི་འོད་དང་། འོད་མཐའ་ཡས་དང་། འོད་ཀྱི་དཀྱིལ་འཁོར་ཅན་དང་། ལྷུན་པོ་རྣམ་དག་དང་། ཐོགས་པ་མེད་པའི་སྤྱན་དང་། སྤྱན་མཐའ་ཡས་དང་། རིན་ཆེན་འབྱུང་དང་། ཀུན་གྱི་དཔལ་དང་། སངས་རྒྱས་མེ་ཏོག་འབྱུང་བའི་དཔལ་དང་། བློ་གྲོས་རབ་གནས་དང་། མཐའ་ཡས་རྣམ་པར་གནོན་དང་། དོན་ཡོད་དཔལ་དང་། རིན་ཆེན་རྣམ་པར་གནོན་དང་། གོ་ཆ་མཐའ་ཡས་དང་། བཀོད་པ་མཐའ་ཡས་དང་། ནམ་མཁའི་དཀྱིལ་འཁོར་འོད་ཟེར་དང་། མཚན་མ་མེད་པའི་ང་རོ་དང་། རྩིའི་རྒྱལ་པོ་དང་། བག་ཚ་བ་མི་མངའ་བ་དང་། སྤུ་ཟིང་ཞེས་བྱེད་པའི་འཇིགས་བྲལ་དང་། ཡོན་ཏན་རྒྱལ་པོའི་འོད་དང་། སྤྱན་རས་གཟིགས་ཀྱི་བློ་སྒྲུབ་མེ་ཏོག་དང་། ནམ་མཁའི་རིགས་དང་། ནམ་མཁའི་ང་རོ་དང་། ནམ་མཁའ་བཀོད་པའི་ང་རོ་དང་། དེ་བཞིན་གཤེགས་པ་དེ་དག་དང་། གཞན་དག་གིས་སངས་རྒྱས་ཀྱི་ཞིང་དག་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྐྱེ་བ་གཅིག་གིས་ཐོགས་པ་དག་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་ལྷགས་ཏེ་ ||| In this way there arrived from the north innumerably and unfathomably many bodhisattva great beings, all held back by just a single birth. They came from the buddha realm of the blessed thus-gone Propagator of the Meaningful Name, the buddha realm of the blessed Meaningful Subduer, and the buddha realms of blessed ones such as Meaningful Leader, Meaningful Light Rays, Anantavīrya, King of Sal Trees, Infinite Endeavor, Jewel of Sal Trees , Single Parasol, Array of Heavenly Bodies, Ratnākara, Sandalwood Mansion, Light of Sandalwood Incense, Anantaprabha, Jālinīprabha , Mountain of Purity, Unhindered Eyes, Infinite Eyes, Ratnasaṃbhava, Glory of All, Splendorous Source of Buddha Flowers, Susthitamati, Anantavikrāmin, Meaningful Glory, Subjugating Jewel, Infinite Armor, Infinite Array , Light Rays of the Space Sphere, Roar of Signlessness, Nectar King, Niśaṅka, He Whose Body Hairs Never Rise in Fear , Guṇarājaprabha, Flower of Accomplishing Avalokiteśvara’s Mind, Sky Family, Sky Roar, and Roar of the Arrays of Space. Arriving in the world of Enduring, they proceeded to the Kalandaka­nivāpa in the Veṇuvana by Rājagṛha and the place where the Blessed One was residing.
ལྷགས་ནས་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| There they bowed their heads to the Blessed One’s feet and sat to one side.
དེའི་ཚེ་འོག་གི་ཕྱོགས་སུ་འཇིག་རྟེན་གྱི་ཁམས་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ནམ་མཁའི་དཀྱིལ་འཁོར་རྣམ་པར་དག་ཅེས་བྱ་བ་ཡོད་དེ། ||| At that time there was in the direction below, beyond innumerable and unfathomable universes, a universe known as Perfectly Pure Sphere of Space .
དེ་ན་དེ་བཞིན་གཤེགས་པ་སྤྱན་ཆེན་པོ་ཞེས་བྱ་བ་བཞུགས་ཏེ་ ||| There resided the thus-gone Great Eye.
འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏེ། ||| Abiding and remaining present there, he taught the Dharma.
བཅོམ་ལྡན་འདས་དེས་བྱང་ཆུབ་སེམས་དཔའ་རིམ་པའི་བུ་ཞེས་བྱ་བ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ལུང་བསྟན་ཏོ། ། ||| This blessed one had prophesied that a bodhisattva known as Hereditary Son would awaken to unsurpassable and perfect buddhahood.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་རིམ་པའི་བུས་སྣང་བ་ཆེན་པོ་དེ་མཐོང་སྟེ། གསུང་བསལ་བའི་སྒྲ་དེ་ཡང་ཐོས་སོ། ། ||| That bodhisattva Hereditary Son had also noticed the great light and heard the sound of the clear voice.
ཐོས་ནས་ཀྱང་བཅོམ་ལྡན་འདས་དེ་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| He therefore went before the blessed Great Eye and asked,
བཅོམ་ལྡན་འདས་འོད་ཀྱི་སྣང་བ་ཀུན་དུ་གདའ་བ་དེ་དང་། གསུང་བསལ་བའི་སྒྲ་གྲག་པ་དེ་སུའི་ལགས། ||| “Blessed One, to whom belongs this pervasive light and clear voice?”
བཅོམ་ལྡན་འདས་དེས་བཀའ་སྩལ་པ། ||| replied the Blessed One,
རིགས་ཀྱི་བུ་སྟེང་གི་ཕྱོགས་སུ་འཇིག་རྟེན་གྱི་ཁམས་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་ཅེས་བྱ་བ་ཡོད་དེ ||| “Noble son,” “above this buddha realm, beyond innumerable and unfathomable universes, lies a universe known as Enduring.
དེ་ན་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པ་ཞེས་བྱ་བ་བཞུགས་ཏེ་ ||| There resides the thus-gone Śākyamuni.
འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏེ། ||| Abiding and remaining present there, he teaches the Dharma.
མཐུ་དེ་ནི་དེའི་ཡིན་ནོ། ། ||| What you witness is his power.
དེ་བཞིན་གཤེགས་པ་དེ་ནི་ད་ལྟར་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་སེམས་ཅན་ཐམས་ཅད་ཡང་དག་པར་ཚིམ་པར་བྱེད་པ་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཐེ་ཚོམ་གཅོད་པར་བྱེད་པ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ཡང་དག་པར་རབ་ཏུ་སྟོན་ཏེ ||| That thus-gone one is now delivering a Dharma teaching that belongs to the Bodhisattva Collection and is known as ‘Truly Satisfying All Sentient Beings by Eliminating Their Doubts.’
མཐུ་དེ་ལྟ་བུ་དེ་ནི་དེའི་ཡིན་ནོ། ། ||| What you witness is his power.
འཁོར་དེ་ན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གོ་ཆ་ཆེན་པོ་བགོས་པ་དཔེ་མེད་པ་སེམས་པ་དག་ཆོས་བསྟན་པ་དེ་ཉན་པར་བྱེད་དེ། ||| Bodhisattva great beings who have donned the great armor and possess an incomparable intent have gathered in his retinue so that they may listen to his Dharma teaching.
དེ་དག་གི་མིང་བརྗོད་པ་ཙམ་གྱིས་སེམས་ཅན་རྣམས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ངེས་པར་འགྱུར་རོ། ། ||| Merely pronouncing their names will destine sentient beings to unexcelled and perfect awakening.”
བཅོམ་ལྡན་འདས་དེ་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རིམ་པའི་བུས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| said the bodhisattva great being Hereditary Son,
བཅོམ་ལྡན་འདས་ཤཱཀྱ་ཐུབ་པ་དེ་ལ་བལྟ་བ་དང་། ཕྱག་བགྱི་བ་དང་། བསྙེན་བཀུར་བགྱི་བའི་སླད་དུ་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་དེར་བདག་མཆི་བར་བགྱིའོ། ། ||| “Blessed One,” “I wish to go to that world of Enduring so that I may see, venerate, and serve the blessed thus-gone Śākyamuni.”
བཅོམ་ལྡན་འདས་དེས་བཀའ་སྩལ་པ། ||| replied the Blessed One,
རིགས་ཀྱི་བུ་དེའི་དུས་ལ་ད་བབ་པར་ཤེས་ན་སོང་ཤིག ། ||| “Noble son,” “if you know that the time has come, then leave.
ངའི་ཚིག་གིས་གནོད་པ་ཆུང་ངམ། ཉམ་ང་བ་ཉུང་ངམ། བསྐྱོད་པ་ཡང་ངམ། སྟོབས་དང་བདེ་བར་རེག་པ་ལ་གནས་སམ་ཞེས་སྙུན་ཡང་གསོལ་ཅིག ། ||| On my behalf, ask that blessed one whether he has encountered but little hardship or discomfort, and whether he remains healthy, strong, and at ease.”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རིམ་པའི་བུ་བཅོམ་ལྡན་འདས་དེའི་ཞབས་ལ་ཕྱག་འཚལ་ཏེ། ||| Then the bodhisattva great being Hereditary Son bowed his head to the feet of that blessed one and,
འདི་ལྟ་སྟེ་དཔེར་ན། སྐྱེས་བུ་སྟོབས་དང་ལྡན་པ་ཞིག་གིས་ལག་པ་བསྐུམ་པ་རྐྱོང་བར་བྱེད་པའམ། བརྐྱང་བ་སྐུམ་པར་བྱེད་པའི་སྐད་ཅིག་དེས་འཇིག་རྟེན་གྱི་ཁམས་དེ་ནས་མི་སྣང་བར་གྱུར་ནས་དེ་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདིར་འདུག་སྟེ ||| as fast as an athlete can stretch out or bend an arm, he disappeared from that universe and instantly emerged here in the world of Enduring.
དེ་རྒྱལ་པོའི་ཁབ་འོད་མའི་ཚལ་བྱ་ཀ་ལན་ད་ཀ་གནས་པ་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Arriving at the Kalandaka­nivāpa in the Veṇuvana by Rājagṛha, he proceeded to the place where the Blessed One was residing and said,
བཅོམ་ལྡན་འདས་བཅོམ་ལྡན་འདས་ལ་གནོད་པ་ཆུང་ངམ། ཉམ་ང་བ་ཉུང་ངམ། བསྐྱོད་པ་ཡང་ངམ། སྟོབས་དང་བདེ་བར་རེག་པ་ལ་གནས་སམ་ཞེས་དེ་བཞིན་གཤེགས་པ་སྤྱན་ཆེན་པོ་སྙུན་གསོལ་ལགས་སོ། ། ||| “Blessed One, the thus-gone Great Eye inquires whether you have encountered but little hardship or discomfort, and whether you remain healthy, strong, and at ease.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་རིམ་པའི་བུ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| asked the Blessed One in return,
རིགས་ཀྱི་བུ་ཅི་སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་བཅོམ་ལྡན་འདས་དེ་གནོད་པ་ཆུང་ངམ། སྙུན་མི་མངའ་འམ། བདེ་བར་རེག་པ་ལ་གནས་སམ། ||| Noble son,” “is that blessed one free from harm and distress in his buddha realm, and is he happy?”
གསོལ་པ། ||| answered the bodhisattva Hereditary Son.
བཅོམ་ལྡན་འདས་དེ་ལྟ་ལགས་སོ། ། ||| “Yes indeed, Blessed One,”
དེ་ལྟར་དེ་བཞིན་གཤེགས་པ་སྤྱན་ཆེན་པོ་ལ་སོགས་ཏེ། བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་མཆོག་གི་དཔལ་གྱི་སངས་རྒྱས་ཀྱི་ཞིང་དང་དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པ་པད་མའི་དཔལ་འབྱུང་དང་། སེང་གེའི་དཔལ་དང་། དོན་གྲུབ་དང་། དཔལ་སྦས་དང་། སེང་གེའི་འགྲམ་པ་དང་། ཤིན་ཏུ་རབ་ཏུ་གནས་པའི་རྒྱལ་པོ་དང་། ཚངས་པ་ལྷུན་པོ་དང་། སྤྱན་རྣམ་པར་དག་པ་དང་། དོན་ཡོད་པའི་གོམ་པས་རྣམ་པར་གནོན་དང་། སྤོས་ཀྱི་གླང་པོ་ཆེ་དང་། སྤོས་ཀྱི་དཔལ་དང་། སྤོས་ཀྱི་ལྷུན་པོ་དང་། སྤྱན་ཚད་མེད་པ་དང་། སྤོས་བརྩེགས་དང་། རིན་ཆེན་ལྷུན་པོ་དང་། ཤིན་ཏུ་རབ་གནས་དང་། ཤིན་ཏུ་རབ་ཏུ་གནས་པའི་རྒྱལ་པོ་དང་། སཱ་ལའི་དབང་པོའི་རྒྱལ་པོ་དང་། འོད་ཀྱི་དཀྱིལ་འཁོར་འཛིན་དང་། མེ་སྒྲོན་དང་། སྐར་མདའ་སྒྲོན་མ་དང་། བརྩོན་འགྲུས་དོན་ཡོད་དང་། ཤིན་ཏུ་ཡང་དག་བརྟགས་ཀྱི་གོ་ཆ་དང་། སེང་གེ་དང་། སེམས་ཅན་གྱི་ཁ་ལོ་སྒྱུར་བ་དང་། རབ་མཆོག་རབ་ཏུ་གནས་པའི་རྒྱལ་པོའི་སངས་རྒྱས་ཀྱི་ཞིང་དང་། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེ་ལ་སོགས་པ་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་གི་སངས་རྒྱས་ཀྱི་ཞིང་དག་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྐྱེ་བ་གཅིག་གིས་ཐོགས་པ་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་ག་ལ་བ་དང་། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་དོང་སྟེ་ལྷགས་ནས། ||| In this way arrived innumerably and unfathomably many bodhisattva great beings, all held back by just a single birth. They came from the buddha realms of thus-gone ones, worthy ones, perfect buddhas such as Great Eye, Supreme Splendor, Source of Lotus Splendor, Lion Glory , Siddhārtha, Śrīgupta, Lion Jaws, Supra­tiṣṭhita­rāja, Brahmā Mountain, Viśuddhanetra, Amogha­pada­vikrāmin, Gandhahastī, Incense Splendor, Incense Mountain, Limitless Eyes, Gandhakūṭa, Jewel Mountain, Supratiṣṭhita , Supra­tiṣṭhita­rāja, King of Sal Trees, Holder of the Luminous Sphere, Ulkā, Ulkāpradīpa, Armor of Perfect Analysis, Siṃha, Leader of Beings, and King of Supreme Stable Presence. Arriving in the world of Enduring from such innumerable and unfathomable buddha realms, they proceeded to the Kalandaka­nivāpa in the Veṇuvana by Rājagṛha and the place where the Blessed One was residing.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ།། །། ||| There they bowed their heads to the Blessed One’s feet and sat to one side.
དེའི་ཚེ་སྟེང་གི་ཕྱོགས་སུ་འཇིག་རྟེན་གྱི་ཁམས་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཙན་དན་སྤོས་ཀྱི་འོད་ཅེས་བྱ་བ་ཡོད་དེ། ||| At that time there was in the direction above, beyond innumerable and unfathomable universes, a universe known as Light of Sandalwood Incense .
དེ་ན་དེ་བཞིན་གཤེགས་པ་ཡུལ་མཐའ་ཡས་པར་མངོན་པར་འཕགས་པའི་རྒྱལ་པོ་ཞེས་བྱ་བ་བཞུགས་ཏེ་ ||| There resided the thus-gone Superior King of the Infinite Field.
འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏེ། ||| Abiding and remaining present there, he taught the Dharma.
བཅོམ་ལྡན་འདས་དེས་བྱང་ཆུབ་སེམས་དཔའ་རྒྱལ་ཚབ་ང་རོ་དཔག་ཏུ་མེད་ཅེས་བྱ་བ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ལུང་བསྟན་ཏོ། ། ||| This blessed one had prophesied that a bodhisattva known as Unfathomable Roar would awaken to unsurpassable and perfect buddhahood.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་ང་རོ་དཔག་ཏུ་མེད་ཀྱིས་སྣང་བ་ཆེན་པོ་དེ་མཐོང་ཞིང་གསུང་བསལ་བའི་སྒྲ་དེ་ཡང་ཐོས་ནས། ||| That bodhisattva Unfathomable Roar had also noticed the great light and heard the sound of the clear voice.
དེ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཡུལ་མཐའ་ཡས་པར་མངོན་དུ་འཕགས་པའི་རྒྱལ་པོ་ག་ལ་བ་དེར་སོང་སྟེ། ཕྱིན་ནས་བཅོམ་ལྡན་འདས་དེའི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ ||| He therefore went before the thus-gone Superior King of the Infinite Field, and bowed his head to that blessed one’s feet.
གསོལ་པ། ||| He then asked,
བཅོམ་ལྡན་འདས་འོད་གདའ་བ་དེ་དང་གསུང་བསལ་བའི་སྒྲ་གྲག་པ་དེ་སུའི་ལགས། ||| “Blessed One, to whom belongs this pervasive light and clear voice?”
བཅོམ་ལྡན་འདས་དེས་བཀའ་སྩལ་པ། ||| replied the Blessed One,
རིགས་ཀྱི་བུ་འོག་གི་ཕྱོགས་སུ་འཇིག་རྟེན་གྱི་ཁམས་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་ཅེས་བྱ་བ་ཡོད་དེ ||| “Noble son,” “below this buddha realm, beyond innumerable and unfathomable universes, lies a universe known as Enduring.
དེ་ན་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པ་ཞེས་བྱ་བ་བཞུགས་ཏེ་ ||| There resides the thus-gone Śākyamuni.
འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏེ། ||| Abiding and remaining present there, he teaches the Dharma.
འཁོར་དེར་ཡང་ཆོས་མཉན་པའི་ཕྱིར། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དཔེ་མེད་པ་སེམས་པ་དག་འདུས་པར་གྱུར་ཏེ་འཁོད་དོ། ། ||| In his retinue have arrived bodhisattva great beings of incomparable intent who wish to listen to the Dharma.”
གསོལ་པ་ ||| said the bodhisattva Unfathomable Roar,
བཅོམ་ལྡན་འདས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་དེའི་ཐད་དུ་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་དེར་བདག་མཆི་བར་བགྱིའོ། ། ||| “Blessed One,” “I wish to travel to that world of Enduring, the buddha realm of the thus-gone one, the worthy one, the perfect buddha Śākyamuni.”
བཅོམ་ལྡན་འདས་དེས་བཀའ་སྩལ་པ། ||| replied the Blessed One,
རིགས་ཀྱི་བུ་དེའི་དུས་ལ་ད་བབ་པར་ཤེས་ན་སོང་ཤིག ། ||| “Noble son,” “if you know that the time has come, then leave.
ངའི་ཚིག་གིས་གནོད་པ་ཆུང་ངམ། ཉམ་ང་བ་ཉུང་ངམ། བསྐྱོད་པ་ཡང་ངམ། སྟོབས་དང་བདེ་བར་རེག་པ་ལ་གནས་སམ་ཞེས་སྙུན་ཡང་གསོལ་ཅིག ། ||| Ask that blessed one on my behalf whether he has encountered but little hardship or discomfort, and whether he remains healthy, strong, and at ease.”
