༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་པཉྩ་པཱ་ར་མི་ཏཱ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Teaching the Five Perfections The Perfection of Generosity
དེ་སྐད་ཟེར་བ་དེ་ལ་མི་དེ་ནི་མངོན་པའི་ང་རྒྱལ་གྱིས་ང་རྒྱལ་བྱེད་དེ་བླ་བར་རིག་པར་བྱའོ། ||| As soon as he says that, it is immediately obvious that he is boastful and conceited.
།ཚེ་དང་ལྡན་པ་གང་པོ་དེ་བཞིན་དུ་ཉན་ཐོས་སམ། རང་སངས་རྒྱས་གང་འདི་སྐད་དུ། བདག་གིས་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཟིལ་གྱིས་གནན་པར་བྱའོ་ཞེས་ཟེར་ན། ཚེ་དང་ལྡན་པ་གང་པོ་འདི་ལྟར་དེ་ནི་བླ་བར་རིག་པར་བྱའོ། ||| Venerable Pūrṇa, likewise, when the hearers and solitary buddhas say, ‘I will surpass the discipline of the bodhisattvas,’ it should, Venerable Pūrṇa, be understood similarly.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ནི་རྒྱ་མཚོ་དུག་ཅན་པ་དང་འདྲ་བ་ཡིན་པའི་ཕྱིར་རོ། ||| Because the bodhisattva great beings are like an ocean with its monsters.
།ཇི་ལྟར་མི་དེ་རྐང་ལག་རྣམས་མེད་བཞིན་དུ་རྒྱ་མཚོ་ལ་མཆོང་བར་འདོད་པ་དེ་བཞིན་དུ་ཉན་ཐོས་ཀྱི་ཐེག་པ་པའམ། རང་སངས་རྒྱས་ཀྱི་ཐེག་པ་པའི་གང་ཟག་བྱང་ཆུབ་སེམས་དཔའི་ཆོས་རྣམས་མེད་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཟིལ་གྱིས་ནོན་པར་འགྱུར་བ་དེ་ནི་གནས་མེད་དོ། ||| Like the person who is missing his limbs, yet wishes to jump across the ocean, so outrageous are the followers of the vehicles of the hearers and solitary buddhas who seek to surpass the discipline of the bodhisattvas while not possessing the Dharma of the bodhisattvas.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ནི་ཚུལ་ཁྲིམས་དཔག་ཏུ་མེད་པ་དང་ལྡན་པ་ཡིན་པའི་ཕྱིར་རོ། ། ||| Because bodhisattva great beings possess boundless discipline.”
སྨྲས་པ། ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ཅིའི་ཕྱིར་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཚུལ་ཁྲིམས་དཔག་ཏུ་མེད་པ་དང་ལྡན་པ་ཡིན། ||| Venerable Pūrṇa asked, “Venerable Śāradvatīputra, why is the discipline of the bodhisattvas boundless?”
སྨྲས་པ། ཚེ་དང་ལྡན་པ་གང་པོ་སེམས་ཅན་ཚུལ་ཁྲིམས་འཆལ་པ་དཔག་ཏུ་མེད་པ་དག་འཆལ་པའི་ཚུལ་ཁྲིམས་ལས་ཡོངས་སུ་དགྲོལ་བར་འདོད་པ་དང་། ཚུལ་ཁྲིམས་ལ་དགོད་པར་འདོད་པའི་ཕྱིར་རོ། ། ||| Venerable Śāradvatīputra said, “Venerable Pūrṇa, because they wish to free all the boundless beings, who practice a lapsed discipline through their mistaken ways, and establish them in proper discipline.”
སྨྲས་པ། ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་འདི་ལྟ་སྟེ། འཆལ་པའི་ཚུལ་ཁྲིམས་ཞེས་བྱ་བ་དེ་གང་གི་ཚིག་བླ་དགས། ||| Venerable Pūrṇa asked, “Venerable Śāradvatīputra, what does ‘a lapsed discipline’ refer to?”
སྨྲས་པ། འདི་ལྟ་སྟེ། འཆལ་པའི་ཚུལ་ཁྲིམས་ཞེས་བྱ་བ་ནི་ངར་འཛིན་པ་དང་། ང་ཡིར་འཛིན་པ་དང་། དམིགས་པའི་འདུ་ཤེས་དང་། སེམས་ཅན་དུ་འདུ་ཤེས་པ་དང་། སྲོག་ཏུ་འདུ་ཤེས་པ་དང་། གང་ཟག་ཏུ་འདུ་ཤེས་པ་དང་། ཡོད་པར་འདུ་ཤེས་པ་དང་། མེད་པར་འདུ་ཤེས་པའི་ཚིག་བླ་དགས་ཏེ། ||| Venerable Śāradvatīputra said, “ ‘A lapsed discipline’ refers to clinging to a self and personal belongings as well as having beliefs concerning reference points, beings, life, persons, existence, and nonexistence.
ཉོན་མོངས་པ་དེ་དག་དང་གཞན་རྣམས་ཡོད་ན་འཆལ་པའི་ཚུལ་ཁྲིམས་ཞེས་བྱ་བ་རབ་ཏུ་ཕྱེའོ། ||| Having such mental afflictions as these is said to be a lapsed discipline.
།དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སེམས་ཅན་དཔག་ཏུ་མེད་པ་རྣམས་ཚུལ་ཁྲིམས་ལ་དགོད་པར་འདོད་ཅིང་ཐེག་པ་འདི་ལ་ཞུགས་ཏེ། ||| That is why bodhisattva great beings aim to establish boundless beings in proper discipline and inspire them to enter this vehicle.
ཚུལ་ཁྲིམས་དཔག་ཏུ་མེད་པ་དང་ལྡན་པ་དེ་ནི་ཉན་ཐོས་རྣམས་སམ། རང་སངས་རྒྱས་རྣམས་ཀྱིས་ཟིལ་གྱིས་མནན་པར་སླ་བ་མ་ཡིན་ནོ། ||| Such boundless discipline is not easily surpassed by the hearers or the solitary buddhas.
།བྱང་ཆུབ་སེམས་དཔའ་ནི་འདི་ལྟ་སྟེ། ཚུལ་ཁྲིམས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་བསྔོ་བའི་ཕྱིར་མིང་ཙམ་གྱིས་ཀྱང་ཉན་ཐོས་རྣམས་དང་། རང་སངས་རྒྱས་རྣམས་ཟིལ་གྱིས་གནོན་ཏོ། ||| In fact, since the bodhisattvas dedicate the entire perfection of discipline to omniscience, even their mere names surpass the hearers and solitary buddhas.”
།སྨྲས་པ། ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ཟག་པ་དང་བཅས་པའི་ཚུལ་ཁྲིམས་ཀྱིས་ཟག་པ་མེད་པའི་ཚུལ་ཁྲིམས་ཇི་ལྟར་ཟིལ་གྱིས་གནོན་པར་འགྱུར། ||| Venerable Pūrṇa asked, “Venerable Śāradvatīputra, how is it possible for defiled discipline to surpass undefiled discipline?”
སྨྲས་པ། ཚེ་དང་ལྡན་པ་གང་པོ་འདི་ལ་ཟག་པ་མེད་པའི་ཚུལ་ཁྲིམས་ནི་བདག་ཉིད་ལ་ཕན་པའི་ཕྱིར་བསྐྱེད་པ་ཡིན་ལ། ||| Venerable Śāradvatīputra said, “Venerable Pūrṇa, in this regard, undefiled discipline is observed for the sake of one’s own personal benefit.
བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ནི་སེམས་ཅན་དཔག་ཏུ་མེད་པ་རྣམས་ཀྱི་ཆེད་དུ་ཡོངས་སུ་བསྔོས་པ་ཡིན་ཏེ། ||| The discipline of the bodhisattvas, on the other hand, is observed for the sake of boundless beings.
དེ་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱིས་ཟག་པ་མེད་པའི་ཚུལ་ཁྲིམས་ཟིལ་གྱིས་གནོན་ཏོ། ||| Therefore, the discipline of the bodhisattvas surpasses undefiled discipline.
།ཚེ་དང་ལྡན་པ་གང་པོ་གཞན་ཡང་གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཚད་ངེས་པ་ཞིག་སྒྲུབ་ཏུ་ཟིན་ན་ནི། ཟག་པ་མེད་པའི་ཚུལ་ཁྲིམས་ཀྱང་ཟིལ་གྱིས་གནོན་པར་མི་འགྱུར་ལ། ||| Venerable Pūrṇa, moreover, if the discipline of the bodhisattvas could be measured, it would not surpass undefiled discipline.
དེའི་ཚུལ་ཁྲིམས་ཀྱང་ཕ་རོལ་ཏུ་ཕྱིན་པར་མི་འགྱུར་བ་ཞིག་ན། ||| As such, that discipline would not be the perfection of discipline.
གང་གི་ཕྱིར་སེམས་ཅན་དཔག་ཏུ་མེད་པ་རྣམས་ཀྱི་ཆེད་དུ་ཡོངས་སུ་སྔོ་བ་དེའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་དེས་ཟག་པ་མེད་པའི་ཚུལ་ཁྲིམས་ཟིལ་གྱིས་གནོན་པར་འགྱུར་རོ། ||| So, it is due to the fact that merit is dedicated toward boundless beings that the discipline of the bodhisattvas surpasses undefiled discipline. “
།ཚེ་དང་ལྡན་པ་གང་པོ་དཔེར་ན་ཉི་མའི་དཀྱིལ་འཁོར་འཆར་བ་ན་སྲོག་ཆགས་ཀྱི་རིགས་སྲིན་བུ་མེ་ཁྱེར་ཐམས་ཅད་ཀྱི་འོད་ཟིལ་གྱིས་གནོན་ཏོ། ||| Venerable Pūrṇa, as an analogy, when the sun rises in the sky, it outshines the light of every fireflies.
།ཚེ་དང་ལྡན་པ་གང་པོ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་བསྔོས་པས་ཀྱང་གཞན་མུ་སྟེགས་ཅན་སྤྱོད་པ་པ་དང་། ཀུན་ཏུ་རྒྱུ་དང་། གཅེར་བུ་པ་ལ་སོགས་པ་ནས་འཕགས་པ་ཉན་ཐོས་དང་། རང་སངས་རྒྱས་ཀྱི་བར་རྣམས་ཀྱི་ཚུལ་ཁྲིམས་ཀྱི་འོད་ཀྱང་ཟིལ་གྱིས་གནོན་ཏོ། ||| Venerable Pūrṇa, in the same way, when the discipline of the bodhisattvas is dedicated toward omniscience, it outshines the light of discipline that shines from all the non-Buddhists, such as the mīmāṃsakas, the parivrājakas, and the nirgranthas, as well as the noble hearers and the solitary buddhas.
།ཚེ་དང་ལྡན་པ་གང་པོ་དཔེར་ན། ཟླ་བའི་དཀྱིལ་འཁོར་འཆར་བ་ན་སྐར་མའི་གཟུགས་ཐམས་ཅད་ཀྱི་འོད་ཟིལ་གྱིས་གནོན་ཏོ། ||| Venerable Pūrṇa, as a further analogy, when the moon rises, it eclipses the light of all the stars in the sky.
།ཚེ་དང་ལྡན་པ་གང་པོ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་བསྔོས་པས་ཀྱང་ཉན་ཐོས་དང་རང་སངས་རྒྱས་ཐམས་ཅད་ཀྱི་ཚུལ་ཁྲིམས་ཟིལ་གྱིས་གནོན་ཏོ། ||| Venerable Pūrṇa, likewise, when the discipline of the bodhisattvas is dedicated toward omniscience, it outshines the discipline of all the hearers and solitary buddhas.
།ཚེ་དང་ལྡན་པ་གང་པོ་གང་གི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་བཞིན་གཤེགས་པ་རྗེས་སུ་དྲན་ཞིང་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དང་ལྡན་པའི་སེམས་ཀྱི་ཁྱད་པར་ཡང་སྐྱེད་ན། ||| Venerable Pūrṇa, it is when bodhisattva great beings bring to mind the Thus-Gone One and engender the unique state of mind that is aimed at omniscience that they engage in the unique experience of bodhisattvas.
རང་གི་སྤྱོད་ཡུལ་ལ་སྤྱོད་པས་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་ཚུལ་ཁྲིམས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཐོབ་པ་ཡིན་པར་རིག་པར་བྱའོ། ||| That is when the bodhisattvas attain the perfection of discipline. “
།སྨྲས་པ། ཚེ་དང་ལྡན་པ་གང་པོ་གང་གི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཀྱི་སེམས་མི་སྐྱེད་པ་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་ལ་ཇི་སྐད་ཅེས་བྱ། སྨྲས་པ། ||| Venerable Pūrṇa, when bodhisattvas fail to arouse the mind set upon omniscience, what should they be called?
ཚེ་དང་ལྡན་པ་གང་པོ་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སེམས་ཀྱི་རྒྱུད་ལུང་དུ་མ་བསྟན་པ་ལ་གནས་པའི་ཚུལ་ཁྲིམས་དང་ལྡན་པ་ཞེས་བྱའོ། ||| Venerable Pūrṇa, those bodhisattva great beings are called ‘those who observe a discipline in which the mind is undetermined.’
།གལ་ཏེ་ཉན་ཐོས་ཉིད་དམ། རང་སངས་རྒྱས་ཉིད་དུ་ཡོངས་སུ་སྔོ་ན་ནི་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་རང་གི་སྤྱོད་ཡུལ་སྤོང་བ་ཡིན་ནོ། ||| By dedicating their merit toward the state of the hearers and solitary buddhas, they abandon the unique domain of the bodhisattvas.
།གལ་ཏེ་ལྷག་པའི་བསམ་པ་ཉན་ཐོས་ཀྱི་སའམ། རང་སངས་རྒྱས་ཀྱི་སར་ཡོངས་སུ་བསྔོས་པ་ཞིག་ཡིན་ན་ནི་དེ་ཙམ་གྱིས་ན་བྱང་ཆུབ་སེམས་དཔའ་རོ་དང་འདྲ་བར་རིག་པར་བྱའོ། ||| Thus, when bodhisattvas dedicate their merit with good intentions toward the levels of the hearers or solitary buddhas, that in itself makes the bodhisattvas become like corpses.
།ཚེ་དང་ལྡན་པ་གང་པོ་དཔེར་ན། སྒྱུ་མ་མཁན་ནམ། སྒྱུ་མ་མཁན་གྱི་སློབ་མ་མཁས་པས་བྱིས་པ་ཞིག་བཟུང་ལ་སྡོང་པོ་ལ་བསྐྱོན་ཏེ་བསྐྱོན་ནས་དུམ་བུར་རགས་ཏེ་ས་ལ་གཏོར་ན་བྱིས་པ་དེའི་མཛའ་བོ་དང་། ཉེ་དུ་དང་། ||| Venerable Pūrṇa, imagine if a magician, or the skilled apprentice of a magician, were to grab a child, tie it to a tree, and pretend to tear it to pieces, throwing the body parts on the ground.
སྣག་གི་གཉེན་མཚམས་གང་དག་ཡིན་པ་དེ་དག་བྱིས་པ་འདི་ནི་ཤི་སྟེ། ཕྱིན་ཅད་མི་མཐོང་ངོ་སྙམ་ནས་སྡུག་བསྔལ་བར་འགྱུར་ཏེ། སྡུག་བསྔལ་གྱི་ཕུང་པོ་ཆེན་པོ་དང་ལྡན་པར་འགྱུར་རོ། ||| In that case all the family members, kinsmen, and relatives of the child would become upset, thinking with great despair that the child had died and that they would never see it alive again.
།ཚེ་དང་ལྡན་པ་གང་པོ་དེ་ལྟར་བྱིས་པ་མ་ཤི་བ་དེ་ལ་ཤི་བའི་འདུ་ཤེས་བསྐྱེད་པ་དེ་བཞིན་དུ་ཚེ་དང་ལྡན་པ་གང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཀྱི་རིན་པོ་ཆེ་ལས་ཉམས་ཏེ། ཉན་ཐོས་ཀྱི་སའམ། རང་སངས་རྒྱས་ཀྱི་ས་ལ་གནས་པ་ཡང་ཤི་བ་ཇི་ལྟ་བ་བཞིན་དུ་རིག་པར་བྱའོ། ||| Venerable Pūrṇa, although the child had not really died, they all thought so. Likewise, Venerable Pūrṇa, in the same way one should understand that bodhisattvas who forsake the gem of omniscience are dead, even as they find themselves on the levels of the hearers or solitary buddhas.”
།དེ་ནས་ཚེ་དང་ལྡན་པ་གང་པོས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཅི་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་གང་ཡིན་པ་དང་། ཉན་ཐོས་ཀྱི་ཚུལ་ཁྲིམས་གང་ཡིན་པ་དང་། རང་སངས་རྒྱས་ཀྱི་ཚུལ་ཁྲིམས་གང་ཡིན་པའི་ཚུལ་ཁྲིམས་འདི་དག་ལ་ཐ་དད་དུ་དབྱེ་བར་འདོད་དམ། ||| Venerable Pūrṇa asked Venerable Śāradvatīputra, “Would you claim that the discipline of the bodhisattvas, the hearers, and the solitary buddhas are distinct from one another?”
སྨྲས་པ། ཚེ་དང་ལྡན་པ་གང་པོ་ཆོས་ཉིད་དང་། དེ་བཞིན་ཉིད་ཇི་ལྟ་བ་བཞིན་དུ་ན་ནི་ཐ་དད་དུ་དབྱེ་བར་ཆུང་ཟད་ཀྱང་མི་འདོད་དོ། ། ||| Venerable Śāradvatīputra said, “Venerable Pūrṇa, from the perspective of reality and suchness, I would not claim that there is any difference whatsoever between them.”
སྨྲས་པ། འོ་ན་ཇི་ལྟར་ཐ་དད་དུ་དབྱེ་བར་འདོད། ||| Venerable Pūrṇa asked, “Well then, in what way would you say that they are different?”
སྨྲས་པ། ཇི་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་བ་དེ་ལྟར་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཐ་དད་དུ་དབྱེ་བར་འདོད་དོ། ||| Venerable Śāradvatīputra said, “I will say that the discipline of the bodhisattvas is different from the others in that it causes bodhisattvas to awaken to unsurpassed and perfect buddhahood.
།དེ་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱིས་བྱིས་པ་སོ་སོའི་སྐྱེ་བོ་ཐམས་ཅད་དང་། ཉན་ཐོས་ཐམས་ཅད་དང་། རང་སངས་རྒྱས་ཐམས་ཅད་ཀྱི་ཚུལ་ཁྲིམས་ཟིལ་གྱིས་གནོན་ཏེ། ||| It is from that perspective that the discipline of the bodhisattvas surpasses the disciplines of all childish and ordinary beings, hearers, and solitary buddhas.
འདི་ལྟར་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་བསྔོ་བའི་ཕྱིར་རོ། ། ||| It is due to the fact that they dedicate merit toward omniscience.
དེ་ཅིའི་ཕྱིར་ཞེ་ན།
ཚེ་དང་ལྡན་པ་གང་པོ་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་གང་ཡིན་པ་དེས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ཟིལ་གྱིས་གནོན་ཅིང་སྤ་བཀོང་ནས་གནས་པའི་ཕྱིར་རོ། ||| Venerable Pūrṇa, it is due to the fact that the discipline of the bodhisattvas surpasses and subdues the entire great trichiliocosm.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| And why is that?
འདི་ལྟར་དེས་འདིར་སེམས་ཅན་རྣམས་གདུལ་བར་བྱ་བའི་ཕྱིར་ཏེ། ||| Because the discipline of the bodhisattvas tames beings.
ཚེ་དང་ལྡན་པ་གང་པོ་དེའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ནི་མཆོག་ཅེས་བྱ། གཙོ་བོ་དང་། རབ་མཆོག་དང་། གྱ་ནོམ་པ་དང་། བླ་ན་མེད་པ་དང་། གོང་ན་མེད་པ་ཞེས་བྱའོ། ། ||| Venerable Pūrṇa, that is why the discipline of the bodhisattvas is said to be supreme, foremost, superior, preeminent, sublime, unsurpassed, and unexcelled. “
ཚེ་དང་ལྡན་པ་གང་པོ་དཔེར་ན། རིའི་རྒྱལ་པོ་གངས་རི་ལ་རིའི་རྒྱལ་པོའི་ཡོན་ཏན་གང་དག་ཡོད་པ་དེ་དག་ནི་རི་གཞན་དག་ལ་མེད་དེ། ||| Venerable Pūrṇa, as an analogy, the properties of the Himālayas, the kings of mountains, are not shared by other mountains.
དེས་ན་རི་རྣམས་ཀྱི་ནང་ན་རིའི་རྒྱལ་པོ་ཞེས་བྱ་བའི་མིང་ཐོབ་སྟེ། རིའི་རྒྱལ་པོ་གངས་རིས་ནི། ||| That is why, among all mountains, they have received the name ‘kings of mountains.’
རིའི་རྒྱལ་པོ་གངས་རི་ཞེས་བྱ་བའི་མིང་ཐོབ་བོ། ||| It is only the Himālayas, the kings of mountains, that bear such a title.
།ཚེ་དང་ལྡན་པ་གང་པོ་དེ་བཞིན་དུ་ཉན་ཐོས་ཀྱི་ཚུལ་ཁྲིམས་དང་། རང་སངས་རྒྱས་ཀྱི་ཚུལ་ཁྲིམས་ནི་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་སྔོ་བ་དང་བྲལ་བ་ཡིན་ལ། བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ནི་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་སྔོ་བ་དང་མ་བྲལ་ཏེ། ||| Venerable Pūrṇa, likewise, the discipline of the hearers and solitary buddhas lacks any dedication of merit toward the state of omniscience, while the discipline of the bodhisattvas is always combined with the dedication of merit toward omniscience.
དེའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ནི་ཚུལ་ཁྲིམས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཞེས་བྱ་བའི་མིང་ཐོབ་བོ། ||| That is why the discipline of the bodhisattvas is called the perfection of discipline.
།ཚེ་དང་ལྡན་པ་གང་པོ་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱིས་ནི་ཉན་ཐོས་ཀྱི་ཚུལ་ཁྲིམས་དང་། རང་སངས་རྒྱས་ཀྱི་ཚུལ་ཁྲིམས་ཟིལ་གྱིས་གནོན་ཏོ། ||| Venerable Pūrṇa, moreover, the discipline of the bodhisattvas surpasses the discipline of the hearers and solitary buddhas.”
།སྨྲས་པ། ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ཅིའི་ཕྱིར་ཟིལ་གྱིས་གནོན། ||| Venerable Pūrṇa asked, “Venerable Śāradvatīputra, in what way does it surpass that?”
སྨྲས་པ། ཚེ་དང་ལྡན་པ་གང་པོ་འདི་ལྟར་གང་གི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་ཚུལ་ཁྲིམས་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་བསྔོས་པ་དེའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱིས་ཉན་ཐོས་རྣམས་ཀྱི་ཚུལ་ཁྲིམས་དང་། རང་སངས་རྒྱས་རྣམས་ཀྱི་ཚུལ་ཁྲིམས་ཟིལ་གྱིས་གནོན་ཏོ། ||| Venerable Śāradvatīputra said, “Venerable Pūrṇa, the discipline of the bodhisattvas surpasses the discipline of the hearers and solitary buddhas because the bodhisattvas dedicate all forms of discipline toward the state of omniscience.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་བཀའ་སྩལ་པ། ཤ་ར་དྭ་ཏིའི་བུ་ལེགས་སོ་ལེགས་སོ། ||| Then the Blessed One said to Venerable Śāradvatīputra, “Śāradvatīputra, excellent, excellent!
།དེ་བཞིན་གཤེགས་པ་ཁོ་ནའི་མཐུས་ཤ་ར་དྭ་ཏིའི་བུ་ཁྱོད་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ལ་བསྔགས་པ་བྱེད་པ་དང་། སྤྲོ་བ་སྨྲ་བ་ནི་ལེགས་ཏེ། ||| It is excellent that you, Śāradvatīputra, praise and uplift the bodhisattvas in this way, exclusively due to the power of the Thus-Gone One.
ཤ་ར་དྭ་ཏིའི་བུ་དེ་དེ་བཞིན་ནོ། ||| Śāradvatīputra, that is how it is.
།ཤ་ར་དྭ་ཏིའི་བུ་དེ་དེ་བཞིན་ཏེ། ||| Śāradvatīputra, so it is.
བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱིས་ཉན་ཐོས་ཀྱི་ཚུལ་ཁྲིམས་དང་། རང་སངས་རྒྱས་ཀྱི་ཚུལ་ཁྲིམས་ཟིལ་གྱིས་གནོན་ཏོ། ||| The discipline of the bodhisattvas surpasses the discipline of the hearers and the solitary buddhas.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ལ་ཚུལ་ཁྲིམས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བསྟན་པ་གནས་བརྟན་ཤ་ར་དྭ་ཏིའི་བུས་ཇི་སྐད་བཤད་པ་བཞིན་དུ་ཁྱོད་ཀྱིས་ལོང་ཤིག །ཀུན་ཆུབ་པར་གྱིས་ཤིག །ཟུང་ཤིག ། ||| Then the Blessed One said to Venerable Ānanda, “Ānanda, please adopt, understand, and remember this teaching on the perfection of discipline, just as the elder Śāradvatīputra has delivered it!
ཀུན་དགའ་བོ་གལ་ཏེ་བདེན་པ་དང་བདེན་པའི་ཚིག་གིས་བྱང་ཆུབ་སེམས་དཔའི་ཚུལ་ཁྲིམས་ཀྱིས་གཞན་མུ་སྟེགས་ཅན་དང་། བྱིས་པ་སོ་སོའི་སྐྱེ་བོ་རྣམས་དང་། ཉན་ཐོས་དང་། རང་སངས་རྒྱས་ཀྱི་བར་གྱི་ཚུལ་ཁྲིམས་ཟིལ་གྱིས་གནོན་པའི་བདེན་པ་དང་། བདེན་པའི་ཚིག་དེས། གལ་ཏེ་རིའི་རྒྱལ་པོ་རི་རབ་ཚངས་པའི་འཇིག་རྟེན་དུ་འཕངས་ཏེ། བར་དེར་འདུག་པར་བྱེད་ན་བདེན་པའི་ཚིག་གིས་འདུག་གོ། ||| Ānanda, if it is true and a true statement that the discipline of bodhisattvas surpasses the discipline of the non-Buddhists, of childish ordinary beings, of hearers, and of solitary buddhas, then by that truth and true statement, were Mount Meru the king of mountains to be hurled up into the Brahmā realm and be suspended in midair, it would stay suspended there due to that true statement.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| And why is that?
