༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་གུཔྟ་ནཱ་མ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་དཔལ་སྦས་ཞེས་བྱ་བའི་མདོ། ||| The Noble Śrīgupta Sūtra
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་བདག་གིས་ནོངས། ||| When he arrived there, he bowed at the feet of the Blessed One and said, “Blessed One, I have made a mistake!
བདེ་བར་གཤེགས་པ་བདག་གིས་ནོངས་ཏེ་སླར་འཆགས་སོ། ||| Sugata, I have made a mistake, and I confess!
།བྱིས་པ་ཇི་ལྟ་བ་དང་། རྨོངས་པ་ཇི་ལྟ་བ་དང་། མི་མཁས་པ་ཇི་ལྟ་བ་བཞིན་དུ་བདག་མི་དགེ་བའི་བཤེས་གཉེན་དང་བསྟེན་པའི་དབང་གིས་བཅོམ་ལྡན་འདས་ལ་རྣམ་པ་འདི་ལྟ་བུ་བགྱི་བར་བསམས་ན། ||| Like a deluded, ignorant fool, I followed a nonvirtuous spiritual friend, and under his influence thought to treat the Blessed One in this manner.
བཅོམ་ལྡན་འདས་བདག་ནོངས་པས་ནོངས་པ་ཅན་དུ་གཟུང་དུ་གསོལ། ||| Blessed One, since I have erred, please accept me, guilty as I am!
སླན་ཆད་ཀྱང་སྡོམ་པར་འཚལ་ལོ། ||| I commit to act differently from now on.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དེའི་ཕྱིར་ཁྱིམ་བདག་ཁྱོད་བྱིས་པ་ཇི་ལྟ་བ་དང་། རྨོངས་པ་ཇི་ལྟ་བ་དང་། མི་མཁས་པ་ཇི་ལྟ་བ་བཞིན་དུ་མི་དགེ་བའི་བཤེས་གཉེན་དང་བསྟེན་པའི་དབང་གིས་ཁྱོད་ཀྱིས་རྣམ་པ་འདི་ལྟ་བུ་འདི་བྱས་པ་ཉེས་པས་ཉེས་པ་ཅན་དུ་རྟོགས་ཤིག ། ||| The Blessed One replied, “So, householder, you must understand that you are guilty of wrongdoing for following a nonvirtuous spiritual friend, like a deluded, ignorant fool, and behaving this way under his influence.
ཁྱིམ་བདག་ཁྱོད་གང་གི་ཚེ་ཉེས་པས་ཉེས་པ་ཅན་དུ་མཐོང་ལ། ཉེས་པས་ཉེས་པ་ཅན་དུ་མཐོང་ནས་འཆགས། མཐོལ། ཕྱིན་ཆད་ཀྱང་སྡོམ་ན་དེའི་ཕྱིར་ངས་ཁྱོད་ལ་ཉེས་པས་ཉེས་པ་ཅན་དུ་བཟུང་ངོ་། ||| Householder, because you confessed and admitted it when you saw that you were guilty of wrongdoing, and commit not to do so from now on, I will accept you, culpable as you are.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན།
ཁྱིམ་བདག་ཆོས་འདུལ་བ་འདི་ལ་འདི་ནི་འཕེལ་བ་སྟེ། ||| The reason, householder, is that you will improve under the Dharma and Vinaya.
ཉེས་པས་ཉེས་པ་ཅན་དུ་མཐོང་ནས་འཆགས་ཤིང་མཐོལ་ཏེ་ཕྱིན་ཆད་ཀྱང་སྡོམ་པའོ། ||| Now that you have seen that you are guilty of wrongdoing, and confessed and admitted it, you will follow your commitment.
།ཁྱིམ་བདག་ཁྱོད་ལོངས། ||| Stand up, householder.
འདི་ལྟར་འདིར་སེམས་དད་པས་མཆོད་པ་བྱས་སོ། ||| You have now honored me with this act of pious veneration.”
།དེ་ནས་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས་མདུན་དུ་བདར་ཏོ། ||| Śrīgupta bowed at the feet of the Blessed One and venerated him.
།དེ་ནས་བཅོམ་ལྡན་འདས་སྟེང་གི་ཁང་བཟངས་ག་ལ་བ་དེར་གཤེགས་ཏེ་བྱོན་ནས་གདན་བཤམས་པ་ལ་དགེ་སློང་གི་དགེ་འདུན་དང་ཐབས་ཅིག་ཏུ་བཞུགས་སོ། ||| The Blessed One then ascended to the upper story of the house. When he arrived, he sat down on the cushions arranged there, together with the monastic community.
།དེ་ནས་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་བཅོམ་ལྡན་འདས་དང་། དགེ་སློང་གི་དགེ་འདུན་བཞུགས་པར་རིག་ནས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་པ་དང་། པུས་མོ་གཉིས་ཀའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དོ། ། ||| When the householder Śrīgupta knew that the Blessed One and his followers were seated, he approached the Blessed One, knelt on both knees, and bowed toward him with joined palms.
ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཙུན་པ་བཅོམ་ལྡན་འདས་ཆུང་ཟད་ཅིག་གཞེས་སུ་གསོལ། ||| He then said, “Noble sir, Blessed One, please accept a little something to eat.
བདག་གིས་བཅོམ་ལྡན་འདས་ཀྱི་སླད་དུ་བཤོས་གཙང་གཞན་བགྱིད་དུ་སྩལ་ཏོ། ||| I will have some other, pure food prepared.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། བཙུན་པ་བཅོམ་ལྡན་འདས་མི་དགེ་བའི་བཤེས་གཉེན་དང་བསྟེན་པའི་དབང་གིས་བདག་གིས་བཤོས་གཙང་ཅི་སྦྱར་བ་དེ་ཐམས་ཅད་ཀྱི་ནང་དུ་དུག་དྲག་པོ་སྩལ་བས། ||| The reason is, noble sir, Blessed One, under the influence of a nonvirtuous spiritual friend, I had deadly poison added to all the pure food that had been prepared.
དེས་བཅོམ་ལྡན་འདས་དང་དགེ་སློང་གི་དགེ་འདུན་ལ་ཆུང་ཟད་གནོད་པར་འགྱུར་དུ་གློ་བ་ཆུད་ལགས་སོ། ||| I realize that it will cause some harm to the Blessed One and his followers.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཁྱིམ་བདག་དེ་སྙམ་དུ་མ་སེམས་ཤིག །ཁྱིམ་བདག་ང་དུད་འགྲོའི་སྐྱེ་གནས་སུ་གྱུར་པའི་ཚེ་ཡང་ལུས་ལ་དུག་གིས་མ་ཚུགས་ན། ||| The Blessed One replied, “Householder, do not think that way. Poison could not physically affect me even when I was born as an animal;
ད་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པ་ལྟ་ལ་ཅི་སྨོས་ཏེ། ||| how much less so now that I am a completely awakened buddha?
ངའི་ལུས་ལ་དུག་གིས་ཚུགས་པར་འགྱུར་བ་འདི་ནི་གནས་མེད་དོ། ||| There is no basis for poison to physically affect me.”
།བཅོམ་ལྡན་འདས་དུད་འགྲོའི་སྐྱེ་གནས་སུ་གྱུར་པ་ན་ཇི་ལྟར་སྐུ་ལ་དུག་གིས་མ་ཚུགས་ལགས། ||| “Blessed One, when you were born as an animal, how was it that poison did not physically affect you?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཁྱིམ་བདག་སྔོན་བྱུང་བ་འདས་པའི་དུས་ན་གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱིའི་རྒྱལ་པོ་ཚངས་པས་བྱིན་ཞེས་བྱ་བ་ཕྱུག་པ། ||| The Blessed One replied, “Householder, in the past there was a king of the city of Vārāṇasī named Brahmadatta.
ནོར་ཆེ་བ། ལོངས་སྤྱོད་ཆེ་བ་ནས། བང་མཛོད་ཡོངས་སུ་གང་བའི་བར་དང་ལྡན་པ་ཞིག་བྱུང་ངོ་། ||| He was prosperous, wealthy, and affluent, with an overflowing treasury.
།ཁྱིམ་བདག་རྒྱལ་པོ་ཚངས་པས་བྱིན་ལ་བཙུན་མོ་དཔེ་མེད་ཅེས་བྱ་བ་གཟུགས་བཟང་བ། མཛེས་པ། བལྟ་ན་སྡུག་པ། ཁ་དོག་བཟང་པོ་རྒྱས་པ་མཆོག་དང་ལྡན་པ་ཞིག་ཡོད་དོ། ||| Householder, King Brahmadatta had a queen named Anupamā, who had a fine figure, was beautiful and attractive, and had a clear and hearty complexion.
།བཙུན་མོ་དཔེ་མེད་ནི་རྒྱལ་པོ་ཚངས་པས་བྱིན་ལ་སྡུག་པ། མངོས་པ། ཕངས་པ། ཡིད་དུ་འོང་བ། འདོད་པ། བལྟ་བ་དང་འཐུན་པའོ། ། ||| To King Brahmadatta, Queen Anupamā was lovely, elegant, beloved, pleasing, desirable, and agreeable to behold.
ཁྱིམ་བདག་དེའི་ཚེ་ན་རིའི་རྒྱལ་པོ་གངས་རིའི་ལྷོ་ཕྱོགས་ཀྱི་ངོས་ལ་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་ཞེས་བྱ་བ་འཁོར་ལྔ་བརྒྱ་དང་ལྡན་པ། ||| Householder, at that time, on the southern slope of the snowy king of mountains lived a peacock king named Suvarṇāvabhāsa, who had a retinue of five hundred birds.
ཡན་ལག་བཀྲ་བ། ལུས་བཀྲ་བ། རིན་པོ་ཆེའི་མཆུ་ཅན་ཞིག་གནས་ཏེ། ||| His limbs and body were brightly colored, and his beak was jeweled.
དེ་གང་དང་གང་དུ་འགྲོ་ཡང་རྨ་བྱ་དེ་དག་ཐམས་ཅད་ཀྱི་ཐོག་མ་ཉིད་ལ་འགྲོའོ། ||| Wherever he went, he ranked first among all peacocks.
།དེའི་ཚེ་དུས་གཞན་ཞིག་ན་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་ནམ་ཕྱེད་ཀྱི་དུས་ནམ་གྱི་གུང་ཐུན་ལ་གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱིའི་སྟེང་དུ་སྐད་ཕྱུང་སྟེ། སྐད་དེས་གྲོང་ཁྱེར་དེ་ཁྱབ་པར་གྲག་གོ། ། དེའི་ཚེ་རྒྱལ་པོ་ཚངས་པས་བྱིན་བཙུན་མོ་དཔེ་མེད་དང་ཁང་སྟེང་ན་འདུག་པར་གྱུར་ཏོ། ||| “On one specific occasion, the peacock king Suvarṇāvabhāsa cried out over the city of Vārāṇasī in the middle of the night and was heard across the entire city. At that time, King Brahmadatta was in Queen Anupamā’s upper chamber.
།དེ་ནས་བཙུན་མོ་དཔེ་མེད་ཀྱིས་སྒྲ་དེ་ཐོས་ནས་རྒྱལ་པོ་ཚངས་པས་བྱིན་དེ་ལ་དྲིས་པ། ལྷ་འདི་ལྟར་ཆགས་པར་བགྱིད་པ། འདི་ལྟར་འདོད་པར་བགྱིད་པ། འདི་ལྟར་དྲེགས་པར་བགྱིད་པ། འདི་ལྟར་ཞེན་པར་བགྱིད་པ། འདི་ལྟར་འཆིང་བར་བགྱིད་པ། འདི་ལྟར་དགའ་བར་བགྱིད་པ། འདི་ལྟར་རོ་མྱང་བར་འོས་པ། འདི་ལྟར་སྙན་ཅིང་ཡིད་དུ་མཆི་ལ་མཉན་པར་འོས་པའི་སྒྲ་གདའ་བ་འདི་སུའི་ལགས། ||| When Queen Anupamā heard this sound, she asked King Brahmadatta, ‘Lord, whose call is so enticing, desirable, elevating, addictive, captivating, delightful, pleasing, sweet, agreeable, and so worthy to be heard?’
རྒྱལ་པོས་སྨྲས་པ། ལྷ་མོ་ངས་ཀྱང་མ་མཐོང་སྟེ། གཏམ་དུ་ཐོས་ན་རིའི་རྒྱལ་པོ་གངས་རིའི་ལྷོ་ཕྱོགས་ཀྱི་ངོས་ལ་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་ཡན་ལག་བཀྲ་བ། ||| “The king replied, ‘Lady, though I have not seen him, I have heard it said that the peacock king Suvarṇāvabhāsa lives on the southern slope of the snowy king of mountains.
ལུས་བཀྲ་བ། རིན་པོ་ཆེའི་མཆུ་ཅན་འཁོར་ལྔ་བརྒྱ་དང་ལྡན་པ་ཞིག་གནས་ཏེ། ||| His limbs and body are brightly colored, he has a jeweled beak, and he possesses a retinue of five hundred birds.
དེ་གང་དང་གང་དུ་འགྲོ་ཡང་རྨ་བྱ་དེ་དག་ཐམས་ཅད་ཀྱི་ཐོག་མ་ཉིད་ལ་འགྲོ་སྟེ་ལྷ་མོ་དེའི་སྒྲ་ནི་འདི་ལྟར་ཆགས་པར་བྱེད་པ། འདི་ལྟར་འདོད་པར་བྱེད་པ། འདི་ལྟར་དྲེགས་པར་བྱེད་པ། འདི་ལྟར་ཞེན་པར་བྱེད་པ། འདི་ལྟར་འཆིང་བར་བྱེད་པ། འདི་ལྟར་དགའ་བར་བྱེད་པ། འདི་ལྟར་རོ་མྱང་བར་འོས་པ། འདི་ལྟར་སྙན་ཅིང་ཡིད་དུ་འོང་ལ་མཉན་པར་འོས་པར་གྲག་ཅེའོ། ||| Wherever he goes, he ranks first among all peacocks. His call is said to sound just as enticing, desirable, elevating, addictive, captivating, delightful, pleasing, sweet, agreeable, and worthy to be heard as this.’
།བཙུན་མོ་དཔེ་མེད་ཀྱིས་སྨྲས་པ། ལྷ་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་མྱུར་དུ་འདིར་བླང་བར་གསོལ། ||| “Queen Anupamā said, ‘Lord, please have Suvarṇāvabhāsa quickly brought here.’
རྒྱལ་པོ་ཚངས་པས་བྱིན་གྱིས་སྨྲས་པ། ལྷ་མོ་ནམ་མཁའ་ལ་རྒྱུ་བ་འདི་ལྟ་བུ་ངས་ཀྱང་མཐོང་བར་ག་ལ་ནུས། ||| “King Brahmadatta replied, ‘But, lady, how could I possibly find such a creature that roams through the sky?’
བཙུན་མོ་དཔེ་མེད་ཀྱིས་སྨྲས་པ། ལྷ་གལ་ཏེ་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་མ་མཐོང་དུ་ལགས་ན་བདག་འགུམ་པར་འགྱུར་རོ། ||| “Queen Anupamā answered, ‘Lord, if I cannot see Suvarṇāvabhāsa I will die!’
།རྒྱལ་པོ་ཚངས་པས་བྱིན་བཙུན་མོ་དཔེ་མེད་ལ་ཀུན་ཏུ་ཆགས་པའི་སེམས་སུ་གྱུར་ཏེ། སེམས་ཞེན་པས་རྒྱལ་པོ་ཚངས་པས་བྱིན་གྱིས་སྨྲས་པ། ལྷ་མོ་ངས་རྔོན་པ་དང་བྱ་བ་དགྱེས་རེ་ཞིག་སྡོད་ཅིག ། ||| “King Brahmadatta was enamored with Queen Anupamā, and out of affection said to her, ‘Lady, wait a little; I will dispatch hunters.’
དེ་ནས་རྒྱལ་པོ་ཚངས་པས་བྱིན་གྱིས་རྔོན་པ་དང་བྱ་བའི་མི་རྣམས་བོས་ཏེ་འདི་སྐད་སྨྲས་སོ། །མཆོག་རྣམས་རིའི་རྒྱལ་པོ་གངས་རིའི་ལྷོ་ཕྱོགས་ཀྱི་ངོས་ལ་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་ཞེས་བྱ་བ་ཡན་ལག་བཀྲ་བ། ལུས་བཀྲ་བ། གསེར་གྱི་མཆུ་ཅན་ཞིག་གནས་ཞེས་གྲག་གིས། ཁྱེད་ཀྱིས་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་བྱ་རྒྱ་དང་རྙིས་ཟུང་ལ་འདིར་འོན་ཅིག །གལ་ཏེ་འདིར་བླང་ནུས་ན་དེ་ལྟ་ན་ནི་ལེགས་སོ། །ཇི་སྟེ་མི་ནུས་ན་ཁྱེད་ཐམས་ཅད་ཀྱི་སྲོག་ཡལ་ལོ། ||| “King Brahmadatta then summoned the hunters and said to them, ‘Gentlemen, it is said that on the southern slope of the snowy king of mountains dwells a peacock king named Suvarṇāvabhāsa, whose limbs and body are brightly colored, and who has a jeweled beak. Catch Suvarṇāvabhāsa with nets and traps, and return home with the peacock king. If you manage to bring him home, all will be well. If you fail to do this, you will all lose your lives.’
།དེ་ནས་རྔོན་པ་དང་བྱ་པའི་མི་རྣམས་སྲོག་གིས་འཇིགས་སྐྲག །འཆི་བས་འཇིགས་སྐྲག་སྟེ། ||| “Since they were all afraid of dying, the hunters feared for their lives.
བྱ་རྒྱ་དང་རྙི་རྣམས་ཐོགས་ནས་རིའི་རྒྱལ་པོ་གངས་རིའི་ལྷོ་ཕྱོགས་ཀྱི་ངོས་ག་ལ་བ་དེར་སོང་ནས་ཕྱིན་པ་དང་། རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་གང་ན་གནས་པའི་ཕྱོགས་དེར་རྒྱ་བྲེས་རྙི་བཙུགས་པ་དང་། རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་དེ་གང་དང་གང་དུ་ལྟ་བ་དེ་དང་དེར་རྒྱ་རལ་རྙི་ཆད་དེ། ||| They took their nets and traps and went to the southern slope of the snowy king of mountains. Upon arriving, they spread out their nets and laid their traps in the area where the peacock king Suvarṇāvabhāsa lived, but the nets would tear and the traps would spring whenever Suvarṇāvabhāsa looked at them.
ཕྱོགས་དེར་ཞག་བདུན་གྱི་བར་དུ་ཤ་ཐང་ཡང་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་དེ་བྱ་རྒྱ་དང་རྙིས་གཟུང་བར་མ་ནུས་པ་དང་། རྨ་བྱའི་རྒྱལ་པོ་དེས་སྙིང་རྗེ་ཉེ་བར་བཞག་ནས་རྔོན་པ་དང་བྱ་པ་རྣམས་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ||| Despite exhausting themselves for seven days in that area, they were not able to catch the peacock king Suvarṇāvabhāsa in their nets and traps. Then the peacock king was touched with compassion and said to the hunters,
།ཞོ་ཤས་འཚོ་བ་ཁྱེད་རྣམས་ཅིའི་ཕྱིར་ཕྱོགས་འདི་ན་ཤ་ཐང་ཞིང་འཁོད། ||| ‘Laborers, why are you here, exhausting yourselves?’
དེ་དག་གིས་སྨྲས་པ། རྨ་བྱའི་རྒྱལ་པོ་ཤེས་པར་གྱིས་ཤིག །རྒྱལ་པོ་ཚངས་པས་བྱིན་དེས་བསྒོ་བ། ||| “They replied, ‘Peacock king, please understand that King Brahmadatta commanded us.
མཆོག་རྣམས་ཤེས་པར་གྱིས་ཤིག །རིའི་རྒྱལ་པོ་གངས་རིའི་ལྷོ་ཕྱོགས་ཀྱི་ངོས་ལ་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་ཞེས་བྱ་བ་ཡན་ལག་བཀྲ་བ། ལུས་བཀྲ་བ། རིན་པོ་ཆེའི་མཆུ་ཅན། འཁོར་ལྔ་བརྒྱ་དང་ལྡན་པ་ཞིག་གནས་ཀྱིས། ||| Please understand that he said, “Gentlemen, you should know that on the southern slope of the snowy king of mountains dwells a peacock king named Suvarṇāvabhāsa, whose limbs and body are brightly colored, who has a jeweled beak, and who possesses a retinue of five hundred birds.
དེ་ཁྱེད་ཀྱིས་བྱ་རྒྱ་དང་རྙིས་ཟུང་ལ་འདིར་འོན་ཅིག །གལ་ཏེ་འདིར་བླང་བར་ནུས་ན་ནི་ཤིན་ཏུ་ལེགས་སོ། ||| Catch Suvarṇāvabhāsa with nets and traps and return home with the peacock king. If you manage to bring him home, all will be well.
།ཇི་སྟེ་མ་ནུས་ན་ཁྱེད་ཐམས་ཅད་ཀྱི་སྲོག་ཡལ་ལོ། །ཞེས་བསྒོ་སྟེ། བདག་ཅག་སྲོག་གིས་འཇིགས་སྐྲག་ནས་ཁྱོད་ཀྱི་ཕྱིར་འདི་ལྟ་བུར་འབད་པར་བྱེད་དོ། ||| If you fail to do this, you will all lose your lives.” It is out of fear for our lives that we are struggling like this.’
།རྨ་བྱའི་རྒྱལ་པོ་དེས་སྨྲས་པ། ཞོ་ཤས་འཚོ་བ་དག་ཁྱེད་ཀྱིས་རྙི་དང་བྱ་རྒྱས་ང་གཟུང་བ་ནི་མི་ནུས་སོ། ||| “The peacock king replied, ‘Laborers, you cannot catch me with nets and traps.
།ཞོ་ཤས་འཚོ་བ་དག་གལ་ཏེ་རྒྱལ་པོ་ཚངས་པས་བྱིན་ང་བལྟ་བར་འདོད་ན་གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱིའི་ནང་ཤིན་ཏུ་ཕྱག་དར་བྱོས་ཏེ། སྤོས་ཆུས་ཆག་ཆག་ཐོབ་ལ་མེ་ཏོག་སིལ་མ་ཁྲོམ་སྟེ། གདུགས་དང་བ་དན་བྲེས་ཤིག ། ||| Laborers, if King Brahmadatta wishes to see me, let him sweep the city of Vārāṇasī clean, sprinkle scented water, scatter flower petals, hang parasols and pennants, raise banners, burn incense in censers, and prepare a chariot adorned with the seven jewels.
རྒྱལ་མཚན་སྒྲེང་ལ། པོག་ཕོར་ནས་བདུག་པས་བདུགས་ལ་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་ཤིང་རྟ་གྱིས་ཏེ། ཞག་བདུན་གྱི་ཉིན་པར་དཔུང་གི་ཚོགས་ཡན་ལག་བཞི་པ་དང་ལྷན་ཅིག་ཏུ་འདིར་ཤོག་ཤིག་དང་། ང་ཉིད་དེར་འགྲོ་བར་བྱའོ། ||| King Brahmadatta should come here seven days from now in the company of the four divisions of his army, and I will go to Vārāṇasī myself.
།དེ་ལྟར་བྱའོ་ཞེས་ཏེ། ||| This is what should be done.’
རྔོན་པ་དང་བྱ་པའི་མི་དག་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བའི་ལྟར་མཉན་ནས་མཐར་གྱིས་གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱི་དེར་རྒྱལ་པོ་ཚངས་པས་བྱིན་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་རྒྱལ་པོ་ཚངས་པས་བྱིན་ལ་འདི་སྐད་སྨྲས་སོ། ||| “After the hunters had listened to the peacock king Suvarṇāvabhāsa, they made their way to the city of Vārāṇasī and into the presence of King Brahmadatta.
།ལྷ་མཁྱེན་པར་མཛད་དུ་གསོལ། བདག་ཅག་འདི་ནས་བྱ་རྒྱ་དང་རྙི་ཐོགས་ཏེ་རིའི་རྒྱལ་པོ་གངས་རིའི་ལྷོ་ཕྱོགས་ཀྱི་ངོས་ག་ལ་བ་དེར་མཆིས་པ་དང་། ཕྱོགས་གང་ན་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་གནས་པའི་ཕྱོགས་དེར་རྙི་བཙུགས། རྒྱ་བྲེས་ན། ||| They said, ‘Lord, may it please you to know that we took our nets and traps to the southern slope of the snowy king of mountains and set them out in the area where the peacock king Suvarṇāvabhāsa lives.
རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་གང་དང་གང་དུ་ལྟ་བ་དེ་དང་དེར་རྒྱ་རལ་རྙི་ཆད་དེ། ||| But whenever Suvarṇāvabhāsa looked at them, the nets tore and the traps were sprung.
བདག་ཅག་ཕྱོགས་དེ་ན་དགུང་བདུན་གྱི་བར་དུ་ཤ་ཐང་ཡང་རྨ་བྱའི་རྒྱལ་པོ་དེ་རྒྱ་དང་རྙིས་བཟུང་བའི་རྔོ་མ་ཐོགས་པ་དང་། ||| Despite exhausting ourselves in that area for seven nights, we were not able to catch the peacock king with our nets and traps.
རྨ་བྱའི་རྒྱལ་པོ་དེས་སྙིང་རྗེ་ཉེ་བར་བཞག་སྟེ་བདག་ཅག་ལ་འདི་སྐད་ཅེས་མཆིའོ། །ཀྱེ་མི་དག་ཅིའི་ཕྱིར་ཕྱོགས་འདི་ན་ཤ་ཐང་ཞིང་འཁོད། བདག་ཅག་གིས་སྨྲས་པ། རྨ་བྱའི་རྒྱལ་པོ་ཤེས་པར་གྱིས་ཤིག །རྒྱལ་པོ་ཚངས་པས་བྱིན་གྱིས་བདག་ཅག་ལ་བསྒོ་བ། རིའི་རྒྱལ་པོ་གངས་རིའི་ལྷོ་ཕྱོགས་ཀྱི་ངོས་ལ་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་ཞེས་བྱ་བ་ཡན་ལག་བཀྲ་བ། ལུས་བཀྲ་བ། རིན་པོ་ཆེའི་མཆུ་ཅན་འཁོར་ལྔ་བརྒྱ་དང་ལྡན་པ་དེ་གང་དང་གང་དུ་འགྲོ་བར་རྨ་བྱ་དེ་དག་ཐམས་ཅད་ཀྱི་དང་པོ་ལ་འགྲོ་བ་ཞིག་གནས་ཞེས་གྲག་གིས། ||| The peacock king was touched with compassion and said to us, “Laborers, why are you here, exhausting yourselves?” We replied, “Peacock king, please understand that King Brahmadatta commanded us, ‘On the southern slope of the snowy king of mountains is said to dwell a peacock king named Suvarṇāvabhāsa, whose limbs and body are brightly colored, who has a jeweled beak, and who possesses a retinue of five hundred birds. Wherever he goes, he ranks first among all peacocks.
ཁྱེད་ཀྱིས་བྱ་རྒྱ་དང་རྙིས་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་ཟུང་ལ་འོན་ཅིག །གལ་ཏེ་རྨ་བྱའི་རྒྱལ་པོ་དེ་འདིར་བླང་ནུས་ན་དེ་ལྟ་ན་ནི་ལེགས་སོ། ||| Catch the peacock king Suvarṇāvabhāsa with your nets and traps and bring him home. If you manage to bring him home, all will be well.
།ཇི་སྟེ་མ་ནུས་ན་ཁྱེད་ཐམས་ཅད་ཀྱི་སྲོག་ཡལ་ལོ་ཞེས་བསྒོ་སྟེ། བདག་ཅག་སྲོག་གིས་འཇིགས་སྐྲག །འཆི་བས་འཇིགས་སྐྲག་ནས་ཁྱོད་ཀྱི་ཕྱིར་འདི་ལྟར་འབད་པར་བྱེད་དོ། ། ||| If you fail to do this, you will all lose your lives.’ Since we are afraid to die, it is out of fear for our lives that we are struggling like this.”
དེས་སྨྲས་པ། ཀྱེ་ཞོ་ཤས་འཚོ་བ་དག་ཁྱེད་ཀྱིས་བྱ་རྒྱ་དང་རྙིས་བཟུང་བར་ནི་མི་ནུས་སོ། ||| Suvarṇāvabhāsa replied, “Laborers, you cannot catch me with nets and traps.
།ཞོ་ཤས་འཚོ་བ་དག་གལ་ཏེ་རྒྱལ་པོ་ཚངས་པས་བྱིན་ང་མཐོང་བར་འདོད་ན་གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱིའི་ནང་ཤིན་ཏུ་ཕྱག་དར་བྱོས་ཏེ། སྤོས་ཆུས་ཆག་ཆག་ཐོབ་ལ་མེ་ཏོག་སིལ་མ་ཁྲོམ་སྟེ། གདུགས་དང་བ་དན་བྲེས་ཤིག ། ||| Laborers, if King Brahmadatta wishes to see me, let him sweep the city of Vārāṇasī clean, sprinkle scented water, scatter flower petals, hang parasols and pennants, raise banners, burn incense in censers, and prepare a chariot adorned with the seven jewels.
རྒྱལ་མཚན་སྒྲེང་ལ། པོག་ཕོར་ནས་བདུག་པས་བདུགས་ལ་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་ཤིང་རྟ་གྱིས་ཏེ། ཞག་བདུན་གྱི་ཉིན་པར་དཔུང་གི་ཚོགས་ཡན་ལག་བཞི་པ་དང་ལྷན་ཅིག་ཏུ་འདིར་ཤོག་ཤིག་དང་། ང་ཉིད་དེར་འགྲོ་བར་བྱའོ་ཞེས་མཆིའོ། ||| King Brahmadatta should come here seven days from now in the company of the four divisions of his army, and I will go myself. This is what should be done.” ’
