༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སཱུརྱ་གརྦྷ་ནཱ་མ་མ་ཧཱ་བཻ་བུ་ལྱཾ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་སྡེ་ཉི་མའི་སྙིང་པོ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Very Extensive Sūtra The Quintessence of the Sun
ཏད་ཡ་ཐཱ། ཤ་ན་ཤ་ར། ཤ་མ་ན་ཤ་བ། ཨ་པཀྵ་བ་ཤ །ཙཀྵུ་བྷ་བ་ཤ་བ། ཤོ་ཏྲ་ཤ་བ། གྷྲཱ་ཎ་ཤ་བ། ཛི་ཧྭ་ཤ་བ། ཀཱ་ཡ་ཤ་བ། མ་ནཱ་ཤ་བ། ཀྵ་ཏི་བིདྱ་ཙཀྵུ་པྲྀ་ཐབཱི་ཀྵ་བྷ། ཤྲོ་ཏྲ་ཨ་བ་ཀྵ་བྷ། ཛི་ཧྭ་བཱ་ཡུ་ཀྵ་བྷ། མ་ན་ཨོ་ཛ་ཀྵ་བྷ། ཨཱ་ལོ་ཀ་ཛྙཱ་ན་ཀྵ་བྷ། བཱི་ཛ་སང་གྲ་མ་ཀྵ་བྷ། ཨང་ཀུ་ར་ཁ་གྷ་ཀྵ་བྷ། ཤ་མ་ཀ་རུ་ཀྵ་བྷ། ཀྵ་ཡ་རཱ་ས་ཀྵ་བྷ། ཤཱན་ཏི་བྱ་སྲ་ཀྵ་བྷ། ན་ཏོ་ན་ཏཻ་ན་ཏོ་ན་ཨ་བ་ནྱེ་ར་ཏོ་ན། ན་ཡཱ་བ་ན་ཡི་ན་ཏོ་ན་ཨེ་ཥ་ཨན་ཏ་དུཿཁ་སྱ་སྭཱ་ཧཱ། ||| tadyathā: śanaśara śamanaśava apakṣavaśa cakṣubhavaśava śotraśava ghrāṇaśava jihvaśava kāyaśava manāśava kṣatividyacakṣupṛthavīkṣabha śrotra avakṣabha jihvavāyukṣabha manojakṣabha ālokajñānakṣabha vījasaṅgramakṣabha aṅkurakhaghakṣabha śamkarukṣabha kṣayarāsakṣabha śāntivyasrakṣabha natonatainatona avanyeratona nayāvanayinatoneṣa antaduḥkhasya svāhā.
བཙུན་པ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཡེ་ཤེས་དཔལ་བརྩེགས་རྒྱལ་པོ་དེས་སྨོན་པ་མེད་པའི་རྗེས་སུ་འཐུན་པའི་གཟུགས་སྔགས་བསྐུར་བ་ནི་འདི་ལགས་སོ། ||| “Blessed One, this is the dhāraṇī mantra that accords with the absence of wishes conferred by the thus-gone Royal Mass of Glorious Wisdom.”
།བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་ལེགས་སོ་ཞེས་བྱ་བ་གནང་ངོ་། །བསམ་གཏན་དང་ལྡན་པ་རྣམས་མ་གཏོགས་པ་སངས་རྒྱས་ཀྱི་ཞིང་མི་མཇེད་ཀྱི་ནང་དུ་གཏོགས་པའི་སེམས་ཅན་ཐམས་ཅད་དང་ལྡན་པ་རྣམས་ཀྱིས་ཀྱང་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ནོ། ||| The blessed Śākyamuni expressed his approval, as did all the sentient beings present within the buddha realm of Sahā—except for those who were absorbed in concentration.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྣང་བའི་སྙིང་པོའི་དཔལ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །རིགས་ཀྱི་བུ་ང་སྟན་འདི་ཉིད་ལ་བཞུགས་བཞིན་སེམས་ཅན་རྣམས་ལ་དོན་བཟང་པོ། ཚིག་འབྲུ་བཟང་པོ་ལྷག་ཆད་མེད་པ། སྨོན་པ་མེད་པ་དང་རྗེས་སུ་འཐུན་པའི་གཟུངས་སྔགས་འདི་རྒྱ་ཆེར་སྟོན་པར་མཛད་དོ། ||| Then the Blessed One said to the bodhisattva great being Glorious Essence of Light, “Noble son, while sitting here on this seat, I shall teach extensively to sentient beings, with excellent meaning and words and without adding or omitting anything, this dhāraṇī mantra that accords with emptiness.
།རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་ཡེ་ཤེས་དཔལ་བརྩེགས་རྒྱལ་པོས་གང་ཁྱོད་ལ་འདིར་འོང་བའི་ཚེ་བྱིན་པ་རིག་སྔགས་ཀྱི་རྟེན་གྱི་ལུང་བསྟན་པ་དེ་ཁྱོད་ཀྱིས་ཀྱང་སྟོན་ཅིག །ལུང་བསྟན་པ་དེས་ནི་འདིར་སེམས་ཅན་རྣམས་ཀྱི་སྲེད་པ་ཆུང་ངུ་དང་། འབྲིང་དང་། ཆེན་པོའི་ཉོན་མོངས་པ་སྲིད་པའི་རྒྱུ་རྣམས་རབ་ཏུ་ཞི་བར་འགྱུར་རོ། ||| Noble son, please reveal also the teaching of the fundamental vidyā mantra that the thus-gone Royal Mass of Glorious Wisdom gave to protect you before you came here.
།དེ་བཞིན་དུ་གཟུགས་དང་གཟུགས་མེད་པའི་ཉོན་མོངས་པ་སྲིད་པའི་རྒྱུ་རྣམས་ཞི་བར་འགྱུར་རོ། །བསྐལ་པ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ཀྱང་བསྙིལ་བར་འགྱུར་རོ། ||| That teaching completely pacifies and pulverizes the causes of saṃsāra—sentient beings’ lesser, moderate, and intense cravings as well as their afflictions associated with the form and the formless realms—accumulated for eons as numerous as the grains of sand in the Ganges.
།ལས་འབྱང་བ་དང་། དགེ་བའི་ཕྱོགས་ཐམས་ཅད་ཡོངས་སུ་རྫོགས་པའི་བར་དུ་ཡང་འགྱུར་རོ། །བཙུན་པ་བཅོམ་ལྡན་འདས་དེ་བཞིན་ཏེ་བསྟན་པར་བགྱི་ལགས་སོ། ། ||| It cleanses their karmic actions, and it perfects all their virtues.” “Respected Blessed One, I shall do so:
ཏད་ཡ་ཐཱ། བེ་ག་པ་རི་ཙྪེ་ད། གརྦྷ་ས་ཀྵ་སེ། གརྦྷ་རེ་བིདྱཱ་པྲ་བྷ་ག་ཀྵེ་ཀྵ་ཡ། ཡོ་གེ་པྲ་ཏི་ཧ་རེ་ཤ་མན་ན་སི་ཀ་ཐེ། ས་མ་མེ་གྷ་ཛྷ་ཥེ། ཨ་ཀྵ་ཡ། ན་ཏེ་ཀྵ་བྷ་བ་ཛེ། ནིད་དྷ་ཛྷ་ཥེ། ས་མ་ན་ཛྷ་ཥེ། ཨ་དྷྱ་ཤ་ཡ་ཛྷ་ཥེ། བི་པྲ་བྷ་ཛྷ་ཥེ། ཤཻཀྵ་ཛྙ་ཥེ། སེ་ནྱ་ཛ་བ་ཛྷ་ཥེ། ས་ལི་ལ་གུ་ཧྱ་ཛྷ་ཥེ། ས་ལི་གུ་ཧ་བྷཻ་ཀྵི་པ་ན་ཀོ་ཤེ། སཱ་དྷ་ན་ཀོ་ནོ་སི་བ་དྷ་ན་ན་ཐྱེ། བི་ཏ་པྲ་བིད་ཏེ། ཨུ་པ་ཀྲ་མ་པ་ཐེ། ཨ་ན་ཙྪེ་དྱ་པྲ་ཁེ། པྲ་ཏི་ཀྲ་མེ་ན། ས་ཀང་ཐྱ་ཤཻ་ས་ལོ་ཙ་ན་བ་མེ། ཀྲོ་དྷ་དྷ་རེ། ཀཱ་མ་ས་ཤེ། ཨཱ་ཀཱ་ཤ་ཁ་གེ་ནཱ་ག་ཀུན་ཛེ། བིདྱ་བ་ནེ། ཀླ་ན་བ་ནེ། ཨུ་ཙ་བ་ནེ། ས་མ་མ་ཀེ་རེ། ཤ་རི་ཡ་བ་ནེ། མེ་གྷ་ཛ་བེ་ཧ་རི་ཀོ་ནོ་བ། ན་ཡ་ན་མུ་ཁེ། སཱ་ར་ཀྵ་ཀོ་ལེ། ན་རཱ་ཡ་ཎ་ཙ་རེ། ཨིན་དྲ་བཱ་ས་ནེ། ཨོ་ཨ། ཨ་བ་ཨ། ཨ་རཱ་བ་ཨཱ། བ་ར་ཨ་བཱ་ར། སཱ་ར་མེ་གྷ། དུཿཁ་ན་སྟི་ར་ནི་ནིརྦཱ་ཧེ་སྭཱ་ཧཱ། ||| tadyathā: vegapariccheda garbhasakṣase garbharevidyāprabhagakṣekṣaya yogepratihareśamannasikathe samameghajhaṣe akṣaya natekṣabhavaje niddhajhaṣe samanajhaṣe adhyaśayajhaṣe viprabhajhaṣe śaikṣajhaṣe senyajavajhaṣe saliguhyajhaṣe saliguhabhaikṣivanakośe sādhanakonosivadhananathye vitapavidte upakramapathe anacchedyaprakhe pratikramena sakaṅthyaśaisalocanavame krodhadhare kāmasaśe ākāśakhagenāgakunje vidyavane klanavane ucavane samamakere śariyavane meghajaveharikonova nayanamukhe sārakṣakole narāyaṇacare indravāsane o a ava ārāva ā vara avāra sāramegha duḥkhanastiraninirvāhe svāhā.
བཙུན་པ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཡེ་ཤེས་དཔལ་བརྩེགས་རྒྱལ་པོ་དེས་བདག་ཆས་པའི་དུས་ཀྱི་ཚེ་བསྲུང་བའི་སླད་དུ་རིག་སྔགས་ཀྱི་རྟེན་གྱི་ལུང་བསྟན་པ་སྩལ་བ་ནི་འདི་ལགས་སོ། ||| “Respected Blessed One, this is the teaching of the fundamental vidyā mantra that the thus-gone Royal Mass of Glorious Wisdom conferred to protect me when I departed.”
།དེ་ནས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ལ་བཀའ་སྩལ་པ། ||| The blessed Śākyamuni then said to Venerable Śāriputra, “Śāriputra, remember this fundamental dhāraṇī mantra!
ཤ་ར་དྭ་ཏིའི་བུ་ཁྱོད་ཀྱིས་རིག་སྔགས་ཀྱི་རྟེན་གྱི་གཟུངས་སྔགས་འདི་ཟུང་ཤིག །ཤ་ར་དྭ་ཏིའི་བུ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་འཇིག་རྟེན་དུ་འབྱུང་བ་རྙེད་པར་དཀའོ། །དེ་བས་ཀྱང་རིག་སྔགས་ཀྱི་རྟེན་གྱི་གཟུང་སྔགས་འདི་ཆེས་རྙེད་པར་དཀའོ། ||| Śāriputra, it is rare for thus-gone, worthy, perfect buddhas to appear in the world, but it is much more difficult to obtain this fundamental dhāraṇī mantra.
།ཤ་ར་དྭ་ཏིའི་བུ་དེ་བཞིན་གཤེགས་པའམ་དེ་བཞིན་གཤེགས་པའི་ཉན་ཐོས་ཀྱིས་ཀྱང་རུང་བསྐལ་པ་བརྒྱས་གླིང་བཞི་པའི་འཇིག་རྟེན་གྱི་ཁམས་ཀྱི་སའི་ཁམས་ཐམས་ཅད་ཀྱི་རྡུལ་ཕྲ་རབ་རྣམས་བགྲང་བའམ་མཐའ་རྟོགས་པར་ནུས་སོ། ||| Śāriputra, the thus-gone ones or their hearers could count or evaluate the number of smallest particles in the earth element present in the world with its four continents over a hundred eons.
།རིག་སྔགས་ཀྱི་རྟེན་གྱི་གཟུངས་སྔགས་འདིའི་མཐའ་ནི་བསྐལ་པ་བརྒྱ་སྟོང་གིས་ཀྱང་བརྗོད་པར་མི་ནུས་སོ། ||| However, even if they were to try for a hundred thousand eons, they could never describe the scope of this fundamental dhāraṇī mantra.
།རིག་སྔགས་ཀྱི་རྟེན་གྱི་ལུང་བསྟན་པ་འདི་ནི་དེ་ལྟར་ཟབ་པ་ཡིན་ནོ། ||| This fundamental dhāraṇī mantra is therefore very profound.
།ཤ་ར་དྭ་ཏིའི་བུ་ཁྱོད་ཀྱིས་རིག་སྔགས་ཀྱི་རྟེན་གྱི་གཟུངས་སྔགས་འདི་ཡང་ཟུང་ཤིག །ཀུན་ཆུབ་པར་བྱོས་ཤིག །འཁོར་བཞི་པོ་དག་ལ་ཡང་རྒྱས་པར་སྟོན་ཅིག །ཡང་དག་པར་རབ་ཏུ་སྟོན་ཅིག་དང་། དེ་ཐོས་པས་ཀྱང་སེམས་ཅན་དེ་དག་གི་སྲེད་པ་ཆུང་ངུ་དང་། འབྲིང་དང་། ཆེན་པོ་སྲིད་པའི་རྒྱུ་རྣམས་དང་། གཟུགས་དང་གཟུགས་མེད་པ་ན་སྤྱོད་པའི་ཉོན་མོངས་པ་སྲིད་པའི་རྒྱུ་རྣམས་རབ་ཏུ་ཞི་བར་འགྱུར་རོ། །བསྐལ་པ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ཀྱང་རྒྱབ་ཀྱིས་ཕྱོགས་པར་འགྱུར་རོ། ||| Śāriputra, you must remember this fundamental dhāraṇī mantra. You must comprehend it and teach it on a vast scale to the four assemblies! When sentient beings hear it, the causes of saṃsāra that exist within them—their lesser, moderate, and intense cravings as well as their afflictions associated with the form and the formless realms—will be completely pacified, and they will turn their backs on them for eons as numerous as the grains of sand in the Ganges.
།བུད་མེད་མཚམས་མེད་པ་བྱེད་པའི་ལས་ཀྱི་སྒྲིབ་པ་སྲིད་པའི་རྒྱུ་རྣམས་ཟད་པར་འགྱུར་ཞིང་ལྷག་མ་མེད་པའི་བར་དུ་ཡང་འགྱུར་རོ། ||| Women’s karmic obscurations associated with the five acts of immediate retribution and their other causes of saṃsāra will be exhausted without any remainder;
།ཟག་པ་ཐམས་ཅད་ཟད་པ་དང་། བྱང་གྲོལ་གྱི་བདེ་བ་དང་ལྡན་པའི་བར་དུ་ཡང་འགྱུར་རོ། ||| all their defilements will be exhausted, and they will be endowed with the happiness of emancipation.”
།ཡང་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་རབ་ཏུ་བཏུད་ནས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་གསོལ་ཏོ། ||| At that moment, the bodhisattva great being Ākāśagarbha bowed down with his palms joined in the direction of the Blessed One and uttered these verses:
།ཁྱོད་ནི་དེད་དཔོན་གཅིག་པུ་ལགས། །ཆོས་རྣམས་ཀུན་ལ་ངེས་པ་སྟེ། ། ||| “You are the sole guide, And you have gained certainty with respect to all phenomena.
མཐོང་བའི་གུས་པ་སྐྱེས་པ་ཡིས། །བཤེས་གཉེན་དཔལ་ཡང་ཉེ་བར་འཛིན། ||| Since devotion arises in them upon seeing this, Even the glorious spiritual friends worship you.
།མེ་ཏོག་གཅིག་དང་བདུག་པ་ཡིས། །དེ་བཞིན་གཤེགས་ལ་མཆོད་བགྱིས་ན། །ཡན་ལག་ཀུན་གྱི་མཆོག་ལྡན་པའི། །བཤེས་གཉེན་སྡུག་པ་ཉེ་བར་འཛིན། ||| “You are worshiped by delightful spiritual friends Replete with the most supreme aspects. They make offerings to the Thus-Gone One By offering flowers and incense.
།ཚོགས་ནི་ཆེན་པོ་བསྡུས་པ་ཡང་། ||| “Since you have gathered this great assembly
།དུས་གཅིག་ཏུ་ནི་འདིར་མཛད་པས། ||| Instantly in this place,
།ལྷ་རྣམས་ཐམས་ཅད་བསྔགས་བགྱིད་ཅིང་། ||| All the gods are praising you,
།བཤེས་གཉེན་དཔལ་ཡང་ཉེ་བར་འཛིན། ||| And the glorious spiritual friends worship you.
།དེར་ནི་འཇིག་རྟེན་མགོན་པོ་ཡིས། ||| “O protector of the world,
།འདི་ནི་ལན་ཅིག་ཁོ་ན་བསྟན། ||| You only demonstrate this on one occasion.
།རྟག་ཏུ་ལྷ་མིན་ཤེས་རབ་ལྡན། །བཤེས་གཉེན་དཔལ་ཡང་ཉེ་བར་འཛིན། ||| The wise asuras and the glorious spiritual friends Are continuously worshiping you.
།དཔལ་གྱི་མེ་ཏོག་སྙིང་པོ་ནི། །དཔལ་རྣམས་ཀུན་གྱིས་ཀུན་ཏུ་བརྒྱན། །དེ་ཡིས་ཤཱཀྱའི་དཔལ་ཞུ་བར། །བདག་ཅག་ཕོ་ཉར་མངགས་པ་ལགས། ||| “Glorious Essence of Flowers Is adorned with all aspects of glory; He has sent us here as messengers To ask you these questions.
།བཙུན་པ་བཅོམ་ལྡན་འདས་བྱང་ཕྱོགས་ཀྱི་ཕྱོགས་ཆ་ན་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་བརྒྱད་ཅུའི་བྱེ་མ་སྙེད་འདས་ནས་སྙིགས་མ་ལྔ་དང་ལྡན་པ་དེ་ན་འཇིག་རྟེན་གྱི་ཁམས་སྤོས་ཐམས་ཅད་ཡང་དག་པར་འཕགས་པ་ཞེས་བགྱི་བ་མཆིས་སོ། །སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དཔལ་མེ་ཏོག་གི་སྙིང་པོ་ཞེས་བགྱི་བ་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ||| “Respected Blessed One, in the northern direction, beyond buddha realms as numerous as the grains of sand in eighty Ganges Rivers, in a place ripe with the five degenerations, there is a world called Manifestation of All Perfumes, where the thus-gone, worthy, perfect Buddha Glorious Essence of Flowers resides and teaches the Dharma.
།དེ་བཞིན་གཤེགས་པ་དེས་བདག་འདིར་མངགས་ལགས་ཏེ། ||| That thus-gone one has sent me here.
དེ་བཞིན་གཤེགས་པ་དེ་ཁྱོད་ཉི་མའི་སྙིང་པོའི་ཆོས་ཀྱིས་གནས་པ་ཀླུའི་ཡུལ་རྣམ་པར་འཇིག་པར་མཛད་པའི་འོད་ཟེར་གྱི་ལེའུ་སེམས་ཅན་རྣམས་ཀྱི་ལས་འབྱང་བའི་གཟུངས་སྔགས་འདི་འཆད་པ་ལ་དད་པ་སྦྱིན་པར་མཛད་ཅིང་གནོད་པ་ཆུང་ངམ། བསྐྱོད་པ་ཡང་ངམ། སྟོབས་དང་ལྡན་ནམ། ||| He puts faith in the practice of the Dharma of The Quintessence of the Sun, the section on the light rays that destroy the domain of the nāgas, the dhāraṇī mantra expounded by you that cleanses the karmic actions of sentient beings. He enquires whether you have any ills or problems and whether you are healthy and well.
བདེ་བ་ལ་རིག་པར་གནས་སམ་ཞེས་ཀྱང་ཞུ་བར་མཛད་ལགས་ན་བཙུན་པ་བཅོམ་ལྡན་འདས་ཅི་བསྙུང་བ་མི་མངའ་ལགས་སམ། གནོད་པ་ཆུང་ལགས་སམ། ||| Respected Blessed One, are you healthy and free from ills?
ཁྱོད་ཀྱི་འཁོར་བྲོ་འཚལ་བ་མ་མཆིས་སམ། གནོད་པ་ཆུང་ལགས་སམ། ||| Are the members of your retinue comfortable and in good health?
དམ་པའི་ཆོས་ཉན་པར་འཚལ་བ་དག་ལགས་སམ། ||| Are they eager to listen to the sacred Dharma?
ཇི་ལྟར་ཆོས་རྗེས་སུ་ཐོས་པ་བཞིན་དུ་ཆོས་དེ་ལ་ནན་ཏན་སྙིང་པོར་བགྱིད་པ་དག་ལགས་སམ། ||| Do they follow the Dharma persistently in the way they hear it?
ཆོས་ཀྱིས་གནས་པས་གནས་པར་བགྱིད་པ་དག་ལགས་སམ། ||| Do they abide by the Dharma?
ཁྱོད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ན་བདུད་ཀྱི་ཡུལ་དང་། ཀླུའི་ཡུལ་བཅོམ་ལགས་སམ། ||| Are the domains of the māras and nāgas subjugated in your buddha realm?
ཁྱོད་ཀྱི་སངས་རྒྱས་ཀྱི་ཡུལ་གཅིག་པུ་ལགས་སམ། ||| Is your buddha realm unique?
འདི་ན་ཐོགས་པ་མ་མཆིས་པར་ཆོས་ཀྱི་འཁོར་ལོ་སྐོར་ལགས་སམ། ||| Are you turning the Dharma wheel without obstruction in this place?
སངས་རྒྱས་ཀྱི་ཞིང་འདི་ན་གང་སུ་དག་འཁོར་ལོ་སྐོར་བར་འགྱུར་བ་དེ་དག་གི་དོན་དུ་དེ་བཞིན་གཤེགས་པ་དཔལ་མེ་ཏོག་གི་སྙིང་པོ་ཁྱོད་དང་ཉི་མའི་སྙིང་པོའི་ཆོས་ཀྱིས་གནས་པ་ཀླུའི་ཡུལ་རྣམ་པར་འཇིག་པར་མཛད་པའི་འོད་ཟེར་གྱི་ལེའུ་སེམས་ཅན་རྣམས་ཀྱི་ལས་འབྱང་བའི་གཟུངས་སྔགས་འདི་ལ་དད་པ་སྦྱིན་པར་མཛད་ལགས་སོ། ||| For the sake of those who will turn the wheel in this buddha realm, the thus-gone Royal Mass of Glorious Wisdom puts faith in you and in the practice of the Dharma of The Quintessence of the Sun, the section on the light rays that destroy the domain of the nāgas, the dhāraṇī mantra that cleanses the karmic actions of sentient beings.
།དེ་ནས་ཞི་བ་རིག་པ་མཆིས་པའི་སྦུབས་ཞི་བའི་གཟུངས་སྔགས་མཐུ་ཆེ་བ། ཕན་ཡོན་ཆེ་བ། ||| Moreover, he also confers this powerful and beneficial dhāraṇī mantra peaceful core of knowledge.
སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པར་བགྱིད་པ། ནད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བགྱིད་པ། ཉོན་མོངས་པ་ཐམས་ཅད་འདུལ་བར་བགྱིད་པ། ||| It benefits all sentient beings, completely cures all diseases, and completely subdues all afflictions.
ཕུང་པོ་དང་སྐྱེ་མཆེད་ཐམས་ཅད་ཡོངས་སུ་ཤེས་པར་བགྱིད་པ། ཆོས་ཐམས་ཅད་རྣམ་པར་འབྱེད་པར་བགྱིད་པ། ཐབས་ཐམས་ཅད་ཡང་དག་པར་སྟོན་པར་བགྱིད་པ། བྱང་གྲོལ་གྱི་བདེ་བ་ཐམས་ཅད་ཡོངས་སུ་མྱོང་བར་བགྱིད་པ། ||| It generates complete knowledge of all the aggregates and elements, causes one to discern all phenomena, reveals all the skillful means, and causes one to experience the entirety of the happiness of emancipation.
སེམས་ཅན་ཐམས་ཅད་རབ་ཏུ་དད་པར་བགྱིད་པ། ཆོས་ཐམས་ཅད་ཀྱི་བདེ་བ་ལ་འཇུག་པར་བགྱིད་པ། བདུད་དང་ཕས་ཀྱི་རྒོལ་བ་ཐམས་ཅད་ཆོས་དང་འཐུན་པས་ཚར་གཅོད་པར་བགྱིད་པ། ||| It induces sincere faith in all sentient beings, causes one to attain happiness related to all phenomena, eradicates all māras and enemies in accordance with the Dharma, and subjugates all the domains of the māras.
བདུད་ཀྱི་ཡུལ་ཐམས་ཅད་རྣམ་པར་འཇིག་པར་བགྱིད་པ་འདི་ཡང་བསྐུར་ལགས་ཏེ། རིག་པ་མཆིས་པའི་སྦུབས་ཞི་བ་ལུང་བསྟན་པ་ཆེན་པོ་འདི་ནི་བདུད་རྣམས་ཚར་གཅོད་པར་བགྱིད་པ། ཕས་ཀྱི་རྒོལ་བ་རྣམས་ཕམ་པར་བགྱིད་པ། ||| This great teaching of the peaceful core of knowledge annihilates all māras and vanquishes enemies.
ལྷ་རྣམས་དགའ་བར་བགྱིད་པ། གནོད་སྦྱིན་རྣམས་ཡང་དག་པར་མགུ་བར་བགྱིད་པ། ལྷ་མ་ཡིན་རྣམས་རྣམ་པར་འཇོམས་པར་བགྱིད་པ། ནམ་མཁའ་ལྡིང་རྣམས་ཡང་དག་པར་མགུ་བར་བགྱིད་པ། མི་འམ་ཅི་རྣམས་དད་པར་བགྱིད་པ། ལྟོ་འཕྱེ་ཆེན་པོ་རྣམས་རྒྱབ་ཀྱིས་ཕྱོགས་པར་བགྱིད་པ། ||| It pleases the gods, delights the yakṣas, overcomes the asuras, pleases the garuḍas, generates faith in the kinnaras, and puts the mahoragas to flight.
ཕས་ཀྱི་རྒོལ་བ་རྣམས་འདུལ་བར་བགྱིད་པ། རྒྱལ་རིགས་རྣམས་མངོན་པར་དགའ་བར་བགྱིད་པ། བྲམ་ཟེ་རྣམས་འཇུག་པར་བགྱིད་པ། རྗེའུ་རིགས་རྣམས་རབ་ཏུ་འཇོམས་པར་བགྱིད་པ། དམངས་རིགས་རྣམས་མཆོག་ཏུ་དགའ་བར་བགྱིད་པ། ||| It subdues all enemies, delights the members of the kṣatriya class, induces comprehension in the brāhmaṇas, overcomes the vaiśyas, and utterly pleases the śūdras.
བུད་མེད་འདོད་ཆགས་དང་བྲལ་བར་བགྱིད་པ། བུད་མེད་སྦྲུམ་པ་བདེ་ལེགས་སུ་ཡོངས་སུ་ཐར་བར་བགྱིད་པ། མང་དུ་ཐོས་པ་རྣམས་དྲན་པར་བགྱིད་པ། རྣལ་འབྱོར་སྤྱོད་པ་རྣམས་མངོན་པར་དགའ་བར་བགྱིད་པ། ||| It frees women from their desires, easily releases pregnant women, induces recollection in the scholars, and delights the spiritual practitioners.
ནད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བགྱིད་པ། འཐབ་པ་དང་། ཐབ་མོ་དང་། མུ་གེ་དང་། མི་ངས་དང་། ནད་དང་། ཕ་རོལ་གྱི་དམག་ཚོགས་དང་། དུས་མ་ཡིན་པའི་རླུང་དང་། ཆར་པ་དང་། ཆུ་བོ་དང་། གྲང་བ་དང་། དྲོ་བ་དང་། ཁ་བ་དང་། ཚ་བ་དང་། རྩུབ་པ་དང་། ཧྲུད་ཧྲུད་པོ་དང་། འདུས་ཏེ་རེག་པར་དཀའ་བ་རྣམས་རྣམ་པར་ཞི་བར་བགྱིད་པ། ||| It completely pacifies all sicknesses, quarrels, fights, famines, epidemics, diseases, hostile armies, untimely winds, rains, rivers, cold, heat, snow, and heat waves, and it softens substances that are harsh, rough, and hard to touch.
ཆོས་ཀྱི་ཚུལ་འབར་བར་བགྱིད་པ། སངས་རྒྱས་ཀྱི་བསྟན་པ་རྟོན་པར་བགྱིད་པ། དཀོན་མཆོག་གསུམ་གྱི་གདུང་རྒྱུན་མི་འཆད་པར་བགྱིད་པ། ||| It causes the way of the Dharma to blaze, it reveals the teachings of the buddhas, and it ensures that the lineage of the Three Jewels remains uninterrupted.
འཁོར་བས་སྐྲག་པ་རྣམས་དབུགས་འབྱིན་པར་བགྱིད་པ། ཟད་པ་ཤེས་པ་སྐྱེད་པར་བགྱིད་པ། མི་སྐྱེ་བ་ཤེས་པ་རང་གི་མངོན་སུམ་དུ་བགྱིད་པ། མུན་པའི་ཕུང་པོ་རྣམ་པར་འཇིག་པར་བགྱིད་པ། སྡུག་བསྔལ་གྱི་ཁུར་འདོར་བར་བགྱིད་པ། མཐུ་ཆེ་བ་ལགས་སོ། ། ||| It provides relief to those who are afraid of saṃsāra, generates the knowledge of exhaustion, causes one to realize directly the knowledge of the unborn, overcomes all the aggregates associated with darkness, and removes the burden of suffering. It is very powerful.
