འཕགས་པ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratnajālin
མི་ཡི་དབང་པོ་འཇིག་རྟེན་མགོན། །སྐྱོབ་པ་ཡི་ནི་མཚན་ཐོས་པ། །བསྐལ་པ་ལྔ་བརྒྱ་ཐམ་པ་ཡི། །འཁོར་བ་དག་ནི་བཟློག་པར་འགྱུར། ། ||| “Hearing the name of this protector, The lord of humans, the world protector, They will eliminate five hundred eons Of cyclic existence.
འཆི་བདག་གི་དུས་ཚེ་ཡང་། །སངས་རྒྱས་བྱེ་བ་སྟོན་པར་མཛད། ། ||| “When death comes to those noble sons and daughters, Millions of buddhas will appear to them.
མཐོང་ནས་དབང་པོས་ཕྱག་འཚལ་ཏེ། །ཆོས་ཀྱང་ཉན་ཅིང་འཛིན་པར་འགྱུར། ། ||| Having seen them, paying homage with their faculties, They will listen to the Dharma and retain it.
དེ་བཞིན་གཤེགས་པའི་མཚན་ཐོས་པ། །སྤྱད་པ་དམ་པ་སྤྱོད་པ་ན། །དེ་ཡིས་བསྟན་པའི་ཆོས་གང་དག །བསྐལ་པ་བྱེ་བར་ཆུད་མི་གསོན། ། ||| “When they hear that thus-gone one’s name And engage in sacred practice, They will not waste the Dharma taught by them— Even for millions of eons.
སངས་རྒྱས་ཀྱི་ནི་མཚན་བསྒྲགས་པས། །རིན་ཆེན་ཞེས་བྱའི་ཏིང་ངེ་འཛིན། །སྟོང་ཕྲག་བདུན་ཅུ་དེ་ཚེ་འཐོབ། ། ||| “By proclaiming the name of this buddha, They will attain seventy thousand Absorptions known as precious,
ཡོན་ཏན་བྱེ་བར་སྒྲོགས་པར་འགྱུར། ། ||| And they will proclaim millions of virtues.
གང་ཞིག་ཐུབ་པའི་མཚན་འཛིན་པ། །ཏིང་འཛིན་གྲངས་མེད་བྱེ་བ་དང་། །དེ་བཞིན་ས་ཡ་དྲུག་ཅུ་དག །དེ་ལ་ཉེ་བར་གནས་པར་འགྱུར། ། ||| “Those who apprehend the name of this sage Will come to abide In countless millions Plus sixty million absorptions.
དེ་བས་མཉམ་བཞག་དཔའ་བོ་ཡིས། །བྱང་ཆུབ་སྤྱད་པ་སྤྱོད་པའི་ཚེ། །སེམས་ཅན་མང་པོ་སྟོང་རྣམས་དག །བྱང་ཆུབ་མཆོག་ལ་འཇོག་པར་བྱེད། ། ||| “Thus, when heroes of equilibrium Engage in bodhisattva conduct, They establish many thousands of beings In supreme awakening.
བྱང་ཆུབ་མ་རྫོགས་བར་དུ་ནི། །ནམ་ཡང་འདོད་ལ་མི་བསྟེན་ཏེ། ། ||| “Until reaching perfect awakening, They will not engage in desirous conduct.
སེམས་ཅན་གཞན་ཡང་སངས་རྒྱས་ཀྱི། །མཚན་བསྟན་རྣམས་ནི་ཟློག་པར་བྱེད། ། ||| The beings to whom they teach the name of this buddha Will also turn away from desire.
གང་ཞིག་སངས་རྒྱས་མཚན་ཐོས་ནས། །སྲོག་ཆགས་ཀུན་ལ་འདི་སྟོན་པ། །ནམས་ཀྱང་མི་ཁོམ་མི་འགྱུར་ཞིང་། ། ||| “Those who hear the name of this buddha And teach it to all beings Will never again enter unfree states;
དེ་ཡི་དལ་བ་རྙེད་མི་དཀའ། ། ||| It will not be hard for them to find leisure.
ཤིན་དུ་བཟུང་བ་སངས་རྒྱས་དག །འབྱུང་བ་མཉེས་པར་བྱས་པས་ནི། ། ||| “By pleasing the excellent buddhas That appear,
ང་ཡི་མི་ཁོམ་གང་བསྟེན་པ། །དེ་དག་ཐམས་ཅད་སྤང་བར་འགྱུར། ། ||| They will abandon all the unfree states That I have described.
ཇི་ལྟར་འདྲེན་པ་མཁྱེན་པ་བཞིན། །གཞོན་ནུ་གལ་ཏེ་ཁྱོད་ཤེས་ན། ། ||| “Young man, if you were to understand What the guide knows,
སྟོན་པའི་མཚན་ནི་བཟུང་ནས་སུ། །ཕྱོགས་ཀུན་ཏུ་ནི་རབ་ཏུ་སྒྲོགས། ། ||| Once you knew the name of this teacher, You would spread it throughout the ten directions.
དེ་བས་གཞོན་ནུ་གཞན་དག་ལ། །མཚན་འདི་རབ་ཏུ་བསྟན་བྱས་ན། ། ||| “Thus, young man, If you share this name with others,
ཡང་དག་བྱང་ཆུབ་འདི་བཟུང་ཞིང་། །འཇིག་རྟེན་གྱི་ནི་མགོན་དུ་འགྱུར། ། ||| You will acquire genuine awakening And become a protector of the world.
གང་ཞིག་སངས་རྒྱས་མཚན་ཐོས་ནས། །གཡེང་བ་མེད་པར་འདི་བཟུང་སྟེ། ། ||| “Those who hear this buddha’s name, Remember it without distraction,
སོང་ནས་གཞན་དག་ལ་སྟོན་པ། །དེ་ནི་བྱང་ཆུབ་མངོན་དུ་བསྲུང་། ། ||| And share it with others, Will guard their awakening.
གང་ཞིག་མདོ་སྡེ་འདི་ཐོས་ནས། །གཞན་དག་ལ་ནི་རབ་སྟོན་ན། ། ||| “Those who hear this discourse And teach it to others
ལེགས་པར་གསུངས་པའི་ཆོས་ཀྱི་ཚུལ། །བསྟན་པ་འདི་དག་སྲུང་བར་བྱེད། ། ||| Will guard these teachings Of the well-spoken Dharma way.”
གཞོན་ནུ་ནུབ་ཕྱོགས་ལོགས་ན་གཞོན་ནུ་དཔེ་སྔ་མ་ལྟ་བུ་དེ་ལས་སུམ་འགྱུར་གྱི་རྡུལ་ཕྲ་མོའི་རྡུལ་བགྲངས་པའི་ཚུལ་གྱིས་དེ་སྙེད་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་དག་འདས་པ་ན། ||| “Young man, located in the west, past worlds numbering three times the number of smallest particles in the previous analogy,
འཇིག་རྟེན་གྱི་ཁམས་རིན་ཆེན་བཀྲ་བ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| there is a world called Citraratna.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མེ་ཏོག་རྒྱས་པ་སཱ་ལའི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཞིག་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| There the thus-gone, worthy, perfect Buddha King of Blossoming Sal Tree Flowers lives. He is alive and well and teaches the Dharma.
གཞོན་ནུ་ཐེག་པ་ཆེན་པོ་ལ་ཡང་དག་པར་གནས་པའི་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཞིག་དེ་བཞིན་གཤེགས་པ་མེ་ཏོག་རྒྱས་པ་སཱ་ལའི་རྒྱལ་པོ་ཞེས་བྱ་བ་དེའི་མཚན་ཐོས་ནས་ ||| Young man, when those noble sons or daughters who abide in the Great Vehicle hear the name of the thus-gone one King of Blossoming Sal Tree Flowers—
སོམ་ཉི་མི་ཟ་ལ་ངས་མཐོང་བ་ལ་ཡང་ཡིད་ཆེས་ན་དེ་ཚེ་འདས་པའི་དུས་འོག་དུ་ཆོས་ལྔ་འཛིན་པར་འགྱུར་ཏེ ||| as long as they do not doubt this but trust in my vision—they will acquire five qualities once they have passed away.
ལྔ་གང་ཞེ་ན། ||| What are these five?
ལུས་ཞིག་ནས་སངས་རྒྱས་འབྱུང་བ་དང་། ||| When their bodies are destroyed, buddhas will appear and
དེར་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་ཉིད་དང་། མངོན་པར་ཤེས་པ་ལྔ་དང་། ཆོས་ཀྱི་རྣམ་གྲངས་ཀྱི་གཟུངས་ཏེ། དེ་ཡང་སྟོང་འཁྱིལ་བའི་གཟུངས་དང་། བྱང་ཆུབ་ཐོབ་ཀྱི་བར་དུ་སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་པོ་དེ་དག་འཐོབ་པ་སྟེ། ||| they will attain the position of a universal monarch, the five forms of miraculous abilities, the recall of Dharma teachings, the thousand-swirled dhāraṇī, and the thirty-two marks of a great being until they attain awakening.
ཆོས་ལྔ་པོ་དེ་དག་འཐོབ་པར་འགྱུར་རོ། ། ||| They will achieve these five qualities.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དོན་འདི་ཉིད་ཚིགས་སུ་བཅད་པས་བཀའ་སྩལ་པ། ||| The Blessed One then expressed the meaning of this in verse:
གང་ཞིག་མི་ཡི་ཁྱུ་མཆོག་སྐྱོབ་པའི་མཚན། །ཐོས་ནས་སོམ་ཉི་མེད་ཅིང་དད་བསྐྱེད་ནས། ། ||| “Those who hear the name of this leader of men, this protector, And are faithful, without hesitation,
དེ་ཡི་ཆོས་ལྔ་དེ་དག་འཛིན་འགྱུར་ཞིང་། །བྱང་ཆུབ་ཐོབ་པའི་བར་དུ་འཇིག་མི་འགྱུར། ། ||| Will acquire these five qualities, Which shall not be lost until they attain awakening.
གསེར་གྱི་མདོག་འདྲའི་གཟུགས་དང་ལྡན་འགྱུར་ཞིང་། ། ||| “They will gain a golden-colored appearance,
འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་དམ་མཆོག་མཁས། །བསོད་ནམས་ལྡན་པ་སྲེད་མེད་བུ་འདྲ་ཞིང་། །དམ་ཆོས་འཁོར་ལོ་བར་ཆད་མེད་པར་བསྐོར། ། ||| The supreme knowledge of a universal monarch, Merit rivaling that of Nārāyaṇa, And the unceasing turning of the wheel of the sacred Dharma.
བསོད་ནམས་ལྡན་པ་བུ་སྟོང་ཡོད་འགྱུར་ཏེ། ། ||| “They will be fortunate and have a thousand sons
དཔའ་ཞིང་རྟུལ་ཕོད་ཕ་རོལ་ཚོགས་འཇོམས་ལ། ། ||| Who are heroic and courageous, capable of defeating their opponents.
ཡན་ལག་མཆོག་གི་གཟུགས་ལྡན་མཚན་གྱིས་བརྒྱན། ། ||| Adorned with marks, their bodies will have perfect limbs.
མཐུ་སྟོབས་ཆེ་བ་རྒྱལ་པོ་གཙོ་ཉིད་འདྲ། ། ||| Therefore, their power will resemble that of a supreme ruler.
རྒྱལ་པོའི་ཆུང་མ་གཟུགས་བཟང་གཟུགས་མཛེས་པ། །གསེར་གྱི་མདོག་འདྲ་མང་པོ་སྟོང་ཡོད་འགྱུར། ། ||| “They will have many thousands of queens Who are fine and beautiful, with golden complexions.
ཕྱི་ནས་ཉལ་ཞིང་སྔར་ནི་ལྡང་བྱེད་དེ། །རྒྱལ་པོ་གཙོ་ལ་ནམས་ཀྱང་སྐྱོ་མི་བྱེད། ། ||| Going late to bed and rising early, They will never cause their supreme rulers any sorrow.
རྒྱལ་ཕྲན་གང་དག་དེ་ཡི་ཡུལ་གནས་ཤིང་། །གང་དག་བློན་པོ་ཁྱིམ་བདག་གཙོ་བོ་ཀུན། །རྒྱལ་པོ་དེ་མཐོང་ནམས་ཀྱང་སྐྱོ་མི་བྱེད། ། ||| “The vassals, ministers, and major householders Living in his realm Will never cause the king any grief when they meet.
དེ་བས་དེ་ནི་བསོད་ནམས་དམ་མཆོག་ལྡན། ། ||| Their merit will even be greater than that.
མཁས་མཆོག་ལྷ་རྣམས་ཀྱིས་ཀྱང་ཐུབ་པར་དཀའ། ། ||| “Even the crafty gods will find them difficult to match.
མི་ཡི་འཇིག་རྟེན་དག་ན་གནོད་སྦྱིན་ཀླུ། །དེ་ཡི་ཡུལ་ན་སེམས་ཅན་གང་གནས་པ། །དེ་ཡིས་ཐམས་ཅད་བྱང་ཆུབ་སྙིང་པོར་འཇོག ། ||| All the yakṣas and nāgas living in the human world And all the other beings living in his realm They will establish at the seat of awakening.
རྒྱལ་སྲིད་རྒྱས་ཤིང་ཤིན་ཏུ་ལོ་ལེགས་དང་། །དེ་ཡི་རྒྱལ་སྲིད་བདེ་ཞིང་སངས་རྒྱས་འབྱུང་། ། ||| “Their dominion will expand and the harvests grow bountiful. Their realm will be happy and buddhas will appear.
དེ་དག་ལ་ནི་མཆོད་པ་དམ་པ་བྱེད། ། ||| They will perform sacred worship of them.
རྒྱལ་པོ་བདག་ཡུལ་ནམས་ཀྱང་སྡང་སེམས་མེད། ། ||| The land of the king will be free from malice.
སངས་རྒྱས་མཚན་མཆོག་ཐོས་ནས་མཁས་པ་གང་། །སོམ་ཉི་ཟ་ཞིང་མི་དགའ་སུ་ཞིག་ཡོད། ། ||| “Even those scholars who hear the perfect name of this buddha, Yet doubt it or become displeased with it,
མདོ་སྡེ་དམ་པ་དེ་རིང་ངས་བཤད་པའི། །ཆོས་མཆོག་འདི་ཡིས་དེ་ལ་ཕན་འདོགས་འགྱུར། ། ||| Will benefit from the perfect Dharma In the sublime discourse that I have spoken today.
གཞན་དུ་གང་གིས་སྔོན་གྱི་རྒྱལ་རྣམས་ཀྱིས། །ཆོས་སྤངས་གྱུར་པའམ་བདུད་ཀྱིས་ཟིན་པའམ། །སེམས་ཅན་སྙིང་པོ་རྒྱལ་བ་མཆོག་དག་ནི། །སྔོན་ཆད་སྤྱོད་ཚེ་ཁྱད་དུ་བསད་མ་གཏོགས། ། ||| “However, this is not the case for those who abandoned the Dharma Of previous victors, or those in the grip of demons, Or those who in the past despised The essential beings, the perfect victors.
གཞོན་ནུ་གང་ཞིག་རྒྱལ་པོའི་ཕོ་བྲང་དང་། །ལིཙྪ་བཱི་བཀོད་དགའ་བ་འདི་དག་དང་། །ཤཱཀྱ་སེང་གེ་ང་ནི་མ་མཐོང་བ། །དེ་དག་སངས་རྒྱས་མཚན་ཐོས་སོམ་ཉི་ཟ། ། ||| “Young man, those who haven’t witnessed the delights Of the royal palace and this realm of the Licchavis And who haven’t seen me Will harbor doubts when they hear the name of this buddha.
གཞོན་ནུ་བྱང་ཕྱོགས་ལོགས་ན་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་གཞོན་ནུ་དཔེ་སྔ་མ་ལྟ་བུ་དེ་ལས་སུམ་འགྱུར་གྱིས་སངས་རྒྱས་ཀྱི་ཞིང་དྲུག་ཅུ་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་རིན་ཆེན་དྲ་བས་གཡོགས་པ་ཞེས་བྱ་བ་ཡོད་དེ ||| “Young man, located in the north, past sixty buddha realms reckoned as thrice the number of smallest particles in the previous analogy, there is a world called Covered with a Jewel Net.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཟླ་བའི་དཀྱིལ་འཁོར་རྣམ་དག་ཅེས་བྱ་བ་བཞུགས་ཏེ། ||| There the thus-gone, worthy, perfect Buddha Pure Moon Disk lives.
འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| He is alive and well and teaches the Dharma.
གཞོན་ནུ་ཐེག་པ་ཆེན་པོ་ལ་ཡང་དག་པར་གནས་པའི་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཞིག་དེ་བཞིན་གཤེགས་པ་ཟླ་བའི་དཀྱིལ་འཁོར་རྣམ་དག་དེའི་མཚན་ཐོས་ནས་ ||| Young man, when those noble sons or daughters who abide in the Great Vehicle hear the name of the thus-gone one Pure Moon Disk
སོམ་ཉི་མི་ཟ་ཞིང་ངས་མཐོང་བ་ལ་ཡང་ཡིད་ཆེས་ན་དེའི་ཚེ་འདས་པའི་འོག་ཏུ་རིན་ཆེན་འབྱུང་གནས་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཐོབ་པར་འགྱུར། གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ཀྱི་སངས་རྒྱས་མཐོང་བར་འགྱུར། ||| —as long as they do not doubt this but trust in my vision—they will obtain the absorption called source of jewels and behold as many buddhas as there are grains of sand in the Ganges once they have passed away.
དེ་སྙེད་ཀྱི་བསྐལ་པ་བྱེ་བར་འཁོར་བ་ལས་ཕྱིར་ཕྱོགས་པར་འགྱུར། ||| For as many millions of eons, they will turn away from cyclic existence.
ལས་དང་པོ་པའི་བྱང་ཆུབ་སེམས་དཔའ་དེ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལ་རེག་པར་འགྱུར། ||| Such beginning bodhisattvas will reach unsurpassed and perfect awakening.
དབྱངས་སྙན་ལྡན་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཀྱང་ཐོབ་པར་འགྱུར། ||| They will also attain the absorption called pleasant melody .
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་ཡང་འགྱུར་རོ། ། ||| They will not turn away from unsurpassed and perfect awakening.
བུད་མེད་གང་ལ་ལ་ཞིག་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཟླ་བའི་དཀྱིལ་འཁོར་རྣམ་དག་དེའི་མཚན་ཐོས་ནས་སོམ་ཉི་མི་ཟ་ཞིང་ཐེ་ཚོམ་མི་སྐྱེ་ལ་ངས་མཐོང་བ་ལ་ཡང་ཡིད་ཆེས་ན། ||| “Should women hear the name of the blessed thus-gone one Pure Moon Disk without feeling any hesitation or doubt and with trust in my vision,
དེ་ཚེ་འདས་པའི་འོག་ཏུ་བུད་མེད་ཀྱི་དབང་པོ་རྣམ་པར་སྤངས་པར་འགྱུར་ཞིང་སྐྱེས་པའི་དབང་པོ་འཐོབ་པར་འགྱུར། ||| they will abandon their female faculties and gain male faculties once they have passed away.
སེམས་ཅན་མང་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཡང་དག་པར་འཇོག་པར་འགྱུར། ||| They will establish many beings in unsurpassed and perfect awakening.
དབྱངས་སྙན་ལྡན་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཀྱང་ཐོབ་པར་འགྱུར། ||| They will achieve the absorption called pleasant melody .
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་ཡང་འགྱུར་རོ། ། ||| They will not turn back from unsurpassed and perfect awakening.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One then expressed this in verse:
གང་ཞིག་རྐང་གཉིས་དམ་པ་དེ་ཡི་མཚན། །ཐོས་ནས་ནམས་ཀྱང་སོམ་ཉི་མི་ཟ་བ། །བསྐལ་པ་བྱེ་བ་གང་གཱའི་བྱེ་མ་སྙེད། །དེས་སྤངས་མྱ་ངན་མེད་པའི་སྐྱེས་པར་འགྱུར། ། ||| “Those who hear the name of this sublime human And do not doubt it Will, after as many eons as there are grains of sand in the Ganges, Abandon rebirth and change to a state free from anguish.
གང་གཱའི་བྱེ་སྙེད་སངས་རྒྱས་དུ་མ་དག །མཐོང་ནས་དེ་དག་ལ་ནི་མཆོད་པར་བྱེད། ། ||| “They will behold and venerate Buddhas as numerous as the sands of the Ganges.
དེ་སྙེད་སངས་རྒྱས་དེ་ཡི་ཚེ་གཅིག་གིས། །སངས་རྒྱས་མཆོད་ནས་རྒྱལ་བ་མྱ་ངན་འདའ། ། ||| All those buddhas they will venerate In a single life, as the victors pass beyond anguish.
བྱང་ཆུབ་དམ་པ་སྤྱོད་མཆོག་སྤྱོད་པ་ན། །གང་གིས་སྐྱེས་བུ་ཁྱུ་མཆོག་མཚན་ཐོས་ནས། ། ||| “Those who hear the name of this leader of men As they engage in the perfect actions of sacred awakening
ནམས་ཀྱང་སོམ་ཉི་མེད་ཅིང་འཛིན་བྱེད་ན། །དེ་འདྲའི་ཁྱད་པར་དེ་ཡིས་འཐོབ་པར་འགྱུར། ། ||| And remember it without ever doubting it Will achieve a similar exalted state.
གང་གིས་རྐང་གཉིས་མཚན་མཆོག་གཙོ་བོ་འདི། །ཐོས་ནས་ནམས་ཀྱང་སོམ་ཉི་མི་ཟ་བ། ། ||| “Those who hear the name of this supreme human And do not doubt it at all
རང་བྱུང་ཡེ་ཤེས་སངས་རྒྱས་ཉིད་འགྱུར་ཞིང་། །མཁས་པས་དབྱངས་སྙན་ཏིང་འཛིན་ཐོབ་པར་འགྱུར། ། ||| Shall obtain self-existing wisdom, buddhahood itself, And skillfully attain the absorption called pleasant voice.
བྱང་ཆུབ་དམ་པ་སྤྱད་མཆོག་སྤྱོད་པ་ན། །དག་པའི་བདག་ཉིད་སྐྱེས་པའི་དབང་པོ་ཐོབ། ། ||| “As they engage in the perfect actions of sacred awakening, They will achieve the faculties of a pure individual.
ཡོན་ཏན་ཀུན་དང་ལྡན་ཞིང་མཛེས་པ་སྟེ། །དེ་འདྲའི་ཁྱད་པར་དེ་ཡིས་ཐོབ་པར་འགྱུར། ། ||| They will be beautiful and endowed with all qualities— Such distinctions they will attain.
ཕྱོགས་རྣམས་ཀུན་ནི་རབ་ཏུ་སྣང་བྱེད་ཅིང་། །ས་ཡ་མཐའ་ཡས་ཞིང་དུ་སོང་ནས་སུ། །འཇིག་རྟེན་སྤྱོད་པ་ཐུབ་པ་ཆེ་མཐོང་ནས། །མྱ་ངན་བྲལ་ཏེ་བྱང་ཆུབ་ཕྱིས་རིག་འགྱུར། ། ||| “They will shine in all directions And proceed to countless millions of realms. As they behold the great sage engaging with the world, They will escape anguish and later discover awakening.
ཐུབ་དབང་ཆེན་པོ་དེ་བཞིན་གཤེགས་པ་ནི། །དེ་ཡི་མཚན་འདིར་ཐོས་ནས་རྫུ་འཕྲུལ་མཆོག །དེ་འདྲའི་ཁྱད་པར་དག་ནི་ཐོབ་པར་འགྱུར། ། ||| “Having heard the name Of that great lord, that thus-gone one, They will attain such distinctions as perfect miraculous powers,
བྱང་ཆུབ་འདོད་པ་གཞན་ཡང་ཐོབ་པ་ནི། །དྲི་བྲལ་བྱང་ཆུབ་འདུན་པ་བསྐྱེད་ནས་སུ། །རྒྱལ་བའི་མཚན་འདི་གཞན་ལའང་སྒྲོགས་པར་བྱེད། ། ||| And also the desire to attain awakening. “Having developed interest in immaculate awakening, They will share the name of the victor with others.
ཟླ་བའི་དཀྱིལ་འཁོར་རབ་ཏུ་གསལ་བ་ལྟར། །དེ་ཡི་ཡོན་ཏན་དག་ཀྱང་དེ་འདྲར་འགྱུར། ། ||| They will obtain virtues similar to his— As brilliant as the full moon.
སེམས་ཅན་མང་པོ་དུ་མ་བསམ་མི་ཁྱབ། །བྱང་ཆུབ་མཆོག་ལ་མཁས་པ་དེ་ཡིས་འཇོག ། ||| “Such learned persons will establish Fathomless multitudes of beings in supreme awakening.
ཟླ་བ་མཁའ་ལ་གནས་པའི་གཞལ་མེད་ཁང་། །འོད་ཟེར་མང་པོ་བསགས་པས་མཛེས་པ་ལྟར། ། ||| Like the chariot of the moon in the sky, They will be beautiful and shine brightly.
གང་ཞིག་དེ་བཞིན་གཤེགས་པའི་མཚན་འཛིན་པ། །དེ་ཡི་ལུས་ཀྱང་དེ་འདྲའི་རྣམ་པས་མཛེས། ། ||| “Those who remember the name of this victor Will have bodies that are just as beautiful.
མཁས་པ་གང་ཞིག་རྒྱལ་བའི་མཚན་ཐོས་ནས། །སོམ་ཉི་ཟ་ཞིང་མི་དགའ་སུ་ཞིག་ཡོད། ། ||| Yet some scholars who hear the name of this victor Might doubt it, finding displeasure in it.
བྱང་ཆུབ་སྤྱད་མཆོག་དམ་པ་སྤྱོད་པ་ན། །ཆོས་འདི་དག་གིས་དེ་ལ་ཕན་འདོགས་འགྱུར། ། ||| “As they engage in the perfect actions of sacred awakening, These teachings will be helpful for them.
ཐུབ་པ་ཆེན་པོ་འཇིག་རྟེན་སྤྱོད་མཆོག་པས། །མཁས་པ་དེ་ནི་ཕོངས་པ་མྱོང་མི་འགྱུར། ། ||| Due to the supreme great sage who engages with the world, Such scholars will not come to ruin.
གཞོན་ནུ་འོག་གི་ཕྱོགས་ན་གཞོན་ནུ་དཔེ་སྔ་མ་ལྟ་བུའི་རྣམ་པ་དེ་བཞིན་དུ་དགུ་བཅུ་རྩ་དགུར་བསྒྱུར་བ་འདས་ནས་འཇིག་རྟེན་གྱི་ཁམས་རྒྱལ་མཚན་མཆོག་གི་བདག་པོ་ཞེས་བྱ་བ་ཡོད་དེ ||| “Young man, located below us, past ninety-nine times the number of particles in the previous analogy, there is a world called Lord of the Supreme Banner.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རབ་ཏུ་ཞི་བ་མཁས་པའི་གཟི་བརྗིད་དབྱངས་ཀྱི་དབང་ཕྱུག་གི་རྒྱལ་པོ་ཞེས་བྱ་བ་བཞུགས་ཏེ་ ||| There resides the thus-gone, worthy, perfect Buddha King Who Is Peaceful and Splendorous in His Learning and Rich in Melody.
འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| He is alive and well and teaches the Dharma.
གཞོན་ནུ་ཐེག་པ་ཆེན་པོ་ལ་ཡང་དག་པར་གནས་པའི་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཞིག་དེ་བཞིན་གཤེགས་པ་རབ་ཏུ་ཞི་བ་མཁས་པའི་གཟི་བརྗིད་དབྱངས་ཀྱི་དབང་ཕྱུག་གི་རྒྱལ་པོ་དེའི་མཚན་ཐོས་ནས་ ||| Young man, when those noble sons or daughters who abide in the Great Vehicle hear the name of the thus-gone one King Who is Peaceful and Splendorous in His Learning and Rich in Melody
སོམ་ཉི་མི་ཟ་ལ་ངས་མཐོང་བ་ལ་ཡང་ཡིད་ཆེས་ན་དེ་ཚེ་འདས་པའི་འོག་ཏུ་ཀུན་ནས་འོད་ཟེར་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཐོབ་པར་འགྱུར། ||| —as long as they do not doubt this but trust in my vision—they will achieve the absorption called utterly illuminating once they have passed away.
འཆི་བའི་དུས་ཀྱི་ཚེ་ཡང་སངས་རྒྱས་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་འབུམ་དུ་ཚང་བ་དག་མཐོང་བར་འགྱུར། ||| At the time of death, they will see trillions of buddhas.
ཤར་ཕྱོགས་སུ་ཇི་ལྟ་བ་བཞིན་ཕྱོགས་ཐམས་ཅད་དུ་ཡང་དེ་བཞིན་དུ་སངས་རྒྱས་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་འབུམ་དུ་ཚང་བ་དག་མཐོང་བར་འགྱུར། ||| In all directions, as in the east, they will see trillions of buddhas.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་གིས་གང་ཆོས་བསྟན་པ་དེ་དག་ཐམས་ཅད་ཀུན་དུ་འཛིན་པར་འགྱུར། ||| They will retain all the Dharma teachings given by these blessed buddhas.
བྱང་ཆུབ་ལ་ཐུག་གི་བར་དུ་སངས་རྒྱས་གྲངས་མེད་པ་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་འབུམ་རྣམས་ཀྱིས་བྱིན་གྱིས་བརླབས་པར་འགྱུར། ||| Until reaching awakening, they will be blessed by trillions of buddhas.
