འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་གཅིག་པ་སྟེ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷ་དྲ་མཱ་ཡཱ་ཀ་ར་བྱཱ་ཀ་ར་ཎ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Prophecy for Bhadra the Illusionist
དེ་ཕྱིར་ཤིན་ཏུ་མ་སྐྱེས་ཡང་དག་མིན། །དེ་དག་སྐྱེ་མེད་ཟད་ལ་གནས་པ་མེད། ། ||| “Therefore, they are wholly unborn and unreal, And being unborn, they neither abide nor pass away.
དེས་ན་བལྟར་མེད་ངོ་བོ་དེ་དག་སྣང་། །རྣམ་པར་བལྟས་ན་གནས་པ་ཡོད་མ་ཡིན། ། ||| So, though when unexamined they seem to be entities, When one looks thoroughly there is no abiding.
ཇི་ལྟར་བཟང་པོས་རྒྱལ་བ་མཐོང་བ་དང་། །ཇི་ལྟར་ཕྱོགས་སུ་མངོན་པར་སྤྲུལ་མཐོང་བ། །གང་གཞན་ཕུང་པོ་རྒྱ་ཆེན་རྟེན་སྟོབས་དང་། །ཕུང་པོ་ལྔ་པོ་འང་དེ་དང་འདྲ་བར་ལྟོས། ། ||| “Just as you, Bhadra, see the victorious ones, And just as you see these conjurations in all directions, So should you regard the five aggregates, The vast aggregates on which the foolish rely.
ཆོས་རྣམས་ཐམས་ཅད་རང་བཞིན་མེད་པ་སྟེ། །སེམས་ཅན་དང་ནི་སངས་རྒྱས་མཚན་ཉིད་མེད། ། ||| “All phenomena are without intrinsic nature, And beings are without the marks of a buddha.
མཚན་ཉིད་མེད་ལ་མཚན་དུ་འདོད་པ་དེ། །སངས་རྒྱས་ལས་ནི་ཤིན་ཏུ་རིང་བར་འགྱུར། ། ||| Those who desire marks where there are none Are a long way from buddhahood.
ཆོས་ཡོད་མ་ཡིན་ཀུན་ཏུ་རྟོག་པས་བསླད། ། ||| “Phenomena are nonexistent and arise due to conceptuality.
དངོས་པོ་མེད་པར་ཡང་ནི་བརྟེན་ནས་ཤེས། ། ||| Know also that they are insubstantial and dependent.
བྱེད་པ་མེད་ཅིང་བྱེད་པ་པོ་ལས་འདས། ། ||| They are without doing and beyond a doer.
མིང་དུ་འཛིན་པས་སྟོང་པ་རབ་ཏུ་སྟོན། ། ||| By giving names, emptiness is taught.
གང་གིས་རྒྱུ་དང་བྱེད་པོ་རྐྱེན་མིན་ཤེས། །དེས་ནི་ཆགས་བྲལ་གྱུར་པའི་ཆོས་ཀྱང་ཤེས། ། ||| “Those who know there are no causes or effectuating conditions Also know that phenomena are free of attachment.
འདོད་ཆགས་བྲལ་བའི་ཆོས་ནི་ཤེས་གྱུར་ན། །དེས་ནི་རྣམ་དག་མིག་གིས་སངས་རྒྱས་མཐོང་། ། ||| If they know that phenomena are free of desire and attachment, They see the Buddha with the eye of complete purity.”
ཡང་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་དག་བརྗོད་དེ་བསྟན་པ་ན་སྒྱུ་མ་མཁན་བཟང་པོ་ཆོས་ལ་ངེས་པར་རྟོགས་པ་དང་འཐུན་པའི་བཟོད་པ་ཆུང་ངུ་སྐྱེས་སོ། །སྲོག་ཆགས་ལྔ་སྟོང་ནི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་སེམས་སྔོན་མ་བསྐྱེད་པ་སྐྱེས་སོ། །བྱང་ཆུབ་སེམས་དཔའ་ཉིས་བརྒྱ་ནི་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པར་གྱུར་ཏོ། ། ||| When that teaching in verse had been given, Bhadra the illusionist attained the lesser acceptance that accords with certainty in the Dharma; five thousand beings engendered the mind of unsurpassed complete and perfect awakening, which until then had never occurred to them; and two hundred bodhisattvas obtained acceptance that phenomena are unborn.
དེ་ནས་ཡང་བཅོམ་ལྡན་འདས་ཀྱིས་ཞལ་ཟས་སྤྲུལ་པ་དེ་གསོལ་ནས་སྒྱུ་མ་མཁན་བཟང་པོའི་ཡོན་ཡོངས་སུ་སྦྱང་བར་བྱ་བའི་ཕྱིར་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། །གང་གིས་སྦྱིན་དང་གང་ལ་སྦྱིན། །སྦྱིན་པ་ཇི་ལྟར་མི་རྟོག་པ། །སྦྱིན་པ་མཉམ་པ་དེ་ཉིད་ནི། །བཟང་པོ་ལ་ནི་ཡོངས་རྫོགས་ཤོག ། ||| Then the Blessed One partook of the conjured food, and in order to fully purify Bhadra’s gift, he spoke this verse: “Just as no discursive distinction is made between the giver, The receiver, and what is given, May this equal act of generosity Be fully perfected for Bhadra!”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་འཁོར་གྱི་ཁྱམས་འདི་རྒྱན་གྱིས་བརྒྱན་བཞིན་དུ་དགུང་བདུན་དུ་གནས་ཤིང་མི་གདའ་བར་མི་འགྱུར་བར་བྱིན་གྱིས་བརླབ་ཏུ་གསོལ། ||| Then Venerable Ānanda said to the Blessed One, “Blessed One, please grant your blessing that this courtyard, just as it is ornamented now, remains without disappearing or fading away for seven days.”
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་འཁོར་གྱི་ཁྱམས་དེ་ཇི་ལྟར་རྒྱན་གྱིས་བརྒྱན་བཞིན་དུ་ཞག་བདུན་དུ་གནས་ཤིང་མི་སྣང་བར་མི་འགྱུར་བར་བྱིན་གྱིས་བརླབ་པ་མཛད་དོ། ། ||| The Blessed One then gave his blessing that the courtyard would remain, just as it was, and not disappear or vanish for a full seven days.
དེ་ནས་བཅོམ་ལྡན་འདས་དགེ་སློང་གི་དགེ་འདུན་དང་བཅས་ཏེ་གདན་ལས་བཞེངས་ནས་གཤེགས་སོ། ། ||| Then the Blessed One rose from his seat and departed along with the saṅgha of monks.
དེ་ནས་ཡང་བཅོམ་ལྡན་འདས་ནང་དུ་ཡང་དག་འཇོག་ལས་བཞེངས་ནས་ཆོས་བསྟན་པའི་ཕྱིར་བཞུགས་སོ། །དགེ་སློང་དེ་དག་དང་། བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་དང་། ལྷ་དང་། ཀླུ་དང་། ||| Later, when the Blessed One had arisen from his meditative composure and was seated in order to teach the Dharma, monks, bodhisattvas, gods, nāgas, yakṣas, and gandharvas approached the Blessed One to hear the Dharma.
གནོད་སྦྱིན་དང་། དྲི་ཟ་དེ་དག་ཀྱང་ཆོས་མཉན་པའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱི་ཐད་དུ་དོང་ངོ་། །དེ་ནས་སྒྱུ་མ་མཁན་བཟང་པོ་ཡང་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ནས་གུས་པ་དང་བཅས། ||| Bhadra the illusionist also came before the Blessed One, bowed to his feet, and respectfully circumambulated him three times.
ཞེ་ས་དང་བཅས་པར་ཐལ་མོ་སྦྱར་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ ། ||| With proper honors he sat down to one side with his palms together.
ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་ཀྱང་བཅོམ་ལྡན་འདས་ལ་སྒྱུ་མ་མཁན་བཟང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་ལམ་གང་ལ་ཞུགས་ན་བྱང་ཆུབ་ཀྱི་སྙིང་པོར་མཆི་བར་འགྱུར་བའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ལམ་བཤད་དུ་གསོལ། དེ་སྐད་ཅེས་གསོལ་བ་དང་། ||| Thus seated to one side, Bhadra the illusionist said to the Blessed One, “Blessed One, please explain the path of the bodhisattvas, such that anyone who enters the path of bodhisattvas proceeds to the seat of awakening.”
བཅོམ་ལྡན་འདས་ཀྱིས་སྒྱུ་མ་མཁན་བཟང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One replied to Bhadra the illusionist, “Bhadra, listen well and keep this in mind.
བཟང་པོ་དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་ངས་བཤད་དོ། ། ||| I will explain.”
སྒྱུ་མ་མཁན་བཟང་པོས་བཅོམ་ལྡན་འདས་ལེགས་སོ་ཞེས་གསོལ་ནས་བཅོམ་ལྡན་འདས་ལ་ཉན་པ་དང་། ||| Bhadra the illusionist replied, “Very well!”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| and listened as the Blessed One explained.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་ལམ་གང་ལ་ཞུགས་ན་བྱང་ཆུབ་ཀྱི་སྙིང་པོར་འགྲོ་བར་འགྱུར་བའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ལམ་ཡིན་ཏེ། ||| “Bhadra, these four constitute the path of the bodhisattvas, such that anyone who enters the path of bodhisattvas will proceed to the seat of awakening.
བཞི་གང་ཞེ་ན། ||| What are the four?
ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཀྱི་སེམས་མི་འདོར་བ་དང་། སེམས་ཅན་ཡོངས་སུ་མི་གཏོང་བ་དང་། དགེ་བའི་རྩ་བ་ཐམས་ཅད་ཚོལ་བ་ལ་ངོམས་མི་ཤེས་པ་ཉིད་དང་། དམ་པའི་ཆོས་ཡོངས་སུ་བསྲུང་བའི་ཕྱིར་བརྩོན་འགྲུས་རྩོམ་པ་སྟེ། ||| Not abandoning the mind of omniscience, not forsaking beings, being insatiable in seeking out all roots of virtue, and endeavoring to be diligent in protecting the holy Dharma.
བཟང་པོ་བཞི་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་ལམ་གང་ལ་ཞུགས་ན་བྱང་ཆུབ་ཀྱི་སྙིང་པོར་འགྲོ་བར་འགྱུར་བའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ལམ་ཡིན་ནོ། ། ||| Bhadra, these four constitute the path of bodhisattvas, such that anyone who enters the path of bodhisattvas will proceed to the seat of awakening.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྤྱོད་པ་ཡོངས་སུ་དག་པ་ཡིན་ཏེ། ||| “Bhadra, these four constitute the completely pure conduct of bodhisattvas.
བཞི་གང་ཞེ་ན། ||| What are the four?
སྡོམ་པ་གསུམ་ཡོངས་སུ་དག་པ་དང་། གནས་ཡོངས་སུ་དག་པ་དང་། ཤེས་པ་ཡོངས་སུ་དག་པ་དང་། སྐྱེ་བ་ཡོངས་སུ་དག་པ་སྟེ། ||| Purity of the three vows, purity of intention, purity of knowledge, and purity of birth.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་གང་ལ་ཉན་ཐོས་དང་། རང་སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་གཏིང་མི་དཔོགས་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཆོས་ཡིན་ཏེ། ||| “Bhadra, these four constitute the bodhisattva qualities that śrāvakas and pratyekabuddhas cannot fathom.
བཞི་གང་ཞེ་ན། ||| What are the four?
བསམ་གཏན་ཟློག་པ་དང་། སེམས་ཀྱིས་རྣམ་པར་འབྱེད་པ་དང་། སེམས་ཅན་རྣམས་ལ་སྙིང་རྗེ་ཆེ་བ་དང་། སྤོབས་པ་དང་། སྐད་སྣ་ཚོགས་པ་ཉིད་དེ། ||| Emerging from concentration, mental discernment, great compassion for beings, and inspired speech in diverse languages.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་འཕགས་པའི་སྤྱོད་པ་ཡིན་ཏེ། ||| “Bhadra, these four constitute the superior conduct of bodhisattvas.
བཞི་གང་ཞེ་ན། ||| What are the four?
དགོན་པ་ན་གནས་པ་དང་། འདུ་འཛི་ལ་མི་དགའ་བ་དང་། དེ་ན་གནས་ན་སེམས་ཅན་རྣམས་ལ་བྱམས་པ་དང་། འདུ་བྱེད་རྣམས་གང་ནས་ཀྱང་མི་འོང་། ||| Staying in remote places, not taking delight in distraction, being kind to beings when staying in such places, and knowing that all conditioned factors neither come from nor go anywhere.
གང་དུ་ཡང་མི་འགྲོ་བར་ཤེས་པ་སྟེ་བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་སྲི་ཞུ་ཆེ་ཞིང་གུས་པ་ལ་གནས་པ་ཞེས་བརྗོད་པར་བྱ་སྟེ། ||| “Bhadra, when bodhisattvas have these four qualities, they may be considered objects of great praise and respect.
བཞི་གང་ཞེ་ན། ||| What are the four?
བྱང་ཆུབ་སེམས་དཔའ་ལུས་དང་སྲོག་ལ་མི་ལྟ་བ་དང་། སེམས་རྟག་ཏུ་དགའ་བ་དང་། ང་རྒྱལ་དང་། དྲེགས་པ་སྤང་བ་དང་། ཇི་སྐད་སྨྲས་པ་དེ་བཞིན་དུ་སྒྲུབ་པ་སྟེ། ||| Bodhisattvas not being concerned with their own bodies or lives, always being joyful in spirit, abandoning pride and haughtiness, and accomplishing what they have said they will do.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་སྤྱོད་ལམ་ཕུན་སུམ་ཚོགས་པ་ཡིན་ཏེ། ||| “Bhadra, when bodhisattvas have these four qualities, their conduct is perfect.
བཞི་གང་ཞེ་ན། ||| What are the four?
དུས་ཤེས་པ་དང་། ཚོད་ཤེས་པ་དང་། རབ་ཏུ་དབེན་པ་དང་། ||| Knowing the proper time and knowing the right measure, solitude, and authenticity.
ཡང་དག་པ་ཉིད་དེ་བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་ཐེ་ཚོམ་མེད་པ་ཡིན་ཏེ། ||| “Bhadra, when bodhisattvas have these four qualities, they are without doubt.
བཞི་གང་ཞེ་ན། ||| What are the four?
འགྱོད་པ་ཀུན་ནས་ལྡང་བ་རྣམ་པར་གནོན་པ་དང་། མཁས་པ་དང་ཤེས་རབ་ཆེན་པོ་ལ་བསྙེན་བཀུར་བྱེད་པ་དང་། ཐོས་པའི་དོན་སེམས་པ་དང་། གཞན་གྱི་ཉེས་བ་མི་གླེང་ཞིང་གླེང་བ་གང་ཡིན་པ་ཡང་བྱམས་པས་གླེང་གི་སྐྱོན་གཙོར་བྱེད་པས་མ་ཡིན་པ་སྟེ། ||| Overcoming regret wherever it arises, venerating those with great erudition and insight, thinking about the meaning of what has been learned, and not talking about the faults of others—being kind in discussions and not emphasizing faults.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཕན་ཡོན་བཞི་པོ་འདི་དག་མཐོང་ན་ཐོས་པ་ཚོལ་བར་བྱེད་དེ། ||| “Bhadra, when bodhisattvas are seen to have these four beneficial qualities, they are sought after for their learning.
བཞི་གང་ཞེ་ན། ||| What are the four?
བདག་དང་གཞན་གྱི་ཤེས་རབ་སྦྱོང་བ་དང་། ཕྱོགས་བཞི་ནས་ལྷགས་པ་རྣམས་ཀྱི་ཐེ་ཚོམ་གཅོད་པ་དང་། དམ་པའི་ཆོས་འཛིན་པ་དང་། སངས་རྒྱས་ཀྱི་བསྔགས་པ་ཟད་མི་ཤེས་པ་སྟེ། ||| Developing insight in oneself and others, removing doubts that come from all directions, grasping the holy Dharma, and never tiring of praising the buddhas.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་མང་དུ་ཐོས་པའི་སྙིང་པོ་ཡིན་ནོ། ། ||| “Bhadra, these four are the essences of the bodhisattvas’ vast learning.
བཞི་གང་ཞེ་ན། ||| What are the four?
ཐོས་ནས་ཆོས་བྱེ་བྲག་ཏུ་ཤེས་པ་འདི་ནི་འདིའི་སྙིང་པོ་ཡིན་ནོ། ། ||| Being learned, they know the Dharma in detail; this is an essence.
ཐོས་ནས་བྱ་བ་མ་ཡིན་པ་མི་བྱེད་པ་འདི་ནི་འདིའི་སྙིང་པོ་ཡིན་ནོ། ། ||| Being learned, they refrain from what should not be done; this is an essence.
ཐོས་ནས་གཞན་ལ་སྟོན་པར་བྱེད་པ་འདི་ནི་འདིའི་སྙིང་པོ་ཡིན་ནོ། ། ||| Being learned, they teach others; this is an essence.
ཐོས་ནས་དོན་དེ་ཉིད་རྣམ་པར་གྲོལ་བ་འདི་ལྟ་སྟེ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་བྱང་ཆུབ་ལ་གཏོད་པར་བྱེད་པ་འདི་ནི་འདིའི་སྙིང་པོ་ཡིན་ཏེ། ||| And being learned, they focus on the ultimate liberation and awakening of blessed buddhas; this is an essence.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་སྟོན་པར་བྱེད་པའི་ཕན་ཡོན་ཡིན་ཏེ། ||| “Bhadra, these four are the benefits for bodhisattvas who teach the Dharma.
བཞི་གང་ཞེ་ན། ལས་བྱས་ནས་ཀྱང་ཟས་ལ་ཡོངས་སུ་སྤྱོད་པ་དང་། ཆོས་གོས་དང་། བསོད་སྙོམས་དང་། མལ་ཆ་དང་། ||| What are the four?
སྟན་དང་། ནད་གསོས་དང་། སྨན་ཟོང་རྣམས་རྙེད་པ་དང་། གཞན་གྱི་ཕྱོགས་མཐུ་ཆུང་བར་བྱེད་པ་དང་། ཆོས་འདོད་པའི་ལྷ་རྣམས་ཕྱི་བཞིན་འབྲང་ཞིང་དེ་དག་གིས་བསྲུངས་པས་བདུད་ཀྱིས་གླགས་མི་རྙེད་པ་སྟེ། ||| Enjoying a meal after working; receiving robes, alms, bedding, seats, and medicines to cure the sick; weakening the power of opponents; and being attended upon and protected by gods who favor the Dharma, so that they are invulnerable to Māra.
བཟང་པོ་བཞི་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་སྟོན་པར་བྱེད་པའི་ཕན་ཡོན་ཡིན་ནོ། ། ||| Bhadra, these four are the benefits for the bodhisattvas who teach the Dharma.
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་གཞན་དག་ལ་ཆོས་སྟོན་པར་བྱེད་ཅིང་འདིའི་ཚིག་གི་ལམ་གཟུང་བར་འོས་པར་ཡང་འགྱུར་ཏེ། ||| “If bodhisattvas have these four qualities, when they teach the Dharma to others their words will be worth hearing.
བཞི་གང་ཞེ་ན། ||| What are the four?
འདོད་པ་ཆུང་བ་དང་། ཆོག་ཤེས་པ་དང་། ངང་ཚུལ་བཟང་ཞིང་མཉེན་པ་དང་། བདག་ཉིད་ཀྱི་ཆོས་སྒྲུབ་པ་སྟེ། ||| Having few desires, a sense of contentment, and a good and gentle nature and accomplishing their own spiritual practice.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་ཤེས་ཀྱི་ཁེ་ལས་འབྱོལ་ཞིང་ཟང་ཟིང་མེད་པར་ཆོས་སྟོན་པ་ཡང་ཡིན་ཏེ། ||| “Bhadra, when bodhisattvas have these four qualities, they teach the Dharma while avoiding profiting from their knowledge and without concern for material things.
བཞི་གང་ཞེ་ན། ||| What are the four?
འཁོར་བ་ལས་འཇིགས་པ་སྐྱེད་པ་དང་། འཇིག་རྟེན་གྱི་ཟང་ཟིང་དང་འདུ་འཛི་དོན་དུ་མི་གཉེར་བ་དང་། ཕ་རོལ་རྗེས་སུ་སྲུང་བ་དང་། འཕགས་པའི་རིགས་ལ་གནས་པ་སྟེ། ||| Dispelling the fear of saṃsāra, taking no interest in worldly goods or distractions, looking out for others, and abiding by the noble lineage.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་བྱས་པ་གཟོ་བ་དང་། བྱས་པ་ཚོར་བ་དང་། བྱས་པ་ལ་ལན་དུ་ཕན་འདོགས་པ་ཡིན་ཏེ། ||| “Bhadra, when bodhisattvas have these four qualities, they are grateful and thankful for what they receive and are of benefit in return.
བཞི་གང་ཞེ་ན། ||| What are the four?
གཞན་བྱང་ཆུབ་ཡང་དག་པར་ལེན་དུ་འཇུག་པ་དང་། ལས་བྱས་པ་ཆུད་མི་གཟོན་པ་དང་། བདག་ཉིད་ལ་བྱམས་པ་ལྟར་གཞན་ལ་ཡང་བྱམས་པ་དང་། སྐྱེས་བུ་དམ་པའི་རྩལ་དོན་དུ་གཉེར་བ་སྟེ། ||| Encouraging others toward awakening, not allowing former deeds to go to waste, treating others with the kindness one gives oneself, and aspiring to the skill of a holy being.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་སེམས་ཅན་རྣམས་ལ་མཛའ་བཤེས་མི་ཕྱེད་པར་འགྱུར་ཏེ། ||| “Bhadra, when bodhisattvas have these four qualities, they will be inseparable friends to beings.
བཞི་གང་ཞེ་ན། ||| What are the four?
བཟོད་པའི་སྟོབས་ཀྱི་གོ་བགོས་པ་དང་། ལན་དུ་ཕན་འདོགས་པར་ཅུང་ཟད་ཀྱང་རེ་བ་མེད་པ་དང་། སྙིང་རྗེ་ཆེན་པོ་མི་འདོར་བ་དང་། ལོག་པར་ཞུགས་པ་རྣམས་མི་སྤོང་བ་སྟེ། ||| Putting on the armor of the strength of acceptance, having no hope for the slightest benefit in return, not forsaking great compassion, and not giving up on those who have entered erroneous ways.
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་སེམས་ཅན་རྣམས་ལ་མཛའ་བཤེས་མི་ཕྱེད་པར་འགྱུར་རོ། ། ||| Bodhisattvas with these four qualities will be inseparable friends to beings.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔས་བསྟེན་པར་བྱ་བའི་གྲོགས་པོ་ཡིན་ཏེ། ||| “Bhadra, these four are the friends upon whom bodhisattvas should rely.
བཞི་གང་ཞེ་ན། ||| What are the four?
སྦྱོར་བ་ཕུན་སུམ་ཚོགས་པ་དང་། བསམ་པ་ཕུན་སུམ་ཚོགས་པ་དང་། སྤྱོད་པ་ཕུན་སུམ་ཚོགས་པ་དང་། གང་དག་འདིའི་བྱང་ཆུབ་ཉེ་བར་སྟོན་པར་བྱེད་པ་སྟེ། ||| Perfect application, perfect intention, perfect conduct, and doing that which reveals this awakening to others.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་མི་དགེ་བའི་གྲོགས་པོ་ཡིན་པར་རིག་པར་བྱ་སྟེ། ||| “Bhadra, these four should be known as nonvirtuous companions for bodhisattvas.
བཞི་གང་ཞེ་ན། ||| What are the four?
ཐེག་པ་དམན་པ་སྟོན་པ་དང་། བྱང་ཆུབ་ཀྱི་སེམས་ལ་འདུན་པ་ཟློག་པར་བྱེད་པ་དང་། གང་དག་བསྟེན་ན་མི་དགེ་བའི་ཆོས་འཕེལ་བར་འགྱུར་བ་དང་། དགེ་བའི་ཆོས་རྣམས་ཡོངས་སུ་ཉམས་པར་འགྱུར་བ་སྟེ། ||| Teachers of the Lesser Vehicle; those who divert those inclined toward the mind of awakening; those who, when relied upon, cause nonvirtuous qualities to increase; and those who cause virtuous qualities to decrease.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་དང་ཕྲད་པར་འགྱུར་རོ། ། ||| “Bhadra, when bodhisattvas have these four qualities, they will meet with blessed buddhas.
བཞི་གང་ཞེ་ན། ||| What are the four?
དྲན་པ་རྩེ་གཅིག་པ་དང་། སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་བསྔགས་པ་ཡང་དང་ཡང་དུ་སྒྲོགས་པ་དང་། ཚུལ་ཁྲིམས་ཡོངས་སུ་དག་པ་དང་། ལྷག་པའི་བསམ་པས་སྨོན་ལམ་འདེབས་པ་སྟེ། ||| Single-pointed mindfulness, proclaiming again and again the praises of the blessed buddhas, completely pure discipline, and making aspirations with superior motivation.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཕན་ཡོན་བཞི་པོ་འདི་དག་མཐོང་ན་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་བྱ་བར་སྤྲོ་བར་འགྱུར་ཏེ། ||| “Bhadra, when bodhisattvas see these four benefits, they will take delight in acts of offering to the tathāgatas.
བཞི་གང་ཞེ་ན། ||| What are the four?
