འཕགས་པ་ལྷག་པའི་བསམ་པ་བསྐུལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Inspiring Determination
ཡིད་ཀྱིས་མ་བསྡམས་པ་ཡིན། འདོད་ཆགས་ཆེ་བ་ཡིན། ཞེ་སྡང་ཆེ་བ་ཡིན། གཏི་མུག་ཆེ་བ་ཡིན། ||| (3) you are mentally out of control, (4) desires get stronger, (5) anger gets stronger, (6) delusion gets stronger,
འཇིག་རྟེན་པའི་གཏམ་གྱིས་ཀྱང་གོས་པ་ཡིན། ||| (7) you are soiled by the talk of this world,
འཇིག་རྟེན་ལས་འདས་པའི་གཏམ་ལས་ཡོངས་སུ་ཉམས་པ་ཡིན། ||| (8) you no longer talk about matters beyond this world,
ཆོས་ལ་མ་གུས་པ་ལ་བསྟེན་པ་ཡིན། ||| (9) you consort with those who disrespect the Dharma,
ཆོས་ཡོངས་སུ་སྤངས་པ་ཡིན། ||| (10) you abandon the Dharma,
དེ་ལ་བདུད་ཀྱིས་གླགས་རྙེད་པ་ཡིན། ||| (11) this puts you at the mercy of Māra,
བག་མེད་པ་ལ་བསྟེན་པ་ཡིན། ||| (12) you keep company with the careless,
བག་མེད་པ་དང་ལྡན་པ་ཡིན། ||| (13) you yourself become careless,
དེ་རྟོག་པ་དང་དཔྱོད་པ་ཤས་ཆེ་བ་ཡིན། ||| (14) you become suspicious and cynical,
མང་དུ་ཐོས་པ་ལས་ཡོངས་སུ་ཉམས་པ་ཡིན། ||| (15) your studies go to waste,
ཞི་གནས་དང་ལྷག་མཐོང་མི་འཐོབ་པ་ཡིན། ||| (16) you do not achieve tranquility or special insight,
མྱུར་དུ་ཚངས་པར་སྤྱོད་པར་མི་འགྱུར་བ་ཡིན། ||| (17) your pure conduct is promptly lost,
སངས་རྒྱས་ལ་དགའ་བ་ལས་ཡོངས་སུ་ཉམས་པ་ཡིན། ||| (18) you lose appreciation for the Buddha,
ཆོས་ལ་དགའ་བ་ལས་ཡོངས་སུ་ཉམས་པ་ཡིན། ||| (19) you lose appreciation for the Dharma, and
དགེ་འདུན་ལ་དགའ་བ་ལས་ཡོངས་སུ་ཉམས་པ་ཡིན་ཏེ། ||| (20) you lose appreciation for the Saṅgha.
བྱམས་པ་ཉི་ཤུ་པོ་དེ་དག་ནི་འདུ་འཛི་ལ་དགའ་བའི་ཉེས་དམིགས་ཡིན་པར་རིག་པར་བྱ་སྟེ། ||| “Maitreya, you should know these twenty to be the shortcomings of liking social diversions.
བྱང་ཆུབ་སེམས་དཔས་གང་དག་ལ་བརྟགས་ན་གཅིག་པུར་དགའ་བ་ལ་དགའ་ཞིང་ཡོངས་སུ་སྐྱོ་བར་ཡང་མི་འགྱུར་བ་ཡིན་ནོ། ། ||| If bodhisattvas examine them, they will enjoy the pleasures of solitude, and not become despondent either.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One, at that point, spoke the following verses:
འདོད་ཆགས་སྤངས་ཤིང་ཞེ་སྡང་རབ་སྤངས་ནས། །རྣལ་འབྱོར་ཅན་ནི་འདུ་འཛིར་མི་གནས་ཏེ། ། ||| “Rid of desire and having rejected anger, Yogins stay uninvolved in social diversions.
དེ་ནི་དེ་ལ་གཞོལ་ཞིང་དེ་ལ་འབབ། །ཉེས་པ་དེས་ན་དགའ་བར་བྱེད་མི་འགྱུར། ། ||| To those faults they lead, and there they end up; Therefore, take no pleasure in them.
རྒོད་དང་འགྱོད་དང་དེ་བཞིན་རྣམ་རྟོག་པ། །འདི་དག་ཐམས་ཅད་འདུ་འཛི་རྣམས་ལས་བྱུང་། ། ||| “Agitation, anxiety, and rampant thoughts, too— All these result from social diversions.
སྙིང་པོ་མེད་པའི་འདུ་འཛི་སུ་བྱེད་པ། །དེ་ནི་ལང་ལོང་སྤྱོད་ཅིང་མ་བསྡམས་ཡིན། ། ||| Whoever partakes of pointless social diversions Behaves erratically and loses all control.
བྱིས་པ་དག་ནི་འཇིག་རྟེན་སྨྲ་ལ་དགའ། ། ||| “Childish people enjoy worldly chatter;
བྱིས་པ་དེ་དག་མཆོག་གི་གཏམ་ལས་ཉམས། །ཞེ་སྡང་འཕེལ་ཞིང་རྣམ་རྟོག་ཤས་ཀྱང་ཆེ། ། ||| Those children have forsaken refined discourse. They spread anger and stimulate thoughts, too.
ཉེས་པ་དེས་ན་དེ་ལ་མི་ཆགས་སོ། ། ||| Because of those flaws, do not be attracted to them.
རིགས་པ་མ་ཡིན་སྨྲ་ལ་དགའ་བསྐྱེད་ནས། །དགེ་སློང་ཐོས་པ་རྣམ་པར་འཕེལ་མི་བྱེད། ། ||| “By taking an interest in improper talk, Monks will not advance in their studies.
དེ་ལྟ་བས་ན་མི་རིགས་སྨྲ་སྤོངས་ལ། །ཆོས་ལ་རྟག་ཏུ་དགའ་བ་ཐོབ་པར་གྱིས། ། ||| Since that is the case, abandon unsuitable talk, And have abiding affection for the Dharma.
བྱང་ཆུབ་མངོན་པར་འདོད་ཕྱིར་ང་ཡིས་ནི། །རང་གི་ཡན་ལག་ལན་སྟོང་སྙེད་དུ་བཏང་། ། ||| “Out of intense yearning for awakening, I gave away my limbs a thousand times over.
ཆོས་ཉན་པས་ནི་ང་ལ་ངོམས་མེད་ན། །དེ་དག་ཆོས་ཉན་པ་ན་སྐྱོ་བར་འགྱུར། ། ||| If hearing the Dharma made me insatiable, Hearing the Dharma should make monks contrite.
ཚིག་བཞི་པ་ཡི་ཚིགས་སུ་བཅད་པའི་ཕྱིར། །ང་ནི་ཆུང་མ་བུ་ལ་དགའ་མ་གྱུར། །རྒྱལ་སྲིད་དག་དང་ལོངས་སྤྱོད་ངས་སྤངས་ན། ། ||| “If for the sake of four-line verses I took no joy in wife and child And abandoned my kingdom and possessions,
མཁས་པ་ཇི་ལྟར་ཆོས་ནི་ཉན་མི་བྱེད། ། ||| How can the wise not study the Dharma?
རིགས་མི་སྨྲ་དང་དམ་པ་མིན་སྨྲ་བ། །རྣམ་པ་ཀུན་ཏུ་ཡོངས་སུ་སྤང་བར་བྱ། ། ||| “Fully and always abandon Improper and profane speech.
བསྐལ་པ་བརྒྱ་ཕྲག་དུ་མར་གང་དཀོན་པ། །ཆོས་ཀྱི་དམ་པ་དེ་ལ་དགའ་སྐྱེད་ཅིག ། ||| Take delight in that which is most precious Across hundreds of eons—the sacred Dharma.
ཐར་པ་འདོད་པ་ཡོན་ཏན་དོན་གཉེར་བས། །འཇིག་རྟེན་བྱ་བ་ཡོངས་སུ་བཙལ་མི་བྱ། ། ||| “Since you wish for freedom and pursue good qualities, Never seek out worldly affairs.
གང་ཞིག་ཟས་དང་གོས་ཀྱི་དོན་ཙམ་འདོད། །དེ་ནི་མཆོག་དང་གཙོ་བོར་བསྔགས་མ་ཡིན། ། ||| One whose wishes are limited to food and clothing Does not glorify the supreme and the foremost.
གང་ཞིག་འདྲི་ཞིང་དགེ་སློང་ལེགས་པར་འོང་། །སྟན་ཡང་གདིང་གིས་ཚུར་ཤོག་འདུག་པར་གྱིས། །མི་ཡི་རྙེད་པ་རབ་དཀོན་རྙེད་གྱུར་གྱིས། །གཅིག་ལ་གཅིག་ནི་ཆོས་ཀྱི་གཏམ་ཡང་བྱ། ། ||| “Anyone who is curious, and you monks, kindly come, Spread your cushions over here, and take your seats. Come and find the rarest, the finest, of all human discoveries. Share the Dharma among yourselves, too.
ལུང་མནོད་ཁ་ཏོན་བྱ་དང་བསམ་གཏན་རྣམས། །ཁྱོད་ཀྱི་དཀར་པོའི་ཕྱོགས་རྣམས་འཕེལ་གྱུར་ཏམ། ། ||| “Through scriptural recitation and concentration, Won’t you increase your positive aspects?
གལ་ཏེ་ཁྱོད་ནི་འདོད་ན་དྲི་བར་གྱིས། །ཁྱོད་ལའང་བདག་འདྲི་སྐབས་ནི་དབྱེ་བར་གྱིས། ། ||| And, if you wish, you may pose questions. I too, on occasion, shall put questions to you.
དེ་བཞིན་གཤེགས་པ་མྱ་ངན་ཡོངས་འདས་ནསབསྟན་པ་རྣམ་པར་འཇིག་པར་འགྱུར་བ་ན། ། ||| “After the Thus-Gone One has transcended misery, When the time comes for his teachings to be destroyed,
དགེ་སློང་དག་ནི་ཤིན་ཏུ་རྒོད་ཅིང་ཁེངས། །དགོན་པ་བོར་ནས་འདུ་འཛིར་དགའ་བར་འགྱུར། ། ||| Monks will be extremely wild and arrogant, Flee the wilderness, and enjoy social diversions.
རྙེད་པ་དང་ནི་དེ་བཞིན་ཟས་ཆེད་དུ། །ཉིན་དང་མཚན་རྣམས་སུ་ཡང་གཏམ་བྱེད་ལ། ། ||| “For gain and likewise for sustenance, They will talk day and night, to anyone at all;
བྱིས་པ་དག་ནི་གཉིད་ལོག་གྱུར་ན་ཡང་། །ལོ་ཏོག་སྐྱེ་བའི་རྨི་ལམ་རྨི་བར་འགྱུར། ། ||| And even when those callow monks fall asleep, Their dreams will be filled with growing crops.
བྱིས་པ་འདི་ཀུན་ཤེས་པ་རབ་ཏུ་ཉམས། །ངན་སོང་ངན་འགྲོ་གསུམ་དུ་གཞོལ་འགྱུར་གྱིས། ། ||| “All those juveniles with badly impaired faculties Are headed downward to the three lower realms.
དགའ་བ་དང་ནི་མོས་པ་བསྐྱེད་ནས་ཀྱང་། །བསེ་རུ་ལྟ་བུར་རྟག་ཏུ་ནགས་གནས་ཀྱིས། ། ||| And so, with delight and dedication, Like the rhinoceros, always remain in the forest.
ཡོན་ཏན་འདོད་པ་ནགས་ན་གནས་པ་ཡིས། །ཕ་རོལ་དག་གི་སྐྱོན་ལ་བརྟག་མི་བྱ། ། ||| “Those who wish for good qualities, by staying in the forest, Will not examine the faults of others.
བདག་ནི་ཁྱད་པར་འཕགས་ཤིང་བདག་མཆོག་ཅེས། །དེ་སྙམ་དུ་ནི་སེམས་བསྐྱེད་མི་བྱའོ། ། ||| Never permit yourselves to think, ‘I am the best; I am exceptional.’
རྒྱགས་འདི་བག་མེད་ཀུན་གྱི་རྩ་བ་སྟེ། །དགེ་སློང་དམན་ལ་བརྙས་པར་ཡོང་མི་བྱ། ། ||| “Such conceit is the root of all carelessness, So do not have contempt for even the least among monks.
བསྐལ་པ་གཅིག་གིས་ཐར་པ་འཐོབ་མི་འགྱུར། ། ||| You won’t attain liberation in a single eon.
འདི་ནི་བསྟན་པ་འདི་ལ་གོ་རིམས་ཡིན། ། ||| This teaching, you see, is gradual, in stages.
དེ་ལྟས་དགེ་སློང་ཡོན་ཏན་འདོད་གྱུར་པ། །དཔའ་བོས་མི་རིགས་བརྗོད་པ་སྤངས་ནས་ཀྱང་། ། ||| “In light of that, monks desiring good qualities, You heroes, dispense with improper talk, And
དགའ་ཞིང་མགུ་ལ་རབ་ཏུ་དགའ་བ་ཡིས། །བསེ་རུ་འདྲ་བར་དགོན་པར་གནས་པར་བྱ། ། ||| with joy and appreciation, utmost joy, Just like the rhinoceros, remain in the wilderness!”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The bodhisattva great being Maitreya then said to the Blessed One,
བཅོམ་ལྡན་འདས་འདི་ལྟར་དཀར་པོའི་ཆོས་ཡོངས་སུ་སྤོང་བའི་སླད་དུ་འདུ་འཛི་ནོངས་པ་མང་པོའི་སྐྱོན་ཆགས་ཤིང་ཡོན་ཏན་མ་མཆིས་ལ་གནོད་པ་དང་ལྡན་ཏེ། ||| “Blessed One, they lead, in this way, to the abandonment of positive qualities—social diversions generate many deplorable faults, have no redeeming qualities, and are so harmful.
འདུ་འཛི་ཉོན་མོངས་པ་འཕེལ་བར་བགྱིད་ཅིང་སྤྱོད་པ་བཟང་པོ་མ་ལགས་པ་ནི་ངོ་མཚར་ལགས་ཏེ། ||| In fact, it is rather astounding how much social diversions increase defilements, and what unwholesome activities they are.
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་མཁས་པ་དགེ་བ་འཚལ་བ་སུ་ཞིག་གཅིག་པུར་དགའ་བ་ལ་མངོན་པར་དགའ་བར་མི་བགྱིད། ||| Blessed One, what wise bodhisattvas in search of virtue would not be thrilled to enjoy solitude?
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔས་སྨྲ་བ་ལ་དགའ་བའི་སྐྱོན་རྣམས་ཇི་ལྟར་བརྟག་པར་བགྱི། ||| “Blessed One, how should bodhisattvas examine the drawbacks of liking to talk?
བྱང་ཆུབ་སེམས་དཔས་གང་རྟོགས་ན་དོན་རྣམ་པར་ངེས་པ་ལ་དགའ་ཞིང་དོན་ལ་རྟོག་པས་ཡོངས་སུ་གདུང་བར་ཡང་མི་འགྱུར་བ་ལགས། ||| What must bodhisattvas realize to happily stay on course and recall their true purpose, so that they never become despondent?”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One replied to the bodhisattva great being Maitreya in the following way:
བྱམས་པ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔས་སྨྲ་བ་ལ་དགའ་བའི་ཉེས་དམིགས་ཉི་ཤུ་ཡོད་པར་བརྟག་པར་བྱའོ། ། ||| “To address your question, Maitreya, there are twenty faults of liking to talk, which bodhisattvas should examine.
ཉི་ཤུ་གང་ཞེ་ན། ||| What are the twenty?
བྱམས་པ་འདི་ལ་དགེ་སློང་སྨྲ་བ་ལ་དགའ་བ་ནི་མང་དུ་ཐོས་པས་རྒྱགས་ཤིང་དྲེགས་པས་གུས་པ་མེད་པར་འགྱུར་བ་དང་། རྩོད་པ་སྨྲ་བ་ལྷུར་ལེན་པས་ཕྱོགས་ལ་མངོན་པར་ཞེན་པར་འགྱུར་བ་དང་། ནང་དུ་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་དང་བྲལ་བས་དྲན་པ་བརྗེད་པར་འགྱུར་བ་དང་། ལུས་དང་སེམས་ཤིན་ཏུ་མ་སྦྱངས་པས་ཤེས་བཞིན་མེད་པར་སྤྱོད་པར་འགྱུར་བ་དང་། ཆོས་ལ་བཟོད་པ་ལས་ཉམས་པས་ཁེངས་པ་དང་འདུད་པར་འགྱུར་བ་དང་། ཞི་གནས་དང་ལྷག་མཐོང་ཡོངས་སུ་སྤངས་པས་སེམས་ཀྱི་རྒྱུད་དམུ་རྒོད་དུ་འགྱུར་བ་དང་། སྨྲ་བའི་སྦག་པས་སྦགས་པས་དུས་མ་ཡིན་པར་སྨྲ་བར་འགྱུར་བ་དང་། འཕགས་པའི་ཤེས་པ་མ་ཐོབ་པས་མ་བསྡམས་པར་འགྱུར་བ་དང་། ལྷ་དང་ཀླུ་རྣམས་ཀྱིས་མི་བཀུར་བར་འགྱུར་བ་དང་། སོ་སོ་ཡང་དག་པར་རིག་པ་ཐོབ་པ་རྣམས་ཀྱིས་བརྙས་པར་འགྱུར་བ་དང་། ལུས་མངོན་སུམ་དུ་གྱུར་པ་རྣམས་ཀྱིས་སྤྱོ་བར་འགྱུར་བ་དང་། སྒྲུབ་པ་ལ་མི་གནས་པས་ཡིད་ལ་གཅགས་པར་འགྱུར་བ་དང་། ཐེ་ཚོམ་མ་སྤངས་པས་རབ་ཏུ་མི་བརྟན་པར་འགྱུར་བ་དང་། སྒྲ་ལྷུར་ལེན་པས་ཐོས་པ་དང་བྱེ་བྲག་ཕྱེད་པ་ཉམས་པར་འགྱུར་བ་དང་། རྣམ་པར་ཤེས་པའི་སྤྱོད་ཡུལ་ཅན་ཡིན་པས་འདོད་པའི་ཡོན་ཏན་ལ་ཆགས་པར་འགྱུར་བ་དང་། ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རྟོག་པར་མི་བྱེད་པས་མྱུར་དུ་ཆོས་སྤོང་བར་བྱེད་པ་དང་། གཞན་དང་གཞན་རྩོམ་པས་མི་བརྟན་ཞིང་རྟེན་མེད་པར་འགྱུར་བ་དང་། སེམས་ཡོངས་སུ་མ་དུལ་བས་བཀུར་སྟི་མེད་པ་ཐོབ་པར་འགྱུར་བ་དང་། ཆོས་ཀྱི་དབྱིངས་ཁོང་དུ་མ་ཆུད་པས་གཞན་གྱི་དྲིང་འཇོག་པར་འགྱུར་བ་དང་། དབང་པོ་རྣམས་ཡོངས་སུ་མ་ཤེས་པས་ཉོན་མོངས་པའི་དབང་དུ་འགྱུར་བ་སྟེ། ||| “Maitreya, monks who like to talk (1) become disrespectful because of conceit and arrogance about their scholarship, (2) become strongly prejudiced to one point of view because of their dedication to debate, (3) forget to be mindful because they are not engaged with proper introspection, (4) conduct themselves inattentively because their minds and bodies have not been well trained, (5) become conceited or deflated because their tolerance for changing circumstance has become weak, (6) have volatile mindstreams because they have abandoned tranquility and special insight, (7) speak out of turn because they have been contaminated by the faults of speaking, (8) become uncontrolled because they have not obtained nobility of mind, (9) are not served by gods and nāgas, (10) are rebuked by those who have acquired proper understanding, (11) are chastised by those who have manifest spiritual attainment, (12) feel a sense of loss because they have not sustained their practice, (13) become increasingly unstable because they have not rid themselves of doubt, (14) let their studies and discrimination deteriorate because of their fascination with terminology, (15) are attached to sense pleasures because their experience is confined to the realm of ordinary consciousness, (16) do not reflect on what is finally true and real and thus soon abandon the Dharma, (17) are inconsistent and unreliable because they jump from one thing to another, (18) become completely irreverent because they have not tamed their minds at all, (19) must rely on what others say because they have not resolved the nature of phenomena for themselves, and (20) fall under the power of defilements because they have not fully understood their own sense powers.
བྱམས་པ་ཉི་ཤུ་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་སྨྲ་བ་ལ་དགའ་ཞིང་སྒྲ་ལྷུར་ལེན་ལ་དོན་ལ་རྟོག་པ་དང་བྲལ་བའི་ཉེས་དམིགས་ཡིན་ནོ། ། ||| “Maitreya, those are the twenty negative consequences for bodhisattvas who, because they like to talk and are fascinated with semantics, fail to reflect on the meaning.”
དེ་ནས་དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| At that point, the Blessed One spoke the following verses:
ཐོས་པས་རྒྱགས་ནས་གུས་པར་མི་འགྱུར་ཏེ། ། ||| “Full of their own learning, they become disrespectful
རྣམ་པར་འགྱེད་པའི་སྨྲ་བ་རྣམས་ལ་ཆགས། ། ||| And attracted to contentious argument.
བརྗེད་པར་འགྱུར་ཞིང་ཤེས་བཞིན་མེད་པར་འགྱུར། ། ||| They grow forgetful and inattentive.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
ནང་གི་སེམས་ལས་ཤིན་ཏུ་རིང་བར་འགྱུར། ། ||| “They will lose sight of the mind within,
ལུས་དང་སེམས་ཀྱང་རབ་སྦྱངས་མ་ཡིན་འགྱུར། ། ||| And their bodies and minds will not be well trained.
ཁེངས་པ་དང་ནི་འདུད་པ་མང་པོར་འགྱུར། ། ||| They will swing often between deflation and inflation.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
བྱིས་པ་དམ་པའི་ཆོས་བསམ་རབ་ཏུ་ཉམས། ། ||| “The childish cease to contemplate the sacred Dharma;
སེམས་ནི་མི་མཉེན་ཤིན་ཏུ་རྩུབ་པར་འགྱུར། ། ||| Their minds become inflexible and callous.
ཞི་གནས་ལྷག་མཐོང་དག་དང་རབ་ཏུ་རིང་། ། ||| They are far removed from tranquility and special insight.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
རྟག་ཏུ་བླ་མ་དག་ལ་གུས་པ་མེད། ། ||| “They continually disrespect their gurus,
སྦགས་པའི་གཏམ་དག་ལ་ནི་དགའ་བ་སྐྱེད། ། ||| And take delight in vulgar conversation.
སྙིང་པོ་མེད་ལ་གནས་ཤིང་ཤེས་རབ་ཉམས། ། ||| They dwell on inessentials and let insight falter.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
དེ་ནི་ལྷ་ཚོགས་རྣམས་ཀྱིས་མི་བཀུར་ཞིང་། །དེ་ཚེ་དེ་ལའང་འདོད་པ་མི་སྐྱེད་ལ། །སོ་སོ་ཡང་དག་རིག་ལས་ཉམས་འགྱུར་ཏེ། ། ||| “The gods will not serve them, Or even produce what they wish for, And their powers of discrimination will fade away.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
གང་དག་ལུས་ནི་མངོན་སུམ་མང་ཡོད་པ། །མཁས་པ་འདི་དག་གིས་ནི་སྤྱོ་བར་འགྱུར། ། ||| “The wise who possess manifest spiritual attainment Will chastise them.
དེ་ཡི་སྲོག་ནི་དོན་མེད་འགྱུར་བ་སྟེ། ། ||| Their lives will lose any purpose.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
བདག་ནི་སྒྲུབ་ཉམས་ད་ནི་ཅི་བྱ་ཞེས། ། ||| “ ‘My practice has faltered; now what shall I do?’
འཆི་བའི་དུས་ཚེ་བྱིས་པ་མྱ་ངན་བྱེད། ། ||| At the time of death, they will wail like infants.
གཏིང་རྙེད་མ་གྱུར་ཤིན་ཏུ་སྡུག་བསྔལ་འགྱུར། ། ||| Having lost all footing, they will suffer intensely.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
རྩྭ་བསྐྱོད་བཞིན་དུ་འགུལ་ཞིང་གཡོ་བ་སྟེ། །དེ་ནི་དེ་ལྟར་ཐེ་ཚོམ་འགྱུར་དུ་ངེས། ། ||| “Shaky and wobbly, like trembling grass, That is how doubts will surely assail them.
དེ་ནི་ནམ་ཡང་བློ་བརྟན་མི་འགྱུར་ཏེ། ། ||| At no time will they ever feel certain.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
གར་ལ་ལྟ་བའི་ཁྲོད་ན་འདུག་པ་ཞིག །དཔའ་བོ་གཞན་གྱི་ཡོན་ཏན་བརྗོད་པ་བཞིན། །བདག་ཉིད་ནན་ཏན་ཉམས་པར་འགྱུར་བ་སྟེ། ། ||| “Like someone in a crowd watching a play, Extolling the valor of other heroes While their own ardor flags,
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
དེ་ཡི་སེམས་ནི་རྣ་བའི་རྣམ་ཤེས་ལ། །རབ་ཏུ་ཆགས་ཤིང་སྒྲས་རྒྱགས་ཤེས་རབ་ཉམས། ། ||| “Their minds are seduced by the ear consciousness, And their obsession with words impairs insight.
ལོག་པར་སེམས་ཤིང་ལམ་ངན་འགྲོ་བར་འགྱུར། ། ||| They are wrong-headed and headed toward the lower realms.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
དེ་ནི་གཡོ་ལྡན་ཡང་ཞིང་རེ་ཆད་འགྱུར། །ཕྱི་ཕྱིར་ཞིང་ནི་རྣམ་པར་འགྱེད་པ་རྩོམ། ། ||| “Such people are deceitful and divisive, Which in turn sets off quarrels.
འཕགས་པའི་དམ་པའི་ཆོས་ལས་རབ་ཏུ་རིང་། ། ||| They are extremely far from the noble ones’ sacred Dharma.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
མཐུ་ཆུང་བསྟི་སྟང་གིས་ནི་དགར་འགྱུར་ཏེ། །མི་ཤེས་ལྡན་པ་གཡོ་ཞིང་འགྱུར་བ་ཡིན། ། ||| “Perfunctory courtesies bring them delight; They know no better and are fickle and mercurial.
སྤྲེའུ་ལྟར་དེ་ཡི་སེམས་ནི་གཡོ་བར་འགྱུར། ། ||| Like monkeys, their minds are capricious.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
རང་གི་བློ་ནི་ཤེས་པས་དམན་པའི་ཕྱིར། །རྨོངས་པ་དེ་ནི་གཞན་གྱི་དྲིང་ལ་འཇོག །དེ་ནི་ཉོན་མོངས་ཕྱོགས་ཀྱི་དབང་དུ་འགྲོ། ། ||| “Since their own intellects are weak in understanding, Those dullards are exploitable by others And are drawn in by those who are defiled.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
མིག་ཀྱང་འཁྲུལ་ཅིང་དེ་བཞིན་རྣ་བ་འང་འཁྲུལ། ། ||| “Their eyes will be fooled, and their ears, too, will be just as fooled.
སྣ་ཡང་འཁྲུལ་ཅིང་དེ་བཞིན་ལྕེ་ཡང་འཁྲུལ། ། ||| Their noses will be fooled, and their tongues, too, will be just as fooled.
ལུས་ཀྱང་འཁྲུལ་ཅིང་ཡིད་ཀྱང་འཁྲུལ་པར་འགྱུར། ། ||| Their bodies will be fooled, and their minds, too, will be just as fooled.
སྨྲ་ལ་དགའ་བའི་ཉེས་པ་འདི་དག་གོ ། ||| These are the faults of liking to talk.
ཡུན་རིང་དུས་ནས་སྨྲ་ལ་དགའ་བས་ན། །དེ་ནི་བདག་ཉིད་དགའ་བ་མི་འཐོབ་པོ། ། ||| “For as long as they have enjoyed talking, It has never brought them joy.
ཚིག་གང་དགའ་བ་མཐའ་ཡས་འཐོབ་འགྱུར་བ། །ཚིག་གཅིག་ཙམ་ཞིག་བསམས་ཀྱང་མཆོག་ཡིན་ནོ། ། ||| Though they have compiled endless lists of favorite terms, To have contemplated a single one would have been far better.
བུ་རམ་ཤིང་ཤུན་སྙིང་པོ་ཅི་ཡང་མེད། །དགའ་བར་བྱ་བའི་རོ་ནི་ནང་ན་འདུག ། ||| “Sugarcane husk has no sap at all; The flavor we enjoy is found within it.
ཤུན་པ་ཟོས་པའི་མིས་ནི་བུ་རམ་རོ། །ཞིམ་པོ་རྙེད་པར་ནུས་པ་མ་ཡིན་ནོ། ། ||| No one who eats only the husk Can discover in it the taste of molasses.
ཇི་ལྟར་ཤུན་པ་དེ་བཞིན་སྨྲ་བ་སྟེ། ། ||| “What is true of the husk is also true of talking.
རོ་ལྟ་བུ་ནི་འདི་ལ་དོན་སེམས་ཡིན། ། ||| The flavor, here, is keeping the meaning in mind.
དེ་ལྟ་བས་ན་སྨྲ་ལ་དགའ་སྤོངས་ཏེ། ། ||| In light of that, abandon your taste for talking,
རྟག་ཏུ་བག་ཡོད་བྱོས་ལ་དོན་སོམས་ཤིག །སྨྲ་བའི་ཉེས་པ་འདི་འདྲ་རྟོག་གྱུར་ཅིང་། །དོན་གྱི་ཡོན་ཏན་མཆོག་འདི་ཤེས་ནས་ནི། ། ||| Be continually vigilant, and keep the meaning in mind. “Considering these faults of talking, And understanding the superior merits of the meaning,
འདི་ན་བྱང་ཆུབ་མཁས་པ་གང་ཡིན་པ། །དེས་ནི་དོན་བསམ་པ་ལ་དགའ་བར་གྱིས། ། ||| Those of you here who are skilled bodhisattvas, Take delight in contemplating the meaning!”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The bodhisattva great being Maitreya then remarked to the Blessed One,
