འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས། ལེའུ་བཅུ་བཞི་པ་སྟེ། ཚེ་དང་ལྡན་པ་དགའ་བོ་ལ་མངལ་དུ་འཇུག་པ་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱཱ་ཡུཥྨཾ་ནནྡཾ་གརྦྷཱ་བ་ཀྲཱནྟི་ནིར་དེ་ཤ། བོད་སྐད་དུ།
འཕགས་པ་ཚེ་དང་ལྡན་པ་དགའ་བོ་ལ་མངལ་དུ་འཇུག་པ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Teaching to Venerable Nanda on Entry into the Womb
རླུང་དེའི་སྟོབས་ཀྱིས་དེའི་མིག་གཉིས་ཀུན་ཏུ་དང་བ་དང་། རྣ་བ་དང་། སྣའི་དབང་པོ་ལ་སོགས་པ་ཡང་རིམ་གྱིས་ཡོངས་སུ་སྨིན་པར་བྱེད་དེ། ||| The force of this wind clarifies its two eyes and causes the ear and nose faculties, and so forth, gradually to become fully mature.
འདི་ལྟ་སྟེ། དཔེར་ན་མེ་ལོང་གི་དཀྱིལ་འཁོར་རྡུལ་གྱིས་ཡོག་པ་སའི་ཕྱེ་མ་དང་། འབྲུ་མར་དང་། ཐལ་བ་བླངས་ཏེ་བྱི་དོར་བྱས་ན་ཡོངས་སུ་གསལ་བར་འགྱུར་བ་དེ་བཞིན་དུ་ལས་ཀྱི་རླུང་གི་སྟོབས་ཀྱིས་མིག་ལ་སོགས་པ་བུས་ནས་མིག་ལ་སོགས་པ་ཀུན་ཏུ་དང་བར་བྱེད་པ་ཡང་དེ་བཞིན་དུ་རིག་པར་བྱའོ། ||| Just as one takes fine dirt, oil, or ashes and wipes a mirror that is covered with dust, and it becomes clear, it should be known that, in the same way, the force of this karmic wind blows on the eyes and so forth and makes them completely clear. “
།ཞག་བདུན་ཕྲག་བཅྭ་བརྒྱད་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་བརྟན་པར་འགྱུར་བ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the eighteenth week, again a karmic wind, becoming firm, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་དེའི་དབང་པོ་རྣམས་མཐར་གྱིས་ཡོངས་སུ་སྨིན་ཅིང་གསལ་བ་དང་། ཡོངས་སུ་དག་པར་བྱེད་དེ། ||| The force of this wind causes its faculties gradually to become fully mature, clear, and purified.
འདི་ལྟ་སྟེ་དཔེར་ན། ཉི་མ་དང་ཟླ་བའི་དཀྱིལ་འཁོར་སྤྲིན་དང་། ཁུག་རྣ་རྣམས་ཀྱིས་བསྒྲིབས་ཤིང་ཁེབས་པར་འགྱུར་བ་གློ་བུར་དུ་རླུང་དྲག་པོ་ལངས་ཏེ་བུས་ནས་ཕྱོགས་བཞིར་གཏོར་བར་གྱུར་ན་ཉི་མ་དང་ཟླ་བའི་དཀྱིལ་འཁོར་ཤིན་ཏུ་གསལ་བར་གྱུར་པ་དེ་བཞིན་དུ་འདི་ལྟར་ལས་ཀྱི་རླུང་གི་དབང་གིས་དབང་པོ་རྣམས་བུས་པས་ཆེས་ཤིན་ཏུ་གསལ་ཞིང་ཡོངས་སུ་དག་པར་བྱེད་པ་ཡང་དེ་བཞིན་དུ་རིག་པར་བྱའོ། ||| Just as when the orbs of the sun and moon are covered, obscured by clouds and mist, and suddenly a harsh wind arises and blows on them, scattering them in the four directions and making the orbs of the sun and moon totally clear, it should be known that, in the same way, the force of this karmic wind, by blowing on the faculties, makes them totally clear and purified. “
།ཞག་བདུན་ཕྲག་བཅུ་དགུ་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་གི་སྟོབས་ཀྱིས་མིག་དང་། རྣ་བ་དང་། སྣ་དང་། ལྕེའི་དབང་པོ་བཞི་པོ་དག་ཡོངས་སུ་སྨིན་པར་བྱེད་དོ། ||| While the being in the mother’s womb is in the nineteenth week, the force of a karmic wind again makes the four faculties, namely, the eyes, ears, nose, and tongue, fully mature.
།དང་པོ་མངལ་དུ་འཇུག་པའི་ཚེ་ནི་དབང་པོ་གསུམ་དང་ལྡན་ཏེ། ལུས་ཀྱི་དབང་པོ་དང་། སྲོག་གི་དབང་པོ་དང་། ཡིད་ཀྱི་དབང་པོ་སྟེ། ||| At the time when the being first entered the womb, it possessed three faculties, namely, the body faculty, the life faculty, and the mind faculty.
དེ་ལྟར་དབང་པོ་རྣམས་ཡོངས་སུ་རྫོགས་པར་བྱེད་དོ། ||| Thus, the faculties are now completed. “
།ཞག་བདུན་ཕྲག་ཉི་ཤུ་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་ཤིན་ཏུ་སྲ་བ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the twentieth week, again a karmic wind, very solid, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་དེའི་ལུས་ལས་རུས་པ་སྣ་ཚོགས་སྐྱེད་པར་བྱེད་དེ། ||| The force of this wind makes various bones arise in its body.
རྐང་པ་གཡོན་པ་ལ་བརྟེན་ཏེ་རུས་པ་ཉི་ཤུ་སྐྱེད་དོ། །རྐང་པ་གཡས་པ་ལ་བརྟེན་ཏེ་རུས་པ་ཉི་ཤུ་སྐྱེད་དོ། ། ||| It produces twenty bones in the left leg, and it produces twenty bones in the right leg.
གཞན་ཡང་རྐང་པའི་རྟིང་པའི་རུས་པ་བཞི་དང་། རྗེ་ངར་གྱི་རུས་པ་གཉིས་དང་། ལྷ་ངའི་རུས་པ་གཉིས་དང་། བརླའི་རུས་པ་གཉིས་དང་། རྐེད་པ་དང་། དཔྱིའི་རུས་པ་གསུམ་གསུམ་དང་། སྒལ་ཚིགས་ཀྱི་རུས་པ་བཅྭ་བརྒྱད་དང་། རྩིབ་མའི་རུས་པ་ཉི་ཤུ་རྩ་བཞི་དང་། བྲང་གི་རུས་པ་སུམ་ཅུ་དང་། ལག་པ་གཡས་གཡོན་རེ་རེ་ལ་རུས་པ་ཉི་ཤུ་ཉི་ཤུ་ཚ་དང་། ལག་ངར་གྱི་རུས་པ་བཞི་དང་། དཔུང་པའི་རུས་པ་གཉིས་དང་། འགྲམ་པའི་རུས་པ་གཉིས་དང་། མགོ་བོའི་རུས་པ་བཞི་དང་། སོའི་རྩ་བའི་རུས་པ་སུམ་ཅུ་རྩ་གཉིས་ཀྱང་སྐྱེད་པར་བྱེད་དོ། ། ||| Furthermore, it produces four heel bones, two calf bones, two kneecaps, two thigh bones, three bones each of the waist and hips, eighteen bones of the spine, twenty-four ribs, thirty chest bones, twenty bones of each hand, four forearm bones, two shoulder bones, two jawbones, four bones of the head, and thirty-two tooth-root bones.
འདི་ལྟ་སྟེ། དཔེར་ན་གཟུགས་མཁན་ནམ། གཟུགས་མཁན་གྱི་སློབ་མ་མཁས་པས་སྔར་ཤིང་སྲ་བ་བླངས་ཏེ་ཕྱིས་སྲད་བུས་བཅིངས་ནས་གཟུགས་རྣམས་བྱས་པ་ལ་འཇིམ་པ་མ་བསྐུས་མོད་ཀྱི། འོན་ཀྱང་དེའི་ཚེ་རུས་པའི་མཚན་ཉིད་ཅེས་བརྗོད་པ་ ||| To give an analogy, a sculptor or a sculptor’s skilled apprentice, having first taken some hard wood and then bound it with cord, makes shapes; and even though at that time he has not yet applied clay, nevertheless, it is called a skeleton sign.
དེ་བཞིན་དུ་ལས་ཀྱི་རླུང་གི་སྟོབས་ཀྱིས་རུས་པ་རྣམས་བསྐྱེད་པའི་དུས་ཀྱི་ཚེ་ཡང་དེ་བཞིན་ཏེ། ||| The time when the force of the karmic wind produces bones is like this.
དེ་ལྟ་བས་ན་ཞག་བདུན་པོ་དེ་དག་ཏུ་རུས་པ་ཕྲ་མོ་མ་གཏོགས་པ་རུས་པ་ཆེན་པོ་བསྐྱེད་པའི་གྲངས་ནི་ཉིས་བརྒྱ་ཡོད་པར་རིག་པར་བྱའོ། ||| Therefore, one should know that in those seven days, leaving out the small bones, the large bones number two hundred. “
།ཞག་བདུན་ཕྲག་ཉི་ཤུ་གཅིག་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱིས་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་ཡང་དག་སྐྱེད་པ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the twenty-first week, again a karmic wind, proper production, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་མངལ་ན་གནས་པ་དེའི་ལུས་ཀྱི་ཤ་སྐྱེད་པར་བྱེད་དེ། ||| The force of this wind produces the flesh of the body of the being in the womb.
འདི་ལྟ་སྟེ། དཔེར་ན་ཞལ་ཞལ་མཁན་ནམ། ཞལ་ཞལ་མཁན་གྱི་སློབ་མས་འཇིམ་པ་ལེགས་པར་སྦྱངས་ནས་རྩིག་པ་རྣམས་ལ་ཞལ་ཞལ་བྱེད་པ་དེ་བཞིན་དུ་ལས་ཀྱི་རླུང་གི་དབང་གིས་དེའི་ལུས་ཀྱི་ཤ་སྐྱེད་པ་ཡང་དེ་བཞིན་དུ་རིག་པར་བྱའོ། ||| One should know that, just as a plasterer or a plasterer’s apprentice, having cleansed clay, plasters walls, in the same way, the force of this karmic wind produces the flesh of its body. “
།ཞག་བདུན་ཕྲག་ཉི་ཤུ་གཉིས་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་ཀུན་ཏུ་རྒྱལ་བ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the twenty-second week, again a karmic wind, completely victorious, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་དེའི་ལུས་ཀྱི་ཁྲག་སྐྱེད་པར་བྱེད་དོ། ||| The force of this wind produces the blood of its body. “
།ཞག་བདུན་ཕྲག་ཉི་ཤུ་གསུམ་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་ཡོངས་སུ་དག་པར་འཛིན་པ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the twenty-third week, again a karmic wind, hold cleanly, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་ལུས་ཀྱི་པགས་པ་སྐྱེད་པར་བྱེད་དོ། ||| The force of this wind produces the skin of its body. “
།ཞག་བདུན་ཕྲག་ཉི་ཤུ་བཞི་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་སྤྲིན་འཛིན་ཅེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the twenty-fourth week, again a karmic wind, holding clouds, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་དེའི་ལུས་ཀྱི་ལག་པ་རྐྱོང་ཞིང་མདོག་དང་ལྡན་པར་བྱེད་དོ། ||| The force of this wind stretches out the skin of its body and gives it color. “
།ཞག་བདུན་ཕྲག་ཉི་ཤུ་ལྔ་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་གྲོང་ཁྱེར་འཛིན་ཅེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the twenty-fifth week, again a karmic wind, holding the city, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་མངལ་ན་གནས་པ་དེའི་ལུས་ལ་ཤ་དང་ཁྲག་འཕེལ་ཞིང་རིམ་གྱིས་རབ་ཏུ་དང་བར་བྱེད་དོ། ||| The force of this wind makes the flesh and blood of the body of the being in the womb increase and gradually purifies it. “
།ཞག་བདུན་ཕྲག་ཉི་ཤུ་དྲུག་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་སྐྱེ་བ་མངོན་པར་གྲུབ་ཅེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the twenty-sixth week, again a karmic wind, completion of birth, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་དེའི་སྐྲ་དང་། སྤུ་དང་། སེན་མོ་རྣམས་བསྐྱེད་ནས་ཐམས་ཅད་རྩ་རྒྱུས་རྣམས་དང་འབྲེལ་པར་བྱེད་དོ། ||| The force of this wind produces its hair, bodily hair, and nails, and connects them each individually to the channels. “
།ཞག་བདུན་ཕྲག་ཉི་ཤུ་བདུན་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་སྨན་ཡོན་ཆེན་པོ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the twenty-seventh week, again a karmic wind, crooked medicine, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་དེའི་ལུས་ཀྱི་མཚན་མ་རྣམས་མཐར་གྱིས་མངོན་པར་གྲུབ་པ་ཞེས་བྱ་སྟེ། ||| It is said that, due to the force of this wind, the characteristics of its body gradually come into existence. “
གང་ཚེ་རབས་སྔ་མ་ལ་སྡིག་པ་མི་དགེ་བའི་ལས་རྣམས་མངོན་པར་འདུས་བྱས་ཤིང་ཡོ་བྱད་རྣམས་ལ་སེར་སྣས་ཕངས་ཤིང་སྦྱིན་པ་གཏོང་བར་མི་བྱེད་པ་དང་། ཕ་མ་དང་། མཁན་པོ་དང་། བླ་མའི་གནས་རྣམས་ཀྱིས་རྗེས་སུ་བསྟན་པ་ཉན་པར་མི་བྱེད་པ་ཞིག་ཡིན་ན་ནི་ལས་དེའི་དབང་གིས་ཡིད་དུ་མི་འོང་བའི་ལུས་རྣམ་པ་སྣ་ཚོགས་འཐོབ་པར་འགྱུར་བས་ ||| If, in a former life, it engaged in bad and nonvirtuous actions—for example, not being charitable due to being stingy with and greedy for goods, and not listening to the teachings of spiritual masters, such as parents, teachers, and gurus —due to the force of those actions, it will obtain an undesirable body of one sort or another.
གལ་ཏེ་ལུས་རིང་ཞིང་སྦོམ་པ་དང་། ཚོ་ཞིང་དཀར་བ་དང་། མཉེན་པ་གང་ཡིན་པ་དེས་མཛེས་པར་གྱུར་ན་ནི་ལུས་ཐུང་ཞིང་ཕྲ་བ་དང་། རིད་ཅིང་གནག་པ་དང་། རྩུབ་པ་དག་འཐོབ་པར་བྱེད་དོ། ། ||| If long and heavy, fleshy and white, and supple bodies are considered attractive, it will obtain a body that is short and thin, skinny and black, and hard.
གལ་ཏེ་ལུས་ཐུང་ཞིང་ཕྲ་བ་དང་། རིད་ཅིང་གནག་པ་དང་། རྩུབ་པ་གང་ཡིན་པ་དེས་མཛེས་པར་གྱུར་ན་ནི་ལུས་རིང་ཞིང་སྦོམ་པ་དང་། ཚོ་ཞིང་དཀར་བ་དང་། ཤིན་ཏུ་མཉེན་པ་དག་འཐོབ་པར་བྱེད་དོ། ། ||| If short and thin, skinny and black, and hard bodies are considered attractive, it will obtain a body that is long and heavy, fleshy and white, and very supple.
གལ་ཏེ་ལུས་ཀྱི་ཡན་ལག་མཐོ་བ་དང་། དམའ་བ་དང་། མང་བ་དང་། ཉུང་བ་དང་། ཐགས་བཟང་བ་དང་། ཐགས་ངན་པས་མཛེས་པར་གྱུར་ན་ནི་མཐོ་བ་དང་། དམའ་བ་དང་། ཐགས་བཟང་བ་དང་། ཐགས་ངན་པ་དང་མི་ལྡན་པའི་ལུས་ཡང་དག་པར་ལེན་པར་བྱེད་དོ། ། ||| If bodily parts are considered attractive because they are high, low, many, few, dense, or thin, it will not obtain a body that has high, low, many, few, dense, or thin bodily parts.
གཞན་ཡང་འོན་པ་དང་། ལོང་བ་དང་། ལྐུགས་པ་དང་། རྐང་ལག་འཕྱེ་ཞིང་འགྲོ་བ་དང་། དབང་པོ་རྣམས་མ་ཚང་བ་དང་། ཚིག་སྨྲས་པ་གཞན་གྱིས་མཉན་པར་མི་འདོད་པ་དང་། ལུས་མི་སྡུག་ཅིང་ཡི་དགས་དང་འདྲ་བ་ཡང་དག་པར་ལེན་པར་འགྱུར་ཏེ། ||| Moreover, it will be deaf, blind, or dumb, move by crawling on its hands and feet, have impaired faculties, or have speech that others do not wish to listen to; or it will obtain an ugly body, like a preta.
སྡིག་པ་མི་དགེ་བའི་ལས་ཀྱི་དབང་གིས་ཡིད་དུ་མི་འོང་བའི་ལུས་རྣམ་པ་སྣ་ཚོགས་ལེན་པར་འགྱུར་བས་ཕ་མ་དང་། གཉེན་བཤེས་རྣམས་ཀྱིས་ཀྱང་མཐོང་བར་མི་འདོད་ན་གཞན་ལྟ་སྨོས་ཀྱང་ཅི་དགོས། ||| Since it obtains an undesirable body of one sort or another due to its bad and nonvirtuous actions, not even its relatives and friends, to say nothing of other people, wish to see it. “
གལ་ཏེ་ཚེ་རབས་སྔ་མ་ལ་དགེ་བ་བཅུའི་ལས་མངོན་པར་འདུས་བྱས་ཤིང་སྦྱིན་པ་ལེགས་པར་བཏང་བ་དང་། སེར་སྣ་དང་། གཡོ་སྒྱུའི་བསམ་པ་མེད་པ་དང་། ཕ་མ་དང་། མཁན་པོ་དང་། བླ་མའི་གནས་རྣམས་ཀྱིས་རྗེས་སུ་བསྟན་པ་དག་ལ་མངོན་པར་ཡིད་ཆེས་ཤིང་ཡང་དག་པར་བླངས་པ་ཞིག་ཡིན་ན་ནི་རྒྱུ་དང་རྐྱེན་དེས་གལ་ཏེ་མིའི་ལུས་ཐོབ་པར་གྱུར་ན་ཡང་གོང་དུ་བསྟན་པ་ལྟ་བུའི་སྡིག་པ་མི་དགེ་བའི་ལས་ལས་མངོན་པར་གྲུབ་པའི་ལུས་ལེན་པར་མི་འགྱུར་ཞིང་ ||| If, in a former life, it engaged in the ten virtuous actions—for example, being charitable and not being greedy or deceitful, and adopting with great conviction the teachings of spiritual masters, such as parents, teachers, and gurus—due to those causes and conditions, if it obtains a human body, it will not obtain a body that has come into existence as a result of the bad and nonvirtuous actions explained above.
གྱ་ནོམ་པ་རྣམ་པ་སྣ་ཚོགས་དང་ལྡན་པའི་ལུས་ཐོབ་པར་འགྱུར་བས་བྱང་བཞིན་མཛེས་པ་དང་། མཚན་རྣམས་དང་ལྡན་ཞིང་ཚིག་སྨྲས་པ་རྣམས་མང་པོ་ཀུན་གྱིས་མཉན་པར་འདོད་པའི་འོས་སུ་འགྱུར་ཏེ། ||| Instead, by obtaining a body endowed with various types of auspiciousness, and having good qualities and an attractive countenance, it will be worthy of everyone’s wish to listen to whatever it says.
དེ་ལྟ་བས་ན་དགེ་བའི་ལས་ཀྱི་དབང་གིས་ཁྱད་པར་དུ་འཕགས་པའི་འབྲས་བུ་རྣམ་པར་སྨིན་པ་དེ་ལྟ་བུ་ཐོབ་པར་འགྱུར་བར་རིག་པར་བྱའོ། ||| It should thus be understood that, due to the force of virtuous actions, the being in the womb will obtain the most excellent result. “
།དགའ་བོ་དེ་ལྟ་བུའི་ལུས་དེ་ཡང་གལ་ཏེ་ཕོ་ཡིན་ནི་མའི་མངལ་ན་གཡས་ཕྱོགས་སུ་ཙོག་པུར་འདུག་ལ། ལག་པ་གཉིས་ཀྱིས་གདོང་གཡོགས་ནས་མའི་སྒལ་ཚིགས་ལོགས་སུ་བལྟས་ཏེ་འདུག་གོ ། ||| Nanda, the body of this sort, if it is male, squats on the right side of the mother’s womb and, covering its face with both hands, faces the mother’s spine.
གལ་ཏེ་མོ་ཡིན་ནི་རྩིབ་ལོགས་གཡོན་ཕྱོགས་ན་ཙོག་པུར་འདུག་ལ་ལག་པ་གཉིས་ཀྱིས་གདོང་གཡོགས་ནས་མའི་ལྟོ་བ་ལ་ཁ་བལྟས་ནས་ ||| If it is female, it squats on the left side of the mother’s ribs and, covering its face with both hands, faces the mother’s belly.
མ་ཞུ་བའི་གནས་ཀྱི་ནི་འོག །ཞུ་བའི་གནས་ཀྱི་ནི་སྟེང་ན་ནང་དུ་བཙོས། ||| It cooks beneath the stomach and above the intestines.
རབ་ཏུ་བཙོས་ཤིང་གནས་ལྔ་ཀུན་ཏུ་བཅིངས་པས། འདི་ལྟ་སྟེ། དཔེར་ན་རྩྭའི་རྐྱལ་བའི་ནང་ན་འདུག་པ་དང་འདྲའོ། ། ||| Boiling, it is bound in five places, as if it were in a straw bag.
གལ་ཏེ་དེའི་མས་ཤིན་ཏུ་མང་དུ་ཟོས་སམ། ཤིན་ཏུ་ཉུང་ངུ་ཟོས་སམ། གལ་ཏེ་ཟས་ཤིན་ཏུ་མངར་བ་འམ། ཤིན་ཏུ་རྩུབ་པའམ། ཤིན་ཏུ་བསྐ་བའམ། ཤིན་ཏུ་སྣུམ་པའམ། ཤིན་ཏུ་ལན་ཚྭ་བྲོ་བའམ། ཤིན་ཏུ་ཁ་བའམ། ཤིན་ཏུ་སྐྱུར་བའམ། ཤིན་ཏུ་གྲང་བའམ། ཤིན་ཏུ་ཚ་བ་དག་ཟོས་པར་གྱུར་ཏམ། གཞན་ཡང་འདོད་ཆགས་སྤྱད་པར་གྱུར་ཏམ། དྲག་ཏུ་སོང་བའམ་མཆོངས་པ་བྱས་སམ། ཡུན་རིང་དུ་ཉལ་ལམ། ཡུན་རིང་དུ་འདུག་པར་གྱུར་ན་ཡང་། མངལ་ན་གནས་པ་དེ་སྡུག་བསྔལ་མྱོང་བར་འགྱུར་ཏེ། ||| If its mother eats too much or eats too little, or if she eats food that is too sweet, or too dry, or too astringent, or too oily, or too salty, or too bitter, or too sour, or too cold, or too hot, or, furthermore, if she engages in sexual activities, or moves violently, or jumps, or sleeps too long, or sits too long, the being in the womb will experience suffering.
དེ་ལྟ་བས་ན་མའི་མངལ་ན་གནས་པའི་ཚེ་སྡུག་བསྔལ་མང་པོ་དེ་ལྟ་བུ་དག་གིས་རབ་ཏུ་གཟིར་བར་རིག་པར་བྱའོ། ||| Therefore it should be understood that, at the time of living in the mother’s womb, the fetus is tormented by many types of suffering such as those.
།ངས་མིར་གྱུར་པའི་སྡུག་བསྔལ་མདོ་ཙམ་དུ་བསྟན་པ་ཡང་དེ་འདྲ་ན་སེམས་ཅན་དམྱལ་བ་རྣམས་ཀྱི་སྡུག་བསྔལ་དཔེར་བྱ་དཀའ་བལྟ་སྨོས་ཀྱང་ཅི་དགོས་ཏེ། ||| If the suffering of one who becomes human that I have briefly explained is like that, what need is there to mention the suffering of beings born in hell, which is difficult to compare to anything?
མཁས་པ་སུ་ཞིག་འཁོར་བའི་རྒྱ་མཚོར་ལུས་འདི་ལྟ་བུ་ལ་རབ་ཏུ་མོས་པར་བྱེད། ||| What wise person would yearn for such a body in the ocean of saṃsāra? “
ཞག་བདུན་ཕྲག་ཉི་ཤུ་བརྒྱད་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཕྱིན་ཅི་ལོག་གི་འདུ་ཤེས་རྣམ་པ་བརྒྱད་འབྱུང་བར་འགྱུར་ཏེ། ||| While the being in the mother’s womb is in the twenty-eighth week, eight mistaken perceptions will arise.
བརྒྱད་གང་ཞེ་ན། ||| What are the eight?
བཞོན་པའི་འདུ་ཤེས་དང་། ཁང་བུ་བརྩེགས་པའི་འདུ་ཤེས་དང་། ཁྲི་སྟན་གྱི་འདུ་ཤེས་དང་། ཆུ་མིག་གི་འདུ་ཤེས་དང་། རྫིང་གི་འདུ་ཤེས་དང་། ཆུ་བོའི་འདུ་ཤེས་དང་། ཀུན་དགའ་ར་བའི་འདུ་ཤེས་དང་། སྐྱེད་མོས་ཚལ་གྱི་འདུ་ཤེས་ཏེ། ||| the perception of a vehicle, the perception of a penthouse, the perception of a couch, the perception of a spring, the perception of a pond, the perception of a river, the perception of a pleasure garden, and the perception of a grove.
འདི་ནི་འདུ་ཤེས་རྣམ་པ་བརྒྱད་ཅེས་བྱའོ། ||| These are the eight perceptions. “
།ཞག་བདུན་ཕྲག་ཉི་ཤུ་དགུ་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་མེ་ཏོག་ཕྲེང་བ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the twenty-ninth week, again a karmic wind, flower garland, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་མངལ་ན་གནས་པ་དེའི་ལུས་ཀྱི་པགས་པའི་མདོག་ཀུན་ཏུ་བཟང་ཞིང་མཚན་མ་རྣམས་རབ་ཏུ་གསལ་བར་བྱེད་དེ། ||| The force of this wind makes the complexion of the being in the womb excellent and makes its features very clear.
ཐ མས་ཅད་ཀྱང་འདས་པའི་དུས་སུ་ལས་རྣམས་མངོན་པར་འདུས་བྱས་པའི་བྱེ་བྲག་མི་མཚུངས་པས་རྣམ་པ་ཇི་ལྟ་བ་བཞིན་དུ་ཁ་དོག་རྣམ་པ་སྣ་ཚོགས་དང་ལྡན་པར་འགྱུར་བས་ཁ་ཅིག་ནི་ཁ་དོག་དཀར་པོར་འགྱུར། ཁ་ཅིག་ནི་ཁ་དོག་ནག་པོར་འགྱུར། ||| Because all beings have engaged in different types of action in the past, they will accordingly have various types of complexion.
ཁ་ཅིག་ནི་ཁ་དོག་དཀར་བ་ཡང་མ་ཡིན། གནག་པ་ཡང་མ་ཡིན་པར་འགྱུར། ཁ་ཅིག་ནི་ཁ་དོག་སྔོན་པོར་འགྱུར། ཁ་ཅིག་ནི་ཁ་དོག་རྩུབ་ཅིང་སྐམ་པར་འགྱུར། ཁ་ཅིག་ནི་ཁ་དོག་སྣུམ་པར་འགྱུར་ཏེ། ||| Some will be white, some will be black, some will be neither white nor black, some will be blue, some will be rough and dry, and some will be smooth.
འདི་ལྟ་བུའི་ཁ་དོག་གི་མཚན་ཉིད་དང་ལྡན་པར་འགྱུར་རོ། ||| They will have complexion characteristics of these sorts. “
།ཞག་བདུན་ཕྲག་སུམ་ཅུ་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་ལྕགས་ཀྱི་སྒོ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the thirtieth week, again a karmic wind, iron aperture, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་དེའི་སྐྲ་དང་། སྤུ་དང་། སེན་མོ་རྣམས་རབ་ཏུ་སྐྱེད་པ་དང་། ཁ་དོག་དཀར་ནག་རྣམས་རབ་ཏུ་གསལ་བར་བྱེད་དེ་ ||| The force of this wind increases the hair, bodily hair, and nails, and it clarifies white and black complexions.
ལས་ཀྱི་རྐྱེན་གྱིས་མཚན་མ་འདི་དང་འདི་དག་འབྱུང་བར་འགྱུར་རོ། ||| These features will appear due to karmic conditions. “
