༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཨ་ཛཱ་ཏ་ཤ་ཏྲུ་ཀཽ་ཀྲྀཏྟྱ་བི་ནོ་ད་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་མ་སྐྱེས་དགྲའི་འགྱོད་པ་བསལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Eliminating Ajātaśatru’s Remorse
།དེ་ནས་གནས་བརྟན་འོད་སྲུང་ཆེན་པོ་དགེ་སློང་ལྔ་བརྒྱ་ཙམ་པོ་དེ་དག་དང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པའི་གཙུག་ལག་ཁང་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། དགའ་བ་དང་། མགུ་བའི་གཏམ་རྣམ་པ་སྣ་ཚོགས་བྱས་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ||| The elder Mahākāśyapa and the five hundred monks then went to Mañjuśrī Kumārabhūta’s monastery and had many pleasing and enjoyable conversations with Mañjuśrī before they sat down to one side.
།དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་གནས་བརྟན་འོད་སྲུང་ཆེན་པོ་ཕྱོགས་གཅིག་ཏུ་འདུག་པ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་ཅིའི་ཕྱིར་ན་ནང་པར་སྔར་ཤམ་ཐབས་བགོས། ཆོས་གོས་དང་ལྷུང་བཟེད་ཁྱེར་ཏེ་འགྲོ། ||| Mañjuśrī Kumārabhūta then asked the elder Mahākāśyapa seated there, “Venerable Mahākāśyapa, why did you earlier don your lower garment and go out with your Dharma robes and alms bowl?” “
སྨྲས་པ། འཇམ་དཔལ་བདག་ནི་བསོད་སྙོམས་ཀྱི་སླད་དུ་རྒྱལ་པོའི་ཁབ་ཏུ་མཆི་བར་འཚལ་ལོ། ||| Mañjuśrī, I decided to go to Rājagṛha to collect alms.”
།འཇམ་དཔལ་གྱིས་སྨྲས་པ། ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་འཁོར་དང་བཅས་པ་ལ་བདག་གིས་བཤོས་གསོལ་གྱིས་དགོངས་ཤིག ། ||| Mañjuśrī replied, “Venerable Mahākāśyapa, I intend to offer you and your retinue food.” “
སྨྲས་པ། འཇམ་དཔལ་བགྱིས་ཤིང་མཆོད་པར་འཚལ་ཏེ། བདག་ནི་ཆོས་འཚལ་གྱི། ཟང་ཟིང་འཚལ་བ་མ་ལགས་སོ། ། ||| Mañjuśrī, while I do seek offerings, I seek the Dharma, not material things.” “
སྨྲས་པ། ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་བདག་ལ་དགོངས་ཤིག་དང་ཟང་ཟིང་གིས་བསྡུ་བ་དང་། ||| Venerable Mahākāśyapa, heed me.
ཆོས་ཀྱིས་བསྡུ་བ་གཉི་ག་ཁྱོད་ལ་འདུ་བར་མཆིའོ། ||| I will collect for you both a collection of material things and a collection of the Dharma.”
།འོད་སྲུང་ཆེན་པོས་སྨྲས་པ། འཇམ་དཔལ་བདག་ནི་འཚལ་མ་ཆད་ཀྱང་ཁྱོད་ཀྱི་སླད་བཞིན་དུ་འབྲང་འཚལ་ལོ། ||| Mahākāśyapa replied, “Mañjuśrī, even if I had to give up food for the day, I would still follow you.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why is this?
ཆོས་སྟོན་པ་དེ་ནི་ཇི་ལྟར་ཁྱོད་ཀྱི་དྲུང་ནས་ཐོས་པ་འདྲ་བར་གཞན་ལས་མི་ཐོས་སོ། ||| I will not hear the Dharma that you teach from anyone but you.
།འཇམ་དཔལ་དེ་རིང་སེམས་ཅན་ཆེན་པོ་དེ་དག་དང་གང་དུ་བཤོས་གསོལ། ||| Mañjuśrī, where will you have your meal today with these great beings?”
འཇམ་དཔལ་གྱིས་སྨྲས་པ། ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་གང་གི་ཚེ་བདག་ཅག་ལ་སྦྱིན་པ་སྦྱིན་ནས་འཁོར་བ་ལས་ཀྱང་མི་སྐྱོད། ||| Mañjuśrī replied, “Venerable Mahākāśyapa, today we shall have our meal from a person who has been generous toward us.
མྱ་ངན་ལས་འདས་པ་ཡང་རྟོགས་པར་མི་བྱེད། སོ་སོའི་སྐྱེ་བོའི་ས་ལས་ཀྱང་མི་འདའ། འཕགས་པའི་ཆོས་མངོན་པར་ཡང་མི་བྱེད་པ་དེའི་ཟས་དེ་རིང་འཚལ་ལོ། ||| It is a person who does not move away from saṃsāra, who does not think of nirvāṇa, who does not pass beyond the level of an ordinary being, and who does not actualize the qualities of the noble ones.
།ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་གང་གིས་བདག་ཅག་ལ་སྦྱིན་པ་བྱིན་ནས་འབྲི་བར་ཡང་མི་འགྱུར་འཕེལ་བར་ཡང་མི་འགྱུར། ཆོས་གང་ཡང་སྐྱེད་པར་ཡང་མི་བགྱིད། འགག་པར་ཡང་མི་བགྱིད། ཆོས་གང་གཏོང་བར་ཡང་མི་བགྱིད། ཐོབ་པར་ཡང་མི་བགྱིད་པ་དེའི་ཟས་དེ་རིང་འཚལ་ལོ། ||| Venerable Mahākāśyapa, today we shall have our meal from a person for whom—after he has been generous toward us—no decrease or increase will come, nothing will be generated or stopped, and nothing will be given or gained.”
།གནས་བརྟན་གྱིས་སྨྲས་པ། འཇམ་དཔལ་དེ་ལྟར་སྦྱིན་པར་བགྱིད་པ་དེ་དང་དེ་དག་ནི་སྦྱིན་བདག་ཆེན་པོ་ལགས་ཀྱིས་མཆིའོ།། །། ||| The elder replied, “Mañjuśrī, such ways of generosity are practiced by great donors.”
བམ་པོ་བཞི་པ།
དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་འདི་སྙམ་དུ་གྱུར་ཏེ། བདག་ནི་སངས་རྒྱས་ཀྱི་རྣམ་པར་རོལ་པས་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོར་འགྲོའོ་སྙམ་མོ། ||| Then Mañjuśrī Kumārabhūta thought, “I will go to the city of Rājagṛha by means of the play of a buddha.”
།ཡང་དེའི་ཚེ་ན་ཏིང་ངེ་འཛིན་རྫུ་འཕྲུལ་ཐམས་ཅད་རྣམ་པར་འཕྲུལ་པ་ཞེས་བྱ་བ་ལ་མཉམ་པར་བཞག་གོ། ||| He then entered the absorption called manifesting all miracles.
།འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་རྫུ་འཕྲུལ་ཐམས་ཅད་རྣམ་པར་འཕྲུལ་པའི་ཏིང་ངེ་འཛིན་ལ་མཉམ་པར་བཞག་མ་ཐག་ཏུ་དེ་ནས་མི་མཇེད་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ཐམས་ཅད་ལག་མཐིལ་བཞིན་དུ་མཉམ་པར་གྱུར་ཏོ། ||| As soon as Mañjuśrī Kumārabhūta rested in the absorption called manifesting all miracles, the entire Sahā world became even like the palm of a hand.
།སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ཐམས་ཅད་ཀྱང་སྣང་བ་ཆེན་པོས་སྣང་བར་གྱུར་ཏོ། ||| All the worlds in the great trichiliocosm were filled with bright light.
།སེམས་ཅན་དམྱལ་བ་པའི་སེམས་ཅན་རྣམས་ཀྱི་སྡུག་བསྔལ་ཡང་རྒྱུན་ཆད་དོ། །བྱོལ་སོང་གི་སྐྱེ་གནས་པ་དང་། གཤིན་རྗེའི་འཇིག་རྟེན་པའི་སེམས་ཅན་རྣམས་ཀྱི་སྡུག་བསྔལ་ཡང་རྒྱུན་ཆད་དོ། ||| The suffering of beings in the hell realms ceased, as did the suffering of beings in the animal realms and in the realms of Yama.
།སེམས་ཅན་གང་ཡང་འདོད་ཆགས་སམ། ཞེ་སྡང་ངམ། གཏི་མུག་གམ། ང་འམ། གཡོའམ། ཁྲོ་བའམ། གནོང་འཆབ་པར་གྱུར་པ་མེད་དོ། ། ||| The attachment, aggression, dullness, fear, anxiety, anger, and sorrow of every being was eliminated.
དེའི་ཚེ་སེམས་ཅན་ཐམས་ཅད་གཅིག་ལ་གཅིག་ཕ་དང་མར་འདུ་ཤེས་ཤིང་བྱམས་པ་ལ་གནས་པར་གྱུར་ཏོ། ||| At that moment, all beings regarded one another as parents and loved one another.
།སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ཡང་རྣམ་པ་དྲུག་ཏུ་རབ་ཏུ་གཡོས་སོ། ||| All the worlds in the great trichiliocosm shook six times.
།འདོད་པ་ན་སྤྱོད་པ་དང་། གཟུགས་ན་སྤྱོད་པའི་ལྷའི་བུ་རྣམས་ཀྱང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་མཆོད་པར་བྱ་བའི་ལས་ལ་བརྩོན་པར་གྱུར་ཏོ། ||| The gods in the realm of desire and the realm of form exerted themselves in venerating Mañjuśrī Kumārabhūta.
།སིལ་སྙན་བརྒྱ་སྟོང་ཡང་དཀྲོལ་བར་གྱུར་ཏོ། །མེ་ཏོག་དྲི་ཞིམ་པོའི་ཆར་ཀྱང་མངོན་པར་བབ་བོ། །ལམ་གྱི་བྱི་དོར་ཡང་བྱས་སོ། ||| Hundreds of thousands of instruments resounded, a rain of fragrant flowers fell, and paths were swept.
།འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་ཏིང་ངེ་འཛིན་དེ་ལ་སྙོམས་པར་ཞུགས་མ་ཐག་ཏུ་དེ་ནས་གཙུག་ལག་ཁང་དེའི་སྒོ་ནས་བཟུང་སྟེ། གྲོང་ཁྱེར་གྱི་སྒོའི་བར་དུ་དེའི་བར་གྱི་ལམ་ཐམས་ཅད་ལག་མཐིལ་བཞིན་དུ་མཉམ་པར་གྱུར་ཏོ། ||| As soon as Mañjuśrī Kumārabhūta entered that absorption, the entire road from the monastery gate to the city gate became even like the palm of one’s hand.
།རིན་པོ་ཆེ་དུ་མ་ནི་བསྩགས། རིན་པོ་ཆེ་དུ་མས་ནི་སྤྲས། རིན་པོ་ཆེའི་སྟེགས་བུས་ནི་བསྐོར། ||| The road was paved with many gems, numerous other jewels were strewn about, and jeweled railings were placed along both sides of the road.
ཞེང་དུ་ཤིང་རྟ་བདུན་ཙམ་དུ་མེ་ཏོག་པད་མ་དམར་པོ་དང་། ཀུ་མུ་ད་དང་། པུན་ད་རཱི་ཀས་ནི་གང་། ||| Pink, red, and white lotus flowers filled an area the width of seven chariots.
སྟེང་ནས་ནི་རིན་པོ་ཆེའི་དྲ་བས་གཡོགས། དར་གྱི་ལྡ་ལྡི་མང་པོ་ནི་བྲེས། ||| Above the road were nets of jewels, which were draped with many silken tassels.
གདུགས་དང་། རྒྱལ་མཚན་དང་། བ་དན་དང་། རུ་མཚོན་ནི་བསྒྲེང་བར་གྱུར་ཏོ། ||| Parasols, banners, standards, and pennants were erected.
།རིན་པོ་ཆེའི་སྟེགས་བུ་གཉིས་ཀྱི་གཡས་གཡོན་དུ་མདའ་རྒྱང་རེ་རེ་ཙམ་ན་རིན་པོ་ཆེའི་ཤིང་ཡོད་པར་གྱུར་ཏོ། ||| On both sides of the jeweled railings were jeweled trees up to the distance of an arrow shot.
།རིན་པོ་ཆེའི་ཤིང་ཐམས་ཅད་ལས་རིན་པོ་ཆེའི་ཤིང་གཉིས་པ། རིན་པོ་ཆེའི་སྲད་བུས་སྦྲེལ་བར་གྱུར་ཏོ། །རིན་པོ་ཆེའི་ཤིང་རེ་རེ་ལས་ཀྱང་གང་དྲི་བྱུང་བར་གྱུར་པའི་དྲི་དེས་ནི་དཔག་ཚད་གཅིག་ཁོ་ར་ཁོར་ཡུག་ཏུ་ཁྱབ་པར་གྱུར་ཏོ། ||| All the jeweled trees were connected with jeweled cords, and from each jeweled tree wafted a fragrance that filled the atmosphere for up to a league.
།རིན་པོ་ཆེའི་ཤིང་གཉིས་ཀྱི་བར་ན་རྫིང་བུ་སྤྲུལ་པར་གྱུར་ཏེ། གསེར་གྱི་བྱེ་མ་ནི་བཀྲམ། རིན་པོ་ཆེའི་སྟེགས་བུས་ནི་བསྐོར། ནོར་བུ་བཻ་དཱུརྱའི་སྐས་ནི་ཟུག ། ||| Between every pair of jeweled trees emanated small ponds underlain by golden sand, surrounded by jewel ledges, and entered via stairs made of beryl gems.
མེ་ཏོག་ཨུད་པ་ལ་དང་། པད་མ་དང་། ཀུ་མུ་ད་དང་། པུན་ད་རཱི་ཀས་ནི་བཀབ། བྱ་ངུར་པ་ནི་སྐད་འབྱིན། ||| The ponds were covered with blue, pink, red, and white lotuses, and the calls of ducks rang out.
ཆུ་ཡན་ལག་བརྒྱད་དང་ལྡན་པས་ནི་ཡོངས་སུ་གང་བར་གྱུར་ཏོ། ||| The ponds were filled water of eight qualities.
།ཤིང་ཐམས་ཅད་ལ་རིན་པོ་ཆེ་དང་གསེར་གྱི་དྲ་བ་ནི་བྲེས་པར་གྱུར་ཏོ། ||| Each tree was draped with nets of jewels and gold.
།རིན་པོ་ཆེའི་ཤིང་ཐམས་ཅད་ཀྱི་བར་ན་རིན་པོ་ཆེའི་པོག་ཕོར་ནས་སྤོས་ཀྱིས་ནི་བདུགས་པར་གྱུར་ཏོ། །རིན་པོ་ཆེའི་ཤིང་ཐམས་ཅད་ཀྱི་དྲུང་ན་ལྷའི་བུ་མོ་ཉི་ཤུ་རྩ་ལྔ་ལྔ་སྤྲུལ་ཡོད་པ་ནས་བྱུང་བའི་ཙན་དན་གྱི་སྙིང་པོའི་ཕྱེ་མ་ཐོགས་ཏེ་འདུག་པར་གྱུར་ཏོ། ||| Between the jeweled trees were jeweled incense bowls wafting incense, and before each jeweled tree manifested twenty-five goddesses bearing sandalwood powder.
།འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་ཏིང་ངེ་འཛིན་དེ་ལ་སྙོམས་པར་ཞུགས་མ་ཐག་ཏུ་དེ་ནས་དེའི་ཚེ་ངོ་མཚར་དང་རྨད་དུ་བྱུང་བ་འདི་དག་དང་གཞན་དག་ཀྱང་སྣང་ངོ་། ||| As soon as Mañjuśrī Kumārabhūta entered this absorption, these and other wonders and marvels occurred.
།དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་ཤམ་ཐབས་བགོས་ཏེ། གནས་བརྟན་འོད་སྲུང་ཆེན་པོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་ཁྱོད་ནི་མདུན་དུ་བཞུད་ཅིག ། ||| Mañjuśrī Kumārabhūta then donned his lower garment and said to the elder Mahākāśyapa, “Venerable Mahākāśyapa, please go first.
བདག་ནི་ཁྱོད་ཀྱི་སླད་བཞིན་དུ་མཆིའོ། ||| I will follow you.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why so?
གནས་བརྟན་འོད་སྲུང་ཆེན་པོ་ནི་བགྲེས་ལ་རབ་ཏུ་བྱུང་ནས་ཀྱང་ཡུན་རིང་སྟེ། ||| Elder Mahākāśyapa, you are senior, and more time has passed since you were ordained.
དེ་བཞིན་གཤེགས་པ་མ་མཐོང་བར་རབ་ཏུ་བྱུང་ཞིང་། གང་འཇིག་རྟེན་ན་དགྲ་བཅོམ་པ་དེའི་རྗེས་སུ་རབ་ཏུ་བྱུང་བས་དེ་བས་ན། ||| You took ordination without having seen the Thus-Gone One—instead you took ordination with those who are worthy ones in the world.
ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་ཁྱོད་ནི་མདུན་དུ་བཞུད་ཅིག ། ||| Thus, Venerable Mahākāśyapa, please go first.”
དེ་སྐད་ཅེས་སྨྲས་པ་དང་། འོད་སྲུང་ཆེན་པོས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །འཇམ་དཔལ་ལེགས་པར་གསུངས་པའི་ཆོས་འདུལ་བ་ལས་ནི་སུ་ཡང་ནས་རྒན་པ་དང་། ལོ་གྲངས་ཀྱིས་རྒན་པ་ཞེས་མི་བགྱིའི། ||| Mahākāśyapa said to Mañjuśrī Kumārabhūta, “Mañjuśrī, in the well-spoken Dharma-Vinaya, no one is considered senior because of their age.
འཇམ་དཔལ་ལེགས་པར་གསུངས་པའི་ཆོས་འདུལ་བ་ལས་ནི། ཤེས་རབ་ཀྱིས་རྒན་པ་དང་། ཐོས་པས་རྒན་པ་དང་། སྤོབས་པས་རྒན་པ་དང་། དབང་པོ་ཤིན་ཏུ་རྣམ་པར་ཕྱེ་བ་ལ་རྒན་པ་ཞེས་བགྱི་ལ། ||| Mañjuśrī, in the well-spoken Dharma-Vinaya, one is considered senior because of one’s knowledge, study, eloquence, and discerning faculties.
འཇམ་དཔལ་ཁྱོད་ཀྱང་ཤེས་རབ་ཀྱིས་བགྲེས། གསན་པས་བགྲེས། སྤོབས་པས་བགྲེས། ||| Mañjuśrī, you are senior in knowledge, study, and eloquence.
དབང་པོ་དམ་པ་དང་། དམ་པ་མ་ལགས་པར་མཁྱེན་པ་ལ་མཁས་པས་དེའི་སླད་དུ་ཁྱོད་ཉིད་ཐུ་བོ་བགྲེས་པ་ལགས་ཀྱིས་མདུན་དུ་བཞུད་ཅིག ། བདག་ནི་ཁྱོད་ཀྱི་སླད་བཞིན་དུ་མཆིའོ། ||| You are also more knowledgeable with regard to knowing both sublime and ordinary faculties. Therefore, you are the most senior. So, you should go first, and then I will follow you. “
།ཡང་འཇམ་དཔལ་དོན་འདི་ཉིད་ཤིན་ཏུ་བཤད་པའི་སླད་དུ་སྐབས་འདིར་བདག་གིས་དཔེ་ཙམ་ཞིག་བཤད་པར་སྤོབས་སོ། ། ||| Mañjuśrī, in order to clearly explain this point, I would like to mention an analogy here.
འཇམ་དཔལ་འདི་ལྟ་སྟེ། དཔེར་ན་སེང་གེའི་ཕྲུ་གུ་བྱུང་ནས་རིང་པོ་མ་ལོན་པ་ནི་བདག་གི་སྟོབས་ཀྱི་ཤུགས་མ་རྫོགས་མོད་ཀྱི། ||| Mañjuśrī, to draw an analogy, it is only long after a lion cub is born that it reaches its full strength.
སེང་གེའི་ཕྲུ་གུ་དེའི་དྲི་རླུང་གིས་གང་དང་གང་དུ་ཁྱེར་བ་དེ་དང་དེ་དག་ཏུ་རི་དགས་ཐམས་ཅད་དྲི་དེ་མི་བཟོད་ནས་འབྲོས་པར་བགྱིད་དེ། ||| Nevertheless, wherever the wind carries the scent of the lion cub, all wild animals will be unable to bear it and will flee.
བལ་གླང་གླང་པོ་ཆེན་པོ་ལོ་དྲུག་ཅུ་ལོན་པ། ལིག་རི་སྲ་བས་དམ་དུ་བཅིངས་པ་དེ་དག་ཀྱང་སེང་གེའི་ཕྲུ་གུ་དེའི་དྲིས་ཕོག་པ་དང་། འཇིགས་སྐྲག་ནས་ལིག་རིས་བཅིངས་པ་དེ་དག་བཅད་དེ་ཕྱོགས་ཕྱོགས་སུ་འབྲོས་སོ། ། ||| Even a sixty-year-old elephant tightly bound with chains will become so terrified when it encounters the scent of the lion cub that it will break its chains and flee in any direction.
ཕུག་ན་གནས་པ་ནི་ཕུག་ཏུ། ཁུང་ན་གནས་པ་ནི་ཁུང་དུ་འཇུག །ཆུ་ན་གནས་པ་ནི་ཆུར་འཇུག །བྱ་ནི་ནམ་མཁའ་ལ་འཕུར་རོ། ||| Other animals that live in caves will take shelter in their caves, those that live in burrows will take shelter in their burrows, those that live in bodies of water will take shelter in the water, and birds will fly into the sky.
།འཇམ་དཔལ་དེ་བཞིན་དུ། བྱང་ཆུབ་སེམས་དཔའ་སེམས་ཐོག་མ་བསྐྱེད་པ་ཡང་ཤེས་རབ་དང་། ཡེ་ཤེས་ཀྱི་སྟོབས་བསྐྱེད་པ་མ་ཐོབ་མོད་ཀྱི། སེམས་བསྐྱེད་མ་ཐག་ཏུ། ཉན་ཐོས་དང་། རང་སངས་རྒྱས་ཐམས་ཅད་ཟིལ་གྱིས་གནོན་པར་འགྱུར། ||| Likewise, Mañjuśrī, even though bodhisattvas who have initially developed the mind directed toward awakening may not have fully developed the strength of their insight and wisdom, they will outshine all hearers and solitary buddhas as soon as they have developed the mind directed toward awakening.
བདུད་ཐམས་ཅད་ཀྱང་འཇིགས་པར་འགྱུར་ཞིང་སྐྲག་ནས། ||| They will scare and frighten all the māras.
བདག་གི་ཁང་པ་ན་མི་དགའ་བར་འགྱུར་རོ། ||| They will no longer prefer the domestic life. “
།ཡང་འཇམ་དཔལ་སེང་གེའི་ཕྲུ་གུ་དེས་སེང་གེའི་སྟོབས་དང་། ཤུགས་ཐོབ་པ་གཞན་དག་སེང་གེའི་སྐད་འབྱིན་པའི་སྒྲ་ཐོས་ན་ཡང་འཇིགས་དངངས་སྐྲག་པར་མི་འགྱུར་གྱི། སྟེང་དུ་བདག་ཀྱང་རིང་པོ་མི་ཐོགས་པར་སེང་གེའི་སྐད་འབྱིན་ཏོ་སྙམ་དུ་སེམས་པར་འགྱུར་རོ། ། ||| Furthermore, Mañjuśrī when that lion cub hears the roar of other lions that have already gained their power and strength, it will not be scared or frightened, since it understands that before long it, too, will be able to roar.
འཇམ་དཔལ་དེ་བཞིན་དུ། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡང་། སངས་རྒྱས་ཀྱི་སེང་གེའི་སྐད་ཐོས་ནས། མི་འཇིགས། མི་དངངས། སྐྲག་པར་མི་འགྱུར་གྱི། སྟེང་དུ་བདག་ཀྱང་རིང་པོ་མི་ཐོགས་པར་དེ་བཞིན་དུ་བྱང་ཆུབ་ཐོབ་ནས། དེ་དང་འདྲ་བར་སེང་གེའི་སྐད་ཡང་དག་པར་འབྱིན་པར་བྱའོ་སྙམ་དུ་སེམས་པར་འགྱུར་རོ། ||| Likewise, Mañjuśrī, bodhisattva great beings who hear the lion’s roar of the Buddha are not scared, frightened, or terrified, for they understand that soon they, too, will attain awakening and make a lion’s roar in the same way. “
།འཇམ་དཔལ་དེ་ལྟ་བས་ན། གང་དག་ཉན་ཐོས་ཀྱི་ནང་ན་གང་བགྲེས། རང་སངས་རྒྱས་ཀྱི་ནང་ན་གང་བགྲེས། དེ་བཞིན་གཤེགས་པའི་ནང་ན་གང་བགྲེས་ཞེས་སྨྲ་ཞིང་། ཡང་དག་པར་རྗོད་པ་དེ་དག་ནི་འཇམ་དཔལ་བྱང་ཆུབ་ཀྱི་སེམས་ལ་སྨྲ་ཞིང་། ||| Therefore, Mañjuśrī, speaking of the seniority among the hearers, the seniority among the solitary buddhas, and the seniority among the thus-gone ones is to address and speak of the mind of awakening.
ཡང་དག་པར་རྗོད་པ་ལགས་སོ། །དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why is this?
འཇམ་དཔལ་དགེ་བའི་ཆོས་དེ་དག་ཐམས་ཅད་ནི་དེ་ལས་བྱུང་ངོ་། ||| Mañjuśrī, all their virtuous qualities come from the mind of awakening.
།དེའི་སླད་དུ་ཡང་འཇམ་དཔལ་ཁྱོད་ནི་ཐུ་བོ་བགྲེས་པོ་ལགས་ཀྱིས་སྔོན་དུ་བཞུད་ཅིག ། ||| For this reason, Mañjuśrī, you are the most senior. Therefore, please go first.
བདག་ནི་ཁྱོད་ཀྱི་སླད་བཞིན་དུ་མཆིའོ། ||| I will then follow behind you.”
།དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་མདུན་དུ་སོང་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་དང་། ཉན་ཐོས་ཆེན་པོ་དེ་དག་ཀྱང་། དེའི་ཕྱི་བཞིན་དུ་དོང་ངོ་། ||| Accordingly, Mañjuśrī Kumārabhūta went first while the bodhisattva great beings and the great hearers followed him.
།འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་རིན་པོ་ཆེའི་ལམ་དེར་སོང་མ་ཐག་ཏུ་དེ་ནས་དེའི་ཚེ་སྟེང་གི་བར་སྣང་ལས། མེ་ཏོག་གི་ཆར་ཆེན་པོ་ཡང་མངོན་པར་བབ་བོ། །སིལ་སྙན་བརྒྱ་སྟོང་གི་སྒྲ་ཡང་བྱུང་ངོ་། །ས་ཆེན་པོ་ཡང་རྣམ་པ་དྲུག་ཏུ་རབ་ཏུ་གཡོས་སོ། །འཇིག་རྟེན་ཡང་སྣང་བ་ཆེན་པོས་ཁྱབ་པར་གྱུར་ཏོ། ||| As soon as Mañjuśrī Kumārabhūta set out upon the jeweled road, a rain of flowers fell from the sky above, the sounds of hundreds of thousands of instruments were heard, the great earth trembled six times, and the world was bathed in a bright light.
།དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དེ་འདྲ་བའི་བཀོད་པ་དང་ལྡན་ནས། ལུས་ལས་འོད་ཟེར་བརྒྱ་སྟོང་ནི་བྱུང་། མེ་ཏོག་པད་མའི་ཆར་ནི་འབབ་བཞིན་དུ། གྲོང་ཁྱེར་ཆེན་པོར་སོང་བ་དང་། ||| Then, within this setting, and as a shower of lotus flowers fell, Mañjuśrī Kumārabhūta went to the city with hundreds of thousands of light rays streaming from his body.
རྒྱལ་པོ་མ་སྐྱེས་དགྲས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ། བྱང་ཆུབ་སེམས་དཔའ་བརྒྱད་ཁྲི་ཉིས་སྟོང་དང་། ཉན་ཐོས་ལྔ་བརྒྱ་ཙམ་གྱིས་བསྐོར་ཅིང་མདུན་དུ་བདར་ཏེ་འོང་ངོ་ཞེས་ཐོས་ནས་འདི་སྙམ་དུ་གྱུར་ཏེ། འདིར་ནི་ལྔ་བརྒྱའི་བཤོས་སྦྱར་ལ་ད་འདི་སྙེད་ཀྱི་མང་པོ་ཞིག་གཤེགས་པར་གྱུར་ན་གང་དུ་བཞུགས་ཅི་གསོལ་སྙམ་སྟེ། ||| Hearing that Mañjuśrī Kumārabhūta was arriving accompanied and venerated by eighty-two thousand bodhisattvas and five hundred hearers, King Ajātaśatru thought, “We have only prepared the meal for five hundred people, yet now so many people are coming. Where will they stay?
དེ་ལྟར་བདག་ནི་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་བསླུས་སོ་སྙམ་དུ། ||| I have been deceived by Mañjuśrī Kumārabhūta.”
རྒྱལ་པོ་མ་སྐྱེས་དགྲ་དེ་ལྟར་སེམས་སྐྱེས་མ་ཐག་ཏུ་དེ་ནས་དེའི་མོད་ལ་རྒྱལ་པོ་ཆེན་པོ་ངལ་བསོ་པོ་དང་། གནོད་སྦྱིན་གྱི་བདག་པོ་ཀུ་བེ་རས། བདག་ཅག་གི་ལུས་ཆེ་བ་བསྟན་ནས། རྒྱལ་པོ་མ་སྐྱེས་དགྲ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །རྒྱལ་པོ་ཆེན་པོ་མི་དགར་མ་བྱེད་ཅིག ། ||| As soon as King Ajātaśatru had this thought, the great king Vaiśravaṇa and the yakṣa lord Kubera revealed their magnificent forms and said to King Ajātaśatru, “Great King, do not be displeased.
འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ནི་ཤེས་རབ་ཆེ་བ། ||| Mañjuśrī Kumārabhūta is superior in insight.
