༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཙ་ཏུར་ད་ར་ཀ་ས་མཱ་དྷི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱེའུ་བཞིའི་ཏིང་ངེ་འཛིན་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། བམ་པོ་དང་པོ། ||| The Noble Mahāyāna Sūtra The Four Boys’ Absorption
དེ་བཞིན་གཤེགས་པའི་ཆོ་འཕྲུལ་ཆེན་པོ་ཀུན་ཏུ་སྟོན་པ་ན་ལྷ་བྱེ་བ་ཕྲག་སྟོང་གིས་འདུས་བྱས་པ་འཇིག་རྟེན་ཐམས་ཅད་ལས་མངོན་པར་འཕགས་ཤིང་ཟིལ་གྱིས་མི་ནོན་ལ། བླ་ན་མེད་པའི་རྫུ་འཕྲུལ་དང་ལྡན་པའི་སེང་གེའི་ཁྲི་སྟན་འཐོབ་པ་དང་། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བའི་དུས་ཀྱི་ཚེ་འདུ་བྱེད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱེད་པ་རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་ལ་བཞུགས་པ་ན་ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། ལྷ་མ་ཡིན་དང་། ||| They are (1) the seat of the universal monarch; (2) the seat of Śakra; (3) the seat of Brahmā; (4) the seat of Prajāpati; (5) the seat upon which a long succession of thus-gone ones have taught; (6) the lion throne upon which the empowered bodhisattva great being takes the seat of awakening, having gone before the Bodhi tree; (7) the unsurpassable seat of a buddha who has realized omniscient wisdom; (8) the unsurpassable wheel-turning throne upon which the wheel of Dharma is turned; (9) the lion throne of unsurpassable miracles, constructed by ten billion gods when a thus-gone one displays miracles, that transcends and outshines all worlds; and (10) the final seat of a thus-gone one, upon which, at the time of passing into parinirvāṇa, a thus-gone, worthy, and completely perfect buddha, having fully pacified all formations, sits in vajra-like absorption and instills serene confidence in gods, nāgas, yakṣas, gandharvas, kinnaras, mahoragas, asuras, garuḍas, humans, and nonhumans.
ནམ་མཁའ་ལྡིང་དང་། མི་དང་། མི་མ་ཡིན་པ་རྣམས་ཀྱི་ཡིད་རབ་ཏུ་དང་བ་སྐྱེད་པར་བྱེད་པ་དེ་བཞིན་གཤེགས་པའི་ཐ་མའི་ཁྲི་སྟན་འདི་འཐོབ་པར་འགྱུར་བ་སྟེ། ཀུན་དགའ་བོ་སེང་གེའི་ཁྲི་སྟན་བཅུ་པོ་དེ་དག་འཐོབ་པར་ཤེས་པར་བྱའོ། །ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པའམ། དེ་བཞིན་གཤེགས་པའི་ཉན་ཐོས་ཞི་བ་བཤད་པ་ལུང་བསྟན་པ་འདི་འཆད་པ་ན། ||| “Ānanda, know that they will assume those ten lion thrones.
རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་གིས་ཆོས་སྨྲ་བ་ལ་སེམས་དང་བས་གུས་པར་བྱས་ཏེ། དགའ་བ་དང་། དད་པ་དང་། གུས་པས་ཆོས་ཀྱི་སྟན་ཤོམ་པར་བྱེད་པ་དེས་ནི་སེང་གེའི་ཁྲི་སྟན་བཅུ་པོ་དེ་དག་འཐོབ་པ་ཡོངས་སུ་འཛིན་པར་འགྱུར་རོ། ། ||| Ānanda, when a thus-gone one or the disciple of a thus-gone one is to expound this prophetic teaching on peace, any noble son or noble daughter who, with respect and pure intention toward the Dharma teacher, makes preparations for the teaching with joy, faith, and respect will also come to assume those ten lion thrones.
ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་རིགས་ཀྱི་བུ་དམིགས་མེད་ལ་ཐལ་མོ་སྦྱོར་ཅིག་དང་། དེས་ཁྱོད་ལ་དོན་དང་། ཕན་པ་དང་། བདེ་བར་འགྱུར་ཞིང་གང་གིས་ཁྱོད་མངོན་པར་ཤེས་པ་མྱུར་བ་ཉིད་དུ་འགྱུར་བའི་བསོད་ནམས་ཆེན་པོ་ཡང་ཁྱོད་ཀྱིས་ཡོངས་སུ་འཛིན་པར་འགྱུར་རོ། ། ||| Ānanda, press your palms together in the direction of the noble son Without Reference, and it will bring you meaning, welfare, and happiness, through which you will come to have great merit and swiftly gain the higher perceptions.”
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་དེའི་ཚེ་རིགས་ཀྱི་བུ་དམིགས་མེད་ཀྱི་ཆོས་ཀྱི་སྟན་བཤམས་ནས་སེམས་རབ་ཏུ་དང་བས་ཞེ་ས་དང་བཅས། གུས་པ་དང་བཅས་པར་བྱང་ཆུབ་སེམས་དཔའ་དམིགས་མེད་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་སྨྲས་སོ། །དམིགས་མེད་དཔའ་བོ་གླང་པོ་ཆེ། །དུལ་ཞིང་མཉམ་བཞག་སེམས་ཅན་ཆེ། །ཤེས་རབ་ཆེན་པོ་འོད་བྱེད་ལ། །བདག་ནི་ཐལ་མོ་སྦྱོར་བར་བགྱིད། ། ||| Venerable Ānanda then arranged a Dharma seat for the noble son Without Reference, and with sincere faith, respect, and devotion, he bowed with folded hands toward the bodhisattva Without Reference and spoke these verses: “Without Reference, heroic elephant, Mighty being, gentle and imperturbable, You shine with the light of great insight; I bow to you with folded hands.
ཡེ་ཤེས་བརྩོན་འགྲུས་འབྱུང་བའི་གནས། །ཤེས་རབ་བརྩེགས་ཤིང་མཉམ་བཞག་པ། །མཚུངས་མེད་བརྟན་པ་འདི་ལ་ནི། །དེ་རིང་ཐལ་མོ་སྦྱར་བར་བགྱི། ། ||| “Source of wisdom and diligence, Imperturbable in your massed insight, To this peerless support, I bow today with folded hands.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་ཚིགས་སུ་བཅད་དེ་བཀའ་སྩལ་པ། དམིགས་མེད་འདི་ལ་མཆོད་པའི་ཕྱིར། །ཁྱོད་ཀྱིས་ཐལ་མོ་སྦྱར་བྱས་པའི། །རྣམ་སྨིན་ཇི་སྙེད་འཛིན་པ་དེ། །གཽ་ཏམ་བུ་ལ་བཤད་པར་བྱ། ། ||| The Blessed One then said in verse to Venerable Ānanda: “Son of Gautama, I shall now tell The karmic result Of pressing your palms together In veneration for Without Reference.
ཀུན་དགའ་བོ་ཁྱོད་ཐལ་མོ་སྦྱར་བ་དེའི་རྣམ་པར་སྨིན་པས་ང་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ན་གྲོང་དང་གྲོང་ཁྱེར་དང་གྲོང་རྡལ་དང་ཡུལ་འཁོར་དང་། རྒྱལ་པོའི་ཕོ་བྲང་འཁོར་དག་ཏུ་ཉན་ཐོས་རྣམས་ལ་སྟོན་པའི་བྱ་བ་བྱེད་པར་འགྱུར་ཞིང་ཁྱོད་དེ་དང་དེ་དག་ཏུ་འཇུག་པ་དང་འབྱུང་བ་དང་འགྲེང་བ་དང་འཆག་པ་དང་ཉལ་བ་དང་འདུག་པ་དང་སྤྱོད་ལམ་ཐམས་ཅད་དུ་འཇིག་རྟེན་ན་སེམས་དང་ལྡན་པ་དང་། སེམས་མེད་པའི་འབྱུང་བ་ཐམས་ཅད་ཀྱང་ཁྱོད་ག་ལ་བ་དེ་ལོགས་སུ་འདུད་པར་འགྱུར་རོ། །འདི་ལྟ་སྟེ། སྐྱེས་པ་དང་། བུད་མེད་དང་། ལྷའི་བུ་མོ་དང་། སྤྱོད་པ་པ་དང་། ཀུན་ཏུ་རྒྱུ་དང་། དགེ་སྦྱོང་དང་། བྲམ་ཟེ་དང་། རྒྱལ་པོ་དང་། བློན་པོ་ཆེན་པོ་དང་། ཞང་བློན་དང་། ཞང་བློན་གྱི་གཡོག་གཉུག་མ་དང་། ཚོང་དཔོན་དང་། གྲོང་མི་དང་། ལྗོངས་ཀྱི་མི་དང་། ཁྱིམ་བདག་རྣམས་དང་། གཞན་ཡང་གང་དག་མིར་གྱུར་པའི་སོ་སོའི་སྐྱེ་བོ་རྣམས་དང་། ||| “Ānanda, once I have passed into parinirvāṇa, as the karmic result of pressing your palms together, you will act as a teacher of disciples in villages, cities, and market towns, in the countryside, and in kings’ palaces, and in all your activities—whether you are entering, leaving, standing, walking, lying down, or sitting—both beings with sentience and inanimate things in this world— men and women, goddesses, carakas, parivrājakas, ascetics, brahmins, kings, ministers, royal ministers and the resident staff of royal ministers, merchants, city folk and country folk, householders, and every other type of person—will bow in your direction.
དེ་བཞིན་དུ་དུད་འགྲོའི་སྐྱེ་གནས་སུ་སྐྱེས་པ་གླང་པོ་ཆེ་དང་། རྟ་དང་། རི་དགས་དང་། ཕྱུགས་དང་། བྱ་དག་གིས་ཁྱོད་མཐོང་ན་དད་པ་འཐོབ་པར་འགྱུར་རོ། ། ||| Likewise, animals of every station—elephants, horses, deer, cows, and birds—will be filled with faith upon seeing you.
དེ་བཞིན་དུ་རྩྭ་དང་། ཤིང་གེལ་པ་དང་། སྨན་དང་། ནགས་ཚལ་དག་དང་། མེ་ཏོག་ཡོད་པ་དག་དང་། འབྲས་བུ་ཡོད་པ་དག་ཀྱང་ཁྱོད་ག་ལ་བ་དེ་ལོགས་སུ་རབ་ཏུ་འདུད་པར་འགྱུར་རོ། །དེ་བཞིན་དུ་ཁང་ཁྱིམ་དང་། གཞལ་མེད་ཁང་དང་། ||| And, likewise, grass and shrubs, medicinal plants, canopy trees, flowering trees, and fruit trees will bend in your direction.
ཁང་པ་བརྩེགས་པ་དང་། ཁང་བཟངས་དང་། པུ་ཤུ་དང་། སྐར་ཁུང་དང་། རྟ་བབས་དག་ཀྱང་ཁྱོད་ཀྱི་བསོད་ནམས་ཀྱི་གཟི་བརྗིད་ཀྱི་ཟིལ་གྱིས་ནོན་ཅིང་ཁྱོད་ག་ལ་བ་དེ་ལོགས་སུ་རབ་ཏུ་འདུད་པར་འགྱུར་ཏེ། ཀུན་དགའ་བོ་འདི་ལྟ་སྟེ་དཔེར་ན། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱིས་སྒྲིབ་པ་མེད་པའི་རྣམ་པར་ཐར་པ་མངོན་སུམ་དུ་མཛད་དེ། ||| Likewise, even houses and towering palaces, storied mansions, and fine houses, even parapets, windows, and dismounting steps, will bow in your direction, overcome by the splendor of your merit.
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པ་ན་བྱང་ཆུབ་ཀྱི་སྙིང་པོའི་ཉེ་འཁོར་གྱི་རྩྭ་དང་། ཤིང་གེལ་པ་དང་། སྨན་དང་། ནགས་ཚལ་དང་། མེ་ཏོག་ཡོད་པ་དག་དང་། འབྲས་བུ་ཡོད་པ་དག་དང་། གོང་མ་བཞིན་དུ་སྦྱར་ཏེ། མི་དང་མི་མ་ཡིན་པའི་བར་དག་གིས་དེ་བཞིན་གཤེགས་པ་ག་ལ་བ་དེ་ལོགས་སུ་རབ་ཏུ་བཏུད་པར་གྱུར་ཏོ། །ཀུན་དགའ་བོ་དེ་བཞིན་དུ་ཁྱོད་ཀྱིས་ཀྱང་རིགས་ཀྱི་བུ་དམིགས་མེད་ལ་ཐལ་མོ་སྦྱར་ཅིང་ལུས་བཏུད་པའི་དགེ་བའི་རྩ་བ་འདིས་ཁྱོད་ཀྱི་སྤྱོད་ལམ་ཐམས་ཅད་དུ་མི་དང་། མི་མ་ཡིན་པ་དང་། ནགས་ཚལ་ཐམས་ཅད་ཁྱོད་ག་ལ་བ་དེ་ལོགས་སུ་འདུད་པ་དང་། རབ་ཏུ་འདུད་པ་དང་། ||| “Ānanda, just as whenever a thus-gone, worthy, completely perfect buddha attains complete liberation, free of all obscuration—when he awakens to complete, unsurpassed buddhahood—all the grass, shrubs, medicinal plants, canopy trees, flowering trees, and fruit trees in the vicinity of the seat of awakening do as has just been described, and like humans and nonhumans alike will bow in the direction of the thus-gone one, in the same way, Ānanda, because of the root of virtue of having bowed with folded hands to the noble son Without Reference, humans, nonhumans, and all types of plants will bow in your direction, wherever you are, bowing low, really bowing down.
མངོན་པར་རབ་ཏུ་འདུད་པར་འགྱུར་རོ། །ཀུན་དགའ་བོ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་ལ་ལས་དེ་བཞིན་གཤེགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའམ། ད་ལྟར་མངོན་སུམ་དུ་གྱུར་ཅིང་བཞུགས་པ་ན་ཆོས་བཀོད་པ་ལུང་སྟོན་པ་འདི་ཐོས་ནས། ལྷག་པའི་བསམ་པས་ཐལ་མོ་གཅིག་ཙམ་སྦྱོར་བར་བྱེད་པ་དང་། ངེས་པར་རྟོག་ཅིང་མོས་པར་བྱེད་པ་དེ་དག་ནི་ངས་བསྟན་པའི་རྣམ་པར་སྨིན་པ་གང་ཡིན་པ་དེ་ལྟ་བུ་དག་ཡོངས་སུ་འཛིན་པར་འགྱུར་རོ། ། ||| “Ānanda, any noble sons or daughters present now who have heard this teaching as the Thus-Gone One passes into parinirvāṇa, who press their palms together with sincerity and faithfully consider it certain, will fully receive karmic results like those I have just described.
ཀུན་དགའ་བོ་དེ་ལྟ་མོད་ཀྱི་སེམས་ཅན་གང་དག་གིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་པར་འགྱུར་བ་དང་། གང་དག་གིས་མདོ་སྡེ་འདི་ལྟ་བུ་འདི་ལན་གཅིག་གམ། ལན་གཉིས་ཐོས་པར་འགྱུར་བ་དེ་དག་ཀྱང་ཉུང་ན། གང་དག་གིས་འདི་ལྟ་བུ་ཐོས་ནས་དད་པ་འཐོབ་པར་འགྱུར་བ་དང་། གང་དག་ལྷག་པའི་བསམ་པས་མོས་པར་འགྱུར་བ་དང་། ||| “Ānanda, although those beings who hear this Dharma teaching in this way or hear the sūtra even once or twice may be few, any who hear it will develop faith and sincere devotion, will consider it certain, will have correct ideas about it, and will be without hesitation, not to mention being free of doubt.
ངེས་པར་རྟོག་པར་འགྱུར་བ་དང་། ཡང་དག་པའི་འདུ་ཤེས་སྐྱེད་པར་འགྱུར་བ་དང་། སོམ་ཉི་མེད་པར་འགྱུར་བ་དང་། ཐེ་ཙོམ་མེད་པར་འགྱུར་བ་ལྟ་སྨོས་ཀྱང་ཅི་དགོས། རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དེ་དག་ཐམས་ཅད་ནི་ངས་སངས་རྒྱས་ཀྱི་སྤྱན་གྱིས་གཟིགས་ཤིང་སངས་རྒྱས་ཀྱི་ཡེ་ཤེས་ཀྱིས་མཁྱེན་ཏེ། ||| I see all those noble sons and noble daughters with my awakened vision and know them with my awakened wisdom.
དེ་དག་གིས་ནི་སངས་རྒྱས་གཅིག་ལ་བསྙེན་བཀུར་བྱས་པ་མ་ཡིན་ཞིང་། དེ་དག་གིས་ནི་སངས་རྒྱས་གཅིག་ལ་དགེ་བའི་རྩ་བ་བསྐྱེད་པ་མ་ཡིན་ཏེ། ||| They have not venerated just a single buddha, nor have they generated roots of virtue toward a single buddha.
རིགས་ཀྱི་བུ་དང་རིགས་ཀྱི་བུ་མོ་དེ་དག་ཐམས་ཅད་ནི་གང་དག་ད་ལྟར་ངའི་མངོན་སུམ་དུ་འཁོར་འདི་ཉིད་དུ་འདུས་ཏེ་འདུག་པ་དང་། ངའི་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་བལྟ་བའི་ཕྱིར་འདིར་འོངས་པ་དག་བཞིན་དུ་ཀུན་དགའ་བོ་དེ་དག་ཀྱང་དེང་ཕྱིན་ཆད་ནས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བྱམས་པ་བྱང་ཆུབ་ཀྱི་སྙིང་པོར་གཤེགས་ཏེ། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ནས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བའི་བར་དག་ལ་མཆོད་པ་དང་བསྙེན་བཀུར་ཆེན་པོ་བྱེད་པར་འགྱུར་རོ། ། ||| All noble sons and noble daughters, like those actually gathered around me here and now who have come to witness my passing into parinirvāṇa, Ānanda, will also later come to the seat of awakening of the thus-gone, worthy, perfect Buddha Maitreya, and they will sincerely worship and venerate him from the time of his unsurpassed, completely perfect awakening in complete buddhahood until his passing into parinirvāṇa.
དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བྱམས་པའི་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ཡང་མཐོང་བར་འགྱུར་རོ། ། ||| So will they also witness the great parinirvāṇa of the thus-gone, worthy, perfect Buddha Maitreya.
དེ་བཞིན་གཤེགས་པ་དེའི་སྤྱན་སྔར་ཁྱེའུ་བཞི་འོང་བར་འགྱུར་བ་དག་ཀྱང་མཐོང་བར་འགྱུར་ཞིང་ད་ལྟར་ངའི་སྤྱན་སྔ་ན་ཇི་ལྟ་བ་དེ་བཞིན་དུ་ཆོས་ཀྱང་ཐོས་པར་འགྱུར་རོ། ། ||| “These four boys will also come before that thus-gone one, see him, and listen to the Dharma he teaches—just as they are doing in my presence now.
དེའི་ཚེ་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དམིགས་མེད་ཀྱི་སྤུའི་ཁུང་བུ་དག་ནས་ཆོས་ཀྱི་སྒྲ་སྐད་རྒྱ་ཆེན་པོ་འབྱུང་བར་འགྱུར་བ་དག་ཀྱང་ཐོས་པར་འགྱུར་ཞིང་ཐོས་ནས་ཀྱང་དགའ་བ་སྐྱེ་བར་འགྱུར་རོ། ། ||| At that time, too, Dharma words will resound loudly, for all to hear, from the pores of the bodhisattva great being Without Reference, to the delight of those that hear them.
ཀུན་དགའ་བོ་དེ་ལྟ་བས་ན་ཁྱོད་ཀྱིས་དོན་ངེས་པར་འབྱུང་བའི་མདོ་སྡེ་འདི་ལྟ་བུ་བཤད་པ་དག་ལ་ཡང་དང་ཡང་དུ་ལུས་བཏུད་དེ་ཐལ་མོ་སྦྱར་བར་བྱ་ཞིང་སེམས་ཀྱིས་དད་པ་བསྐྱེད་པར་ཡང་བྱའོ། ། ||| “So Ānanda, you should bow with folded hands again and again to those who expound sūtras of definitive meaning such as this, and you should have faith.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why?
ཀུན་དགའ་བོ་འདི་ལྟར་དེའི་ལས་ཀྱི་རྣམ་པར་སྨིན་པས་ཁྱོད་སེམས་ཅན་ཐམས་ཅད་ཀྱིས་ལེགས་པར་མཆོད་པར་འགྱུར་ཞིང་ཁྱོད་ལ་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་ཡང་རབ་ཏུ་འདུད་པར་འགྱུར་ཞིང་ཁྱོད་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་ལུས་ལ་ཡང་ལྷ་དང་མི་རྣམས་མཆོད་པ་བྱེད་པར་འགྱུར་བའི་ཕྱིར་རོ། ། ||| Because, Ānanda, as the karmic result of this, you will come to be venerated by all beings. The whole world with its gods will bow before you, and when you pass into parinirvāṇa, gods and humans alike will worship your body.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་མ་འགགས་པ་ལ་བཀའ་སྩལ་པ། མ་འགགས་པ་ཁྱོད་ཀྱིས་ལྷ་བྱེ་བ་ཕྲག་བཞི་བཅུས་སྟེང་གི་བར་སྣང་ལས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་ནས་ཐལ་མོ་སྦྱར་ཏེ་ལུས་བཏུད་ཅིང་འཁོད་པ་དག་མཐོང་ངམ། ||| The Blessed One then asked Venerable Aniruddha, “Aniruddha, did you see four hundred million gods bowing with folded hands in the midst of the sky when they heard this Dharma discourse?”
གསོལ་པ། བཅོམ་ལྡན་འདས་དེ་དེ་ལྟ་ལགས་སོ། །བཀའ་སྩལ་པ། ||| “Yes indeed, Blessed One.”
མ་འགགས་པ་དེ་དག་ནི་ཆོས་ལ་དད་པ་དང་ལྡན་པས་ཐལ་མོ་སྦྱར་ཅིང་དད་པས་ལུས་རབ་ཏུ་བཏུད་པའི་དགེ་བའི་རྩ་བ་དེས་བསྐལ་པ་གྲངས་མེད་པར་ལོག་པར་ལྟུང་བར་འགྲོ་བར་མི་འགྱུར་ཞིང་། ལྷ་དང་མིར་མཚམས་སྦྱོར་བར་འགྱུར་ལ། ||| “Aniruddha, by the roots of virtue gained by pressing their palms together with faith in the Dharma and bowing their bodies low with faith, they will not fall into bad rebirth for countless eons but will be reborn in the company of gods and humans.
དེ་དག་མིར་གྱུར་པ་ན་རེ་རེས་ཀྱང་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་སྲིད་གང་གཱའི་ཀླུང་གི་བྱེ་མ་བས་ལྷག་པ་སྙེད་བྱེད་པར་འགྱུར་རོ། ། ||| When reborn as humans, each of them will reign as a universal monarch with domains as numerous as the grains of sand in the river Gaṅgā, and all will pay respects to the buddha who has appeared in their world.
ཐམས་ཅད་དུ་ཡང་སངས་རྒྱས་འབྱུང་བ་མཉེས་པར་བྱེད་པར་འགྱུར་ཞིང་དེ་དག་དེའི་འོག་ཏུ་དགེ་བའི་རྩ་བ་དག་ཡང་དག་པར་བསྒྲུབས་ནས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་ཏེ་ཐམས་ཅད་ཀྱང་འདི་ལྟ་སྟེ། ||| They will then perfect the roots of virtue and fully awaken to unsurpassed and perfect awakening.
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འབྱུང་བ་ཐམས་ཅད་ཀྱིས་རབ་ཏུ་གདུང་བར་འོས་པ་ཞེས་བྱ་བར་མཚན་འཐུན་པའི་དེ་བཞིན་གཤེགས་པ་ཤ་སྟག་ཏུ་འགྱུར་རོ། །ཡང་དེའི་ཚེ་གྱད་དགའ་བ་ཞེས་བྱ་བ་དང་། གྱད་རྒྱལ་དཀའ་ཞེས་བྱ་བ་དང་། གྱད་སྟོབས་པོ་ཆེ་དང་། གཟི་བརྗིད་ལྷ་དང་། རྒྱལ་བའི་ལྷ་དང་། ཕྲག་པར་འཛེག་དང་། བློ་བཟང་དང་། ||| All will be thus: they will be none other than thus-gone ones, fit to be called by the name Worthy of Bowing by all thus-gone, worthy, perfectly buddhas that appear.”
འཇིགས་མེད་དང་། དབྱིག་དང་། བདེན་པ་དང་། བྱང་ཕྱོགས་ཀྱི་སྟོབས་ཀྱི་མིག་དང་། གྱད་ཐམས་ཅད་བཟོད་ཅེས་བྱ་བ་དེ་དག་ཐམས་ཅད་འཁོར་ལྔ་བརྒྱ་ཙམ་དང་ལྷན་ཅིག་ཏུ་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་བྱ་བའི་ཕྱིར་འཁོར་དེ་ཉིད་དུ་འདུས་ཏེ་འདུག་པར་གྱུར་ནས། ||| At this time, the Malla called Joyful, the Malla called Invincible, the Mallas Mighty, Resplendent, Victorious God, Ascending on Shoulders, Intelligent, Fearless, Riches, Truth, and Mighty Eye of the North, and the Malla called All-Enduring, with an entourage of about five hundred, joined those assembled and worshiped the Thus-Gone One.
དེ་དག་གིས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་ཏེ་ལུས་ཐུར་དུ་བཏུད་ནས་ངུ་བར་བྱེད། སྨྲེ་སྔགས་འདོན་པར་བྱེད་ཅིང་མིག་མཆི་མས་གང་བཞིན་དུ་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| They bowed with folded hands toward the Blessed One and wept.
བཅོམ་ལྡན་འདས་བདག་ཅག་བཅོམ་ལྡན་འདས་ལ་མཆོད་པ་བགྱིད་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་དམིགས་མེད་དང་། བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་འདི་དང་། བཅོམ་ལྡན་འདས་ཀྱི་ཉན་ཐོས་ཆེན་པོའི་དགེ་འདུན་དང་། ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལ་ཡང་མཆོད་པ་བགྱི་བའི་སླད་དུ་ཐལ་མོ་སྦྱོར་ཞིང་ལུས་ཀྱང་རབ་ཏུ་འདུད་པར་བགྱིད་ལགས་སོ། ། ||| Lamenting, their eyes full of tears, they supplicated the Blessed One: “Blessed One, to venerate the Blessed One, the bodhisattva Without Reference, the assembled bodhisattvas, the great saṅgha of the Blessed One’s great disciples, and this Dharma teaching, we bow with folded hands.
བཅོམ་ལྡན་འདས་བདག་ཅག་གི་དགེ་བའི་རྩ་བ་འདི་དག་ཐམས་ཅད་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཡོངས་སུ་བསྔོ་བར་བགྱིའོ། ། ||| Blessed One, we dedicate all our roots of virtue to the attainment of unsurpassed, completely perfect awakening.”
དེ་ནས་དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཞལ་འཛུམ་པ་མཛད་དོ། ། ||| Then, at that moment, the Blessed One smiled.
འདི་ནི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་ཆོས་ཉིད་དེ་གང་གི་ཚེ་འཛུམ་པ་མཛད་པ་དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱི་ཞལ་གྱི་སྒོ་ནས་འོད་ཟེར་ཁ་དོག་སྣ་ཚོགས་ཁ་དོག་དུ་མ་འདི་ལྟ་སྟེ། སྔོན་པོ་དང་། སེར་པོ་དང་། དམར་པོ་དང་། དཀར་པོ་དང་། ||| And as is the case whenever blessed buddhas smile, streams of multicolored light—blue, yellow, red, white, crimson, crystalline, and silver—came from the Blessed One’s mouth.
བཙོད་ཀ་དང་། ཤེལ་དང་། དངུལ་གྱི་ཁ་དོག་ལྟ་བུ་དག་བྱུང་སྟེ། དེ་དག་གིས་འཇིག་རྟེན་གྱི་ཁམས་མཐའ་ཡས་མུ་མེད་པ་དག་སྣང་བས་གསལ་བར་བྱས་ནས་ཚངས་པའི་འཇིག་རྟེན་གྱི་བར་དུ་མངོན་པར་འཕགས་ཏེ་ཡང་ཕྱིར་ལོག་ནས་བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ། ||| This light illuminated countless world systems, spreading all the way up to the highest reaches of the Brahmā realms, and then returned, circled the Blessed One three times, and vanished into the crown of his head.
