འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་བཞི་པ་སྟེ། རྨི་ལམ་བསྟན་པ། བམ་པོ་དང་པོ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སྭཔྣ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྨི་ལམ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Teaching on Dreams
གང་གིས་སྔོན་མ་མཐོང་བའི་དགེ་སློང་གི་མིང་ཐོས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་པར་བལྟའོ། ། ||| “If those bodhisattvas hear the name of a monk whom they have not seen before, consider them to be on the first bhūmi.
གང་གིས་སྔོན་མ་ཐོས་པའི་དགེ་སློང་གི་མིང་ཐོས་ན་དེ་ནི་ས་གཉིས་པར་བལྟའོ། ། ||| If they hear the name of a monk whom they have seen before, consider them to be on the second bhūmi.
གང་གིས་འཇིག་རྟེན་གྱི་ཁམས་གཞན་གྱི་དགེ་སློང་གི་མིང་ཐོས་ན་དེ་ནི་ས་གསུམ་པར་བལྟའོ། ། ||| If they hear the name of a monk who is from another world system, consider them to be on the third bhūmi.
གང་གིས་སྐྱེ་བ་གཅིག་གིས་ཐོགས་པའི་མིང་ཐོས་ན་དེ་ནི་ས་བཞི་པར་བལྟ་སྟེ། ||| If they hear the name of a monk who is one birth away from awakening, consider them to be on the fourth bhūmi.
ས་གོང་མ་དག་ཏུ་ཡང་འདོད་པར་བྱའོ། ། ||| Such bodhisattvas should aspire to the higher bhūmis.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་ཚིགས་སུ་བཅད་པ་ལ་སྤོབས་པ་ཐོབ་པར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་གསུམ་པོ་དག་ཏུ་བལྟ་སྟེ། ||| 61. “Vajrapramardin, if in a dream bodhisattvas perceive that they have gained confident eloquence in the verses, consider those bodhisattvas to be on one of the first three bhūmis.
བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་སྤོབས་པ་ཕུན་སུམ་ཚོགས་པ་ཡིན་ནོ། །དེས་གལ་ཏེ་ཆོས་གསུམ་ཡོངས་སུ་སྤངས་ན་མྱུར་དུ་སྣང་བ་འཐོབ་པར་འགྱུར་ཏེ། ||| Such bodhisattvas have an abundance of confident eloquence, but if they forsake three qualities they will quickly attain illumination.
ཆོས་གསུམ་གང་ཞེ་ན། ||| What are the three qualities?
བྱང་ཆུབ་སེམས་དཔའ་གང་གཞན་མཆོད་པ་ལ་ཕྲག་དོག་བྱེད་པ་དང་། རྙེད་པ་དང་བཀུར་སྟི་འདོད་པ་དང་། གཡོ་ལ་བསྟེན་པ་སྟེ། ||| Being envious of bodhisattvas worshiped by others, desiring profit and honor, and resorting to deceit.
ཆོས་གསུམ་པོ་དེ་དག་ཡོངས་སུ་སྤང་བར་བྱའོ། ། ||| Bodhisattvas should forsake those three qualities.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
གལ་ཏེ་ཚིགས་སུ་བཅད་པ་ཉུང་ངུ་ལ་སྤོབས་ན་དེ་ནི་ས་དང་པོ་པར་བལྟའོ། ། ||| “If those bodhisattvas have confident eloquence in a few verses, consider them to be on the first bhūmi.
ཚིགས་སུ་བཅད་པ་སྣ་ཚོགས་ལ་སྤོབས་ན་ས་གཉིས་པར་རོ། ། ||| If they have confident eloquence in a variety of verses, consider them to be on the second bhūmi.
ཟབ་མོའི་ཚིགས་སུ་བཅད་པ་ལ་སྤོབས་ན་ས་གསུམ་པར་རོ། ། ||| If they have confident eloquence in verses on the profound, consider them to be on the third bhūmi.
རྣམ་པ་མང་པོ་དག་ལ་སྤོབས་ན་ས་གོང་མར་རོ། ། ||| If they have confident eloquence in verses of many types, consider them to be on a higher bhūmi.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་མདོ་སྡེ་ལ་སྤོབས་པ་ཐོབ་པར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་དང་པོ་བརྒྱད་པོ་དག་ཏུ་བལྟ་སྟེ། ||| 62. “Vajrapramardin, if in a dream bodhisattvas perceive that they have gained confident eloquence in the sūtras, consider those bodhisattvas to be on one of the first eight bhūmis.
དེ་ལ་དགྲ་བོ་མང་བ་དང་། ||| They have many enemies and many good qualities.
ཡོན་ཏན་མང་བ་ཡིན་པས་དེས་ཡང་དག་པར་མགུ་བར་བྱེད་པའི་ངང་ཚུལ་ཅན་དུ་བྱ་ཞིང་ཁྱད་པར་དུ་འཕགས་པ་དག་ལ་མཆོད་པར་བྱ་བ་དང་། ||| They should therefore adopt a disposition of genuine cheerfulness and should worship those who are uniquely exalted as well as people who behave appropriately.
ཇི་ལྟ་བ་བཞིན་དུ་སྤྱོད་པའི་གང་ཟག་ལ་ཡང་མཆོད་པར་བྱ་ཞིང་ཤེས་པས་ལྷག་པའི་ང་རྒྱལ་དུ་ཡང་མི་བྱའོ། ། ||| They should avoid feeling pride in their learning.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་ཡང་རྣམ་པར་དག་པར་འགྱུར་ཞིང་རྨི་ལམ་དུ་རྨིས་པའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་ཡང་རྣམ་པར་དག་པར་འགྱུར་ལ་མྱོང་བར་འགྱུར་བ་ཆུང་བར་ཡང་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified, as well as those karmic obscurations that have occurred in their dreams. Those that they do experience will be weaker. Such bodhisattvas will find release in awakening.
དེ་ལ་བཞི་པ་སྒྲུབ་པ་ལ་སྤོབས་ན་ས་དང་པོ་ལ་གནས་པར་འགྱུར་རོ། ། ||| “If those bodhisattvas have confident eloquence in The Fourfold Accomplishment, they are on the first bhūmi.
ཡོ་བྱད་བསྙུངས་པ་སྒྲུབ་པའི་མདོ་སྡེ་ལ་སྤོབས་ན་ས་གཉིས་པར་རོ། ། ||| If they have confident eloquence in sūtras on accomplishing frugality, they are on the second bhūmi.
སྣ་ཚོགས་སྒྲུབ་པའི་མདོ་སྡེ་ལ་སྤོབས་ན་ས་གསུམ་པར་རོ། ། ||| If they have confident eloquence in sūtras on various accomplishments, they are on the third bhūmi.
སྔོན་གྱི་ཚུལ་སྒྲུབ་པའི་མདོ་སྡེ་ལ་སྤོབས་ན་ས་བཞི་པར་རོ། ། ||| If they have confident eloquence in sūtras on accomplishing former deeds, they are on the fourth bhūmi.
དུས་གསུམ་སྒྲུབ་པའི་མདོ་སྡེ་ལ་སྤོབས་ན་ས་ལྔ་པར་རོ། ། ||| If they have confident eloquence in sūtras on practicing in the three times, they are on the fifth bhūmi.
ཕ་རོལ་ཏུ་ཕྱིན་པའི་མདོ་སྡེ་ལ་སྤོབས་ན་ས་དྲུག་པར་རོ། ། ||| If they have confident eloquence in the perfection of insight sūtras, they are on the sixth bhūmi.
མདོ་སྡེ་ཟབ་མོ་ལ་སྤོབས་ན་ས་བདུན་པར་རོ། ། ||| If they have confident eloquence in the profound sūtras, they are on the seventh bhūmi.
ཐམས་ཅད་རྣམ་པར་གཏན་ལ་འབེབས་པ་ལ་སྤོབས་ན་ས་བརྒྱད་པར་བལྟའོ། ། ||| If they have confident eloquence in the ascertainment of all things, consider them to be on the eighth bhūmi.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་ཆོས་ཀྱི་གཏེར་གྱི་སྒྲ་ཐོས་ན་དེ་ནི་ས་དང་པོ་བདུན་པོ་དག་ཏུ་བལྟའོ། ། ||| 63. “Vajrapramardin, if in a dream bodhisattvas hear the sound of a Dharma treasure, consider them to be on one of the first seven bhūmis.
བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ཉོན་མོངས་པ་མང་ལ་ལས་ཀྱི་སྒྲིབ་པ་ཆུང་བ་ཡིན་ཏེ། ||| Such bodhisattvas have many obscurations due to the afflictions, but few karmic obscurations.
དེས་ཡོངས་སུ་འདྲི་བའི་རང་བཞིན་ཅན་དུ་བྱ་ཞིང་དད་པས་མོས་པར་ཡང་བྱའོ། ། ||| They should cultivate an inquisitive nature and faithfully engender reverence.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
གང་གིས་བདག་གྲོང་ན་འདུག་པ་ན་ཆོས་ཀྱི་གཏེར་གྱི་སྒྲ་ཐོས་པར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་དང་པོ་པར་བལྟའོ། ། ||| “If those bodhisattvas perceive themselves hearing the sound of a Dharma treasure while in a town, consider them to be on the first bhūmi.
གང་གིས་བདག་གནས་ཁང་ན་འདུག་པར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་གཉིས་པར་རོ། ། ||| If they perceive it while in a residence, consider them to be on the second bhūmi.
གང་གིས་བདག་གཙུག་ལག་ཁང་ན་འདུག་པར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་གསུམ་པར་རོ། ། ||| If they perceive it while in a monastery, consider them to be on the third bhūmi.
གང་གིས་བདག་དགོན་པ་ན་འདུག་པར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་བཞི་པར་རོ། ། ||| If they perceive it while in solitude, consider them to be on the fourth bhūmi.
གང་གིས་བདག་སྟན་ལ་འདུག་པར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་ལྔ་པར་རོ། ། ||| If they perceive it while on a seat, consider those bodhisattvas to be on the fifth bhūmi.
གང་གིས་བདག་སྐྱེད་མོས་ཚལ་ན་འདུག་པར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་དྲུག་པར་རོ། ། ||| If they perceive it while in a pleasure garden, consider them to be on the sixth bhūmi.
གང་གིས་བདག་རིའི་རྩེ་མོ་ལ་འདུག་པར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་བདུན་པར་བལྟའོ། ། ||| If they perceive it while on a mountain summit, consider them to be on the seventh bhūmi.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་སྔོན་མ་ཐོས་པའི་འཇིག་རྟེན་གྱི་ཁམས་གཞན་གྱི་དེ་བཞིན་གཤེགས་པའི་མཚན་ཐོས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་བརྒྱད་པོ་དག་ཏུ་ལུང་བསྟན་པ་ཡིན་ཏེ་ང་རྒྱལ་གྱི་དབང་གིས་ངེས་པར་འབྱུང་བར་འགྱུར་རོ། ། ||| 64. “Vajrapramardin, if in a dream bodhisattvas hear the name of a tathāgata from another world system that they have never heard of before, those bodhisattvas are predicted to reside on any of the first eight bhūmis and will find release through the power of pride.
དེས་ནི་བདུད་ཀྱི་ལས་མང་དུ་ཉེ་བར་བསགས་ཤིང་དེ་ལ་ལས་ཀྱི་སྒྲིབ་པ་མང་བ་ཡང་ཡིན་ནོ། ། ||| Such bodhisattvas have come under the strong influence of Māra’s activity and have many karmic obscurations.
དེས་གལ་ཏེ་མཆོད་པར་འོས་པ་མཆོད་ཅིང་སྤྱོད་ལམ་བརྟགས་པ་མ་ཡིན་ན། དེས་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར། ||| If they worship those who are worthy of worship and do not judge the actions of others, their related karmic obscurations will be purified and they will find release in awakening.
དེ་ལ་གཏོང་བ་ལ་ང་རྒྱལ་བྱེད་ན་ས་དང་པོ་པར་རོ། ། ||| “If those bodhisattvas feel pride in their magnanimity, they are on the first bhūmi.
ཚུལ་ཁྲིམས་ལ་ང་རྒྱལ་བྱེད་ན་ས་གཉིས་པར་རོ། ། ||| If they feel pride in their discipline, they are on the second bhūmi.
ཐོས་པ་ལ་ང་རྒྱལ་བྱེད་ན་ས་གསུམ་པར་རོ། ། ||| If they feel pride in their learning, they are on the third bhūmi.
མངོན་པར་བརྩོན་པ་ལ་ང་རྒྱལ་བྱེད་ན་ས་བཞི་བར་རོ། ། ||| If they feel pride in their industriousness, they are on the fourth bhūmi.
ཡོ་བྱད་བསྙུངས་པ་ལ་ང་རྒྱལ་བྱེད་ན་ས་ལྔ་པར་རོ། ། ||| If they feel pride in their frugality, they are on the fifth bhūmi.
ཤེས་པ་ལ་ང་རྒྱལ་བྱེད་ན་ས་དྲུག་པར་རོ། ། ||| If they feel pride in their knowledge, they are on the sixth bhūmi.
སྤོབས་པ་ལ་ང་རྒྱལ་བྱེད་ན་ས་བདུན་པར་རོ། ། ||| If they feel pride in their confident eloquence, they are on the seventh bhūmi.
བྱིན་གྱི་རླབས་ལ་ང་རྒྱལ་བྱེད་ན་ས་བརྒྱད་པར་རོ། ། ||| If they feel pride in their blessings, they are on the eighth bhūmi.
བྱ་བ་ཐམས་ཅད་མཐར་ཕྱིན་པར་བྱེད་ན་ནི་ང་རྒྱལ་ཡིན་ནོ། ། ||| ‘Pride’ entails reaching the culmination of all activities. 65.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཆེ་གེ་མོ་ཞིག་བྱང་ཆུབ་སེམས་དཔའ་ཆེ་གེ་མོ་ཞེས་བྱ་བའི་མིང་ཐོས་ན། བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་ལྔ་པོ་དག་ཏུ་བལྟ་སྟེ། ||| “Vajrapramardin, if in a dream bodhisattvas hear the name of ‘so-and-so’ bodhisattva from ‘such-and-such’ world system, consider those bodhisattvas to be on one of the first five bhūmis.
བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱིས་བསམས་པ་དང་། ཉོན་མོངས་པ་ཆུང་བ་ཡིན་པར་རིག་པར་བྱའོ། ། ||| You should recognize that those bodhisattvas are thought of by other bodhisattvas and have few obscurations due to the afflictions.
དེས་གལ་ཏེ་ལྷག་པའི་ང་རྒྱལ་མེད་པར་བྱས་ཤིང་ཉེ་དུ་རྣམས་ལ་ཡང་བཀུར་སྟི་ཆེར་བྱས་ན་དེས་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| If they rid themselves of excessive pride and deeply honor those close to them, their related karmic obscurations will be purified and they will find release in awakening.
གཟུངས་ཐོབ་པའི་མིང་ཐོས་ན་ས་དང་པོ་པར་འགྱུར་རོ། ། ||| “If they hear the name of a bodhisattva who has obtained dhāraṇī, they are on the first bhūmi.
མངོན་པར་འབྱུང་བའི་ན་ས་གཉིས་པར་རོ། ། ||| If they hear the name of one who has renounced, they are on the second bhūmi.
དཀའ་བ་སྤྱོད་པའི་ན་ས་གསུམ་པར་རོ། ། ||| If they hear the name of one who practices austerities, they are on the third bhūmi.
བྱང་ཆུབ་ཀྱི་སྙིང་པོར་བདུད་འདུལ་བར་བྱེད་པའི་ན་ས་བཞི་པར་རོ། ། ||| If they hear the name of one who has subdued Māra at the seat of awakening, they are on the fourth bhūmi.
མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བའི་ན་ས་ལྔ་པར་རོ། ། ||| If they hear the name of one who has obtained completely perfect awakening, they are on the fifth bhūmi.
མང་དུ་ཐོས་ཤིང་མཐོང་ནས་གོང་མར་ཡང་འགྱུར་རོ་གནས་མེད་ཅིང་ལྷག་པའི་བསམ་པ་ཉམ་ཆུང་བ་ཞིག་གི་ན་ས་དང་པོ་པར་བལྟའོ། ། ||| If they both hear of and see such bodhisattvas repeatedly, they are on the higher bhūmis. If they hear the name of one who is unsteady and weak in their determined resolve, they are on the first bhūmi.
འགྱོད་པ་དང་བཅས་པར་གནས་པའི་ན་ས་གཉིས་པར་རོ། ། ||| If they hear the name of one who is filled with remorse, they are on the second bhūmi.
སྡིག་པ་བྱེད་པའི་ན་ས་གསུམ་པར་རོ། ། ||| If they hear the name of one who commits evil, they are on the third bhūmi.
མངོན་པར་བག་མེད་པའི་ན་ས་བཞི་པར་རོ། ། ||| If they hear the name of one who is utterly careless, they are on the fourth bhūmi.
ཞི་གནས་མང་བའི་ན་ས་ལྔ་པར་རོ། ། ||| If they hear the name of one who has much tranquility, they are on the fifth bhūmi.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་རྒྱ་མཚོའི་དབུས་ན་འདུག་པར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་བརྒྱད་པོ་དག་ལས་ས་གང་ཡང་རུང་བར་ལུང་བསྟན་པར་བལྟ་སྟེ། ||| 66. “Vajrapramardin, if in a dream bodhisattvas perceive themselves to be in the middle of an ocean, recognize that those bodhisattvas are indicated as being on one of the first eight bhūmis.
དེས་ནི་ཐོས་པའི་མཐར་ཕྱིན་པར་བྱ་ཞིང་དེས་བརྩོན་འགྲུས་དང་ལྡན་པ་དང་། ཤེས་རབ་ལ་མོས་པར་ཡང་བྱའོ། ། ||| Such bodhisattvas should master their learning, be diligent, and be inspired toward insight.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
གང་གིས་མ་ཕྱིན་པར་མཐོང་ན་དེ་ནི་ས་དང་པོ་པར་བལྟའོ། ། ||| “If those bodhisattvas see that they are not moving, consider them to be on the first bhūmi.
གང་གིས་འགྲམ་དུ་སོན་པར་མཐོང་ན་དེ་ནི་ས་གཉིས་པར་བལྟའོ། ། ||| If they see that they have moved toward the shore, consider them to be on the second bhūmi.
གང་གིས་སྤང་ལེབ་ལ་འདུག་པར་མཐོང་ན་དེ་ནི་ས་གསུམ་པར་རོ། ། ||| If they see themselves on a plank of wood, consider them to be on the third bhūmi.
གང་གིས་ཀོ་གྲུར་ཞུགས་པ་མཐོང་ན་དེ་ནི་ས་བཞི་པར་རོ། ། ||| If they see themselves getting into a boat made of skins, consider them to be on the fourth bhūmi.
གང་གིས་གྲུ་ན་འདུག་པར་མཐོང་ན་དེ་ནི་ས་ལྔ་པར་རོ། ། ||| If they see themselves seated in a boat, consider them to be on the fifth bhūmi.
གང་གིས་ཆུ་ན་འདུག་པར་མཐོང་ན་དེ་ནི་ས་དྲུག་པར་རོ། ། ||| If they see themselves in the water, consider them to be on the sixth bhūmi.
གང་གིས་གྲུ་ན་འགྲེང་བར་མཐོང་ན་དེ་ནི་ས་བདུན་པར་རོ། ། ||| If they see themselves standing up in a boat, consider them to be on the seventh bhūmi.
གང་གིས་རིན་པོ་ཆེ་ཐམས་ཅད་ཀྱིས་བཀང་བའི་གྲུ་ཕ་རོལ་ཏུ་སྒྲོལ་བར་མཐོང་ན་དེ་ནི་ས་བརྒྱད་པར་རོ། ། ||| If they see themselves escaping to the far shore in a boat filled with every jewel, consider them to be on the eighth bhūmi.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་རིན་པོ་ཆེ་དག་ཐུ་བར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་གསུམ་པོ་དག་ལས་ས་གང་ཡང་རུང་བར་བལྟ་སྟེ། ། ||| 67. “Vajrapramardin, if in a dream bodhisattvas perceive themselves collecting jewels, consider those bodhisattvas to be on one of the first three bhūmis.
དེ་ལ་ནི་རྣམ་པར་མཐོ་འཚམ་པ་མང་ཞིང་དཀར་པོའི་ཆོས་རྣམས་ཀྱང་སྡུག་བསྔལ་བས་ཡང་དག་པར་འཐོབ་པར་འགྱུར་ཏེ། ||| Such bodhisattvas have experienced a lot of harm and have acquired virtuous qualities through suffering.
དེས་ཆོས་འདོད་པར་བྱ་ལ། ཆོས་སྨྲ་བ་དག་ལ་འཁྲུལ་པ་མི་བཙལ་ཞིང་བྱས་པ་གཟོ་བར་ཡང་བྱའོ། ། ||| They should desire the Dharma, try not to vex Dharma teachers, and be appreciative of what they have done.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
གང་གིས་ས་བརྐོས་ནས་རིན་པོ་ཆེ་དག་རྙེད་ན། དེ་ནི་ས་དང་པོ་པར་བལྟའོ། ། ||| “If they find jewels that have been unearthed, consider them to be on the first bhūmi.
གང་གིས་ས་རྡུལ་དང་འདྲེས་པ་རྙེད་ན་དེ་ནི་ས་གཉིས་པར་བལྟའོ། ། ||| If they find jewels mixed with dirt, consider them to be on the second bhūmi.
གང་གིས་རྩྭ་དང་འདྲེས་པ་རྙེད་ན་དེ་ནི་ས་གསུམ་པར་བལྟའོ། ། ||| If they find jewels mixed with grass, consider them to be on the third bhūmi.
མངོན་པར་བརྩོན་པ་དག་གི་མཚན་མ་ནི་དེ་དག་ཡིན་གྱི། ||| These are the signs for those who are industrious.
མངོན་པར་མི་བརྩོན་པ་དག་ལ་ནི་བདུད་ཀྱི་ལས་དག་ཀྱང་ཡོད་དེ་ལྷག་པར་ཡང་ས་དྲུག་པ་ལ་འབྱུང་ངོ་། ། ||| For those who are not industrious, these signs could be the work of Māra, especially if they occur to bodhisattvas on the sixth bhūmi.
ས་བཞི་པ་ལ་མི་བརྩོན་པ་དང་ལྡན་པ་དག་བདུད་ཀྱི་ལས་དང་ལས་ཀྱི་སྒྲིབ་པ་ལས་མ་གྲོལ་བ་ཡིན་ནོ། ། ||| Those on the fourth bhūmi who lack effort are not free of the activity of Māra or karmic obscurations. 68.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་རི་རབ་ཀྱི་རྩེ་མོར་སོན་པར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་ལྔ་པོ་དག་ལས་ཕྱིར་མི་ལྡོག་པར་བལྟ་སྟེ། ||| “Vajrapramardin, if in a dream bodhisattvas perceive themselves reaching the summit of Mount Meru, recognize that those bodhisattvas will not regress from the first five bhūmis.
དེ་ལ་ནི་སྡིག་པའི་གྲོགས་པོའི་དབང་དང་། གཡོལ་བསྟེན་པ་དང་། ||| Such bodhisattvas came under the sway of evil companions, relied on deceit, and were often uninspired.
མ་མོས་པ་མང་བས་ཡོན་ཏན་གང་ཡིན་པ་དག་ཅུང་ཟད་ཀྱང་མི་སྐྱེ་སྟེ། ||| Therefore, they only produce a few good qualities.
དེས་ནི་དགེ་བའི་བཤེས་གཉེན་ལ་བསྟེན་པར་བྱ་ཞིང་གཡོ་མེད་པ་དང་མོས་པ་མང་དུ་ཡང་བྱའོ། ། ||| They should serve a spiritual guide, be guileless, and regularly cultivate inspiration.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
གང་གིས་བདག་རི་རབ་ལ་འཛེག་པར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་དྲུག་པར་རོ། ། ||| “If they perceive themselves climbing to Mount Meru’s summit, they are on the sixth bhūmi.
འཛེགས་ཏེ་འགྲེང་ན་ས་བདུན་པར་རོ། ། ||| If they ascend and then stand up, they are on the seventh bhūmi.
བདག་ཕྱོགས་བཞིར་རྣམ་པར་ལྟ་ན་ས་བརྒྱད་པར་རོ། ། ||| If they look to the four directions, they are on the eighth bhūmi.
འདུག་ན་ས་དགུ་པར་རོ། ། ||| If seated, they are on the ninth bhūmi.
སྒུལ་བར་བྱེད་ན་ས་བཅུ་པར་རོ། ། ||| If they cause the summit to shake, they are on the tenth bhūmi.
ས་དང་པོ་ནས་ས་བདུན་པའི་བར་དག་གིས་ནི་མངོན་པར་བརྩོན་པ་འམ། བསམ་པ་ཕུན་སུམ་ཚོགས་པ་འམ། དགེ་བའི་བཤེས་གཉེན་གྱི་ལག་ཏུ་སོན་པ་འམ། བདུད་ཀྱི་ལས་ཀྱིས་མཐོང་བར་འགྱུར་རོ། ། ||| Bodhisattvas on the first to the seventh bhūmis who are industrious, have excellent intention, or are under the care of a spiritual guide will see these signs as the work of Māra.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་རི་ལ་འཛེག་པར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་ལྔ་པོ་དག་ཏུ་བལྟ་སྟེ། ||| 69. “Vajrapramardin, if in a dream bodhisattvas perceive themselves ascending a mountain, consider those bodhisattvas to be on one of the first five bhūmis.
བྱང་ཆུབ་སེམས་དཔའ་དེ་ལ་ནི་རྣམ་པ་ཐམས་ཅད་དུ་གནོད་པ་དག་ཀུན་འབྱུང་བར་འགྱུར་རོ། ། ||| Such bodhisattvas have experienced harm of every type.
དེས་ནི་ཆོས་སྨྲ་བ་ལ་བརྙས་པར་བྱས་པ་ཡིན་པས་དེས་དངོས་པོ་ཐམས་ཅད་སྦ་བ་མེད་པར་བྱའོ། ། ||| Because they have disparaged Dharma teachers, they should be open with all of their possessions.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་ཏེ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
